Buurten,Aantal inwoners per 1-1|2023,0 t/m 4 jaar|2023,5 t/m 14 jaar|2023,15 t/m 19 jaar|2023,20 t/m 44 jaar|2023,45 t/m 64 jaar|2023,65 t/m 79 jaar|2023,80 jaar en ouder|2023,% Nederlands|2023,% Turks|2023,% Marokkaans|2023,% Surinaams|2023,% Antilliaans|2023,% Overig niet-westers|2023,% Westers|2023
01 Oud Scheveningen,2983.0,151.0,272.0,115.0,1035.0,855.0,433.0,122.0,71.8,0.6,1.0,1.4,1.1,6.9,17.2
02 Vissershaven,4416.0,195.0,466.0,219.0,1492.0,1185.0,701.0,158.0,66.3,1.2,1.4,2.4,1.0,7.7,20.0
03 Scheveningen Badplaats,5670.0,262.0,521.0,266.0,2113.0,1518.0,788.0,202.0,60.9,0.6,0.4,1.8,1.1,9.5,25.7
04 Visserijbuurt,4048.0,178.0,444.0,205.0,1343.0,1023.0,591.0,264.0,61.0,0.7,1.6,1.9,1.4,9.8,23.5
05 v Stolkpark/Schev Bosjes,843.0,29.0,75.0,54.0,204.0,254.0,166.0,61.0,49.9,0.8,1.2,0.9,1.3,9.8,35.9
06 Waldeck-Zuid,2052.0,74.0,195.0,87.0,463.0,520.0,492.0,221.0,59.0,3.0,2.2,4.0,1.9,13.6,16.4
07 Statenkwartier,10618.0,410.0,1284.0,718.0,3147.0,3139.0,1457.0,463.0,49.7,0.8,0.4,1.6,1.2,9.9,36.5
08 Geuzenkwartier,4515.0,220.0,470.0,225.0,1469.0,1195.0,729.0,207.0,66.8,0.9,1.3,1.8,0.9,7.1,21.2
09 Vogelwijk,5523.0,224.0,917.0,482.0,966.0,1778.0,947.0,209.0,71.1,0.5,0.1,1.1,0.3,4.4,22.6
10 Rond de Energiecentrale,6582.0,357.0,522.0,246.0,3233.0,1477.0,607.0,140.0,38.4,4.7,5.0,12.4,2.9,13.3,23.4
11 Kortenbos,7796.0,301.0,556.0,326.0,3665.0,1904.0,891.0,153.0,39.6,3.9,6.6,4.7,2.9,17.3,25.0
12 Voorhout,2664.0,61.0,99.0,83.0,1487.0,571.0,286.0,77.0,41.4,2.0,1.3,2.0,1.5,16.6,35.4
13 Uilebomen,3674.0,149.0,232.0,145.0,1823.0,841.0,413.0,71.0,32.7,3.2,6.6,7.8,3.6,21.3,24.9
14 Zuidwal,7509.0,258.0,413.0,298.0,4017.0,1666.0,737.0,120.0,35.0,3.4,4.9,6.7,4.9,20.4,24.6
15 Schildersbuurt-West,14360.0,801.0,1738.0,989.0,5594.0,3661.0,1292.0,285.0,8.3,27.1,16.7,15.6,2.4,16.2,13.8
16 Schildersbuurt-Noord,9674.0,533.0,1255.0,697.0,3246.0,2596.0,1156.0,191.0,11.6,24.7,22.3,12.9,2.5,18.6,7.3
17 Schildersbuurt-Oost,7058.0,393.0,960.0,570.0,2371.0,1917.0,736.0,111.0,6.4,22.8,24.7,13.8,3.6,17.8,11.0
18 Huygenspark,8145.0,324.0,567.0,666.0,4556.0,1368.0,539.0,125.0,21.9,6.3,9.4,7.1,11.7,22.3,21.3
19 Laakhaven-Oost,5288.0,204.0,395.0,476.0,2839.0,954.0,358.0,62.0,19.5,6.4,9.9,12.6,8.6,24.6,18.5
20 Moerwijk-Oost,3138.0,245.0,408.0,148.0,1234.0,748.0,258.0,97.0,19.4,19.9,10.6,11.9,4.6,18.2,15.5
21 Groente- en Fruitmarkt,7395.0,373.0,693.0,442.0,3645.0,1803.0,380.0,59.0,12.8,28.4,9.7,12.4,4.6,16.1,16.0
22 Laakhaven-West,7061.0,434.0,626.0,314.0,3735.0,1406.0,465.0,81.0,19.0,15.7,13.4,12.2,6.8,19.9,13.0
23 Spoorwijk,4346.0,245.0,583.0,328.0,1607.0,1205.0,318.0,60.0,20.1,14.2,12.7,21.1,4.2,14.0,13.8
24 Laakkwartier-West,8241.0,404.0,859.0,445.0,3837.0,2047.0,539.0,110.0,23.5,5.7,3.9,12.6,4.1,14.7,35.5
25 Laakkwartier-Oost,11623.0,587.0,1071.0,628.0,5736.0,2630.0,790.0,181.0,23.1,3.7,2.1,10.3,4.1,16.5,40.1
26 Noordpolderbuurt,8443.0,486.0,895.0,529.0,3804.0,1967.0,628.0,134.0,14.4,8.3,15.3,12.1,5.8,18.9,25.2
30 Rustenburg,6122.0,336.0,594.0,323.0,2649.0,1554.0,507.0,159.0,40.5,5.6,3.0,8.0,2.7,8.9,31.3
31 Oostbroek-Noord,4618.0,263.0,461.0,231.0,2270.0,1052.0,272.0,69.0,27.3,10.2,2.2,10.8,2.5,11.6,35.3
32 Transvaalkwartier-Noord,3937.0,246.0,452.0,220.0,1565.0,980.0,389.0,85.0,7.7,23.1,13.8,16.9,2.6,19.3,16.5
33 Transvaalkwartier-Midden,5066.0,318.0,731.0,310.0,1874.0,1183.0,468.0,182.0,6.9,28.3,15.5,18.4,1.5,10.2,19.3
34 Transvaalkwartier-Zuid,7324.0,431.0,892.0,524.0,2922.0,1943.0,504.0,108.0,5.8,24.4,10.5,16.0,1.6,12.6,29.1
35 Oostbroek-Zuid,8417.0,475.0,941.0,468.0,3969.0,2011.0,463.0,90.0,20.9,13.7,2.4,9.7,1.7,10.9,40.8
36 Zuiderpark,111.0,,,,,30.0,50.0,29.0,56.8,9.9,,10.8,,7.2,10.8
37 Moerwijk-West,6215.0,428.0,828.0,342.0,2096.0,1705.0,645.0,171.0,20.3,11.4,13.7,9.6,5.3,28.0,11.6
38 Moerwijk-Noord,7184.0,402.0,832.0,408.0,2999.0,1830.0,569.0,144.0,20.8,12.4,7.8,9.6,4.6,17.8,26.8
39 Moerwijk-Zuid,4744.0,412.0,636.0,217.0,2047.0,922.0,357.0,153.0,23.1,13.6,16.5,12.4,5.6,20.3,8.4
40 Nieuw Waldeck,7439.0,396.0,940.0,433.0,2143.0,1925.0,1276.0,326.0,56.8,4.2,5.0,6.7,2.6,9.3,15.3
41 Zorgvliet,711.0,26.0,58.0,19.0,138.0,199.0,207.0,64.0,52.5,,,,,11.1,35.9
42 Stadhoudersplantsoen,2864.0,119.0,263.0,106.0,1180.0,701.0,378.0,117.0,48.2,1.3,0.3,2.2,1.3,9.3,37.4
43 Sweelinckplein eo,6004.0,264.0,646.0,319.0,2299.0,1686.0,684.0,106.0,53.2,0.8,0.6,2.4,0.8,8.8,33.3
44 Koningsplein eo,7769.0,380.0,717.0,338.0,3645.0,1847.0,704.0,138.0,50.9,2.1,2.4,6.1,1.6,9.4,27.5
45 Zeeheldenkwartier,12733.0,515.0,921.0,530.0,6104.0,3105.0,1299.0,259.0,46.1,2.5,4.2,4.8,2.5,13.6,26.4
46 Archipelbuurt,6290.0,193.0,555.0,364.0,1813.0,1886.0,1182.0,297.0,54.5,0.7,0.8,1.5,1.2,10.1,31.2
47 Willemspark,1779.0,58.0,113.0,70.0,705.0,513.0,248.0,72.0,43.8,1.7,0.7,1.1,0.8,13.7,38.1
48 Nassaubuurt,1644.0,75.0,220.0,99.0,449.0,471.0,252.0,78.0,56.2,0.4,,1.0,0.6,10.2,31.4
49 Haagse Bos,469.0,10.0,,8.0,153.0,91.0,118.0,86.0,48.2,2.6,,,,15.6,32.6
