"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E01006512",1880,578,19,0,15,24,29,14,4,79,33,9,469,3,83,20,0,253,1,2,0,0,0,0,0,6,0,0,3,9,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,24,4,13,0,7,7,1,3,1,0,3,0,25,5,21,0,0,4,1,3,4,5,13,2,24,0,15,0,0,0,0,3,5,0,2,3,1,5,6,0,0,10,0,1,0,2,0,0
"E01006513",2941,1887,86,0,24,16,8,31,4,53,19,3,408,4,56,7,0,93,3,0,0,2,0,0,4,5,1,0,3,3,0,0,0,4,1,0,0,0,0,2,1,9,0,0,3,0,0,19,2,6,6,1,4,1,12,6,0,13,0,0,8,5,0,0,1,1,0,1,10,7,8,48,0,7,0,0,0,1,0,0,0,11,2,2,8,3,0,0,7,0,1,0,0,0,0
"E01006514",2108,1433,69,1,13,37,34,23,8,19,20,0,105,6,62,21,3,31,2,4,0,0,0,0,1,4,0,0,1,14,0,3,0,5,0,0,0,0,0,0,0,3,0,1,2,0,0,13,0,3,1,2,16,0,15,1,0,1,0,5,11,13,0,1,0,0,0,2,9,18,2,47,0,9,0,0,1,0,2,0,0,3,2,0,3,0,0,0,2,1,0,0,0,0,0
"E01006515",1208,708,24,0,11,37,35,10,13,4,0,0,159,0,24,9,0,44,1,1,0,0,0,0,1,0,0,0,3,19,0,0,0,1,1,0,0,0,0,2,0,6,0,0,1,0,0,12,2,1,0,0,4,0,1,0,0,0,0,22,3,7,0,0,0,0,0,0,0,5,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,2,0,0
"E01006518",1696,1288,29,0,1,29,27,17,2,5,3,7,43,1,59,16,6,47,1,0,0,0,0,0,1,5,1,1,3,18,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,2,0,1,0,0,1,0,3,0,2,0,0,1,0,0,0,7,5,6,5,0,10,0,0,0,0,7,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
"E01006519",1286,1174,25,0,13,2,3,7,0,4,2,3,11,0,4,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E01006520",1706,1332,68,6,4,20,15,17,1,10,7,1,13,3,24,12,5,28,1,1,0,0,0,0,3,6,0,0,0,9,0,0,0,1,0,0,0,0,3,4,0,1,0,0,0,0,0,11,0,8,1,0,0,0,6,2,0,0,0,6,3,2,0,0,3,0,0,4,6,3,1,33,0,12,0,0,1,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,2,0
"E01006521",1660,1372,35,1,16,15,13,20,0,17,3,0,19,1,38,3,0,30,2,4,0,0,0,0,1,3,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,1,2,6,0,0,0,0,1,0,0,0,1,0,0,4,10,2,2,10,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"E01006522",1731,1349,60,0,8,30,35,25,10,16,6,1,19,5,19,20,1,25,0,1,0,0,0,0,5,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,0,1,0,0,0,1,0,0,7,2,0,0,0,0,0,0,3,2,3,0,27,0,6,0,0,2,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0
"E01006523",1508,1242,33,1,6,21,13,8,4,11,14,0,8,1,20,8,1,20,2,1,0,0,0,0,2,4,0,0,6,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,21,0,8,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0
