"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E02001347",7653,7000,49,0,10,20,15,20,10,199,11,1,51,6,36,9,1,32,0,0,0,0,1,0,0,1,0,0,3,9,0,0,0,0,0,3,0,0,0,4,0,5,0,0,2,0,0,7,80,1,0,0,1,0,1,0,0,0,0,10,2,1,0,0,1,0,0,5,3,0,0,5,0,27,0,0,1,0,1,0,0,2,0,0,1,3,0,0,0,0,1,0,2,0,0
"E02001348",7222,6908,62,1,3,12,6,17,3,74,4,4,27,0,9,3,0,13,1,0,0,0,0,0,0,3,0,1,2,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,10,1,1,4,0,3,0,3,0,0,0,0,0,2,0,0,0,2,0,0,2,4,1,0,7,0,17,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,1,0,0,0,1
"E02001349",7966,7597,69,3,4,29,21,17,2,26,0,0,28,0,43,1,0,2,2,0,0,1,0,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,12,10,5,0,0,2,0,5,0,0,0,0,11,10,0,0,1,0,0,0,6,2,3,1,9,0,20,0,0,0,0,0,0,0,4,0,0,0,5,0,0,3,0,0,0,0,0,0
"E02001350",7856,7143,37,0,16,21,18,17,6,108,8,5,85,3,123,8,6,28,0,0,0,0,1,0,2,3,0,0,4,12,6,0,0,0,0,0,0,0,0,5,0,2,0,0,0,2,0,33,28,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,7,0,0,1,0,8,2,11,0,77,0,0,1,0,2,1,0,3,0,0,1,3,0,0,1,0,0,0,0,0,0
"E02001351",8894,8233,47,8,30,25,43,13,4,95,21,10,39,7,103,20,1,15,0,0,0,0,0,0,3,0,0,0,3,8,3,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,31,0,2,0,0,0,0,0,3,0,0,0,1,0,3,0,0,0,0,0,0,1,20,1,9,0,71,0,0,0,0,0,0,0,9,0,0,1,0,0,0,1,0,2,1,0,0,0
"E02001352",7416,6751,60,7,18,36,15,17,3,78,12,9,27,1,89,31,4,51,2,0,0,0,0,0,0,6,1,0,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,5,0,0,0,0,0,7,0,0,1,0,17,0,0,0,14,0,0,0,1,1,6,1,11,0,79,0,0,0,0,10,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0
"E02001353",7572,6959,46,2,11,31,13,36,5,66,4,6,158,0,30,8,1,30,0,0,0,0,0,0,3,5,0,0,7,8,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,14,10,6,5,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,5,3,0,20,0,27,0,0,0,0,0,0,0,1,0,0,7,7,0,0,4,6,3,0,0,0,0
"E02001354",7613,7248,41,0,19,27,19,14,8,34,3,0,19,1,63,5,1,13,0,1,0,0,1,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,6,0,1,0,0,0,0,0,6,0,0,0,0,0,0,5,0,8,2,9,0,39,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0
"E02001355",6664,6343,52,0,13,17,17,8,4,10,5,1,37,7,43,3,0,21,0,0,0,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,1,2,0,0,4,0,1,0,0,0,4,1,0,0,0,0,1,0,0,0,2,6,4,7,0,21,0,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0
"E02001356",5584,5162,13,1,18,11,13,24,3,27,2,7,23,0,79,10,2,12,0,0,0,4,0,0,1,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,2,0,0,10,0,2,0,0,0,0,2,3,0,0,0,1,0,0,3,1,9,0,4,0,93,0,0,0,0,0,0,0,6,0,0,0,3,0,0,1,3,0,0,0,0,0
"E02001357",6982,6648,26,0,14,25,20,13,6,22,0,7,34,2,46,2,4,5,1,1,0,0,0,0,2,9,0,0,0,4,0,0,0,4,4,1,0,0,0,2,0,2,0,0,1,0,0,7,1,1,0,0,2,0,1,0,0,0,0,3,2,0,0,0,2,0,0,4,1,2,7,2,0,38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"E02001358",7069,6688,51,2,13,29,4,5,3,5,20,2,60,0,32,8,1,15,0,5,0,0,1,0,1,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,1,0,0,7,0,0,0,0,0,2,0,1,0,0,1,0,0,0,3,3,3,4,14,0,36,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,1,0,0,0,0
"E02001359",5751,5249,34,2,7,27,8,11,1,42,21,2,179,0,58,8,0,11,0,0,0,0,0,0,1,0,0,0,0,10,0,4,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,4,1,0,0,0,2,1,2,2,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,18,0,26,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,1,2,0
"E02001360",8358,7615,59,3,16,53,15,20,1,16,12,0,62,1,146,13,0,25,6,0,0,0,2,0,0,17,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,2,0,0,4,0,2,0,0,0,0,9,2,0,0,0,3,0,0,0,3,5,0,13,0,110,0,0,0,0,0,0,0,36,0,0,0,18,0,0,0,1,0,0,0,0,0
"E02001361",7618,7306,53,1,10,28,9,16,8,7,6,0,41,0,20,2,0,20,0,0,0,0,0,0,6,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,9,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,8,2,6,6,4,0,14,0,0,0,0,0,0,0,5,0,3,0,2,0,0,0,0,1,0,0,1,0
"E02001362",7401,7152,41,2,9,17,13,7,0,4,2,0,38,3,18,7,0,9,1,0,0,0,0,0,0,0,3,3,4,7,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,3,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,11,0,0,2,2,4,2,0,7,0,0,0,0,1,0,0,5,0,0,0,3,0,0,4,0,0,0,0,0,0
"E02001363",7788,7098,36,3,30,40,35,16,10,71,0,13,83,2,151,0,0,10,0,0,0,0,0,0,4,3,0,0,0,10,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,0,0,23,27,4,0,0,2,0,1,0,0,0,0,4,1,0,0,1,4,0,0,0,5,5,5,12,0,64,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0
"E02001364",5311,4785,49,1,13,35,18,16,5,5,0,9,66,4,82,8,6,48,0,0,0,0,0,0,2,3,0,0,4,4,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,10,10,0,0,0,1,0,1,1,0,0,0,6,16,0,0,0,0,0,0,0,2,10,0,11,0,56,0,0,0,0,0,0,0,7,1,5,1,4,0,0,0,0,0,0,0,0,0
"E02001365",9049,8026,98,4,25,50,34,14,8,46,14,1,88,5,204,23,9,82,2,1,0,1,1,0,3,9,0,0,6,46,0,0,0,1,6,0,0,0,0,0,0,9,0,0,0,0,0,17,23,3,0,0,14,0,5,1,0,0,0,3,6,0,0,0,0,0,0,0,6,20,4,12,0,78,0,0,0,0,1,0,0,22,0,7,1,2,2,0,1,1,2,1,0,0,1
