"GeographyCode","KS101EW0001","KS101EW0002","KS101EW0003","KS101EW0004","KS101EW0005","KS101EW0006","KS101EW0007","KS101EW0008","KS101EW0009","KS101EW0010","KS101EW0011","KS101EW0012"
"E01006512",1880,1070,810,1420,460,21,28.41,66.1738824357621,56.9148936170213,43.0851063829787,75.531914893617,24.468085106383
"E01006513",2941,1461,1480,1691,1250,56,55.92,52.5929899856938,49.6769806188371,50.3230193811629,57.4974498469908,42.5025501530092
"E01006514",2108,1177,931,1758,350,29,26.23,80.3659931376287,55.8349146110057,44.1650853889943,83.3965844402277,16.6034155597723
"E01006515",1208,595,613,1208,0,10,36.51,33.0868255272528,49.2549668874172,50.7450331125828,100,0
"E01006518",1696,843,853,1630,66,8,23.39,72.5096194955109,49.7051886792453,50.2948113207547,96.1084905660377,3.89150943396226
"E01006519",1286,628,658,1286,0,34,50.79,25.3199448710376,48.8335925349922,51.1664074650078,100,0
"E01006520",1706,937,769,1685,21,0,26.16,65.2140672782875,54.9237983587339,45.0762016412661,98.7690504103165,1.23094958968347
"E01006521",1660,836,824,1619,41,6,60.6,27.3927392739274,50.3614457831325,49.6385542168675,97.5301204819277,2.46987951807229
"E01006522",1731,995,736,1670,61,2,47.05,36.7906482465462,57.4812247255921,42.5187752744079,96.476025418833,3.52397458116696
"E01006523",1508,751,757,1473,35,7,16.37,92.1197312156384,49.8010610079576,50.1989389920424,97.6790450928382,2.3209549071618
"E01006524",2431,1121,1310,1079,1352,41,47.01,51.7124016166773,46.1127108185932,53.8872891814068,44.3850267379679,55.6149732620321
"E01006525",1209,601,608,1209,0,21,42.07,28.7378179225101,49.7105045492142,50.2894954507858,100,0
"E01006526",1404,677,727,1301,103,8,49.63,28.28934112432,48.2193732193732,51.7806267806268,92.6638176638177,7.33618233618234
"E01006527",1454,683,771,1373,81,14,33.35,43.5982008995502,46.9738651994498,53.0261348005502,94.4291609353508,5.57083906464924
"E01006528",1461,755,706,1434,27,19,70.35,20.7675906183369,51.6769336071184,48.3230663928816,98.1519507186858,1.84804928131417
"E01006529",1304,640,664,1304,0,15,10.02,130.139720558882,49.079754601227,50.920245398773,100,0
"E01006530",1431,674,757,1428,3,15,23.54,60.7901444350043,47.099930118798,52.900069881202,99.79035639413,0.209643605870021
"E01006531",1458,686,772,1455,3,15,43.21,33.7421893080305,47.0507544581619,52.9492455418381,99.7942386831276,0.205761316872428
"E01006532",1557,783,774,1554,3,31,93.74,16.6097717089823,50.2890173410405,49.7109826589595,99.8073217726397,0.192678227360308
"E01006533",1408,680,728,1355,53,18,92.15,15.2794357026587,48.2954545454545,51.7045454545455,96.2357954545455,3.76420454545455
"E01006534",1542,753,789,1542,0,17,32.14,47.9775980087119,48.8326848249027,51.1673151750973,100,0
"E01006535",1639,766,873,1550,89,16,181.63,9.02383967406266,46.7358145210494,53.2641854789506,94.5698596705308,5.43014032946919
"E01006536",1848,874,974,1848,0,7,66.5,27.7894736842105,47.2943722943723,52.7056277056277,100,0
"E01006537",2257,1093,1164,2257,0,18,107.56,20.9836370397917,48.4271156402304,51.5728843597696,100,0
"E01006538",1318,639,679,1318,0,11,42.34,31.1289560699102,48.4825493171472,51.5174506828528,100,0
"E01006539",1437,711,726,1403,34,39,85.53,16.8011224131884,49.4780793319415,50.5219206680584,97.633959638135,2.366040361865
"E01006540",1509,776,733,1485,24,0,17.25,87.4782608695652,51.4247846255799,48.5752153744201,98.4095427435388,1.59045725646123
"E01006541",1593,786,807,1593,0,8,68.19,23.3611966564012,49.3408662900188,50.6591337099812,100,0
"E01006542",1397,698,699,1297,100,4,54.06,25.8416574176841,49.9642090193271,50.0357909806729,92.8418038654259,7.15819613457409
"E01006543",1247,598,649,1247,0,3,14.88,83.8037634408602,47.9550922213312,52.0449077786688,100,0
"E01006544",1658,742,916,1658,0,6,14.94,110.977242302544,44.7527141133896,55.2472858866104,100,0
"E01006545",1512,708,804,1512,0,6,9.37,161.36606189968,46.8253968253968,53.1746031746032,100,0
"E01006546",1319,666,653,1319,0,2,11.08,119.043321299639,50.4927975739196,49.5072024260804,100,0
"E01006547",1490,769,721,1490,0,4,15.31,97.3220117570216,51.6107382550336,48.3892617449664,100,0
"E01006548",1675,825,850,1580,95,7,13.25,126.415094339623,49.2537313432836,50.7462686567164,94.3283582089552,5.67164179104478
"E01006549",1662,998,664,1559,103,6,22.69,73.2481269281622,60.0481347773766,39.9518652226233,93.8026474127557,6.19735258724428
"E01006550",1595,776,819,1595,0,13,10.34,154.255319148936,48.6520376175549,51.3479623824451,100,0
"E01006551",1581,794,787,1134,447,15,56.1,28.1818181818182,50.2213788741303,49.7786211258697,71.7267552182163,28.2732447817837
"E01006552",2029,1101,928,2027,2,8,15.67,129.483088704531,54.2631838344012,45.7368161655988,99.9014292755052,0.098570724494825
"E01006553",1880,919,961,1880,0,17,16.74,112.305854241338,48.8829787234043,51.1170212765957,100,0
"E01006554",1692,871,821,1670,22,27,14.99,112.875250166778,51.4775413711584,48.5224586288416,98.6997635933806,1.30023640661939
"E01006556",2011,1087,924,2010,1,19,23.33,86.1980282897557,54.0527100944804,45.9472899055196,99.9502734957732,0.0497265042267529
"E01006557",2054,1024,1030,2051,3,16,17.59,116.770892552587,49.8539435248296,50.1460564751704,99.8539435248296,0.146056475170399
"E01006558",1357,670,687,1357,0,5,10.6,128.018867924528,49.373618275608,50.626381724392,100,0
"E01006560",1860,965,895,1860,0,10,38.81,47.9257923215666,51.8817204301075,48.1182795698925,100,0
"E01006562",1514,709,805,1514,0,8,13.29,113.920240782543,46.8295904887715,53.1704095112285,100,0
"E01006563",1744,857,887,1740,4,3,28.52,61.1500701262272,49.1399082568807,50.8600917431193,99.7706422018349,0.229357798165138
"E01006564",1721,837,884,1721,0,5,30.35,56.7051070840198,48.6345148169669,51.3654851830331,100,0
"E01006565",1549,705,844,1549,0,7,21.57,71.8127028280018,45.5132343447385,54.4867656552615,100,0
"E01006566",1506,730,776,1431,75,9,18.38,81.936887921654,48.472775564409,51.527224435591,95.0199203187251,4.9800796812749
"E01006567",1655,862,793,1622,33,16,59.09,28.0081232018954,52.0845921450151,47.9154078549849,98.0060422960725,1.99395770392749
"E01006568",1617,745,872,1491,126,5,32.94,49.0892531876138,46.0729746444032,53.9270253555968,92.2077922077922,7.79220779220779
"E01006569",1429,672,757,1372,57,11,34.9,40.945558739255,47.0258922323303,52.9741077676697,96.0111966410077,3.9888033589923
"E01006570",1479,722,757,1463,16,15,43.92,33.6748633879781,48.816768086545,51.183231913455,98.9181879648411,1.08181203515889
"E01006571",1470,689,781,1438,32,5,40.33,36.4492933300273,46.8707482993197,53.1292517006803,97.8231292517007,2.17687074829932
"E01006572",1207,528,679,1207,0,6,13.82,87.3371924746744,43.7448218724109,56.2551781275891,100,0
"E01006573",1501,715,786,1501,0,15,14.33,104.745289602233,47.63491005996,52.36508994004,100,0
"E01006574",1388,661,727,1388,0,5,20.06,69.1924227318046,47.6224783861672,52.3775216138329,100,0
"E01006575",1294,607,687,1289,5,10,25.64,50.4680187207488,46.9088098918083,53.0911901081917,99.613601236476,0.386398763523957
"E01006576",1693,803,890,1691,2,15,33.04,51.2409200968523,47.4305965741288,52.5694034258712,99.8818665091553,0.118133490844654
"E01006577",1503,727,776,1503,0,16,37.73,39.8356745295521,48.3699268130406,51.6300731869594,100,0
"E01006578",1380,657,723,1380,0,5,21.62,63.8297872340426,47.6086956521739,52.3913043478261,100,0
"E01006579",1643,796,847,1643,0,13,27.28,60.2272727272727,48.4479610468655,51.5520389531345,100,0
"E01006580",1335,650,685,1331,4,24,37.8,35.3174603174603,48.689138576779,51.310861423221,99.7003745318352,0.299625468164794
"E01006581",1559,738,821,1559,0,30,23.56,66.1714770797963,47.3380372033355,52.6619627966645,100,0
"E01006582",1642,799,843,1630,12,28,48.26,34.0240364691256,48.6601705237515,51.3398294762485,99.2691839220463,0.730816077953715
"E01006583",1758,742,1016,1255,503,53,74.43,23.6195082627973,42.2070534698521,57.7929465301479,71.3879408418658,28.6120591581342
"E01006584",1393,689,704,1393,0,10,29.37,47.4293496765407,49.4615936826992,50.5384063173008,100,0
"E01006585",1354,654,700,1354,0,3,23.58,57.4215436810857,48.301329394387,51.698670605613,100,0
"E01006586",1899,935,964,1875,24,15,36.75,51.6734693877551,49.2364402317009,50.7635597682991,98.7361769352291,1.26382306477093
"E01006587",1624,828,796,1619,5,10,28.52,56.9424964936886,50.9852216748768,49.0147783251232,99.692118226601,0.307881773399015
"E01006588",1569,769,800,1521,48,12,36.27,43.2588916459884,49.0121096239643,50.9878903760357,96.9407265774379,3.05927342256214
"E01006589",1518,728,790,1512,6,20,28.42,53.4130893736805,47.9578392621871,52.0421607378129,99.604743083004,0.395256916996047
"E01006590",1642,858,784,1637,5,15,26.67,61.5673040869891,52.2533495736906,47.7466504263094,99.6954933008526,0.304506699147381
"E01006591",1633,806,827,1633,0,27,18.63,87.6543209876543,49.3570116350276,50.6429883649724,100,0
"E01006592",1565,721,844,1541,24,50,37.63,41.5891575870316,46.0702875399361,53.9297124600639,98.4664536741214,1.53354632587859
"E01006593",1541,758,783,1541,0,16,18.17,84.8101265822785,49.1888384166126,50.8111615833874,100,0
"E01006594",1410,667,743,1405,5,31,29.77,47.3631172321129,47.3049645390071,52.6950354609929,99.645390070922,0.354609929078014
"E01006595",1745,805,940,1745,0,17,19.41,89.9021123132406,46.1318051575931,53.8681948424069,100,0
"E01006596",1451,706,745,1451,0,27,24.22,59.9091659785301,48.6560992419021,51.3439007580979,100,0
"E01006597",1667,772,895,1639,28,34,29.57,56.3747040919851,46.3107378524295,53.6892621475705,98.3203359328134,1.67966406718656
"E01006598",1361,617,744,1361,0,7,21.62,62.9509713228492,45.3343130051433,54.6656869948567,100,0
"E01006599",1121,489,632,1121,0,1,20.12,55.7157057654075,43.621766280107,56.378233719893,100,0
