"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E01006512",1880,98,43,15,35,6,34,124,615,332,355,158,31,17,13,3,1,5.21276595744681,2.28723404255319,0.797872340425532,1.86170212765957,0.319148936170213,1.80851063829787,6.59574468085106,32.7127659574468,17.6595744680851,18.8829787234043,8.40425531914894,1.64893617021277,0.904255319148936,0.691489361702128,0.159574468085106,0.0531914893617021
"E01006513",2941,23,11,6,12,1,14,624,1366,393,279,115,36,26,23,7,5,0.782046922815369,0.374022441346481,0.204012240734444,0.408024481468888,0.0340020401224073,0.476028561713703,21.2172730363822,46.4467868072084,13.3628017681061,9.48656919415165,3.91023461407684,1.22407344440666,0.884053043182591,0.782046922815369,0.238014280856851,0.170010200612037
"E01006514",2108,39,13,12,38,3,13,196,586,271,474,268,66,81,33,9,6,1.85009487666034,0.616698292220114,0.569259962049336,1.80265654648956,0.142314990512334,0.616698292220114,9.29791271347248,27.7988614800759,12.8557874762808,22.4857685009488,12.7134724857685,3.13092979127135,3.84250474383302,1.56546489563567,0.426944971537002,0.284629981024668
"E01006515",1208,54,42,14,63,12,18,35,141,139,272,178,58,80,73,27,2,4.47019867549669,3.47682119205298,1.15894039735099,5.21523178807947,0.993377483443709,1.49006622516556,2.89735099337748,11.6721854304636,11.5066225165563,22.5165562913907,14.7350993377483,4.80132450331126,6.62251655629139,6.04304635761589,2.23509933774834,0.165562913907285
"E01006518",1696,92,45,25,92,17,42,46,120,108,320,350,101,142,145,34,17,5.42452830188679,2.65330188679245,1.47405660377358,5.42452830188679,1.00235849056604,2.47641509433962,2.7122641509434,7.07547169811321,6.36792452830189,18.8679245283019,20.6367924528302,5.95518867924528,8.37264150943396,8.54952830188679,2.00471698113208,1.00235849056604
"E01006519",1286,70,38,21,86,16,46,28,56,50,225,335,97,112,85,12,9,5.44323483670296,2.95489891135303,1.63297045101089,6.68740279937792,1.24416796267496,3.57698289269051,2.17729393468118,4.35458786936236,3.88802488335925,17.4961119751166,26.049766718507,7.54276827371695,8.70917573872473,6.60964230171073,0.933125972006221,0.699844479004666
"E01006520",1706,44,12,5,23,6,9,15,155,340,572,258,86,88,61,23,9,2.57913247362251,0.703399765533412,0.293083235638921,1.34818288393904,0.351699882766706,0.527549824150059,0.879249706916764,9.08558030480656,19.9296600234467,33.5287221570926,15.1230949589683,5.04103165298945,5.15826494724502,3.57561547479484,1.34818288393904,0.527549824150059
"E01006521",1660,56,39,19,44,11,14,20,130,192,396,272,91,141,165,43,27,3.37349397590361,2.34939759036145,1.14457831325301,2.65060240963855,0.662650602409639,0.843373493975904,1.20481927710843,7.83132530120482,11.566265060241,23.855421686747,16.3855421686747,5.48192771084337,8.49397590361446,9.93975903614458,2.59036144578313,1.62650602409639
"E01006522",1731,57,24,15,25,8,11,19,155,389,623,254,52,61,28,7,3,3.29289428076256,1.38648180242634,0.866551126516464,1.44425187752744,0.462160600808781,0.635470826112074,1.09763142692086,8.95436164067013,22.472559214327,35.9907567879838,14.6735990756788,3.00404390525708,3.52397458116696,1.61756210283073,0.404390525707683,0.173310225303293
"E01006523",1508,55,27,20,42,12,12,17,120,234,437,262,85,75,79,22,9,3.64721485411141,1.79045092838196,1.3262599469496,2.78514588859416,0.795755968169761,0.795755968169761,1.12732095490716,7.95755968169761,15.5172413793103,28.9787798408488,17.3740053050398,5.63660477453581,4.97347480106101,5.23872679045093,1.45888594164456,0.596816976127321
"E01006524",2431,49,28,10,38,6,12,964,240,136,316,184,60,121,153,66,48,2.01563142739613,1.1517893870835,0.411353352529823,1.56314273961333,0.246812011517894,0.493624023035788,39.654463183875,9.87248046071575,5.59440559440559,12.9987659399424,7.56890168654875,2.46812011517894,4.97737556561086,6.29370629370629,2.71493212669683,1.97449609214315
"E01006525",1209,60,22,15,50,13,30,28,85,80,216,282,101,120,83,17,7,4.96277915632754,1.81968569065343,1.24069478908189,4.13564929693962,1.0752688172043,2.48138957816377,2.31596360628619,7.03060380479735,6.61703887510339,17.8660049627792,23.3250620347395,8.35401157981803,9.92555831265509,6.86517783291977,1.40612076095947,0.578990901571547
"E01006526",1404,72,28,22,54,11,21,21,60,99,337,290,88,113,108,43,37,5.12820512820513,1.99430199430199,1.56695156695157,3.84615384615385,0.783475783475784,1.4957264957265,1.4957264957265,4.27350427350427,7.05128205128205,24.002849002849,20.6552706552707,6.26780626780627,8.04843304843305,7.69230769230769,3.06267806267806,2.63532763532764
"E01006527",1454,70,30,23,66,18,39,88,111,96,274,277,68,150,111,21,12,4.81430536451169,2.06327372764787,1.5818431911967,4.53920220082531,1.23796423658872,2.68225584594223,6.05226960110041,7.63411279229711,6.60247592847318,18.8445667125172,19.050894085282,4.6767537826685,10.3163686382393,7.63411279229711,1.44429160935351,0.825309491059147
"E01006528",1461,85,42,25,57,13,21,38,184,168,344,260,69,73,45,21,16,5.81793292265572,2.87474332648871,1.71115674195756,3.90143737166324,0.889801505817933,1.43737166324435,2.6009582477755,12.5941136208077,11.4989733059548,23.5455167693361,17.7960301163587,4.72279260780287,4.99657768651609,3.08008213552361,1.43737166324435,1.09514031485284
"E01006529",1304,86,41,24,59,14,21,23,96,105,340,251,69,102,58,6,9,6.59509202453988,3.1441717791411,1.84049079754601,4.52453987730061,1.07361963190184,1.61042944785276,1.76380368098159,7.36196319018405,8.0521472392638,26.0736196319018,19.2484662576687,5.29141104294479,7.82208588957055,4.4478527607362,0.460122699386503,0.690184049079755
"E01006530",1431,66,28,25,69,21,38,23,80,68,210,316,117,153,159,43,15,4.61215932914046,1.95667365478686,1.74703004891684,4.82180293501048,1.46750524109015,2.6554856743536,1.60726764500349,5.59049615653389,4.75192173305381,14.6750524109015,22.0824598183089,8.17610062893082,10.6918238993711,11.1111111111111,3.00489168413697,1.0482180293501
"E01006531",1458,36,37,22,52,19,35,28,67,53,200,290,98,226,233,44,18,2.46913580246914,2.53772290809328,1.50891632373114,3.56652949245542,1.30315500685871,2.40054869684499,1.92043895747599,4.59533607681756,3.63511659807956,13.7174211248285,19.8902606310014,6.72153635116598,15.5006858710562,15.9807956104252,3.01783264746228,1.23456790123457
"E01006532",1557,65,39,31,111,31,50,31,62,51,225,388,129,196,111,28,9,4.17469492614001,2.50481695568401,1.99100834938985,7.12909441233141,1.99100834938985,3.21130378933847,1.99100834938985,3.9820166987797,3.27552986512524,14.4508670520231,24.9197174052665,8.28516377649326,12.5883108542068,7.12909441233141,1.79833012202954,0.578034682080925
"E01006533",1408,58,33,26,69,17,32,31,83,49,221,322,117,137,149,42,22,4.11931818181818,2.34375,1.84659090909091,4.90056818181818,1.20738636363636,2.27272727272727,2.20170454545455,5.89488636363636,3.48011363636364,15.6960227272727,22.8693181818182,8.30965909090909,9.73011363636364,10.5823863636364,2.98295454545455,1.5625
"E01006534",1542,60,45,30,109,27,63,48,105,89,269,393,70,121,87,20,6,3.89105058365759,2.91828793774319,1.94552529182879,7.06874189364462,1.75097276264591,4.08560311284047,3.11284046692607,6.80933852140078,5.77172503242542,17.4448767833982,25.4863813229572,4.53955901426719,7.84695201037613,5.6420233463035,1.2970168612192,0.389105058365759
"E01006535",1639,67,39,22,83,27,58,59,96,85,318,369,100,137,107,40,32,4.08785845027456,2.37949969493594,1.34228187919463,5.0640634533252,1.64734594264796,3.53874313605857,3.59975594874924,5.85723001830384,5.18608907870653,19.4020744356315,22.5137278828554,6.1012812690665,8.35875533862111,6.52837095790116,2.4405125076266,1.95241000610128
"E01006536",1848,78,48,30,124,23,63,49,144,116,321,425,111,157,118,28,13,4.22077922077922,2.5974025974026,1.62337662337662,6.70995670995671,1.24458874458874,3.40909090909091,2.65151515151515,7.79220779220779,6.27705627705628,17.3701298701299,22.9978354978355,6.00649350649351,8.495670995671,6.38528138528139,1.51515151515152,0.703463203463203
"E01006537",2257,148,80,36,118,28,46,69,199,252,474,427,114,147,99,11,9,6.55737704918033,3.54452813469207,1.59503766061143,5.2281789986708,1.24058484714222,2.03810367744794,3.05715551617191,8.81701373504652,11.16526362428,21.0013291980505,18.9189189189189,5.0509525919362,6.51307044749668,4.38635356668144,0.487372618520159,0.398759415152858
"E01006538",1318,54,42,24,76,21,43,35,78,72,223,339,69,113,100,26,3,4.09711684370258,3.1866464339909,1.82094081942337,5.76631259484067,1.59332321699545,3.26251896813354,2.65553869499241,5.91805766312595,5.46282245827011,16.9195751138088,25.7207890743551,5.23520485584219,8.57359635811836,7.58725341426404,1.97268588770865,0.227617602427921
"E01006539",1437,53,30,16,80,21,42,28,57,58,200,422,145,165,91,21,8,3.68823938761308,2.08768267223382,1.1134307585247,5.56715379262352,1.46137787056367,2.92275574112735,1.94850382741823,3.96659707724426,4.03618649965205,13.9178844815588,29.3667362560891,10.0904662491301,11.482254697286,6.33263743910925,1.46137787056367,0.556715379262352
"E01006540",1509,115,38,31,88,19,42,53,141,178,326,257,60,82,59,15,5,7.62094102054341,2.51822398939695,2.05434062292909,5.83167660702452,1.25911199469848,2.78330019880716,3.51225977468522,9.34393638170974,11.7958913187541,21.6037110669317,17.0311464546057,3.97614314115308,5.43406229290921,3.90987408880053,0.99403578528827,0.331345261762757
"E01006541",1593,78,60,23,67,15,45,41,110,114,299,333,111,158,102,24,13,4.89642184557439,3.76647834274953,1.44381669805399,4.20590081607031,0.941619585687382,2.82485875706215,2.57376020087885,6.9052102950408,7.15630885122411,18.7696170747018,20.9039548022599,6.96798493408663,9.91839296924043,6.4030131826742,1.50659133709981,0.816070307595731
"E01006542",1397,75,30,31,91,21,47,37,94,112,305,279,70,81,78,35,11,5.36864710093057,2.14745884037223,2.21904080171797,6.51395848246242,1.50322118826056,3.36435218324982,2.64853256979241,6.72870436649964,8.01717967072298,21.832498210451,19.9713672154617,5.01073729420186,5.79813886900501,5.58339298496779,2.50536864710093,0.78740157480315
"E01006543",1247,58,30,26,66,14,41,38,98,67,206,305,80,131,64,14,9,4.65116279069767,2.40577385725742,2.0850040096231,5.29270248596632,1.12269446672013,3.2878909382518,3.04731355252606,7.8588612670409,5.3728949478749,16.5196471531676,24.4587008821171,6.41539695268645,10.5052125100241,5.13231756214916,1.12269446672013,0.721732157177225
"E01006544",1658,107,46,42,129,30,61,60,133,112,278,348,73,125,89,13,12,6.45355850422195,2.77442702050663,2.53317249698432,7.78045838359469,1.80940892641737,3.67913148371532,3.61881785283474,8.02171290711701,6.75512665862485,16.767189384801,20.9891435464415,4.40289505428227,7.53920386007238,5.36791314837153,0.784077201447527,0.723763570566948
"E01006545",1512,123,62,42,80,31,38,42,102,106,321,279,75,120,76,12,3,8.13492063492063,4.1005291005291,2.77777777777778,5.29100529100529,2.05026455026455,2.51322751322751,2.77777777777778,6.74603174603175,7.01058201058201,21.2301587301587,18.452380952381,4.96031746031746,7.93650793650794,5.02645502645503,0.793650793650794,0.198412698412698
"E01006546",1319,101,46,42,92,22,33,38,125,116,264,245,56,65,56,11,7,7.65731614859742,3.48749052312358,3.18423047763457,6.97498104624716,1.66793025018954,2.50189537528431,2.88097043214556,9.47687642153146,8.7945413191812,20.0151630022744,18.5746777862017,4.2456406368461,4.92797573919636,4.2456406368461,0.833965125094769,0.530705079605762
"E01006547",1490,101,63,34,79,16,44,51,127,124,319,265,72,123,58,12,2,6.77852348993289,4.22818791946309,2.28187919463087,5.30201342281879,1.0738255033557,2.95302013422819,3.42281879194631,8.52348993288591,8.32214765100671,21.4093959731544,17.7852348993289,4.83221476510067,8.25503355704698,3.89261744966443,0.805369127516779,0.134228187919463
"E01006548",1675,135,62,26,96,28,38,52,145,116,356,270,70,130,91,42,18,8.05970149253731,3.70149253731343,1.55223880597015,5.73134328358209,1.67164179104478,2.26865671641791,3.1044776119403,8.65671641791045,6.92537313432836,21.2537313432836,16.1194029850746,4.17910447761194,7.76119402985075,5.43283582089552,2.50746268656716,1.07462686567164
"E01006549",1662,48,18,14,35,11,12,44,267,256,536,223,50,68,57,9,14,2.88808664259928,1.08303249097473,0.842358604091456,2.10589651022864,0.661853188929001,0.72202166064982,2.647412755716,16.0649819494585,15.4031287605295,32.2503008423586,13.4175691937425,3.00842358604091,4.09145607701564,3.42960288808664,0.541516245487365,0.842358604091456
"E01006550",1595,37,14,11,26,8,12,109,875,117,164,119,32,38,28,5,0,2.31974921630094,0.877742946708464,0.689655172413793,1.63009404388715,0.501567398119122,0.752351097178683,6.83385579937304,54.858934169279,7.33542319749216,10.282131661442,7.46081504702194,2.00626959247649,2.38244514106583,1.75548589341693,0.313479623824451,0
"E01006551",1581,45,16,7,21,7,10,327,153,88,228,232,96,164,126,36,25,2.84629981024668,1.01201771030993,0.442757748260595,1.32827324478178,0.442757748260595,0.632511068943706,20.6831119544592,9.67741935483871,5.56609740670462,14.4212523719165,14.674256799494,6.07210626185958,10.3731815306768,7.9696394686907,2.27703984819734,1.58127767235927
"E01006552",2029,244,122,55,141,15,38,50,198,252,482,261,45,77,42,5,2,12.0256283883687,6.01281419418433,2.71069492360769,6.94923607688516,0.739280433711188,1.87284376540168,2.46426811237063,9.75850172498768,12.419911286348,23.7555446032528,12.8634795465747,2.21784130113356,3.79497289305076,2.06998521439133,0.246426811237063,0.098570724494825
"E01006553",1880,48,42,30,47,8,29,105,754,189,316,169,53,58,26,5,1,2.5531914893617,2.23404255319149,1.59574468085106,2.5,0.425531914893617,1.54255319148936,5.58510638297872,40.1063829787234,10.0531914893617,16.8085106382979,8.98936170212766,2.81914893617021,3.08510638297872,1.38297872340426,0.265957446808511,0.0531914893617021
"E01006554",1692,56,28,23,45,10,21,86,570,163,298,225,80,57,23,2,5,3.3096926713948,1.6548463356974,1.35933806146572,2.65957446808511,0.591016548463357,1.24113475177305,5.08274231678487,33.6879432624113,9.63356973995272,17.612293144208,13.2978723404255,4.72813238770686,3.36879432624113,1.35933806146572,0.118203309692671,0.295508274231678
"E01006556",2011,168,79,32,116,21,46,74,259,200,490,296,61,84,70,12,3,8.35405271009448,3.92839383391348,1.59124813525609,5.76827449030333,1.04425658876181,2.28741919443063,3.67976131277971,12.879164594729,9.94530084535057,24.3659870711089,14.7190452511188,3.03331675783192,4.17702635504724,3.4808552958727,0.596718050721034,0.149179512680259
"E01006557",2054,50,22,10,45,12,18,155,1118,158,208,121,49,47,33,5,3,2.43427458617332,1.07108081791626,0.486854917234664,2.19084712755599,0.584225900681597,0.876338851022395,7.54625121713729,54.4303797468354,7.69230769230769,10.126582278481,5.89094449853944,2.38558909444985,2.28821811100292,1.60662122687439,0.243427458617332,0.146056475170399
"E01006558",1357,95,43,14,60,14,41,38,113,107,300,256,92,110,56,7,11,7.00073691967576,3.16875460574797,1.03168754605748,4.42151805453206,1.03168754605748,3.02137067059691,2.8002947678703,8.32719233603537,7.88504053058217,22.1075902726603,18.8651436993368,6.77966101694915,8.10611643330877,4.12675018422992,0.51584377302874,0.810611643330877
