"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E02001347",7653,492,308,183,494,104,197,174,481,550,1624,1589,391,559,394,85,28,6.42885143081145,4.02456552985757,2.39121912975304,6.45498497321312,1.35894420488697,2.57415392656475,2.27361818894551,6.28511694760225,7.18672416045995,21.2204364301581,20.7630994381288,5.10910753952698,7.30432510126748,5.14830785312949,1.11067555207108,0.365869593623416
"E02001348",7222,504,244,159,399,97,179,160,523,564,1539,1437,399,580,342,76,20,6.97867626696206,3.3785654943229,2.20160620326779,5.52478537801163,1.3431182497923,2.47853780116311,2.21545278316256,7.24176128496261,7.80947106064802,21.3098864580449,19.8975353087787,5.52478537801163,8.03101633896427,4.73553032400997,1.05234007200222,0.27693159789532
"E02001349",7966,484,242,168,496,89,191,218,509,603,1805,1705,439,554,369,56,38,6.07582224453929,3.03791112226965,2.10896309314587,6.22646246547828,1.11724830529751,2.39769018327894,2.73663068039166,6.38965603816219,7.56967110218428,22.6587998995732,21.4034647250816,5.51092141601808,6.95455686668341,4.63218679387396,0.70298769771529,0.477027366306804
"E02001350",7856,594,285,196,457,91,195,162,515,580,1574,1545,406,557,476,149,74,7.56109979633401,3.62780040733198,2.4949083503055,5.81720977596741,1.15835030549898,2.48217922606925,2.06211812627291,6.55549898167006,7.38289205702648,20.0356415478615,19.6664969450102,5.16802443991853,7.09012219959267,6.05906313645621,1.89663951120163,0.941955193482688
"E02001351",8894,528,294,189,548,118,228,271,761,728,1829,1780,423,573,487,106,31,5.9365864627839,3.30559928041376,2.12502810883742,6.16145716213177,1.32673712615246,2.56352597256577,3.04699797616371,8.55633011018664,8.18529345626265,20.5644254553632,20.0134922419609,4.75601529120756,6.44254553631662,5.47560152912076,1.19181470654374,0.348549583989206
"E02001352",7416,434,228,132,386,109,154,180,626,720,1850,1384,358,477,308,53,17,5.85221143473571,3.07443365695793,1.77993527508091,5.2049622437972,1.4697950377562,2.07659115426106,2.42718446601942,8.44120819848975,9.70873786407767,24.9460625674218,18.6623516720604,4.82740021574973,6.43203883495146,4.15318230852211,0.714670981661273,0.229234088457389
"E02001353",7572,471,291,189,556,112,209,216,438,446,1696,1843,347,431,258,47,22,6.2202852614897,3.84310618066561,2.49603803486529,7.34284204965663,1.47913365029054,2.76016904384575,2.85261489698891,5.78446909667195,5.89012150026413,22.3983095615425,24.3396724775489,4.58267300581088,5.69202324352879,3.40729001584786,0.620707871104068,0.2905441098785
"E02001354",7613,491,257,203,494,104,212,225,534,590,1449,1514,435,558,430,92,25,6.44949428608958,3.37580454485748,2.66649152765007,6.48890056482333,1.36608432943649,2.78471036385131,2.95547090503087,7.01431761460659,7.74990148430317,19.0332326283988,19.8870353342966,5.71391041639301,7.32956784447655,5.6482332851701,1.20845921450151,0.328385656114541
"E02001355",6664,410,188,120,354,84,180,199,481,537,1331,1392,368,550,325,102,43,6.15246098439376,2.82112845138055,1.80072028811525,5.31212484993998,1.26050420168067,2.70108043217287,2.98619447779112,7.21788715486194,8.05822328931573,19.9729891956783,20.8883553421369,5.52220888355342,8.25330132052821,4.87695078031213,1.53061224489796,0.645258103241297
"E02001356",5584,478,255,180,400,88,164,153,361,420,1108,981,263,418,259,42,14,8.56017191977077,4.56661891117478,3.22349570200573,7.16332378223496,1.57593123209169,2.93696275071633,2.73997134670487,6.46489971346705,7.52148997134671,19.8424068767908,17.5680515759312,4.70988538681948,7.48567335243553,4.63825214899713,0.75214899713467,0.250716332378223
"E02001357",6982,438,232,192,491,114,212,219,498,464,1239,1404,329,575,457,88,30,6.27327413348611,3.32283013463191,2.74992838728158,7.03236894872529,1.63276997994844,3.03637926095675,3.13663706674305,7.1326267545116,6.64566026926382,17.7456316241765,20.1088513319966,4.71211687195646,8.23546261816099,6.54540246347751,1.26038384417072,0.429676310512747
"E02001358",7069,535,242,140,361,80,160,208,570,645,1447,1357,406,517,320,50,31,7.56825576460603,3.42339793464422,1.98047814400905,5.10680435705192,1.1317017965766,2.2634035931532,2.94242467109917,8.06337530060829,9.12434573489885,20.4696562455793,19.1964917244306,5.74338661762626,7.31362286037629,4.52680718630641,0.707313622860376,0.438534446173433
"E02001359",5751,282,184,107,328,76,165,172,395,343,1040,1392,344,552,290,62,19,4.90349504434012,3.19944357503043,1.86054599200139,5.70335593809772,1.32150930272996,2.86906624934794,2.99078421144149,6.86837071813598,5.9641801425839,18.0838115110416,24.2044861763172,5.98156842288298,9.59833072509129,5.04260128673274,1.07807337854286,0.33037732568249
"E02001360",8358,496,270,140,456,87,229,228,686,684,1698,1643,582,694,351,81,33,5.93443407513759,3.23043790380474,1.6750418760469,5.45585068198134,1.04091888011486,2.73988992581957,2.72792534099067,8.20770519262982,8.183776022972,20.3158650394831,19.6578128738933,6.96338837042355,8.30342187126107,4.19956927494616,0.969131371141421,0.394831299353912
"E02001361",7618,398,250,156,471,106,236,221,559,480,1370,1673,451,676,424,98,49,5.2244683644001,3.28170123391966,2.04778156996587,6.18272512470465,1.39144132318194,3.09792596482016,2.90102389078498,7.33788395904437,6.30086636912575,17.9837227618798,21.9611446573904,5.92018902599107,8.87372013651877,5.56576529272775,1.28642688369651,0.643213441848254
"E02001362",7401,306,191,140,445,111,213,202,498,426,1210,1742,442,738,570,114,53,4.13457640859343,2.58073233346845,1.89163626536954,6.0127009863532,1.49979732468585,2.87798946088366,2.72936089717606,6.72882042967167,5.75597892176733,16.3491420078368,23.5373598162411,5.97216592352385,9.97162545601946,7.701661937576,1.5403323875152,0.716119443318471
"E02001363",7788,606,268,190,529,119,216,234,548,595,1609,1455,346,575,417,55,26,7.78120184899846,3.4411915767848,2.43965074473549,6.79250128402671,1.52799178222907,2.77349768875193,3.00462249614792,7.03646635850026,7.63995891114535,20.6599897277863,18.6825885978428,4.4427324088341,7.38315356959425,5.35439137134052,0.706214689265537,0.333846944016435
"E02001364",5311,369,179,107,299,70,172,160,380,412,1066,1039,326,365,266,69,32,6.94784409715684,3.37036339672378,2.01468649971757,5.62982489173414,1.31801920542271,3.23856147618151,3.01261532668047,7.15496140086613,7.75748446620222,20.0715496140087,19.5631707776313,6.13820372811147,6.87252871398983,5.00847298060629,1.29919035963095,0.602523065336095
"E02001365",9049,745,329,224,527,152,223,262,755,765,2028,1546,381,599,384,90,39,8.23295391755995,3.63576085755332,2.47541164769588,5.82384793899878,1.67974361807935,2.46436070284009,2.89534755221571,8.3434633661178,8.45397281467566,22.4113161675323,17.0847607470439,4.21040999005415,6.61951596861532,4.24356282462151,0.994585037020665,0.430986849375622
"E02001366",8985,478,267,188,555,132,253,259,631,755,1861,1867,481,661,447,107,43,5.31997774067891,2.97161936560935,2.09237618252643,6.17696160267112,1.46911519198664,2.8158041179744,2.88258208124652,7.02281580411797,8.40289371174179,20.7122982749026,20.7790762381747,5.35336672231497,7.35670562047858,4.97495826377295,1.19087367835281,0.478575403450195
"E02001367",9304,457,272,187,535,118,233,216,544,533,1715,2084,647,916,655,143,49,4.91186586414445,2.92347377472055,2.00988822012038,5.75021496130696,1.268271711092,2.50429922613929,2.32158211521926,5.8469475494411,5.72871883061049,18.432932072227,22.3989681857266,6.95399828030954,9.84522785898538,7.03998280309544,1.53697334479794,0.526655202063628
"E02001368",5847,309,144,110,325,88,144,140,398,426,1059,1197,396,589,402,82,38,5.28476141611083,2.46280143663417,1.88130665298444,5.55840602018129,1.50504532238755,2.46280143663417,2.39439028561656,6.80690952625278,7.28578758337609,18.1118522319138,20.4720369420215,6.77270395074397,10.0735419873439,6.8753206772704,1.40242859586113,0.649905934667351
