"GeographyCode","KS102EW0001","KS102EW0002","KS102EW0003","KS102EW0004","KS102EW0005","KS102EW0006","KS102EW0007","KS102EW0008","KS102EW0009","KS102EW0010","KS102EW0011","KS102EW0012","KS102EW0013","KS102EW0014","KS102EW0015","KS102EW0016","KS102EW0017","KS102EW0018","KS102EW0019","KS102EW0020","KS102EW0021","KS102EW0022","KS102EW0023","KS102EW0024","KS102EW0025","KS102EW0026","KS102EW0027","KS102EW0028","KS102EW0029","KS102EW0030","KS102EW0031","KS102EW0032","KS102EW0033","KS102EW0034","KS102EW0035"
"E00032987",198,8,11,1,13,3,4,6,24,35,48,22,7,11,4,1,0,32.1919191919192,28,4.04040404040404,5.55555555555556,0.505050505050505,6.56565656565657,1.51515151515152,2.02020202020202,3.03030303030303,12.1212121212121,17.6767676767677,24.2424242424242,11.1111111111111,3.53535353535354,5.55555555555556,2.02020202020202,0.505050505050505,0
"E00032988",348,6,4,2,5,1,6,18,43,39,87,78,21,22,11,1,4,40.3045977011494,39.5,1.72413793103448,1.14942528735632,0.574712643678161,1.4367816091954,0.28735632183908,1.72413793103448,5.17241379310345,12.3563218390805,11.2068965517241,25,22.4137931034483,6.03448275862069,6.32183908045977,3.16091954022989,0.28735632183908,1.14942528735632
"E00032989",333,14,5,3,9,3,1,2,63,33,91,79,11,14,5,0,0,35.3543543543544,34,4.2042042042042,1.5015015015015,0.900900900900901,2.7027027027027,0.900900900900901,0.3003003003003,0.600600600600601,18.9189189189189,9.90990990990991,27.3273273273273,23.7237237237237,3.3033033033033,4.2042042042042,1.5015015015015,0,0
"E00032990",330,14,2,0,6,1,0,8,54,46,109,40,14,18,16,1,1,36.8787878787879,32,4.24242424242424,0.606060606060606,0,1.81818181818182,0.303030303030303,0,2.42424242424242,16.3636363636364,13.9393939393939,33.030303030303,12.1212121212121,4.24242424242424,5.45454545454545,4.84848484848485,0.303030303030303,0.303030303030303
"E00032991",320,10,3,1,2,2,3,9,55,46,101,73,11,2,2,0,0,34.73125,33,3.125,0.9375,0.3125,0.625,0.625,0.9375,2.8125,17.1875,14.375,31.5625,22.8125,3.4375,0.625,0.625,0,0
"E00032992",240,3,1,3,10,1,5,6,41,31,85,40,4,7,3,0,0,34.4,32,1.25,0.416666666666667,1.25,4.16666666666667,0.416666666666667,2.08333333333333,2.5,17.0833333333333,12.9166666666667,35.4166666666667,16.6666666666667,1.66666666666667,2.91666666666667,1.25,0,0
"E00032993",282,9,3,3,12,1,1,9,63,46,86,23,5,12,6,3,0,32.5921985815603,29,3.19148936170213,1.06382978723404,1.06382978723404,4.25531914893617,0.354609929078014,0.354609929078014,3.19148936170213,22.3404255319149,16.3120567375887,30.4964539007092,8.15602836879433,1.77304964539007,4.25531914893617,2.12765957446809,1.06382978723404,0
"E00032994",111,8,8,0,10,1,3,4,6,4,18,24,7,10,7,1,0,38.2612612612613,39,7.20720720720721,7.20720720720721,0,9.00900900900901,0.900900900900901,2.7027027027027,3.6036036036036,5.40540540540541,3.6036036036036,16.2162162162162,21.6216216216216,6.30630630630631,9.00900900900901,6.30630630630631,0.900900900900901,0
"E00032995",268,13,8,3,12,3,3,8,19,17,52,50,15,26,33,4,2,43.4589552238806,42,4.85074626865672,2.98507462686567,1.11940298507463,4.47761194029851,1.11940298507463,1.11940298507463,2.98507462686567,7.08955223880597,6.34328358208955,19.4029850746269,18.6567164179104,5.59701492537313,9.70149253731343,12.3134328358209,1.49253731343284,0.746268656716418
"E00032996",417,25,18,7,41,12,6,11,16,31,57,85,31,47,28,2,0,39.462829736211,41,5.99520383693046,4.31654676258993,1.67865707434053,9.83213429256595,2.87769784172662,1.43884892086331,2.6378896882494,3.83693045563549,7.43405275779376,13.6690647482014,20.3836930455636,7.43405275779376,11.2709832134293,6.71462829736211,0.479616306954436,0
"E00032997",211,12,7,3,14,2,2,4,30,15,55,31,12,8,13,1,2,36.5260663507109,34,5.68720379146919,3.3175355450237,1.4218009478673,6.63507109004739,0.947867298578199,0.947867298578199,1.8957345971564,14.218009478673,7.10900473933649,26.0663507109005,14.6919431279621,5.68720379146919,3.7914691943128,6.16113744075829,0.4739336492891,0.947867298578199
"E00032998",337,26,13,4,13,4,2,5,44,49,64,59,16,23,10,4,1,35.700296735905,31,7.71513353115727,3.85756676557863,1.18694362017804,3.85756676557863,1.18694362017804,0.593471810089021,1.48367952522255,13.0563798219585,14.540059347181,18.9910979228487,17.5074183976261,4.74777448071217,6.82492581602374,2.9673590504451,1.18694362017804,0.29673590504451
"E00032999",359,8,5,3,11,1,3,8,76,53,117,54,11,7,1,1,0,33.0027855153203,30,2.22841225626741,1.39275766016713,0.835654596100279,3.06406685236769,0.278551532033426,0.835654596100279,2.22841225626741,21.1699164345404,14.7632311977716,32.5905292479109,15.041782729805,3.06406685236769,1.94986072423398,0.278551532033426,0.278551532033426,0
"E00033000",177,3,8,0,16,4,5,10,7,6,26,22,6,21,30,12,1,47.4519774011299,46,1.69491525423729,4.51977401129944,0,9.03954802259887,2.25988700564972,2.82485875706215,5.64971751412429,3.95480225988701,3.38983050847458,14.6892655367232,12.4293785310734,3.38983050847458,11.864406779661,16.9491525423729,6.77966101694915,0.564971751412429
"E00033002",227,15,3,1,11,3,3,12,13,18,69,46,13,13,4,2,1,37.2687224669604,38,6.6079295154185,1.3215859030837,0.440528634361234,4.84581497797357,1.3215859030837,1.3215859030837,5.2863436123348,5.72687224669604,7.9295154185022,30.3964757709251,20.2643171806167,5.72687224669604,5.72687224669604,1.76211453744493,0.881057268722467,0.440528634361234
"E00033004",252,5,2,1,4,0,3,4,15,23,87,75,14,13,4,2,0,41.4563492063492,42.5,1.98412698412698,0.793650793650794,0.396825396825397,1.58730158730159,0,1.19047619047619,1.58730158730159,5.95238095238095,9.12698412698413,34.5238095238095,29.7619047619048,5.55555555555556,5.15873015873016,1.58730158730159,0.793650793650794,0
"E00033005",402,15,10,6,22,1,15,7,19,18,56,89,22,42,50,20,10,47.7064676616915,49,3.73134328358209,2.48756218905473,1.49253731343284,5.4726368159204,0.248756218905473,3.73134328358209,1.74129353233831,4.72636815920398,4.47761194029851,13.9303482587065,22.1393034825871,5.4726368159204,10.4477611940298,12.4378109452736,4.97512437810945,2.48756218905473
"E00033006",271,16,5,1,13,6,7,7,22,24,37,62,21,19,27,4,0,41.8745387453875,44,5.90405904059041,1.8450184501845,0.3690036900369,4.7970479704797,2.2140221402214,2.5830258302583,2.5830258302583,8.11808118081181,8.85608856088561,13.6531365313653,22.8782287822878,7.74907749077491,7.01107011070111,9.96309963099631,1.4760147601476,0
"E00033007",317,21,12,11,20,2,12,8,17,16,51,72,18,34,18,3,2,39.8990536277603,41,6.62460567823344,3.78548895899054,3.47003154574132,6.30914826498423,0.630914826498423,3.78548895899054,2.52365930599369,5.36277602523659,5.04731861198738,16.0883280757098,22.7129337539432,5.6782334384858,10.7255520504732,5.6782334384858,0.946372239747634,0.630914826498423
"E00033008",345,28,14,11,37,6,14,8,24,22,69,65,19,19,7,2,0,33.3101449275362,31,8.11594202898551,4.05797101449275,3.18840579710145,10.7246376811594,1.73913043478261,4.05797101449275,2.31884057971015,6.95652173913043,6.3768115942029,20,18.8405797101449,5.50724637681159,5.50724637681159,2.02898550724638,0.579710144927536,0
"E00033012",149,4,0,0,1,1,1,0,12,14,37,33,26,15,5,0,0,45.6241610738255,47,2.68456375838926,0,0,0.671140939597315,0.671140939597315,0.671140939597315,0,8.05369127516778,9.39597315436242,24.8322147651007,22.1476510067114,17.4496644295302,10.0671140939597,3.35570469798658,0,0
"E00033013",202,14,3,0,8,2,3,5,28,29,47,41,7,8,6,1,0,35.2128712871287,32,6.93069306930693,1.48514851485149,0,3.96039603960396,0.99009900990099,1.48514851485149,2.47524752475248,13.8613861386139,14.3564356435644,23.2673267326733,20.2970297029703,3.46534653465347,3.96039603960396,2.97029702970297,0.495049504950495,0
"E00033015",209,16,6,0,0,0,0,4,42,55,55,19,7,2,2,1,0,29.7368421052632,27,7.6555023923445,2.87081339712919,0,0,0,0,1.91387559808612,20.0956937799043,26.3157894736842,26.3157894736842,9.09090909090909,3.34928229665072,0.956937799043062,0.956937799043062,0.478468899521531,0
"E00033016",597,44,25,11,14,1,17,60,191,75,95,44,11,3,5,0,1,25.4120603015075,23,7.37018425460637,4.18760469011725,1.84254606365159,2.34505862646566,0.16750418760469,2.84757118927973,10.0502512562814,31.9932998324958,12.5628140703518,15.9128978224456,7.37018425460637,1.84254606365159,0.50251256281407,0.837520938023451,0,0.16750418760469
"E00033018",270,2,1,0,1,0,0,38,173,26,23,2,0,1,2,1,0,23.3333333333333,21,0.740740740740741,0.37037037037037,0,0.37037037037037,0,0,14.0740740740741,64.0740740740741,9.62962962962963,8.51851851851852,0.740740740740741,0,0.37037037037037,0.740740740740741,0.37037037037037,0
"E00033019",350,12,5,2,7,2,2,20,74,50,85,64,7,14,4,1,1,33.52,30,3.42857142857143,1.42857142857143,0.571428571428571,2,0.571428571428571,0.571428571428571,5.71428571428571,21.1428571428571,14.2857142857143,24.2857142857143,18.2857142857143,2,4,1.14285714285714,0.285714285714286,0.285714285714286
"E00033020",231,2,0,1,1,0,0,12,92,33,57,21,7,3,2,0,0,30.5108225108225,25,0.865800865800866,0,0.432900432900433,0.432900432900433,0,0,5.19480519480519,39.8268398268398,14.2857142857143,24.6753246753247,9.09090909090909,3.03030303030303,1.2987012987013,0.865800865800866,0,0
"E00033021",262,19,9,6,7,1,1,4,31,37,54,42,17,12,17,4,1,37.1068702290076,32,7.25190839694656,3.43511450381679,2.29007633587786,2.67175572519084,0.381679389312977,0.381679389312977,1.52671755725191,11.8320610687023,14.1221374045802,20.6106870229008,16.030534351145,6.48854961832061,4.58015267175572,6.48854961832061,1.52671755725191,0.381679389312977
"E00033023",433,9,2,1,11,1,2,33,180,31,49,49,13,34,10,6,2,33.6235565819861,22,2.07852193995381,0.46189376443418,0.23094688221709,2.54041570438799,0.23094688221709,0.46189376443418,7.62124711316397,41.5704387990762,7.15935334872979,11.3163972286374,11.3163972286374,3.00230946882217,7.85219399538106,2.3094688221709,1.38568129330254,0.46189376443418
"E00033024",178,7,3,4,5,2,4,2,10,11,40,45,16,14,9,6,0,43.4550561797753,45.5,3.93258426966292,1.68539325842697,2.24719101123596,2.80898876404494,1.12359550561798,2.24719101123596,1.12359550561798,5.61797752808989,6.17977528089888,22.4719101123595,25.2808988764045,8.98876404494382,7.86516853932584,5.0561797752809,3.37078651685393,0
"E00033025",265,15,6,6,6,4,2,4,14,23,84,48,15,21,10,2,5,39.8377358490566,37,5.66037735849057,2.26415094339623,2.26415094339623,2.26415094339623,1.50943396226415,0.754716981132076,1.50943396226415,5.28301886792453,8.67924528301887,31.6981132075472,18.1132075471698,5.66037735849057,7.92452830188679,3.77358490566038,0.754716981132076,1.88679245283019
"E00033026",219,19,6,5,11,4,1,6,10,6,49,44,14,25,15,2,2,41.2876712328767,42,8.67579908675799,2.73972602739726,2.28310502283105,5.02283105022831,1.82648401826484,0.45662100456621,2.73972602739726,4.5662100456621,2.73972602739726,22.3744292237443,20.0913242009132,6.39269406392694,11.4155251141553,6.84931506849315,0.91324200913242,0.91324200913242
"E00033027",393,13,8,4,6,0,3,12,52,71,76,42,22,24,39,13,8,41.9083969465649,34,3.30788804071247,2.03562340966921,1.01781170483461,1.52671755725191,0,0.763358778625954,3.05343511450382,13.2315521628499,18.0661577608142,19.3384223918575,10.6870229007634,5.59796437659033,6.10687022900763,9.9236641221374,3.30788804071247,2.03562340966921
"E00033029",240,10,6,2,11,2,0,1,14,41,69,37,14,18,13,1,1,39.625,38,4.16666666666667,2.5,0.833333333333333,4.58333333333333,0.833333333333333,0,0.416666666666667,5.83333333333333,17.0833333333333,28.75,15.4166666666667,5.83333333333333,7.5,5.41666666666667,0.416666666666667,0.416666666666667
"E00033030",321,8,6,5,9,5,11,66,37,14,29,56,16,32,22,3,2,38.2398753894081,29,2.49221183800623,1.86915887850467,1.55763239875389,2.80373831775701,1.55763239875389,3.42679127725857,20.5607476635514,11.5264797507788,4.3613707165109,9.03426791277258,17.4454828660436,4.98442367601246,9.96884735202492,6.85358255451713,0.934579439252336,0.623052959501558
"E00033031",309,11,7,4,15,7,9,7,41,22,62,72,14,23,12,1,2,38.2200647249191,38,3.55987055016181,2.26537216828479,1.29449838187702,4.85436893203883,2.26537216828479,2.9126213592233,2.26537216828479,13.2686084142395,7.11974110032362,20.0647249190939,23.3009708737864,4.53074433656958,7.44336569579288,3.88349514563107,0.323624595469256,0.647249190938511
"E00033032",347,9,2,0,1,1,0,6,44,84,112,49,12,14,10,2,1,36.3804034582133,31,2.59365994236311,0.576368876080692,0,0.288184438040346,0.288184438040346,0,1.72910662824208,12.6801152737752,24.207492795389,32.2766570605187,14.1210374639769,3.45821325648415,4.03458213256484,2.88184438040346,0.576368876080692,0.288184438040346
"E00033033",288,10,2,4,2,0,2,0,23,80,119,33,4,5,3,0,1,33.3819444444444,31,3.47222222222222,0.694444444444444,1.38888888888889,0.694444444444444,0,0.694444444444444,0,7.98611111111111,27.7777777777778,41.3194444444444,11.4583333333333,1.38888888888889,1.73611111111111,1.04166666666667,0,0.347222222222222
"E00033034",313,7,3,3,3,0,3,1,36,73,129,36,9,9,1,0,0,33.8690095846645,31,2.23642172523962,0.958466453674121,0.958466453674121,0.958466453674121,0,0.958466453674121,0.319488817891374,11.5015974440895,23.3226837060703,41.2140575079872,11.5015974440895,2.87539936102236,2.87539936102236,0.319488817891374,0,0
