"GeographyCode","KS103EW0001","KS103EW0002","KS103EW0003","KS103EW0004","KS103EW0005","KS103EW0006","KS103EW0007","KS103EW0008","KS103EW0009","KS103EW0010","KS103EW0011","KS103EW0012","KS103EW0013"
"E02001347",6072,2491,2416,2,200,523,440,41.0243741765481,39.7891963109354,0.0329380764163373,3.29380764163373,8.6133069828722,7.2463768115942
"E02001348",5819,2498,2256,5,176,487,397,42.9283382024403,38.769548032308,0.0859254167382712,3.02457466918715,8.36913559030761,6.82247808901873
"E02001349",6487,2687,2626,12,182,591,389,41.421304146755,40.4809619238477,0.184985355326037,2.80561122244489,9.11052874980731,5.99660860181902
"E02001350",6233,2697,2168,4,212,538,614,43.2696935665009,34.7826086956522,0.0641745547890261,3.40125140381839,8.63147761912402,9.85079416011551
"E02001351",7217,3437,2193,17,300,692,578,47.623666343356,30.3865872246086,0.235554939725648,4.15685187751143,9.58847166412637,8.00886795067203
"E02001352",6127,3200,1738,13,243,576,357,52.2278439693161,28.3662477558348,0.212175616125347,3.96605190141994,9.40101191447691,5.82666884282683
"E02001353",5953,2158,2885,9,176,408,317,36.2506299344868,48.4629598521754,0.151184276835209,2.95649252477742,6.85368721652948,5.3250461951957
"E02001354",6064,2728,2129,17,197,522,471,44.9868073878628,35.1088390501319,0.280343007915567,3.24868073878628,8.60817941952507,7.76715039577836
"E02001355",5508,2523,1869,0,208,480,428,45.8061002178649,33.9324618736383,0,3.7763253449528,8.71459694989107,7.77051561365287
"E02001356",4183,1962,1301,10,194,419,297,46.9041357877122,31.1020798469998,0.23906287353574,4.63781974659335,10.0167344011475,7.10016734401148
"E02001357",5515,2524,1775,1,185,489,541,45.766092475068,32.1849501359927,0.0181323662737987,3.35448776065277,8.86672710788758,9.80961015412511
"E02001358",5711,2839,1650,3,233,613,373,49.7110838732271,28.8916126772894,0.052530204867799,4.07984591139905,10.7336718613203,6.53125547189634
"E02001359",4774,1777,2256,5,129,301,306,37.2224549643905,47.255969836615,0.104733975701718,2.70213657310431,6.3049853372434,6.40971931294512
"E02001360",6909,3570,1755,8,287,781,508,51.6717325227964,25.4016500217108,0.115790997249964,4.15400202634245,11.3040961065277,7.3527283253727
"E02001361",6237,2747,2246,3,183,542,516,44.0436107102774,36.0109026775693,0.0481000481000481,2.93410293410293,8.69007535674202,8.27320827320827
"E02001362",6208,2380,2515,9,182,520,602,38.3376288659794,40.5122422680412,0.144974226804124,2.93170103092783,8.37628865979381,9.69716494845361
"E02001363",6076,2873,1900,4,255,563,481,47.2843976300197,31.2705727452271,0.0658327847267939,4.19684002633311,9.26596445029625,7.91639236339697
"E02001364",4287,2182,1110,6,153,510,326,50.8980639141591,25.8922323303009,0.139958012596221,3.56892932120364,11.8964310706788,7.60438535106135
"E02001365",7072,3635,2024,20,295,609,489,51.3998868778281,28.6199095022624,0.282805429864253,4.17138009049774,8.61142533936652,6.914592760181
"E02001366",7365,3457,2502,4,267,656,479,46.9382213170401,33.9714867617108,0.0543109300746775,3.62525458248472,8.90699253224711,6.50373387644263
"E02001367",7735,2635,3835,4,194,463,604,34.0659340659341,49.5798319327731,0.0517129928894635,2.50808015513898,5.9857789269554,7.80866192630898
"E02001368",4871,2470,1195,6,237,510,453,50.7082734551427,24.5329501129132,0.123177992198727,4.86553069184972,10.4701293368918,9.2999384110039
"E02001369",6581,3578,1710,7,212,593,481,54.3686369852606,25.9838930253761,0.106366813554171,3.22139492478347,9.01078863394621,7.30891961707947
"E02001370",5034,2528,1199,10,213,642,442,50.2185141040922,23.8180373460469,0.198649185538339,4.23122765196663,12.7532777115614,8.7802940007946
"E02001371",5641,2512,2021,4,190,501,413,44.5311115050523,35.826981031732,0.0709094132246056,3.36819712816876,8.88140400638185,7.32139691544052
"E02001372",5176,2169,1933,10,145,461,458,41.9049459041731,37.3454404945904,0.193199381761978,2.80139103554869,8.9064914992272,8.84853168469861
"E02001373",7450,3354,2548,20,277,760,491,45.0201342281879,34.2013422818792,0.268456375838926,3.71812080536913,10.2013422818792,6.59060402684564
"E02001374",6920,3978,1665,18,289,698,272,57.485549132948,24.0606936416185,0.260115606936416,4.17630057803468,10.0867052023121,3.93063583815029
"E02001375",5870,2476,2101,5,170,546,572,42.1805792163543,35.7921635434412,0.0851788756388416,2.89608177172061,9.3015332197615,9.74446337308347
"E02001376",6790,3504,2009,5,262,603,407,51.6053019145803,29.5876288659794,0.0736377025036819,3.85861561119293,8.88070692194404,5.99410898379971
"E02001377",10487,7921,1453,9,209,514,381,75.531610565462,13.855249356346,0.0858205397158387,1.99294364451225,4.90130637932679,3.63306951463717
"E02001378",6593,2906,2307,15,202,654,509,44.0770514181708,34.9916578188988,0.227514030031852,3.06385560442894,9.91961170938874,7.72030941908084
"E02001380",6181,1992,3176,12,141,383,477,32.2277948552014,51.3832713153211,0.194143342501213,2.28118427438926,6.19640834816373,7.71719786442323
"E02001381",7654,4365,1992,10,237,612,438,57.0290044421218,26.0256075254769,0.130650640188137,3.09642017245885,7.99581917951398,5.7224980402404
"E02001382",5791,1853,3142,7,98,374,317,31.9979278190295,54.2566050768434,0.1208772232775,1.69228112588499,6.45829735796926,5.47401139699534
"E02001383",6638,4791,921,23,164,477,262,72.1753540222959,13.8746610424827,0.346489906598373,2.47062368183188,7.1858993672793,3.9469719795119
"E02001384",9753,7450,1357,4,158,421,363,76.3867527940121,13.9136675894597,0.0410130216343689,1.62001435455757,4.31662052701733,3.72193171331898
"E02001385",5980,3059,1673,7,345,569,327,51.1538461538461,27.9765886287625,0.117056856187291,5.76923076923077,9.51505016722408,5.46822742474916
"E02001386",6260,2686,1898,10,209,769,688,42.9073482428115,30.3194888178914,0.159744408945687,3.33865814696486,12.2843450479233,10.9904153354633
"E02001387",6639,2427,3264,18,117,380,433,36.556710347944,49.1640307275192,0.271125169453231,1.762313601446,5.72375357734599,6.52206657629161
"E02001388",7969,5411,1698,10,139,435,276,67.9006148826704,21.3075668214331,0.125486259254612,1.7442590036391,5.45865227757561,3.46342075542728
"E02001389",5607,3766,823,25,172,566,255,67.1660424469413,14.6780809702158,0.445871232388086,3.06759407883003,10.0945247012663,4.54788657035848
"E02001390",6976,3568,1847,16,346,684,515,51.1467889908257,26.4764908256881,0.229357798165138,4.9598623853211,9.80504587155963,7.38245412844037
"E02001391",4775,1996,1712,3,147,470,447,41.8010471204189,35.8534031413613,0.06282722513089,3.07853403141361,9.84293193717278,9.36125654450262
"E02001392",4950,1367,2761,5,91,319,407,27.6161616161616,55.7777777777778,0.101010101010101,1.83838383838384,6.44444444444444,8.22222222222222
"E02001393",6536,2087,3685,10,80,255,419,31.9308445532436,56.3800489596083,0.152998776009792,1.22399020807834,3.90146878824969,6.41064871481028
"E02001394",9214,5844,1946,26,202,621,575,63.425222487519,21.1200347297591,0.282179292381159,2.19231604080747,6.73974386802692,6.2405035815064
"E02001395",5118,1860,2412,22,104,355,365,36.3423212192263,47.1277842907386,0.429855412270418,2.03204376709652,6.93630324345447,7.13169206721376
"E02001396",6861,3769,1876,15,203,593,405,54.933683136569,27.3429529223145,0.218627022299956,2.95875236845941,8.64305494825827,5.90292960209882
"E02001397",6558,2398,2621,7,197,664,671,36.5660262275084,39.9664531869472,0.106739859713327,3.00396462336078,10.1250381213785,10.2317779810918
"E02001398",6830,3669,1967,31,151,543,469,53.7188872620791,28.7994143484627,0.453879941434846,2.2108345534407,7.9502196193265,6.86676427525622
"E02001399",6075,1994,3164,9,105,372,431,32.8230452674897,52.082304526749,0.148148148148148,1.72839506172839,6.12345679012346,7.09465020576132
"E02001400",5559,2216,2278,5,148,462,450,39.8632847634467,40.9785932721713,0.0899442345745638,2.66234934340709,8.31084727468969,8.09498111171074
"E02001401",6667,2218,3246,6,146,447,604,33.2683365831708,48.6875656217189,0.0899955002249887,2.18989050547473,6.70466476676166,9.05954702264887
"E02001402",7070,2649,3230,18,153,528,492,37.4681753889675,45.6859971711457,0.254596888260255,2.16407355021216,7.46817538896747,6.95898161244696
"E02001403",4899,2440,1462,5,182,481,329,49.8060828740559,29.8428250663401,0.102061645233721,3.71504388650745,9.81833027148398,6.71565625637885
"E02001404",5722,2752,1754,4,191,563,458,48.0950716532681,30.6536176162181,0.0699056274030059,3.33799370849353,9.83921705697309,8.00419433764418
"E02001405",7302,3595,2112,7,289,732,567,49.2330868255273,28.923582580115,0.0958641468090934,3.957819775404,10.0246507806081,7.76499589153657
"E02006932",9795,9004,484,13,78,162,54,91.9244512506381,4.9412965798877,0.132720775906075,0.796324655436447,1.65390505359877,0.551301684532925
"E02006933",4963,3366,963,12,146,339,137,67.8218819262543,19.403586540399,0.241789240378803,2.94176909127544,6.83054604070119,2.76042716099134
"E02006934",5008,4024,572,31,142,197,42,80.3514376996805,11.4217252396166,0.619009584664537,2.83546325878594,3.93370607028754,0.838658146964856
