"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E01006512",1225,224,142,722,44,33,51,9,18.2857142857143,11.5918367346939,58.9387755102041,3.59183673469388,2.69387755102041,4.16326530612245,0.73469387755102
"E01006513",1638,126,236,1165,28,19,36,28,7.69230769230769,14.4078144078144,71.1233211233211,1.70940170940171,1.15995115995116,2.1978021978022,1.70940170940171
"E01006514",1654,174,218,1066,22,25,106,43,10.5199516324063,13.180169286578,64.4498186215236,1.33010882708585,1.51148730350665,6.4087061668682,2.59975816203144
"E01006515",1023,201,112,494,20,36,81,79,19.6480938416422,10.9481915933529,48.2893450635386,1.95503421309873,3.51906158357771,7.91788856304985,7.72238514173998
"E01006518",1359,317,114,606,33,52,128,109,23.3259749816041,8.38852097130243,44.5916114790287,2.42825607064018,3.82634289919058,9.4186902133922,8.0206033848418
"E01006519",1055,566,86,260,15,12,46,70,53.6492890995261,8.15165876777251,24.6445497630332,1.4218009478673,1.13744075829384,4.36018957345972,6.63507109004739
"E01006520",1599,192,354,793,11,32,152,65,12.0075046904315,22.1388367729831,49.5934959349593,0.687929956222639,2.00125078173859,9.50594121325829,4.0650406504065
"E01006521",1453,402,182,533,20,38,144,134,27.6668960770819,12.5258086717137,36.682725395733,1.37646249139711,2.61527873365451,9.91052993805919,9.22229869236063
"E01006522",1541,154,307,898,8,34,114,26,9.9935107073329,19.9221284879948,58.2738481505516,0.519143413367943,2.20635950681376,7.39779364049319,1.68721609344581
"E01006523",1317,266,196,643,19,34,101,58,20.1974183750949,14.8823082763857,48.8230827638573,1.44267274107821,2.58162490508732,7.66894457099468,4.4039483675019
"E01006524",950,348,134,308,17,28,56,59,36.6315789473684,14.1052631578947,32.4210526315789,1.78947368421053,2.94736842105263,5.89473684210526,6.21052631578947
"E01006525",1049,532,88,300,14,15,30,70,50.7149666348904,8.38894184938036,28.5986653956149,1.33460438512869,1.42993326978074,2.85986653956149,6.67302192564347
"E01006526",1114,430,158,348,14,24,61,79,38.5996409335727,14.1831238779174,31.2387791741472,1.25673249551167,2.15439856373429,5.47576301615799,7.09156193895871
"E01006527",1166,478,116,368,12,17,75,100,40.9948542024014,9.94854202401372,31.5608919382504,1.02915951972556,1.45797598627787,6.43224699828473,8.57632933104631
"E01006528",1212,380,156,528,9,21,75,43,31.3531353135314,12.8712871287129,43.5643564356436,0.742574257425743,1.73267326732673,6.18811881188119,3.54785478547855
"E01006529",1080,436,150,346,14,25,57,52,40.3703703703704,13.8888888888889,32.037037037037,1.2962962962963,2.31481481481481,5.27777777777778,4.81481481481481
"E01006530",1219,652,86,272,13,10,64,122,53.4864643150123,7.05496308449549,22.3133716160788,1.06644790812141,0.820344544708778,5.25020508613618,10.0082034454471
"E01006531",1289,694,78,264,22,16,60,155,53.8401861908456,6.05120248254461,20.4809930178433,1.70674941815361,1.24127230411171,4.65477114041893,12.0248254460822
"E01006532",1277,784,62,263,13,16,46,93,61.3938919342208,4.85512920908379,20.5951448707909,1.01801096319499,1.25293657008614,3.60219263899765,7.28269381362568
"E01006533",1152,544,78,315,12,21,71,111,47.2222222222222,6.77083333333333,27.34375,1.04166666666667,1.82291666666667,6.16319444444444,9.63541666666667
"E01006534",1271,540,76,419,22,26,88,100,42.486231313926,5.97954366640441,32.9661683713611,1.7309205350118,2.0456333595594,6.92368214004721,7.86782061369001
