"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E02001347",6047,2338,671,1974,66,162,407,429,38.6638002315198,11.0964114436911,32.6442864230197,1.09145030593683,2.67901438729949,6.73061021994377,7.09442698858938
"E02001348",5819,2192,727,1918,54,153,395,380,37.6697026980581,12.4935555937446,32.9609898608008,0.927994500773329,2.6293177521911,6.78810792232342,6.53033167210861
"E02001349",6464,2574,813,2064,52,137,453,371,39.8205445544554,12.5773514851485,31.9306930693069,0.804455445544555,2.11943069306931,7.00804455445545,5.7394801980198
"E02001350",6091,2070,784,2080,45,184,409,519,33.9845673945165,12.8714496798555,34.1487440485963,0.738794943359054,3.02085043506813,6.7148251518634,8.52076834674109
"E02001351",6464,2044,658,2466,62,230,501,503,31.6212871287129,10.1794554455446,38.1497524752475,0.959158415841584,3.55816831683168,7.75061881188119,7.78155940594059
"E02001352",5331,1612,521,2170,75,179,431,343,30.2382292252861,9.7730256987432,40.7053085725005,1.40686550365785,3.3577190020634,8.08478709435378,6.43406490339524
"E02001353",5907,2830,692,1613,45,143,304,280,47.909260199763,11.7149145082106,27.3065854071441,0.761808024377857,2.42085661080074,5.14643643135263,4.74013881835111
"E02001354",6062,2067,612,2259,59,169,437,459,34.0976575387661,10.0956779940614,37.2649290663147,0.973276146486308,2.78785879247773,7.20884196634774,7.57175849554602
"E02001355",5504,1800,543,2102,53,189,403,414,32.703488372093,9.86555232558139,38.1904069767442,0.962936046511628,3.43386627906977,7.32194767441861,7.52180232558139
"E02001356",4183,1282,546,1532,38,158,340,287,30.6478603872819,13.0528328950514,36.6244322256753,0.908438919435812,3.77719340186469,8.12813770021516,6.86110447047573
"E02001357",5488,1700,548,2116,61,152,393,518,30.9766763848397,9.98542274052478,38.5568513119534,1.11151603498542,2.76967930029155,7.16107871720117,9.43877551020408
"E02001358",5683,1598,656,2313,37,205,533,341,28.1189512581383,11.543199014605,40.7003343304593,0.651064578567658,3.60724969206405,9.37884919936653,6.00035192679923
"E02001359",4763,2212,398,1463,42,115,231,302,46.4413184967458,8.35607810203653,30.715935334873,0.881797186647071,2.41444467772412,4.84988452655889,6.34054167541465
"E02001360",6850,1650,705,2986,102,252,673,482,24.0875912408759,10.2919708029197,43.5912408759124,1.48905109489051,3.67883211678832,9.82481751824817,7.03649635036496
"E02001361",6237,2162,607,2283,60,166,453,506,34.664101330768,9.7322430655764,36.6041366041366,0.962000962000962,2.66153599486933,7.26310726310726,8.11287477954145
"E02001362",6208,2476,504,2012,48,150,430,588,39.8840206185567,8.11855670103093,32.409793814433,0.77319587628866,2.41623711340206,6.92654639175258,9.47164948453608
"E02001363",6076,1844,658,2362,45,219,482,466,30.348913759052,10.8294930875576,38.8742593811718,0.740618828176432,3.60434496379197,7.93285055957867,7.66951942067149
"E02001364",4179,1040,416,1841,43,135,434,270,24.8863364441254,9.95453457765016,44.0536013400335,1.02895429528595,3.23043790380474,10.3852596314908,6.46087580760948
"E02001365",6973,1894,820,2916,118,259,536,430,27.1619102251542,11.7596443424638,41.8184425641761,1.69224150293991,3.71432668865625,7.68679191165926,6.16664276495052
"E02001366",7294,2384,733,2874,88,237,544,434,32.6843981354538,10.0493556347683,39.4022484233617,1.20647107211407,3.24924595557993,7.45818480943241,5.95009596928983
"E02001367",7727,3768,638,2147,61,165,367,581,48.7640740261421,8.25676200336483,27.7856865536431,0.789439627280963,2.13536948362883,4.74957939691989,7.51908890902032
"E02001368",4795,1120,388,2158,65,201,461,402,23.3576642335766,8.09176225234619,45.0052137643379,1.3555787278415,4.19186652763295,9.61418143899896,8.3837330552659
"E02001369",6563,1612,641,3032,102,184,524,468,24.5619381380466,9.76687490476916,46.1983848849611,1.55416730153893,2.8035959165016,7.98415358829803,7.1308852658845
"E02001370",5003,1114,448,2194,71,190,565,421,22.2666400159904,8.9546272236658,43.8536877873276,1.41914851089346,3.79772136717969,11.2932240655607,8.41495102938237
"E02001371",5541,1882,732,1926,69,160,406,366,33.9649882692655,13.2106118029237,34.7590687601516,1.24526258798051,2.88756542140408,7.32719725681285,6.60530590146183
"E02001372",4969,1856,464,1722,53,121,376,377,37.3515797947273,9.33789494868183,34.6548601328235,1.06661300060374,2.43509760515194,7.56691487220769,7.58703964580399
"E02001373",7408,2444,854,2662,102,235,631,480,32.9913606911447,11.5280777537797,35.9341252699784,1.3768898488121,3.17224622030238,8.51781857451404,6.47948164146868
"E02001374",6775,1518,717,3300,155,247,581,257,22.4059040590406,10.5830258302583,48.7084870848708,2.28782287822878,3.64575645756458,8.57564575645756,3.79335793357934
"E02001375",5783,2012,652,1954,55,149,451,510,34.7916306415355,11.2744250389071,33.7886909908352,0.951063461871001,2.57651737852326,7.79872038734221,8.81895210098565
"E02001376",6766,1786,614,3022,201,236,519,388,26.3966893289979,9.07478569317174,44.6644989654153,2.97073603310671,3.48802837718002,7.67070647354419,5.7345551285841
"E02001377",7547,1266,480,4650,156,184,458,353,16.7748774347423,6.36014310321982,61.613886312442,2.06704650854644,2.43805485623427,6.06863654432225,4.67735524049291
"E02001378",6354,2198,716,2225,68,176,535,436,34.592382751023,11.2684922883223,35.0173119294932,1.0701920050362,2.76990871891722,8.4198929807995,6.86181932640856
"E02001380",6179,3124,542,1584,51,122,288,468,50.5583427739116,8.7716458973944,25.6352160543777,0.825376274478071,1.9744295193397,4.66094837352322,7.57404110697524
"E02001381",7648,1846,868,3626,130,216,537,425,24.1370292887029,11.3493723849372,47.4110878661088,1.69979079497908,2.82426778242678,7.02144351464435,5.55700836820084
"E02001382",5786,3081,492,1492,43,81,287,310,53.2492222606291,8.50328378845489,25.7863809194608,0.743173176633253,1.39993086761148,4.96024887659869,5.35776011061182
"E02001383",6263,777,640,3899,128,152,418,249,12.4061951141625,10.2187450103784,62.2545106179147,2.04374900207568,2.42695193996487,6.6741178349034,3.97573048060035
"E02001384",9730,1212,644,6879,128,141,374,352,12.4563206577595,6.61870503597122,70.6988694758479,1.31551901336074,1.44912641315519,3.84378211716341,3.61767728674203
"E02001385",5929,1404,370,2769,249,315,523,299,23.6802158880081,6.24051273401923,46.7026480013493,4.19969640748861,5.31286894923259,8.82104908078934,5.04300893911283
"E02001386",6233,1828,602,2239,49,188,658,669,29.327771538585,9.65827049574844,35.9217070431574,0.78613829616557,3.01620407508423,10.5567142627948,10.7331942884646
"E02001387",6569,3214,542,1952,51,107,297,406,48.9267772872583,8.25087532348912,29.7153295783224,0.776373877302481,1.62886284061501,4.5212361089968,6.18054498401583
"E02001388",7911,1622,798,4723,68,116,343,241,20.5030969536089,10.0872203261282,59.7016812033877,0.859562634306662,1.46631272911136,4.3357350524586,3.04639110099861
"E02001389",5322,706,786,2910,90,156,496,178,13.2656895903796,14.7688838782413,54.6786922209696,1.69109357384442,2.93122886133033,9.31980458474258,3.3446072904923
"E02001390",6909,1689,578,3132,148,296,596,470,24.4463742943986,8.36589955130989,45.3321754233608,2.14213344912433,4.28426689824866,8.6264292951223,6.80272108843537
"E02001391",4695,1640,460,1641,35,123,388,408,34.9307774227902,9.79765708200213,34.9520766773163,0.745473908413206,2.61980830670927,8.26411075612354,8.69009584664537
"E02001392",4932,2686,358,1120,62,77,233,396,54.4606650446066,7.25871857258719,22.7088402270884,1.25709651257096,1.56123276561233,4.7242497972425,8.02919708029197
"E02001393",5988,3608,316,1353,71,62,173,405,60.2538410153641,5.27722110888444,22.5951903807615,1.18570474281897,1.03540414161657,2.88911155644623,6.76352705410822
"E02001394",7254,1804,993,3334,89,172,495,367,24.8690377722636,13.6889991728701,45.9608491866556,1.22690929142542,2.37110559691205,6.82382133995037,5.0592776399228
"E02001395",5118,2392,506,1478,38,82,274,348,46.73700664322,9.88667448221962,28.8784681516217,0.742477530285268,1.6021883548261,5.3536537710043,6.79953106682298
"E02001396",6799,1766,974,2921,86,176,491,385,25.9744080011766,14.3256361229593,42.962200323577,1.26489189586704,2.5886159729372,7.22165024268275,5.66259744080012
"E02001397",6533,2560,670,1902,48,170,550,633,39.185672738405,10.2556252870044,29.1137302923619,0.734731363845094,2.60217358028471,8.4187968773917,9.68926986070718
"E02001398",6361,1910,838,2583,74,125,434,397,30.0267253576482,13.1740292406854,40.6068228265996,1.16333909762616,1.96509982707122,6.82282659959126,6.24115705077818
"E02001399",5987,3106,430,1609,53,80,288,421,51.8790713211959,7.18222816101553,26.8748956071488,0.885251377985636,1.33622849507266,4.81042258226157,7.03190245531986
"E02001400",5470,2188,442,1844,69,138,386,403,40,8.08043875685558,33.7111517367459,1.26142595978062,2.52285191956124,7.05667276051188,7.36745886654479
"E02001401",6608,3164,560,1785,75,117,344,563,47.8813559322034,8.47457627118644,27.0127118644068,1.13498789346247,1.77058111380145,5.20581113801453,8.51997578692494
"E02001402",6927,3156,772,1965,75,114,410,435,45.560848852317,11.1447957268659,28.3672585534864,1.0827197921178,1.64573408401906,5.91886819691064,6.27977479428324
"E02001403",4874,1404,638,1922,45,161,396,308,28.8059089043906,13.0898645876077,39.4337299958966,0.923266311038162,3.3032416906032,8.12474353713582,6.31924497332786
"E02001404",5691,1672,779,2166,53,151,434,436,29.3797223686523,13.6882797399403,38.0600948866632,0.931295027235987,2.65331224740819,7.62607626076261,7.66121946933755
"E02001405",7267,2016,862,2926,67,252,609,535,27.7418467042796,11.861841199945,40.2642080638503,0.921976056144214,3.46773083803495,8.38034952525114,7.36204761249484
"E02006932",5162,362,806,3647,87,67,139,54,7.01278574196048,15.6141030608291,70.6509104998063,1.68539325842697,1.2979465323518,2.69275474622239,1.04610616040294
"E02006933",4910,846,814,2583,108,127,298,134,17.2301425661914,16.5784114052953,52.6069246435845,2.19959266802444,2.58655804480652,6.06924643584521,2.72912423625255
"E02006934",4173,476,900,2365,112,114,169,37,11.4066618739516,21.5672178289001,56.6738557392763,2.68392044092979,2.73184759166068,4.04984423676012,0.886652288521448
