"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E00032987",162,26,18,91,2,5,10,10,16.0493827160494,11.1111111111111,56.1728395061728,1.23456790123457,3.08641975308642,6.17283950617284,6.17283950617284
"E00032988",280,26,32,186,4,6,18,8,9.28571428571429,11.4285714285714,66.4285714285714,1.42857142857143,2.14285714285714,6.42857142857143,2.85714285714286
"E00032989",299,20,24,222,2,7,18,6,6.68896321070234,8.02675585284281,74.247491638796,0.668896321070234,2.34113712374582,6.02006688963211,2.0066889632107
"E00032990",303,34,50,164,8,10,21,16,11.2211221122112,16.5016501650165,54.1254125412541,2.64026402640264,3.3003300330033,6.93069306930693,5.28052805280528
"E00032991",302,22,38,211,5,6,17,3,7.28476821192053,12.5827814569536,69.8675496688742,1.65562913907285,1.98675496688742,5.62913907284768,0.993377483443709
"E00032992",222,10,18,165,5,6,17,1,4.5045045045045,8.10810810810811,74.3243243243243,2.25225225225225,2.7027027027027,7.65765765765766,0.45045045045045
"E00032993",254,42,28,152,5,6,9,12,16.5354330708661,11.0236220472441,59.8425196850394,1.96850393700787,2.36220472440945,3.54330708661417,4.7244094488189
"E00032994",84,14,4,37,0,7,12,10,16.6666666666667,4.76190476190476,44.047619047619,0,8.33333333333333,14.2857142857143,11.9047619047619
"E00032995",229,52,18,99,3,11,22,24,22.707423580786,7.86026200873363,43.2314410480349,1.31004366812227,4.80349344978166,9.60698689956332,10.4803493449782
"E00032996",314,90,24,110,7,14,38,31,28.6624203821656,7.64331210191083,35.031847133758,2.22929936305732,4.45859872611465,12.1019108280255,9.87261146496815
"E00032997",173,36,10,83,5,11,14,14,20.8092485549133,5.78034682080925,47.9768786127168,2.89017341040462,6.35838150289017,8.09248554913295,8.09248554913295
"E00032998",277,78,40,109,4,13,15,18,28.158844765343,14.4404332129964,39.3501805054152,1.44404332129964,4.69314079422383,5.41516245487365,6.49819494584837
"E00032999",331,20,52,218,4,4,27,6,6.04229607250755,15.7099697885196,65.8610271903323,1.20845921450151,1.20845921450151,8.1570996978852,1.81268882175227
"E00033000",146,44,10,50,3,9,13,17,30.1369863013699,6.84931506849315,34.2465753424658,2.05479452054794,6.16438356164384,8.9041095890411,11.6438356164384
"E00033002",194,38,20,98,9,9,15,5,19.5876288659794,10.3092783505155,50.5154639175258,4.63917525773196,4.63917525773196,7.7319587628866,2.57731958762887
"E00033004",240,74,34,90,4,5,25,8,30.8333333333333,14.1666666666667,37.5,1.66666666666667,2.08333333333333,10.4166666666667,3.33333333333333
"E00033005",282,72,20,130,3,9,24,24,25.531914893617,7.09219858156028,46.0992907801418,1.06382978723404,3.19148936170213,8.51063829787234,8.51063829787234
"E00033006",230,64,30,94,3,4,17,18,27.8260869565217,13.0434782608696,40.8695652173913,1.30434782608696,1.73913043478261,7.39130434782609,7.82608695652174
"E00033007",251,55,16,102,10,8,36,24,21.9123505976096,6.37450199203187,40.6374501992032,3.98406374501992,3.18725099601594,14.3426294820717,9.56175298804781
"E00033008",249,42,16,134,2,10,33,12,16.8674698795181,6.42570281124498,53.8152610441767,0.803212851405622,4.01606425702811,13.2530120481928,4.81927710843374
"E00033012",143,64,6,46,5,2,13,7,44.7552447552448,4.1958041958042,32.1678321678322,3.4965034965035,1.3986013986014,9.09090909090909,4.89510489510489
"E00033013",175,34,18,88,12,5,15,3,19.4285714285714,10.2857142857143,50.2857142857143,6.85714285714286,2.85714285714286,8.57142857142857,1.71428571428571
"E00033015",187,36,50,89,3,3,5,1,19.2513368983957,26.7379679144385,47.5935828877005,1.60427807486631,1.60427807486631,2.67379679144385,0.53475935828877
"E00033016",355,100,22,200,13,9,9,2,28.169014084507,6.19718309859155,56.3380281690141,3.66197183098592,2.53521126760563,2.53521126760563,0.563380281690141
"E00033018",136,8,22,104,1,0,1,0,5.88235294117647,16.1764705882353,76.4705882352941,0.735294117647059,0,0.735294117647059,0
"E00033019",322,24,20,235,4,3,29,7,7.45341614906832,6.2111801242236,72.9813664596273,1.24223602484472,0.93167701863354,9.00621118012422,2.17391304347826
"E00033020",227,8,40,167,0,2,9,1,3.52422907488987,17.6211453744493,73.568281938326,0,0.881057268722467,3.9647577092511,0.440528634361234
"E00033021",220,47,44,79,8,6,19,17,21.3636363636364,20,35.9090909090909,3.63636363636364,2.72727272727273,8.63636363636364,7.72727272727273
"E00033023",275,42,26,156,1,5,23,22,15.2727272727273,9.45454545454546,56.7272727272727,0.363636363636364,1.81818181818182,8.36363636363636,8
"E00033024",157,28,8,85,2,3,18,13,17.8343949044586,5.09554140127389,54.140127388535,1.27388535031847,1.91082802547771,11.4649681528662,8.28025477707006
"E00033025",228,86,38,76,2,3,12,11,37.719298245614,16.6666666666667,33.3333333333333,0.87719298245614,1.31578947368421,5.26315789473684,4.82456140350877
"E00033026",174,88,16,39,4,6,9,12,50.5747126436782,9.19540229885057,22.4137931034483,2.29885057471264,3.44827586206897,5.17241379310345,6.89655172413793
"E00033027",335,60,38,168,4,9,31,25,17.910447761194,11.3432835820896,50.1492537313433,1.19402985074627,2.6865671641791,9.25373134328358,7.46268656716418
"E00033029",209,72,26,82,6,4,8,11,34.4497607655502,12.4401913875598,39.2344497607655,2.87081339712919,1.91387559808612,3.82775119617225,5.26315789473684
