"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E01006512",799,68,369,120,78,21,128,8.51063829787234,46.1827284105131,15.0187734668335,9.7622027534418,2.62828535669587,16.0200250312891
"E01006513",909,11,358,43,18,5,108,1.21012101210121,39.3839383938394,4.73047304730473,1.98019801980198,0.55005500550055,11.8811881188119
"E01006514",1115,27,465,80,32,22,229,2.42152466367713,41.7040358744395,7.17488789237668,2.86995515695067,1.97309417040359,20.5381165919283
"E01006515",641,49,271,121,42,32,204,7.64430577223089,42.2776911076443,18.8767550702028,6.55226209048362,4.99219968798752,31.8252730109204
"E01006518",835,71,372,194,72,55,278,8.50299401197605,44.5508982035928,23.2335329341317,8.62275449101796,6.58682634730539,33.2934131736527
"E01006519",514,3,162,166,51,23,101,0.583657587548638,31.5175097276265,32.295719844358,9.92217898832685,4.47470817120623,19.6498054474708
"E01006520",1182,13,409,68,35,6,286,1.09983079526227,34.6023688663283,5.75296108291032,2.96108291032149,0.50761421319797,24.1962774957699
"E01006521",928,24,371,112,44,21,269,2.58620689655172,39.9784482758621,12.0689655172414,4.74137931034483,2.26293103448276,28.9870689655172
"E01006522",1094,47,320,107,48,28,255,4.29616087751371,29.2504570383912,9.78062157221207,4.38756855575868,2.55941499085923,23.308957952468
"E01006523",830,28,263,105,48,15,214,3.37349397590361,31.6867469879518,12.6506024096386,5.78313253012048,1.80722891566265,25.7831325301205
"E01006524",583,7,174,92,44,12,114,1.20068610634648,29.8456260720412,15.7804459691252,7.54716981132075,2.05831903945112,19.5540308747856
"E01006525",486,8,138,129,50,14,123,1.64609053497942,28.3950617283951,26.5432098765432,10.2880658436214,2.88065843621399,25.3086419753086
"E01006526",654,13,209,138,61,23,148,1.98776758409786,31.9571865443425,21.1009174311927,9.32721712538226,3.51681957186544,22.6299694189602
"E01006527",638,10,243,151,53,22,180,1.56739811912226,38.0877742946708,23.6677115987461,8.30721003134796,3.44827586206897,28.2131661442006
"E01006528",613,14,158,148,68,20,112,2.28384991843393,25.7748776508972,24.1435562805873,11.0929853181077,3.2626427406199,18.2707993474715
"E01006529",559,7,140,156,66,15,101,1.25223613595707,25.0447227191413,27.906976744186,11.8067978533095,2.68336314847943,18.0679785330948
"E01006530",616,11,238,151,52,18,159,1.78571428571429,38.6363636363636,24.512987012987,8.44155844155844,2.92207792207792,25.8116883116883
"E01006531",674,6,344,126,32,24,229,0.890207715133531,51.0385756676558,18.6943620178042,4.74777448071217,3.56083086053412,33.9762611275964
"E01006532",617,6,201,182,47,26,139,0.972447325769854,32.5769854132901,29.4975688816856,7.61750405186386,4.21393841166937,22.5283630470016
"E01006533",614,17,256,132,47,24,196,2.76872964169381,41.6938110749186,21.4983713355049,7.65472312703583,3.90879478827362,31.9218241042345
"E01006534",649,36,216,202,47,52,170,5.54699537750385,33.2819722650231,31.1248073959938,7.24191063174114,8.01232665639445,26.1941448382126
"E01006535",656,22,221,193,58,32,183,3.35365853658537,33.6890243902439,29.4207317073171,8.84146341463415,4.8780487804878,27.8963414634146
"E01006536",815,42,292,229,68,50,239,5.15337423312883,35.8282208588957,28.0981595092025,8.34355828220859,6.13496932515337,29.3251533742331
"E01006537",964,48,223,275,122,45,172,4.9792531120332,23.1327800829876,28.5269709543568,12.655601659751,4.66804979253112,17.8423236514523
"E01006538",527,17,161,168,41,29,124,3.2258064516129,30.550284629981,31.8785578747628,7.77988614800759,5.50284629981025,23.5294117647059
"E01006539",601,9,166,150,37,19,113,1.49750415973378,27.6206322795341,24.9584026622296,6.15640599001664,3.16139767054908,18.801996672213
"E01006540",771,85,338,198,90,39,223,11.0246433203632,43.8391699092088,25.6809338521401,11.6731517509728,5.05836575875486,28.9234760051881
"E01006541",803,43,326,187,69,40,269,5.35491905354919,40.5977584059776,23.2876712328767,8.59277708592777,4.9813200498132,33.4993773349938
"E01006542",583,42,203,174,62,41,172,7.2041166380789,34.819897084048,29.8456260720412,10.6346483704974,7.03259005145798,29.5025728987993
"E01006543",509,19,162,147,44,15,125,3.7328094302554,31.8271119842829,28.8801571709234,8.64440078585462,2.94695481335953,24.5579567779961
"E01006544",738,103,269,252,89,86,208,13.9566395663957,36.449864498645,34.1463414634146,12.059620596206,11.6531165311653,28.1842818428184
"E01006545",646,69,168,239,98,37,142,10.6811145510836,26.0061919504644,36.9969040247678,15.1702786377709,5.72755417956656,21.9814241486068
"E01006546",583,54,182,188,77,47,137,9.26243567753002,31.2178387650086,32.2469982847341,13.2075471698113,8.06174957118353,23.4991423670669
"E01006547",718,80,279,197,80,45,189,11.142061281337,38.857938718663,27.4373259052925,11.142061281337,6.26740947075209,26.3231197771588
"E01006548",759,97,288,247,110,42,189,12.7799736495389,37.9446640316205,32.5428194993412,14.4927536231884,5.53359683794466,24.901185770751
"E01006549",949,15,327,80,38,12,232,1.58061116965227,34.4573234984194,8.42992623814542,4.00421496311907,1.26448893572181,24.4467860906217
"E01006550",483,13,125,64,30,13,92,2.69151138716356,25.879917184265,13.2505175983437,6.2111801242236,2.69151138716356,19.047619047619
"E01006551",751,22,439,54,21,16,323,2.92942743009321,58.4553928095872,7.19041278295606,2.79627163781625,2.13049267643142,43.0093209054594
"E01006552",869,144,268,309,170,58,151,16.5707710011507,30.8400460299194,35.5581127733026,19.5627157652474,6.67433831990794,17.3762945914845
"E01006553",642,18,140,111,38,17,106,2.80373831775701,21.8068535825545,17.2897196261682,5.9190031152648,2.64797507788162,16.5109034267913
"E01006554",649,10,180,99,46,13,112,1.54083204930663,27.7349768875193,15.2542372881356,7.08782742681048,2.00308166409861,17.2573189522342
"E01006556",1016,117,463,265,128,65,314,11.5157480314961,45.5708661417323,26.0826771653543,12.5984251968504,6.39763779527559,30.9055118110236
"E01006557",635,24,178,87,35,16,97,3.77952755905512,28.0314960629921,13.7007874015748,5.51181102362205,2.51968503937008,15.2755905511811
"E01006558",739,81,322,174,78,42,218,10.9607577807848,43.5723951285521,23.5453315290934,10.5548037889039,5.68335588633288,29.4993234100135
"E01006560",996,80,545,211,76,58,401,8.03212851405623,54.718875502008,21.1847389558233,7.63052208835341,5.82329317269076,40.2610441767068
"E01006562",714,110,284,236,105,49,221,15.406162464986,39.7759103641457,33.0532212885154,14.7058823529412,6.86274509803922,30.952380952381
"E01006563",908,120,500,218,88,74,362,13.215859030837,55.0660792951542,24.0088105726872,9.69162995594714,8.14977973568282,39.8678414096916
"E01006564",800,45,332,175,71,42,253,5.625,41.5,21.875,8.875,5.25,31.625
"E01006565",638,29,236,175,55,35,176,4.54545454545455,36.9905956112853,27.4294670846395,8.62068965517241,5.4858934169279,27.5862068965517
"E01006566",577,18,167,190,71,24,135,3.11958405545927,28.9428076256499,32.9289428076257,12.3050259965338,4.15944540727903,23.3968804159445
"E01006567",892,32,459,167,60,30,322,3.58744394618834,51.457399103139,18.7219730941704,6.72645739910314,3.36322869955157,36.0986547085202
