"GeographyCode","KS106EW0001","KS106EW0002","KS106EW0003","KS106EW0004","KS106EW0005","KS106EW0006","KS106EW0007","KS106EW0008","KS106EW0009","KS106EW0010","KS106EW0011","KS106EW0012","KS106EW0013"
"E00032987",87,12,19,28,8,7,15,13.7931034482759,21.8390804597701,32.183908045977,9.19540229885057,8.04597701149425,17.2413793103448
"E00032988",200,7,73,20,6,3,65,3.5,36.5,10,3,1.5,32.5
"E00032989",232,4,105,21,11,3,74,1.72413793103448,45.2586206896552,9.05172413793103,4.74137931034483,1.29310344827586,31.8965517241379
"E00032990",219,2,100,20,12,3,57,0.91324200913242,45.662100456621,9.1324200913242,5.47945205479452,1.36986301369863,26.027397260274
"E00032991",219,7,84,19,8,4,61,3.19634703196347,38.3561643835616,8.67579908675799,3.65296803652968,1.82648401826484,27.8538812785388
"E00032992",165,6,89,18,3,3,57,3.63636363636364,53.9393939393939,10.9090909090909,1.81818181818182,1.81818181818182,34.5454545454545
"E00032993",166,7,56,17,7,5,27,4.21686746987952,33.7349397590361,10.2409638554217,4.21686746987952,3.01204819277108,16.2650602409639
"E00032994",63,7,33,17,5,2,28,11.1111111111111,52.3809523809524,26.984126984127,7.93650793650794,3.17460317460317,44.4444444444444
"E00032995",149,8,84,28,11,6,62,5.36912751677852,56.3758389261745,18.7919463087248,7.38255033557047,4.02684563758389,41.6107382550336
"E00032996",181,29,87,59,19,17,65,16.0220994475138,48.0662983425414,32.5966850828729,10.4972375690608,9.39226519337017,35.9116022099448
"E00032997",106,9,36,28,11,7,24,8.49056603773585,33.9622641509434,26.4150943396226,10.377358490566,6.60377358490566,22.6415094339623
"E00032998",164,13,48,40,19,7,47,7.92682926829268,29.2682926829268,24.390243902439,11.5853658536585,4.26829268292683,28.6585365853659
"E00032999",236,6,83,16,5,6,39,2.54237288135593,35.1694915254237,6.77966101694915,2.11864406779661,2.54237288135593,16.5254237288136
"E00033000",87,7,53,18,3,5,42,8.04597701149425,60.9195402298851,20.6896551724138,3.44827586206897,5.74712643678161,48.2758620689655
"E00033002",129,9,47,24,9,9,26,6.97674418604651,36.4341085271318,18.6046511627907,6.97674418604651,6.97674418604651,20.1550387596899
"E00033004",167,1,23,13,5,2,12,0.598802395209581,13.7724550898204,7.78443113772455,2.9940119760479,1.19760479041916,7.18562874251497
"E00033005",176,17,76,40,13,15,72,9.65909090909091,43.1818181818182,22.7272727272727,7.38636363636364,8.52272727272727,40.9090909090909
"E00033006",120,9,46,34,12,8,34,7.5,38.3333333333333,28.3333333333333,10,6.66666666666667,28.3333333333333
"E00033007",155,19,83,40,16,10,60,12.258064516129,53.5483870967742,25.8064516129032,10.3225806451613,6.45161290322581,38.7096774193548
"E00033008",147,29,62,58,22,12,55,19.7278911564626,42.1768707482993,39.4557823129252,14.9659863945578,8.16326530612245,37.4149659863946
"E00033012",104,0,32,5,3,0,18,0,30.7692307692308,4.80769230769231,2.88461538461538,0,17.3076923076923
"E00033013",115,9,36,22,11,6,23,7.82608695652174,31.304347826087,19.1304347826087,9.56521739130435,5.21739130434783,20
"E00033015",109,8,53,13,12,2,18,7.3394495412844,48.6238532110092,11.9266055045872,11.0091743119266,1.8348623853211,16.5137614678899
"E00033016",226,31,107,46,33,6,20,13.716814159292,47.3451327433628,20.353982300885,14.6017699115044,2.65486725663717,8.84955752212389
"E00033018",72,0,18,3,2,0,7,0,25,4.16666666666667,2.77777777777778,0,9.72222222222222
"E00033019",218,7,100,20,10,3,61,3.21100917431193,45.8715596330275,9.1743119266055,4.58715596330275,1.37614678899083,27.9816513761468
"E00033020",143,2,50,4,2,0,23,1.3986013986014,34.965034965035,2.7972027972028,1.3986013986014,0,16.0839160839161
"E00033021",134,5,55,25,14,5,41,3.73134328358209,41.044776119403,18.6567164179104,10.4477611940298,3.73134328358209,30.5970149253731
"E00033023",149,2,64,16,7,5,50,1.34228187919463,42.9530201342282,10.738255033557,4.69798657718121,3.35570469798658,33.5570469798658
"E00033024",104,11,55,16,5,8,51,10.5769230769231,52.8846153846154,15.3846153846154,4.80769230769231,7.69230769230769,49.0384615384615
"E00033025",135,1,34,26,13,5,26,0.740740740740741,25.1851851851852,19.2592592592593,9.62962962962963,3.7037037037037,19.2592592592593
"E00033026",90,0,26,29,14,3,21,0,28.8888888888889,32.2222222222222,15.5555555555556,3.33333333333333,23.3333333333333
"E00033027",200,4,61,24,11,4,47,2,30.5,12,5.5,2,23.5
"E00033029",111,2,29,20,8,4,21,1.8018018018018,26.1261261261261,18.018018018018,7.20720720720721,3.6036036036036,18.9189189189189
"E00033030",95,1,33,30,6,4,17,1.05263157894737,34.7368421052632,31.5789473684211,6.31578947368421,4.21052631578947,17.8947368421053
"E00033031",130,1,31,36,8,3,24,0.769230769230769,23.8461538461538,27.6923076923077,6.15384615384615,2.30769230769231,18.4615384615385
"E00033032",238,3,71,11,7,0,47,1.26050420168067,29.8319327731092,4.6218487394958,2.94117647058824,0,19.7478991596639
"E00033033",193,6,48,17,9,4,30,3.10880829015544,24.8704663212435,8.80829015544041,4.66321243523316,2.07253886010363,15.5440414507772
"E00033034",201,5,33,13,6,0,29,2.48756218905473,16.4179104477612,6.46766169154229,2.98507462686567,0,14.4278606965174
"E00033035",159,8,47,24,12,6,41,5.0314465408805,29.559748427673,15.0943396226415,7.54716981132075,3.77358490566038,25.7861635220126
"E00033036",128,4,31,15,4,1,30,3.125,24.21875,11.71875,3.125,0.78125,23.4375
"E00033037",153,2,58,23,13,3,42,1.30718954248366,37.9084967320261,15.0326797385621,8.49673202614379,1.96078431372549,27.4509803921569
"E00033038",110,5,29,10,6,0,22,4.54545454545455,26.3636363636364,9.09090909090909,5.45454545454545,0,20
"E00033040",132,5,47,21,14,1,39,3.78787878787879,35.6060606060606,15.9090909090909,10.6060606060606,0.757575757575758,29.5454545454545
"E00033041",110,1,37,37,13,3,30,0.909090909090909,33.6363636363636,33.6363636363636,11.8181818181818,2.72727272727273,27.2727272727273
"E00033042",98,3,31,23,8,2,28,3.06122448979592,31.6326530612245,23.469387755102,8.16326530612245,2.04081632653061,28.5714285714286
"E00033043",112,2,23,29,15,3,26,1.78571428571429,20.5357142857143,25.8928571428571,13.3928571428571,2.67857142857143,23.2142857142857
"E00033044",92,1,32,26,9,4,24,1.08695652173913,34.7826086956522,28.2608695652174,9.78260869565217,4.34782608695652,26.0869565217391
"E00033045",132,0,84,19,5,3,62,0,63.6363636363636,14.3939393939394,3.78787878787879,2.27272727272727,46.969696969697
"E00033046",121,1,79,3,3,1,58,0.826446280991736,65.2892561983471,2.47933884297521,2.47933884297521,0.826446280991736,47.9338842975207
"E00033047",106,4,27,34,14,9,26,3.77358490566038,25.4716981132075,32.0754716981132,13.2075471698113,8.49056603773585,24.5283018867925
"E00033048",100,2,32,30,9,3,30,2,32,30,9,3,30
"E00033049",154,8,20,54,31,11,19,5.19480519480519,12.987012987013,35.0649350649351,20.1298701298701,7.14285714285714,12.3376623376623
"E00033050",84,0,20,21,9,2,15,0,23.8095238095238,25,10.7142857142857,2.38095238095238,17.8571428571429
"E00033051",167,3,36,17,3,1,33,1.79640718562874,21.5568862275449,10.1796407185629,1.79640718562874,0.598802395209581,19.7604790419162
"E00033052",144,1,42,26,14,0,31,0.694444444444444,29.1666666666667,18.0555555555556,9.72222222222222,0,21.5277777777778
"E00033053",111,1,23,32,13,4,22,0.900900900900901,20.7207207207207,28.8288288288288,11.7117117117117,3.6036036036036,19.8198198198198
"E00033054",76,7,25,21,8,7,21,9.21052631578947,32.8947368421053,27.6315789473684,10.5263157894737,9.21052631578947,27.6315789473684
"E00033055",106,1,23,30,17,2,11,0.943396226415094,21.6981132075472,28.3018867924528,16.0377358490566,1.88679245283019,10.377358490566
"E00033056",123,1,23,34,17,2,26,0.813008130081301,18.6991869918699,27.6422764227642,13.8211382113821,1.6260162601626,21.1382113821138
"E00033057",122,3,31,41,19,3,24,2.45901639344262,25.4098360655738,33.6065573770492,15.5737704918033,2.45901639344262,19.672131147541
"E00033059",149,6,67,35,11,6,51,4.02684563758389,44.9664429530201,23.489932885906,7.38255033557047,4.02684563758389,34.2281879194631
"E00033060",101,0,55,15,4,2,32,0,54.4554455445545,14.8514851485149,3.96039603960396,1.98019801980198,31.6831683168317
"E00033061",91,1,33,30,9,4,23,1.0989010989011,36.2637362637363,32.967032967033,9.89010989010989,4.3956043956044,25.2747252747253
"E00033062",105,1,40,31,12,6,23,0.952380952380952,38.0952380952381,29.5238095238095,11.4285714285714,5.71428571428571,21.9047619047619
"E00033063",101,0,32,28,7,2,19,0,31.6831683168317,27.7227722772277,6.93069306930693,1.98019801980198,18.8118811881188
"E00033064",97,0,22,38,13,8,12,0,22.680412371134,39.1752577319588,13.4020618556701,8.24742268041237,12.3711340206186
"E00033065",120,1,35,39,10,3,24,0.833333333333333,29.1666666666667,32.5,8.33333333333333,2.5,20
"E00033066",155,3,40,15,7,3,32,1.93548387096774,25.8064516129032,9.67741935483871,4.51612903225806,1.93548387096774,20.6451612903226
"E00033067",184,3,54,16,8,2,27,1.6304347826087,29.3478260869565,8.69565217391304,4.34782608695652,1.08695652173913,14.6739130434783
"E00033068",203,2,42,14,8,0,39,0.985221674876847,20.6896551724138,6.89655172413793,3.94088669950739,0,19.2118226600985
"E00033069",164,4,40,14,11,1,39,2.4390243902439,24.390243902439,8.53658536585366,6.70731707317073,0.609756097560976,23.780487804878
"E00033070",190,9,81,18,5,5,61,4.73684210526316,42.6315789473684,9.47368421052632,2.63157894736842,2.63157894736842,32.1052631578947
"E00033071",141,1,30,20,9,4,26,0.709219858156028,21.2765957446809,14.1843971631206,6.38297872340426,2.83687943262411,18.4397163120567
"E00033072",167,9,42,14,7,3,37,5.38922155688623,25.1497005988024,8.38323353293413,4.19161676646707,1.79640718562874,22.1556886227545
"E00033073",192,0,69,5,2,0,52,0,35.9375,2.60416666666667,1.04166666666667,0,27.0833333333333
"E00033074",179,14,76,31,10,15,59,7.82122905027933,42.4581005586592,17.3184357541899,5.58659217877095,8.37988826815642,32.9608938547486
"E00033075",210,2,133,7,3,1,89,0.952380952380952,63.3333333333333,3.33333333333333,1.42857142857143,0.476190476190476,42.3809523809524
"E00033076",152,2,54,27,9,4,40,1.31578947368421,35.5263157894737,17.7631578947368,5.92105263157895,2.63157894736842,26.3157894736842
"E00033077",185,4,70,16,4,3,51,2.16216216216216,37.8378378378378,8.64864864864865,2.16216216216216,1.62162162162162,27.5675675675676
"E00033078",176,6,70,21,12,6,44,3.40909090909091,39.7727272727273,11.9318181818182,6.81818181818182,3.40909090909091,25
