"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E01006512",39,10,6,23,7,0,0,7,32,10,6,16,25.6410256410256,15.3846153846154,58.974358974359,17.9487179487179,0,0,17.9487179487179,82.051282051282,25.6410256410256,15.3846153846154,41.025641025641
"E01006513",18,6,5,7,3,2,1,0,15,4,4,7,33.3333333333333,27.7777777777778,38.8888888888889,16.6666666666667,11.1111111111111,5.55555555555556,0,83.3333333333333,22.2222222222222,22.2222222222222,38.8888888888889
"E01006514",31,8,7,16,5,0,3,2,26,8,4,14,25.8064516129032,22.5806451612903,51.6129032258064,16.1290322580645,0,9.67741935483871,6.45161290322581,83.8709677419355,25.8064516129032,12.9032258064516,45.1612903225806
"E01006515",60,17,8,35,4,0,0,4,56,17,8,31,28.3333333333333,13.3333333333333,58.3333333333333,6.66666666666667,0,0,6.66666666666667,93.3333333333333,28.3333333333333,13.3333333333333,51.6666666666667
"E01006518",104,33,18,53,4,0,1,3,100,33,17,50,31.7307692307692,17.3076923076923,50.9615384615385,3.84615384615385,0,0.961538461538462,2.88461538461538,96.1538461538462,31.7307692307692,16.3461538461538,48.0769230769231
"E01006519",22,6,15,1,1,0,1,0,21,6,14,1,27.2727272727273,68.1818181818182,4.54545454545455,4.54545454545455,0,4.54545454545455,0,95.4545454545455,27.2727272727273,63.6363636363636,4.54545454545455
"E01006520",20,4,6,10,1,0,1,0,19,4,5,10,20,30,50,5,0,5,0,95,20,25,50
"E01006521",48,11,18,19,4,2,2,0,44,9,16,19,22.9166666666667,37.5,39.5833333333333,8.33333333333333,4.16666666666667,4.16666666666667,0,91.6666666666667,18.75,33.3333333333333,39.5833333333333
"E01006522",57,8,7,42,4,2,2,0,53,6,5,42,14.0350877192982,12.280701754386,73.6842105263158,7.01754385964912,3.50877192982456,3.50877192982456,0,92.9824561403509,10.5263157894737,8.7719298245614,73.6842105263158
"E01006523",39,7,11,21,4,2,1,1,35,5,10,20,17.9487179487179,28.2051282051282,53.8461538461538,10.2564102564103,5.12820512820513,2.56410256410256,2.56410256410256,89.7435897435898,12.8205128205128,25.6410256410256,51.2820512820513
"E01006524",24,4,14,6,1,0,0,1,23,4,14,5,16.6666666666667,58.3333333333333,25,4.16666666666667,0,0,4.16666666666667,95.8333333333333,16.6666666666667,58.3333333333333,20.8333333333333
"E01006525",14,3,7,4,5,1,2,2,9,2,5,2,21.4285714285714,50,28.5714285714286,35.7142857142857,7.14285714285714,14.2857142857143,14.2857142857143,64.2857142857143,14.2857142857143,35.7142857142857,14.2857142857143
"E01006526",34,15,9,10,2,0,2,0,32,15,7,10,44.1176470588235,26.4705882352941,29.4117647058824,5.88235294117647,0,5.88235294117647,0,94.1176470588235,44.1176470588235,20.5882352941176,29.4117647058824
"E01006527",42,24,8,10,0,0,0,0,42,24,8,10,57.1428571428571,19.047619047619,23.8095238095238,0,0,0,0,100,57.1428571428571,19.047619047619,23.8095238095238
"E01006528",35,14,9,12,2,0,2,0,33,14,7,12,40,25.7142857142857,34.2857142857143,5.71428571428571,0,5.71428571428571,0,94.2857142857143,40,20,34.2857142857143
"E01006529",21,7,8,6,2,0,1,1,19,7,7,5,33.3333333333333,38.0952380952381,28.5714285714286,9.52380952380952,0,4.76190476190476,4.76190476190476,90.4761904761905,33.3333333333333,33.3333333333333,23.8095238095238
"E01006530",28,12,8,8,4,1,2,1,24,11,6,7,42.8571428571429,28.5714285714286,28.5714285714286,14.2857142857143,3.57142857142857,7.14285714285714,3.57142857142857,85.7142857142857,39.2857142857143,21.4285714285714,25
"E01006531",21,7,9,5,0,0,0,0,21,7,9,5,33.3333333333333,42.8571428571429,23.8095238095238,0,0,0,0,100,33.3333333333333,42.8571428571429,23.8095238095238
"E01006532",19,5,10,4,3,1,2,0,16,4,8,4,26.3157894736842,52.6315789473684,21.0526315789474,15.7894736842105,5.26315789473684,10.5263157894737,0,84.2105263157895,21.0526315789474,42.1052631578947,21.0526315789474
"E01006533",26,7,8,11,1,0,1,0,25,7,7,11,26.9230769230769,30.7692307692308,42.3076923076923,3.84615384615385,0,3.84615384615385,0,96.1538461538462,26.9230769230769,26.9230769230769,42.3076923076923
"E01006534",61,14,18,29,4,0,1,3,57,14,17,26,22.9508196721311,29.5081967213115,47.5409836065574,6.55737704918033,0,1.63934426229508,4.91803278688525,93.4426229508197,22.9508196721311,27.8688524590164,42.6229508196721
"E01006535",57,21,20,16,3,1,2,0,54,20,18,16,36.8421052631579,35.0877192982456,28.0701754385965,5.26315789473684,1.75438596491228,3.50877192982456,0,94.7368421052632,35.0877192982456,31.5789473684211,28.0701754385965
"E01006536",88,27,26,35,4,0,0,4,84,27,26,31,30.6818181818182,29.5454545454545,39.7727272727273,4.54545454545455,0,0,4.54545454545455,95.4545454545455,30.6818181818182,29.5454545454545,35.2272727272727
"E01006537",108,46,21,41,4,1,0,3,104,45,21,38,42.5925925925926,19.4444444444444,37.962962962963,3.7037037037037,0.925925925925926,0,2.77777777777778,96.2962962962963,41.6666666666667,19.4444444444444,35.1851851851852
"E01006538",36,12,15,9,4,0,3,1,32,12,12,8,33.3333333333333,41.6666666666667,25,11.1111111111111,0,8.33333333333333,2.77777777777778,88.8888888888889,33.3333333333333,33.3333333333333,22.2222222222222
"E01006539",15,7,5,3,3,1,0,2,12,6,5,1,46.6666666666667,33.3333333333333,20,20,6.66666666666667,0,13.3333333333333,80,40,33.3333333333333,6.66666666666667
"E01006540",119,37,12,70,14,3,2,9,105,34,10,61,31.0924369747899,10.0840336134454,58.8235294117647,11.7647058823529,2.52100840336134,1.68067226890756,7.56302521008403,88.2352941176471,28.5714285714286,8.40336134453782,51.2605042016807
"E01006541",83,27,19,37,5,0,2,3,78,27,17,34,32.5301204819277,22.8915662650602,44.578313253012,6.02409638554217,0,2.40963855421687,3.6144578313253,93.9759036144578,32.5301204819277,20.4819277108434,40.9638554216867
"E01006542",71,26,10,35,8,0,0,8,63,26,10,27,36.6197183098592,14.0845070422535,49.2957746478873,11.2676056338028,0,0,11.2676056338028,88.7323943661972,36.6197183098592,14.0845070422535,38.0281690140845
"E01006543",35,15,9,11,0,0,0,0,35,15,9,11,42.8571428571429,25.7142857142857,31.4285714285714,0,0,0,0,100,42.8571428571429,25.7142857142857,31.4285714285714
"E01006544",130,39,11,80,10,3,3,4,120,36,8,76,30,8.46153846153846,61.5384615384615,7.69230769230769,2.30769230769231,2.30769230769231,3.07692307692308,92.3076923076923,27.6923076923077,6.15384615384615,58.4615384615385
"E01006545",117,41,20,56,6,4,2,0,111,37,18,56,35.042735042735,17.0940170940171,47.8632478632479,5.12820512820513,3.41880341880342,1.70940170940171,0,94.8717948717949,31.6239316239316,15.3846153846154,47.8632478632479
"E01006546",94,24,25,45,9,0,7,2,85,24,18,43,25.531914893617,26.5957446808511,47.8723404255319,9.57446808510638,0,7.4468085106383,2.12765957446809,90.4255319148936,25.531914893617,19.1489361702128,45.7446808510638
"E01006547",97,28,15,54,9,1,5,3,88,27,10,51,28.8659793814433,15.4639175257732,55.6701030927835,9.27835051546392,1.03092783505155,5.15463917525773,3.09278350515464,90.7216494845361,27.8350515463918,10.3092783505155,52.5773195876289
"E01006548",141,37,22,82,12,0,6,6,129,37,16,76,26.241134751773,15.6028368794326,58.1560283687943,8.51063829787234,0,4.25531914893617,4.25531914893617,91.4893617021277,26.241134751773,11.3475177304965,53.9007092198582
"E01006549",32,8,13,11,5,3,2,0,27,5,11,11,25,40.625,34.375,15.625,9.375,6.25,0,84.375,15.625,34.375,34.375
"E01006550",20,6,5,9,4,2,1,1,16,4,4,8,30,25,45,20,10,5,5,80,20,20,40
"E01006551",23,2,7,14,3,0,1,2,20,2,6,12,8.69565217391304,30.4347826086957,60.8695652173913,13.0434782608696,0,4.34782608695652,8.69565217391304,86.9565217391304,8.69565217391304,26.0869565217391,52.1739130434783
"E01006552",151,32,22,97,30,5,5,20,121,27,17,77,21.1920529801325,14.5695364238411,64.2384105960265,19.8675496688742,3.3112582781457,3.3112582781457,13.2450331125828,80.1324503311258,17.8807947019868,11.2582781456954,50.9933774834437
"E01006553",40,19,9,12,8,3,3,2,32,16,6,10,47.5,22.5,30,20,7.5,7.5,5,80,40,15,25
"E01006554",22,5,8,9,6,0,3,3,16,5,5,6,22.7272727272727,36.3636363636364,40.9090909090909,27.2727272727273,0,13.6363636363636,13.6363636363636,72.7272727272727,22.7272727272727,22.7272727272727,27.2727272727273
"E01006556",141,32,24,85,18,3,7,8,123,29,17,77,22.6950354609929,17.0212765957447,60.2836879432624,12.7659574468085,2.12765957446809,4.9645390070922,5.67375886524823,87.2340425531915,20.5673758865248,12.0567375886525,54.6099290780142
"E01006557",34,7,10,17,4,1,2,1,30,6,8,16,20.5882352941176,29.4117647058824,50,11.7647058823529,2.94117647058824,5.88235294117647,2.94117647058824,88.2352941176471,17.6470588235294,23.5294117647059,47.0588235294118
"E01006558",99,26,12,61,9,1,3,5,90,25,9,56,26.2626262626263,12.1212121212121,61.6161616161616,9.09090909090909,1.01010101010101,3.03030303030303,5.05050505050505,90.9090909090909,25.2525252525253,9.09090909090909,56.5656565656566
"E01006560",119,50,11,58,6,1,0,5,113,49,11,53,42.0168067226891,9.2436974789916,48.7394957983193,5.04201680672269,0.840336134453782,0,4.20168067226891,94.9579831932773,41.1764705882353,9.2436974789916,44.5378151260504
"E01006562",134,30,16,88,13,3,1,9,121,27,15,79,22.3880597014925,11.9402985074627,65.6716417910448,9.70149253731343,2.23880597014925,0.746268656716418,6.71641791044776,90.2985074626866,20.1492537313433,11.1940298507463,58.955223880597
"E01006563",123,27,16,80,9,0,0,9,114,27,16,71,21.9512195121951,13.0081300813008,65.0406504065041,7.31707317073171,0,0,7.31707317073171,92.6829268292683,21.9512195121951,13.0081300813008,57.7235772357724
"E01006564",70,28,6,36,4,1,0,3,66,27,6,33,40,8.57142857142857,51.4285714285714,5.71428571428571,1.42857142857143,0,4.28571428571429,94.2857142857143,38.5714285714286,8.57142857142857,47.1428571428571
"E01006565",55,23,13,19,2,0,2,0,53,23,11,19,41.8181818181818,23.6363636363636,34.5454545454545,3.63636363636364,0,3.63636363636364,0,96.3636363636364,41.8181818181818,20,34.5454545454545
"E01006566",34,10,10,14,2,1,0,1,32,9,10,13,29.4117647058824,29.4117647058824,41.1764705882353,5.88235294117647,2.94117647058824,0,2.94117647058824,94.1176470588235,26.4705882352941,29.4117647058824,38.2352941176471
"E01006567",65,26,12,27,8,2,3,3,57,24,9,24,40,18.4615384615385,41.5384615384615,12.3076923076923,3.07692307692308,4.61538461538462,4.61538461538462,87.6923076923077,36.9230769230769,13.8461538461538,36.9230769230769
"E01006568",71,26,21,24,8,1,6,1,63,25,15,23,36.6197183098592,29.5774647887324,33.8028169014084,11.2676056338028,1.40845070422535,8.45070422535211,1.40845070422535,88.7323943661972,35.2112676056338,21.1267605633803,32.3943661971831
"E01006569",44,14,7,23,6,0,2,4,38,14,5,19,31.8181818181818,15.9090909090909,52.2727272727273,13.6363636363636,0,4.54545454545455,9.09090909090909,86.3636363636364,31.8181818181818,11.3636363636364,43.1818181818182
"E01006570",56,10,23,23,9,0,6,3,47,10,17,20,17.8571428571429,41.0714285714286,41.0714285714286,16.0714285714286,0,10.7142857142857,5.35714285714286,83.9285714285714,17.8571428571429,30.3571428571429,35.7142857142857
"E01006571",72,24,10,38,1,0,1,0,71,24,9,38,33.3333333333333,13.8888888888889,52.7777777777778,1.38888888888889,0,1.38888888888889,0,98.6111111111111,33.3333333333333,12.5,52.7777777777778
"E01006572",96,33,8,55,2,0,0,2,94,33,8,53,34.375,8.33333333333333,57.2916666666667,2.08333333333333,0,0,2.08333333333333,97.9166666666667,34.375,8.33333333333333,55.2083333333333
"E01006573",99,33,17,49,8,1,3,4,91,32,14,45,33.3333333333333,17.1717171717172,49.4949494949495,8.08080808080808,1.01010101010101,3.03030303030303,4.04040404040404,91.9191919191919,32.3232323232323,14.1414141414141,45.4545454545455
"E01006574",77,24,11,42,8,0,2,6,69,24,9,36,31.1688311688312,14.2857142857143,54.5454545454545,10.3896103896104,0,2.5974025974026,7.79220779220779,89.6103896103896,31.1688311688312,11.6883116883117,46.7532467532467
"E01006575",42,10,11,21,0,0,0,0,42,10,11,21,23.8095238095238,26.1904761904762,50,0,0,0,0,100,23.8095238095238,26.1904761904762,50
"E01006576",41,13,13,15,1,0,0,1,40,13,13,14,31.7073170731707,31.7073170731707,36.5853658536585,2.4390243902439,0,0,2.4390243902439,97.5609756097561,31.7073170731707,31.7073170731707,34.1463414634146
"E01006577",31,15,12,4,1,0,0,1,30,15,12,3,48.3870967741936,38.7096774193548,12.9032258064516,3.2258064516129,0,0,3.2258064516129,96.7741935483871,48.3870967741936,38.7096774193548,9.67741935483871
"E01006578",35,11,14,10,2,0,0,2,33,11,14,8,31.4285714285714,40,28.5714285714286,5.71428571428571,0,0,5.71428571428571,94.2857142857143,31.4285714285714,40,22.8571428571429
"E01006579",27,9,14,4,3,0,3,0,24,9,11,4,33.3333333333333,51.8518518518518,14.8148148148148,11.1111111111111,0,11.1111111111111,0,88.8888888888889,33.3333333333333,40.7407407407407,14.8148148148148
"E01006580",18,12,3,3,0,0,0,0,18,12,3,3,66.6666666666667,16.6666666666667,16.6666666666667,0,0,0,0,100,66.6666666666667,16.6666666666667,16.6666666666667
"E01006581",22,7,12,3,1,0,1,0,21,7,11,3,31.8181818181818,54.5454545454545,13.6363636363636,4.54545454545455,0,4.54545454545455,0,95.4545454545455,31.8181818181818,50,13.6363636363636
"E01006582",26,13,10,3,2,0,2,0,24,13,8,3,50,38.4615384615385,11.5384615384615,7.69230769230769,0,7.69230769230769,0,92.3076923076923,50,30.7692307692308,11.5384615384615
"E01006583",12,6,3,3,1,0,1,0,11,6,2,3,50,25,25,8.33333333333333,0,8.33333333333333,0,91.6666666666667,50,16.6666666666667,25
"E01006584",40,14,12,14,5,1,0,4,35,13,12,10,35,30,35,12.5,2.5,0,10,87.5,32.5,30,25
"E01006585",69,17,18,34,3,0,2,1,66,17,16,33,24.6376811594203,26.0869565217391,49.2753623188406,4.34782608695652,0,2.89855072463768,1.44927536231884,95.6521739130435,24.6376811594203,23.1884057971014,47.8260869565217
"E01006586",71,24,22,25,10,2,5,3,61,22,17,22,33.8028169014084,30.9859154929577,35.2112676056338,14.0845070422535,2.8169014084507,7.04225352112676,4.22535211267606,85.9154929577465,30.9859154929577,23.943661971831,30.9859154929577
"E01006587",42,10,14,18,7,1,5,1,35,9,9,17,23.8095238095238,33.3333333333333,42.8571428571429,16.6666666666667,2.38095238095238,11.9047619047619,2.38095238095238,83.3333333333333,21.4285714285714,21.4285714285714,40.4761904761905
"E01006588",21,6,6,9,1,1,0,0,20,5,6,9,28.5714285714286,28.5714285714286,42.8571428571429,4.76190476190476,4.76190476190476,0,0,95.2380952380952,23.8095238095238,28.5714285714286,42.8571428571429
"E01006589",32,17,13,2,4,2,2,0,28,15,11,2,53.125,40.625,6.25,12.5,6.25,6.25,0,87.5,46.875,34.375,6.25
"E01006590",39,13,14,12,9,1,5,3,30,12,9,9,33.3333333333333,35.8974358974359,30.7692307692308,23.0769230769231,2.56410256410256,12.8205128205128,7.69230769230769,76.9230769230769,30.7692307692308,23.0769230769231,23.0769230769231
"E01006591",43,17,14,12,4,1,2,1,39,16,12,11,39.5348837209302,32.5581395348837,27.906976744186,9.30232558139535,2.32558139534884,4.65116279069767,2.32558139534884,90.6976744186046,37.2093023255814,27.906976744186,25.5813953488372
"E01006592",15,1,10,4,1,0,1,0,14,1,9,4,6.66666666666667,66.6666666666667,26.6666666666667,6.66666666666667,0,6.66666666666667,0,93.3333333333333,6.66666666666667,60,26.6666666666667
"E01006593",46,21,16,9,3,0,2,1,43,21,14,8,45.6521739130435,34.7826086956522,19.5652173913043,6.52173913043478,0,4.34782608695652,2.17391304347826,93.4782608695652,45.6521739130435,30.4347826086957,17.3913043478261
"E01006594",11,5,4,2,2,1,1,0,9,4,3,2,45.4545454545455,36.3636363636364,18.1818181818182,18.1818181818182,9.09090909090909,9.09090909090909,0,81.8181818181818,36.3636363636364,27.2727272727273,18.1818181818182
"E01006595",54,19,16,19,5,0,3,2,49,19,13,17,35.1851851851852,29.6296296296296,35.1851851851852,9.25925925925926,0,5.55555555555556,3.7037037037037,90.7407407407407,35.1851851851852,24.0740740740741,31.4814814814815
"E01006596",23,10,7,6,3,0,3,0,20,10,4,6,43.4782608695652,30.4347826086957,26.0869565217391,13.0434782608696,0,13.0434782608696,0,86.9565217391304,43.4782608695652,17.3913043478261,26.0869565217391
"E01006597",28,9,10,9,2,0,1,1,26,9,9,8,32.1428571428571,35.7142857142857,32.1428571428571,7.14285714285714,0,3.57142857142857,3.57142857142857,92.8571428571429,32.1428571428571,32.1428571428571,28.5714285714286
"E01006598",106,24,24,58,5,0,2,3,101,24,22,55,22.6415094339623,22.6415094339623,54.7169811320755,4.71698113207547,0,1.88679245283019,2.83018867924528,95.2830188679245,22.6415094339623,20.7547169811321,51.8867924528302
"E01006599",118,32,17,69,7,0,3,4,111,32,14,65,27.1186440677966,14.4067796610169,58.4745762711864,5.93220338983051,0,2.54237288135593,3.38983050847458,94.0677966101695,27.1186440677966,11.864406779661,55.0847457627119
"E01006600",76,28,13,35,6,1,1,4,70,27,12,31,36.8421052631579,17.1052631578947,46.0526315789474,7.89473684210526,1.31578947368421,1.31578947368421,5.26315789473684,92.1052631578947,35.5263157894737,15.7894736842105,40.7894736842105
"E01006603",69,24,14,31,5,1,1,3,64,23,13,28,34.7826086956522,20.2898550724638,44.9275362318841,7.2463768115942,1.44927536231884,1.44927536231884,4.34782608695652,92.7536231884058,33.3333333333333,18.8405797101449,40.5797101449275
"E01006604",65,30,9,26,4,0,2,2,61,30,7,24,46.1538461538462,13.8461538461538,40,6.15384615384615,0,3.07692307692308,3.07692307692308,93.8461538461538,46.1538461538462,10.7692307692308,36.9230769230769
"E01006605",73,23,15,35,4,0,0,4,69,23,15,31,31.5068493150685,20.5479452054795,47.945205479452,5.47945205479452,0,0,5.47945205479452,94.5205479452055,31.5068493150685,20.5479452054795,42.4657534246575
"E01006606",88,26,19,43,6,0,4,2,82,26,15,41,29.5454545454545,21.5909090909091,48.8636363636364,6.81818181818182,0,4.54545454545455,2.27272727272727,93.1818181818182,29.5454545454545,17.0454545454545,46.5909090909091
"E01006607",113,35,17,61,8,1,6,1,105,34,11,60,30.9734513274336,15.0442477876106,53.9823008849557,7.07964601769912,0.884955752212389,5.30973451327434,0.884955752212389,92.9203539823009,30.0884955752212,9.73451327433628,53.0973451327434
"E01006608",67,23,16,28,5,0,3,2,62,23,13,26,34.3283582089552,23.8805970149254,41.7910447761194,7.46268656716418,0,4.47761194029851,2.98507462686567,92.5373134328358,34.3283582089552,19.4029850746269,38.8059701492537
"E01006609",74,21,9,44,5,2,1,2,69,19,8,42,28.3783783783784,12.1621621621622,59.4594594594595,6.75675675675676,2.7027027027027,1.35135135135135,2.7027027027027,93.2432432432432,25.6756756756757,10.8108108108108,56.7567567567568
"E01006610",114,28,19,67,3,0,1,2,111,28,18,65,24.5614035087719,16.6666666666667,58.7719298245614,2.63157894736842,0,0.87719298245614,1.75438596491228,97.3684210526316,24.5614035087719,15.7894736842105,57.0175438596491
"E01006611",112,34,16,62,9,0,2,7,103,34,14,55,30.3571428571429,14.2857142857143,55.3571428571429,8.03571428571429,0,1.78571428571429,6.25,91.9642857142857,30.3571428571429,12.5,49.1071428571429
"E01006612",92,30,13,49,3,0,1,2,89,30,12,47,32.6086956521739,14.1304347826087,53.2608695652174,3.26086956521739,0,1.08695652173913,2.17391304347826,96.7391304347826,32.6086956521739,13.0434782608696,51.0869565217391
"E01006613",55,18,9,28,1,0,0,1,54,18,9,27,32.7272727272727,16.3636363636364,50.9090909090909,1.81818181818182,0,0,1.81818181818182,98.1818181818182,32.7272727272727,16.3636363636364,49.0909090909091
"E01006614",86,20,7,59,8,0,2,6,78,20,5,53,23.2558139534884,8.13953488372093,68.6046511627907,9.30232558139535,0,2.32558139534884,6.97674418604651,90.6976744186046,23.2558139534884,5.81395348837209,61.6279069767442
"E01006615",124,39,21,64,12,0,1,11,112,39,20,53,31.4516129032258,16.9354838709677,51.6129032258064,9.67741935483871,0,0.806451612903226,8.87096774193548,90.3225806451613,31.4516129032258,16.1290322580645,42.741935483871
"E01006616",58,18,14,26,7,2,5,0,51,16,9,26,31.0344827586207,24.1379310344828,44.8275862068966,12.0689655172414,3.44827586206897,8.62068965517241,0,87.9310344827586,27.5862068965517,15.5172413793103,44.8275862068966
"E01006617",55,24,21,10,2,1,1,0,53,23,20,10,43.6363636363636,38.1818181818182,18.1818181818182,3.63636363636364,1.81818181818182,1.81818181818182,0,96.3636363636364,41.8181818181818,36.3636363636364,18.1818181818182
"E01006618",53,18,7,28,3,1,0,2,50,17,7,26,33.9622641509434,13.2075471698113,52.8301886792453,5.66037735849057,1.88679245283019,0,3.77358490566038,94.3396226415094,32.0754716981132,13.2075471698113,49.0566037735849
"E01006619",52,22,10,20,4,0,1,3,48,22,9,17,42.3076923076923,19.2307692307692,38.4615384615385,7.69230769230769,0,1.92307692307692,5.76923076923077,92.3076923076923,42.3076923076923,17.3076923076923,32.6923076923077
"E01006620",34,12,8,14,3,0,0,3,31,12,8,11,35.2941176470588,23.5294117647059,41.1764705882353,8.82352941176471,0,0,8.82352941176471,91.1764705882353,35.2941176470588,23.5294117647059,32.3529411764706
"E01006621",21,9,4,8,0,0,0,0,21,9,4,8,42.8571428571429,19.047619047619,38.0952380952381,0,0,0,0,100,42.8571428571429,19.047619047619,38.0952380952381
"E01006622",25,4,15,6,3,0,3,0,22,4,12,6,16,60,24,12,0,12,0,88,16,48,24
"E01006623",26,10,11,5,3,0,3,0,23,10,8,5,38.4615384615385,42.3076923076923,19.2307692307692,11.5384615384615,0,11.5384615384615,0,88.4615384615385,38.4615384615385,30.7692307692308,19.2307692307692
"E01006624",71,25,17,29,2,0,1,1,69,25,16,28,35.2112676056338,23.943661971831,40.8450704225352,2.8169014084507,0,1.40845070422535,1.40845070422535,97.1830985915493,35.2112676056338,22.5352112676056,39.4366197183099
"E01006625",55,19,24,12,4,0,3,1,51,19,21,11,34.5454545454545,43.6363636363636,21.8181818181818,7.27272727272727,0,5.45454545454545,1.81818181818182,92.7272727272727,34.5454545454545,38.1818181818182,20
"E01006626",27,8,11,8,4,1,2,1,23,7,9,7,29.6296296296296,40.7407407407407,29.6296296296296,14.8148148148148,3.7037037037037,7.40740740740741,3.7037037037037,85.1851851851852,25.9259259259259,33.3333333333333,25.9259259259259
"E01006627",40,18,11,11,2,0,2,0,38,18,9,11,45,27.5,27.5,5,0,5,0,95,45,22.5,27.5
"E01006628",44,12,16,16,4,0,1,3,40,12,15,13,27.2727272727273,36.3636363636364,36.3636363636364,9.09090909090909,0,2.27272727272727,6.81818181818182,90.9090909090909,27.2727272727273,34.0909090909091,29.5454545454545
"E01006629",37,10,10,17,5,0,0,5,32,10,10,12,27.027027027027,27.027027027027,45.945945945946,13.5135135135135,0,0,13.5135135135135,86.4864864864865,27.027027027027,27.027027027027,32.4324324324324
"E01006630",123,37,16,70,1,0,0,1,122,37,16,69,30.0813008130081,13.0081300813008,56.9105691056911,0.813008130081301,0,0,0.813008130081301,99.1869918699187,30.0813008130081,13.0081300813008,56.0975609756098
"E01006632",131,23,30,78,15,2,9,4,116,21,21,74,17.5572519083969,22.9007633587786,59.5419847328244,11.4503816793893,1.52671755725191,6.87022900763359,3.05343511450382,88.5496183206107,16.030534351145,16.030534351145,56.4885496183206
"E01006633",103,34,15,54,2,0,2,0,101,34,13,54,33.0097087378641,14.5631067961165,52.4271844660194,1.94174757281553,0,1.94174757281553,0,98.0582524271845,33.0097087378641,12.621359223301,52.4271844660194
"E01006637",155,44,19,92,6,1,1,4,149,43,18,88,28.3870967741935,12.258064516129,59.3548387096774,3.87096774193548,0.645161290322581,0.645161290322581,2.58064516129032,96.1290322580645,27.741935483871,11.6129032258065,56.7741935483871
"E01006638",103,30,17,56,4,0,3,1,99,30,14,55,29.126213592233,16.504854368932,54.3689320388349,3.88349514563107,0,2.9126213592233,0.970873786407767,96.1165048543689,29.126213592233,13.5922330097087,53.3980582524272
"E01006639",86,26,22,38,3,1,1,1,83,25,21,37,30.2325581395349,25.5813953488372,44.1860465116279,3.48837209302326,1.16279069767442,1.16279069767442,1.16279069767442,96.5116279069768,29.0697674418605,24.4186046511628,43.0232558139535
"E01006640",56,31,7,18,2,0,1,1,54,31,6,17,55.3571428571429,12.5,32.1428571428571,3.57142857142857,0,1.78571428571429,1.78571428571429,96.4285714285714,55.3571428571429,10.7142857142857,30.3571428571429
"E01006641",73,29,22,22,2,0,1,1,71,29,21,21,39.7260273972603,30.1369863013699,30.1369863013699,2.73972602739726,0,1.36986301369863,1.36986301369863,97.2602739726027,39.7260273972603,28.7671232876712,28.7671232876712
"E01006642",105,33,19,53,3,0,2,1,102,33,17,52,31.4285714285714,18.0952380952381,50.4761904761905,2.85714285714286,0,1.9047619047619,0.952380952380952,97.1428571428571,31.4285714285714,16.1904761904762,49.5238095238095
"E01006643",141,45,26,70,4,0,1,3,137,45,25,67,31.9148936170213,18.4397163120567,49.645390070922,2.83687943262411,0,0.709219858156028,2.12765957446809,97.1631205673759,31.9148936170213,17.7304964539007,47.5177304964539
"E01006644",119,41,24,54,11,2,3,6,108,39,21,48,34.453781512605,20.1680672268908,45.3781512605042,9.2436974789916,1.68067226890756,2.52100840336134,5.04201680672269,90.7563025210084,32.7731092436975,17.6470588235294,40.3361344537815
"E01006645",115,34,11,70,9,2,0,7,106,32,11,63,29.5652173913043,9.56521739130435,60.8695652173913,7.82608695652174,1.73913043478261,0,6.08695652173913,92.1739130434783,27.8260869565217,9.56521739130435,54.7826086956522
"E01006646",100,34,12,54,14,3,2,9,86,31,10,45,34,12,54,14,3,2,9,86,31,10,45
"E01006647",136,32,11,93,5,0,0,5,131,32,11,88,23.5294117647059,8.08823529411765,68.3823529411765,3.67647058823529,0,0,3.67647058823529,96.3235294117647,23.5294117647059,8.08823529411765,64.7058823529412
"E01006648",105,32,14,59,6,0,2,4,99,32,12,55,30.4761904761905,13.3333333333333,56.1904761904762,5.71428571428571,0,1.9047619047619,3.80952380952381,94.2857142857143,30.4761904761905,11.4285714285714,52.3809523809524
"E01006651",60,26,20,14,5,0,5,0,55,26,15,14,43.3333333333333,33.3333333333333,23.3333333333333,8.33333333333333,0,8.33333333333333,0,91.6666666666667,43.3333333333333,25,23.3333333333333
