"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00032987",15,4,3,8,2,0,0,2,13,4,3,6,26.6666666666667,20,53.3333333333333,13.3333333333333,0,0,13.3333333333333,86.6666666666667,26.6666666666667,20,40
"E00032988",10,2,2,6,1,0,0,1,9,2,2,5,20,20,60,10,0,0,10,90,20,20,50
"E00032989",10,4,2,4,3,2,1,0,7,2,1,4,40,20,40,30,20,10,0,70,20,10,40
"E00032990",8,4,2,2,0,0,0,0,8,4,2,2,50,25,25,0,0,0,0,100,50,25,25
"E00032991",9,0,2,7,1,0,1,0,8,0,1,7,0,22.2222222222222,77.7777777777778,11.1111111111111,0,11.1111111111111,0,88.8888888888889,0,11.1111111111111,77.7777777777778
"E00032992",10,2,2,6,0,0,0,0,10,2,2,6,20,20,60,0,0,0,0,100,20,20,60
"E00032993",6,3,0,3,0,0,0,0,6,3,0,3,50,0,50,0,0,0,0,100,50,0,50
"E00032994",11,3,2,6,1,0,0,1,10,3,2,5,27.2727272727273,18.1818181818182,54.5454545454545,9.09090909090909,0,0,9.09090909090909,90.9090909090909,27.2727272727273,18.1818181818182,45.4545454545455
"E00032995",14,5,2,7,0,0,0,0,14,5,2,7,35.7142857142857,14.2857142857143,50,0,0,0,0,100,35.7142857142857,14.2857142857143,50
"E00032996",34,9,2,23,0,0,0,0,34,9,2,23,26.4705882352941,5.88235294117647,67.6470588235294,0,0,0,0,100,26.4705882352941,5.88235294117647,67.6470588235294
"E00032997",16,2,6,8,1,0,0,1,15,2,6,7,12.5,37.5,50,6.25,0,0,6.25,93.75,12.5,37.5,43.75
"E00032998",18,6,3,9,3,0,2,1,15,6,1,8,33.3333333333333,16.6666666666667,50,16.6666666666667,0,11.1111111111111,5.55555555555556,83.3333333333333,33.3333333333333,5.55555555555556,44.4444444444444
"E00032999",10,4,2,4,1,0,0,1,9,4,2,3,40,20,40,10,0,0,10,90,40,20,30
"E00033000",10,3,2,5,0,0,0,0,10,3,2,5,30,20,50,0,0,0,0,100,30,20,50
"E00033002",10,2,1,7,0,0,0,0,10,2,1,7,20,10,70,0,0,0,0,100,20,10,70
"E00033004",3,0,2,1,0,0,0,0,3,0,2,1,0,66.6666666666667,33.3333333333333,0,0,0,0,100,0,66.6666666666667,33.3333333333333
