"GeographyCode","KS201EW0001","KS201EW0002","KS201EW0003","KS201EW0004","KS201EW0005","KS201EW0006","KS201EW0007","KS201EW0008","KS201EW0009","KS201EW0010","KS201EW0011","KS201EW0012","KS201EW0013","KS201EW0014","KS201EW0015","KS201EW0016","KS201EW0017","KS201EW0018","KS201EW0019","KS201EW0020","KS201EW0021","KS201EW0022","KS201EW0023","KS201EW0024","KS201EW0025","KS201EW0026","KS201EW0027","KS201EW0028","KS201EW0029","KS201EW0030","KS201EW0031","KS201EW0032","KS201EW0033","KS201EW0034","KS201EW0035","KS201EW0036","KS201EW0037"
"E02001347",7653,6999,48,0,70,20,15,20,22,199,11,1,51,89,36,8,11,32,21,91.4543316346531,0.627205017640141,0,0.914673984058539,0.261335424016725,0.196001568012544,0.261335424016725,0.287468966418398,2.60028746896642,0.143734483209199,0.0130667712008363,0.66640533124265,1.16294263687443,0.470403763230106,0.10453416960669,0.143734483209199,0.418136678426761,0.274402195217562
"E02001348",7222,6904,61,1,53,12,6,17,19,74,4,4,27,5,9,3,2,12,9,95.5967875934644,0.844641373580726,0.013846579894766,0.733868734422598,0.166158958737192,0.083079479368596,0.235391858211022,0.263085018000554,1.02464691221268,0.055386319579064,0.055386319579064,0.373857657158682,0.06923289947383,0.124619219052894,0.041539739684298,0.027693159789532,0.166158958737192,0.124619219052894
"E02001349",7966,7596,69,3,70,29,21,15,6,26,0,0,28,23,41,1,0,2,36,95.3552598543811,0.866181270399196,0.0376600552347477,0.878734622144113,0.364047200602561,0.263620386643234,0.188300276173738,0.0753201104694954,0.326387145367813,0,0,0.351493848857645,0.288727090133066,0.514687421541552,0.0125533517449159,0,0.0251067034898318,0.451920662816972
"E02001350",7856,7141,37,0,164,21,18,17,26,108,8,5,85,46,117,8,23,28,4,90.8986761710794,0.470977596741344,0,2.08757637474542,0.267311608961303,0.229124236252546,0.216395112016293,0.330957230142566,1.37474541751527,0.10183299389002,0.0636456211812627,1.08197556008147,0.585539714867617,1.48930753564155,0.10183299389002,0.292769857433809,0.356415478615071,0.0509164969450102
"E02001351",8894,8227,46,8,165,25,43,13,28,95,21,10,39,18,102,20,10,15,9,92.5005621767484,0.517202608500112,0.08994827973915,1.85518326961997,0.281088374184844,0.483472003597931,0.146165954576119,0.314818979087025,1.06813582190241,0.236114234315269,0.112435349673937,0.438497863728356,0.202383629413087,1.14684056667416,0.224870699347875,0.112435349673937,0.168653024510906,0.101191814706544
"E02001352",7416,6749,60,7,145,36,15,17,23,78,12,9,27,11,87,26,29,51,34,91.0059331175836,0.809061488673139,0.0943905070118662,1.95523193096009,0.485436893203883,0.202265372168285,0.229234088457389,0.310140237324703,1.05177993527508,0.161812297734628,0.121359223300971,0.364077669902913,0.148327939590076,1.17313915857605,0.35059331175836,0.391046386192017,0.687702265372168,0.458468176914779
"E02001353",7572,6958,46,2,111,31,13,36,33,66,4,6,158,22,30,8,9,30,9,91.8911780243001,0.607501320655045,0.0264131008980454,1.46592709984152,0.409403063919704,0.171685155837295,0.475435816164818,0.43581616481775,0.871632329635499,0.0528262017960909,0.0792393026941363,2.08663497094559,0.2905441098785,0.396196513470681,0.105652403592182,0.118858954041204,0.396196513470681,0.118858954041204
"E02001354",7613,7247,40,0,88,27,19,14,20,34,3,0,16,8,62,5,4,11,15,95.1924339944831,0.525417049783265,0,1.15591750952318,0.354656508603704,0.249573098647051,0.183895967424143,0.262708524891633,0.446604492315776,0.0394062787337449,0,0.210166819913306,0.105083409956653,0.814396427164061,0.0656771312229082,0.0525417049783265,0.144489688690398,0.197031393668725
"E02001355",6664,6340,52,0,76,17,17,8,13,10,5,1,36,13,42,3,2,19,10,95.1380552220888,0.78031212484994,0,1.14045618247299,0.255102040816327,0.255102040816327,0.120048019207683,0.195078031212485,0.150060024009604,0.0750300120048019,0.0150060024009604,0.540216086434574,0.195078031212485,0.630252100840336,0.0450180072028812,0.0300120048019208,0.285114045618247,0.150060024009604
"E02001356",5584,5160,13,1,152,11,13,24,11,27,2,7,23,22,77,10,6,12,13,92.4068767908309,0.232808022922636,0.0179083094555874,2.72206303724928,0.196991404011461,0.232808022922636,0.429799426934097,0.196991404011461,0.48352435530086,0.0358166189111748,0.125358166189112,0.41189111747851,0.393982808022923,1.37893982808023,0.179083094555874,0.107449856733524,0.214899713467049,0.232808022922636
"E02001357",6982,6641,24,0,82,25,20,13,21,22,0,7,32,13,45,2,10,5,20,95.1160126038384,0.343741048410198,0,1.17444858206818,0.358063592093956,0.286450873675165,0.186193067888857,0.300773417358923,0.315095961042681,0,0.100257805786308,0.458321397880264,0.186193067888857,0.644514465769121,0.0286450873675165,0.143225436837582,0.0716127184187912,0.286450873675165
"E02001358",7069,6685,51,2,86,29,4,5,23,5,20,2,60,23,32,8,12,12,10,94.5678313764323,0.721459895317584,0.0282925449144151,1.21657943131985,0.410241901259018,0.0565850898288301,0.0707313622860376,0.325364266515773,0.0707313622860376,0.282925449144151,0.0282925449144151,0.848776347432452,0.325364266515773,0.452680718630641,0.11317017965766,0.16975526948649,0.16975526948649,0.141462724572075
"E02001359",5751,5246,34,2,67,27,8,11,19,42,21,2,173,11,57,8,11,10,2,91.2189184489654,0.591201530168666,0.0347765605981568,1.16501478003825,0.469483568075117,0.139106242392627,0.191271083289863,0.33037732568249,0.730307772561294,0.365153886280647,0.0347765605981568,3.00817249174057,0.191271083289863,0.99113197704747,0.139106242392627,0.191271083289863,0.173882802990784,0.0347765605981568
"E02001360",8358,7611,58,2,208,53,15,20,23,16,12,0,61,57,146,13,7,25,31,91.0624551328069,0.693945920076573,0.0239291696578129,2.48863364441254,0.634122995932041,0.179468772433597,0.239291696578129,0.275185451064848,0.191433357262503,0.143575017946877,0,0.729839674563293,0.681981335247667,1.74682938502034,0.155539602775784,0.0837520938023451,0.299114620722661,0.3709021296961
"E02001361",7618,7304,52,1,55,26,9,16,26,7,6,0,39,17,19,2,2,20,17,95.8781832501969,0.68259385665529,0.0131268049356787,0.721974271462326,0.341296928327645,0.118141244421108,0.210028878970859,0.341296928327645,0.0918876345497506,0.0787608296140719,0,0.511945392491468,0.223155683906537,0.249409293777894,0.0262536098713573,0.0262536098713573,0.262536098713573,0.223155683906537
"E02001362",7401,7149,41,2,39,17,13,7,22,4,2,0,36,28,16,5,5,9,6,96.5950547223348,0.553979192001081,0.0270233752195649,0.526955816781516,0.229698689366302,0.175651938927172,0.0945818132684772,0.297257127415214,0.0540467504391298,0.0270233752195649,0,0.486420753952169,0.378327253073909,0.216187001756519,0.0675584380489123,0.0675584380489123,0.121605188488042,0.0810701256586948
"E02001363",7788,7087,36,3,150,40,35,16,26,71,0,13,83,45,146,0,13,10,14,90.9989727786338,0.462249614791988,0.0385208012326656,1.92604006163328,0.513610683102208,0.449409347714432,0.205444273240883,0.333846944016435,0.91165896250642,0,0.166923472008218,1.06574216743708,0.577812018489985,1.87467899332306,0,0.166923472008218,0.128402670775552,0.179763739085773
"E02001364",5311,4781,49,1,107,35,18,16,27,4,0,9,65,29,82,8,9,47,24,90.0207117303709,0.922613443795895,0.018828845791753,2.01468649971757,0.659009602711354,0.338919224251553,0.301261532668047,0.50837883637733,0.0753153831670119,0,0.169459612125777,1.22387497646394,0.546036527960836,1.54396535492374,0.150630766334024,0.169459612125777,0.884955752212389,0.451892299002071
"E02001365",9049,8020,98,4,190,50,34,14,45,46,14,1,86,75,203,22,51,81,15,88.6285777433971,1.08299259586695,0.0442037794231407,2.09967952259918,0.552547242789258,0.375732125096696,0.154713227980992,0.497292518510333,0.508343463366118,0.154713227980992,0.0110509448557852,0.950381257597525,0.828820864183888,2.24334180572439,0.243120786827274,0.563598187645044,0.895126533318599,0.165764172836778
"E02001366",8985,8116,117,2,181,47,38,27,41,53,13,14,65,76,83,18,13,53,28,90.3283249860879,1.30217028380634,0.0222593210907067,2.01446855870896,0.523094045631608,0.422927100723428,0.300500834724541,0.456316082359488,0.589872008903728,0.144685587089594,0.155815247634947,0.723427935447969,0.845854201446856,0.923761825264329,0.200333889816361,0.144685587089594,0.589872008903728,0.311630495269894
