"GeographyCode","KS201EW0001","KS201EW0002","KS201EW0003","KS201EW0004","KS201EW0005","KS201EW0006","KS201EW0007","KS201EW0008","KS201EW0009","KS201EW0010","KS201EW0011","KS201EW0012","KS201EW0013","KS201EW0014","KS201EW0015","KS201EW0016","KS201EW0017","KS201EW0018","KS201EW0019","KS201EW0020","KS201EW0021","KS201EW0022","KS201EW0023","KS201EW0024","KS201EW0025","KS201EW0026","KS201EW0027","KS201EW0028","KS201EW0029","KS201EW0030","KS201EW0031","KS201EW0032","KS201EW0033","KS201EW0034","KS201EW0035","KS201EW0036","KS201EW0037"
"E00032987",198,98,3,0,27,10,4,4,4,0,0,0,30,4,1,3,0,9,1,49.4949494949495,1.51515151515152,0,13.6363636363636,5.05050505050505,2.02020202020202,2.02020202020202,2.02020202020202,0,0,0,15.1515151515152,2.02020202020202,0.505050505050505,1.51515151515152,0,4.54545454545455,0.505050505050505
"E00032988",348,267,7,0,16,11,9,5,10,0,5,0,3,0,12,2,1,0,0,76.7241379310345,2.01149425287356,0,4.59770114942529,3.16091954022989,2.58620689655172,1.4367816091954,2.8735632183908,0,1.4367816091954,0,0.862068965517241,0,3.44827586206897,0.574712643678161,0.28735632183908,0,0
"E00032989",333,219,6,0,7,10,20,7,10,2,1,0,9,4,13,2,9,12,2,65.7657657657658,1.8018018018018,0,2.1021021021021,3.003003003003,6.00600600600601,2.1021021021021,3.003003003003,0.600600600600601,0.3003003003003,0,2.7027027027027,1.2012012012012,3.9039039039039,0.600600600600601,2.7027027027027,3.6036036036036,0.600600600600601
"E00032990",330,203,6,0,10,9,4,3,11,7,1,0,21,2,15,7,8,10,13,61.5151515151515,1.81818181818182,0,3.03030303030303,2.72727272727273,1.21212121212121,0.909090909090909,3.33333333333333,2.12121212121212,0.303030303030303,0,6.36363636363636,0.606060606060606,4.54545454545455,2.12121212121212,2.42424242424242,3.03030303030303,3.93939393939394
"E00032991",320,211,4,0,17,7,10,5,12,2,2,1,3,0,13,4,7,16,6,65.9375,1.25,0,5.3125,2.1875,3.125,1.5625,3.75,0.625,0.625,0.3125,0.9375,0,4.0625,1.25,2.1875,5,1.875
"E00032992",240,124,6,0,9,13,13,4,1,3,0,0,7,4,24,5,15,0,12,51.6666666666667,2.5,0,3.75,5.41666666666667,5.41666666666667,1.66666666666667,0.416666666666667,1.25,0,0,2.91666666666667,1.66666666666667,10,2.08333333333333,6.25,0,5
"E00032993",282,150,8,0,26,11,8,3,7,2,0,0,10,7,7,0,8,20,15,53.1914893617021,2.83687943262411,0,9.21985815602837,3.90070921985816,2.83687943262411,1.06382978723404,2.4822695035461,0.709219858156028,0,0,3.54609929078014,2.4822695035461,2.4822695035461,0,2.83687943262411,7.09219858156028,5.31914893617021
"E00032994",111,91,0,0,4,3,4,0,3,0,0,0,0,0,0,2,0,0,4,81.981981981982,0,0,3.6036036036036,2.7027027027027,3.6036036036036,0,2.7027027027027,0,0,0,0,0,0,1.8018018018018,0,0,3.6036036036036
"E00032995",268,210,6,0,2,1,4,2,2,0,0,0,0,1,7,1,12,18,2,78.3582089552239,2.23880597014925,0,0.746268656716418,0.373134328358209,1.49253731343284,0.746268656716418,0.746268656716418,0,0,0,0,0.373134328358209,2.61194029850746,0.373134328358209,4.47761194029851,6.71641791044776,0.746268656716418
"E00032996",417,379,15,0,0,4,4,0,0,0,1,0,2,0,3,1,0,8,0,90.8872901678657,3.59712230215827,0,0,0.959232613908873,0.959232613908873,0,0,0,0.239808153477218,0,0.479616306954436,0,0.719424460431655,0.239808153477218,0,1.91846522781775,0
