"GeographyCode","KS202EW0001","KS202EW0002","KS202EW0003","KS202EW0004","KS202EW0005","KS202EW0006","KS202EW0007","KS202EW0008","KS202EW0009","KS202EW0010","KS202EW0011","KS202EW0012","KS202EW0013","KS202EW0014","KS202EW0015","KS202EW0016","KS202EW0017","KS202EW0018","KS202EW0019","KS202EW0020","KS202EW0021","KS202EW0022","KS202EW0023","KS202EW0024","KS202EW0025","KS202EW0026","KS202EW0027","KS202EW0028","KS202EW0029","KS202EW0030","KS202EW0031","KS202EW0032","KS202EW0033","KS202EW0034","KS202EW0035","KS202EW0036","KS202EW0037","KS202EW0038","KS202EW0039","KS202EW0040","KS202EW0041","KS202EW0042","KS202EW0043","KS202EW0044","KS202EW0045","KS202EW0046","KS202EW0047","KS202EW0048","KS202EW0049","KS202EW0050","KS202EW0051","KS202EW0052","KS202EW0053","KS202EW0054","KS202EW0055","KS202EW0056","KS202EW0057","KS202EW0058","KS202EW0059","KS202EW0060","KS202EW0061","KS202EW0062","KS202EW0063","KS202EW0064","KS202EW0065","KS202EW0066","KS202EW0067","KS202EW0068","KS202EW0069","KS202EW0070","KS202EW0071","KS202EW0072","KS202EW0073","KS202EW0074"
"E00032987",198,89,9,0,100,198,1,0,0,197,198,1,0,0,197,198,2,0,0,196,198,50,10,138,198,0,0,0,198,198,2,0,0,0,0,0,196,198,45,1,152,44.9494949494949,4.54545454545455,0,50.5050505050505,0.505050505050505,0,0,99.4949494949495,0.505050505050505,0,0,99.4949494949495,1.01010101010101,0,0,98.989898989899,25.2525252525253,5.05050505050505,69.6969696969697,0,0,0,100,1.01010101010101,0,0,0,0,0,98.989898989899,22.7272727272727,0.505050505050505,76.7676767676768
"E00032988",348,183,26,2,137,348,7,1,2,338,348,2,0,0,346,348,2,0,0,346,348,100,30,218,348,0,0,0,348,348,6,0,0,0,0,0,342,348,23,3,322,52.5862068965517,7.47126436781609,0.574712643678161,39.367816091954,2.01149425287356,0.28735632183908,0.574712643678161,97.1264367816092,0.574712643678161,0,0,99.4252873563218,0.574712643678161,0,0,99.4252873563218,28.735632183908,8.62068965517241,62.6436781609195,0,0,0,100,1.72413793103448,0,0,0,0,0,98.2758620689655,6.60919540229885,0.862068965517241,92.5287356321839
"E00032989",333,175,18,2,138,333,6,0,1,326,333,2,2,0,329,333,0,0,0,333,333,88,24,221,333,0,0,0,333,333,3,0,0,0,0,0,330,333,37,4,292,52.5525525525526,5.40540540540541,0.600600600600601,41.4414414414414,1.8018018018018,0,0.3003003003003,97.8978978978979,0.600600600600601,0.600600600600601,0,98.7987987987988,0,0,0,100,26.4264264264264,7.20720720720721,66.3663663663664,0,0,0,100,0.900900900900901,0,0,0,0,0,99.0990990990991,11.1111111111111,1.2012012012012,87.6876876876877
"E00032990",330,149,22,0,159,330,5,0,1,324,330,1,0,0,329,330,5,0,0,325,330,97,24,209,330,0,0,0,330,330,3,0,0,0,1,0,326,330,48,3,279,45.1515151515152,6.66666666666667,0,48.1818181818182,1.51515151515152,0,0.303030303030303,98.1818181818182,0.303030303030303,0,0,99.6969696969697,1.51515151515152,0,0,98.4848484848485,29.3939393939394,7.27272727272727,63.3333333333333,0,0,0,100,0.909090909090909,0,0,0,0.303030303030303,0,98.7878787878788,14.5454545454545,0.909090909090909,84.5454545454545
"E00032991",320,160,25,1,134,320,5,0,0,315,320,2,0,0,318,320,5,0,0,315,320,92,25,203,320,0,0,0,320,320,2,0,0,0,0,0,318,320,30,1,289,50,7.8125,0.3125,41.875,1.5625,0,0,98.4375,0.625,0,0,99.375,1.5625,0,0,98.4375,28.75,7.8125,63.4375,0,0,0,100,0.625,0,0,0,0,0,99.375,9.375,0.3125,90.3125
"E00032992",240,125,8,1,106,240,0,0,0,240,240,2,0,0,238,240,3,0,0,237,240,56,8,176,240,0,0,0,240,240,3,0,0,0,1,0,236,240,45,1,194,52.0833333333333,3.33333333333333,0.416666666666667,44.1666666666667,0,0,0,100,0.833333333333333,0,0,99.1666666666667,1.25,0,0,98.75,23.3333333333333,3.33333333333333,73.3333333333333,0,0,0,100,1.25,0,0,0,0.416666666666667,0,98.3333333333333,18.75,0.416666666666667,80.8333333333333
"E00032993",282,126,13,3,140,282,2,0,2,278,282,0,1,0,281,282,2,1,2,277,282,71,19,192,282,1,0,0,281,282,6,0,0,0,1,0,275,282,61,1,220,44.6808510638298,4.60992907801418,1.06382978723404,49.645390070922,0.709219858156028,0,0.709219858156028,98.5815602836879,0,0.354609929078014,0,99.645390070922,0.709219858156028,0.354609929078014,0.709219858156028,98.2269503546099,25.177304964539,6.73758865248227,68.0851063829787,0.354609929078014,0,0,99.645390070922,2.12765957446809,0,0,0,0.354609929078014,0,97.5177304964539,21.6312056737589,0.354609929078014,78.0141843971631
"E00032994",111,91,2,2,16,111,1,0,0,110,111,0,0,1,110,111,0,0,0,111,111,9,4,98,111,0,0,0,111,111,0,0,0,0,0,0,111,111,6,1,104,81.981981981982,1.8018018018018,1.8018018018018,14.4144144144144,0.900900900900901,0,0,99.0990990990991,0,0,0.900900900900901,99.0990990990991,0,0,0,100,8.10810810810811,3.6036036036036,88.2882882882883,0,0,0,100,0,0,0,0,0,0,100,5.40540540540541,0.900900900900901,93.6936936936937
"E00032995",268,197,13,0,58,268,1,0,0,267,268,0,0,0,268,268,0,0,0,268,268,41,13,214,268,0,0,0,268,268,4,0,0,0,0,0,264,268,16,0,252,73.5074626865672,4.85074626865672,0,21.6417910447761,0.373134328358209,0,0,99.6268656716418,0,0,0,100,0,0,0,100,15.2985074626866,4.85074626865672,79.8507462686567,0,0,0,100,1.49253731343284,0,0,0,0,0,98.5074626865672,5.97014925373134,0,94.0298507462687
"E00032996",417,317,35,3,62,417,1,0,0,416,417,0,0,0,417,417,2,2,0,413,417,42,38,337,417,0,0,0,417,417,7,0,0,0,3,0,407,417,15,3,399,76.0191846522782,8.39328537170264,0.719424460431655,14.8681055155875,0.239808153477218,0,0,99.7601918465228,0,0,0,100,0.479616306954436,0.479616306954436,0,99.0407673860911,10.0719424460432,9.11270983213429,80.8153477218225,0,0,0,100,1.67865707434053,0,0,0,0.719424460431655,0,97.6019184652278,3.59712230215827,0.719424460431655,95.6834532374101
"E00032997",211,119,10,3,79,211,0,1,0,210,211,1,0,0,210,211,1,0,0,210,211,51,12,148,211,0,0,0,211,211,3,0,0,0,1,0,207,211,24,4,183,56.3981042654028,4.739336492891,1.4218009478673,37.4407582938389,0,0.4739336492891,0,99.5260663507109,0.4739336492891,0,0,99.5260663507109,0.4739336492891,0,0,99.5260663507109,24.1706161137441,5.68720379146919,70.1421800947867,0,0,0,100,1.4218009478673,0,0,0,0.4739336492891,0,98.1042654028436,11.3744075829384,1.8957345971564,86.7298578199052
"E00032998",337,210,21,0,106,337,4,0,0,333,337,0,0,0,337,337,6,0,0,331,337,59,21,257,337,0,0,0,337,337,6,0,0,0,0,0,331,337,37,0,300,62.3145400593472,6.23145400593472,0,31.4540059347181,1.18694362017804,0,0,98.813056379822,0,0,0,100,1.78041543026706,0,0,98.2195845697329,17.5074183976261,6.23145400593472,76.2611275964392,0,0,0,100,1.78041543026706,0,0,0,0,0,98.2195845697329,10.9792284866469,0,89.0207715133531
"E00032999",359,134,35,4,186,359,7,0,0,352,359,2,0,1,356,359,5,2,1,351,359,96,41,222,359,0,0,0,359,359,8,0,0,0,0,0,351,359,72,5,282,37.3259052924791,9.74930362116992,1.1142061281337,51.8105849582173,1.94986072423398,0,0,98.050139275766,0.557103064066852,0,0.278551532033426,99.1643454038997,1.39275766016713,0.557103064066852,0.278551532033426,97.7715877437326,26.7409470752089,11.4206128133705,61.8384401114206,0,0,0,100,2.22841225626741,0,0,0,0,0,97.7715877437326,20.0557103064067,1.39275766016713,78.5515320334262
"E00033000",177,106,6,0,65,177,0,0,0,177,177,1,0,0,176,177,0,0,0,177,177,43,10,124,177,0,0,0,177,177,2,0,0,0,0,0,175,177,17,4,156,59.8870056497175,3.38983050847458,0,36.7231638418079,0,0,0,100,0.564971751412429,0,0,99.4350282485876,0,0,0,100,24.2937853107345,5.64971751412429,70.0564971751412,0,0,0,100,1.12994350282486,0,0,0,0,0,98.8700564971751,9.6045197740113,2.25988700564972,88.135593220339
"E00033002",227,113,2,2,110,227,0,0,1,226,227,0,1,0,226,227,1,0,0,226,227,70,4,153,227,0,0,0,227,227,2,0,0,0,0,0,225,227,38,1,188,49.7797356828194,0.881057268722467,0.881057268722467,48.4581497797357,0,0,0.440528634361234,99.5594713656388,0,0.440528634361234,0,99.5594713656388,0.440528634361234,0,0,99.5594713656388,30.8370044052863,1.76211453744493,67.4008810572687,0,0,0,100,0.881057268722467,0,0,0,0,0,99.1189427312775,16.7400881057269,0.440528634361234,82.8193832599119
"E00033004",252,144,26,2,80,252,3,0,0,249,252,2,0,1,249,252,2,0,0,250,252,47,26,179,252,0,0,0,252,252,2,0,0,0,0,0,250,252,26,1,225,57.1428571428571,10.3174603174603,0.793650793650794,31.7460317460317,1.19047619047619,0,0,98.8095238095238,0.793650793650794,0,0.396825396825397,98.8095238095238,0.793650793650794,0,0,99.2063492063492,18.6507936507937,10.3174603174603,71.031746031746,0,0,0,100,0.793650793650794,0,0,0,0,0,99.2063492063492,10.3174603174603,0.396825396825397,89.2857142857143
"E00033005",402,291,26,4,81,402,4,0,0,398,402,2,0,0,400,402,0,0,1,401,402,38,26,338,402,0,0,0,402,402,4,0,0,0,0,0,398,402,37,3,362,72.3880597014925,6.46766169154229,0.995024875621891,20.1492537313433,0.995024875621891,0,0,99.0049751243781,0.497512437810945,0,0,99.5024875621891,0,0,0.248756218905473,99.7512437810945,9.45273631840796,6.46766169154229,84.0796019900498,0,0,0,100,0.995024875621891,0,0,0,0,0,99.0049751243781,9.20398009950249,0.746268656716418,90.0497512437811
"E00033006",271,204,13,1,53,271,1,0,0,270,271,2,0,0,269,271,0,0,0,271,271,31,13,227,271,0,0,0,271,271,0,0,0,0,0,0,271,271,19,1,251,75.2767527675277,4.7970479704797,0.3690036900369,19.5571955719557,0.3690036900369,0,0,99.6309963099631,0.738007380073801,0,0,99.2619926199262,0,0,0,100,11.4391143911439,4.7970479704797,83.7638376383764,0,0,0,100,0,0,0,0,0,0,100,7.01107011070111,0.3690036900369,92.619926199262
"E00033007",317,223,21,1,72,317,0,0,0,317,317,0,0,0,317,317,2,0,0,315,317,37,22,258,317,0,0,0,317,317,1,0,0,0,1,0,315,317,33,1,283,70.3470031545741,6.62460567823344,0.315457413249211,22.7129337539432,0,0,0,100,0,0,0,100,0.630914826498423,0,0,99.3690851735016,11.6719242902208,6.94006309148265,81.3880126182965,0,0,0,100,0.315457413249211,0,0,0,0.315457413249211,0,99.3690851735016,10.410094637224,0.315457413249211,89.2744479495268
"E00033008",345,262,24,0,59,345,0,0,0,345,345,2,0,0,343,345,1,0,0,344,345,42,25,278,345,0,0,0,345,345,0,0,0,0,0,0,345,345,13,1,331,75.9420289855072,6.95652173913043,0,17.1014492753623,0,0,0,100,0.579710144927536,0,0,99.4202898550725,0.289855072463768,0,0,99.7101449275362,12.1739130434783,7.2463768115942,80.5797101449275,0,0,0,100,0,0,0,0,0,0,100,3.76811594202899,0.289855072463768,95.9420289855072
"E00033012",149,76,22,1,50,149,4,0,0,145,149,0,0,0,149,149,1,0,0,148,149,25,23,101,149,0,0,0,149,149,2,0,0,0,0,0,147,149,19,2,128,51.006711409396,14.7651006711409,0.671140939597315,33.5570469798658,2.68456375838926,0,0,97.3154362416107,0,0,0,100,0.671140939597315,0,0,99.3288590604027,16.7785234899329,15.4362416107383,67.7852348993289,0,0,0,100,1.34228187919463,0,0,0,0,0,98.6577181208054,12.751677852349,1.34228187919463,85.9060402684564
