"GeographyCode","KS402EW0001","KS402EW0002","KS402EW0003","KS402EW0004","KS402EW0005","KS402EW0006","KS402EW0007","KS402EW0008","KS402EW0009","KS402EW0010","KS402EW0011","KS402EW0012","KS402EW0013","KS402EW0014","KS402EW0015","KS402EW0016","KS402EW0017"
"E00032987",87,0,3,0,3,48,32,0,1,0,3.44827586206897,0,3.44827586206897,55.1724137931034,36.7816091954023,0,1.14942528735632
"E00032988",200,14,9,0,1,129,45,2,0,7,4.5,0,0.5,64.5,22.5,1,0
"E00032989",232,3,8,0,4,172,42,3,0,1.29310344827586,3.44827586206897,0,1.72413793103448,74.1379310344828,18.1034482758621,1.29310344827586,0
"E00032990",219,8,14,13,8,119,55,1,1,3.65296803652968,6.39269406392694,5.93607305936073,3.65296803652968,54.337899543379,25.1141552511416,0.45662100456621,0.45662100456621
"E00032991",219,4,6,0,6,127,69,5,2,1.82648401826484,2.73972602739726,0,2.73972602739726,57.9908675799087,31.5068493150685,2.28310502283105,0.91324200913242
"E00032992",165,5,5,0,8,126,18,2,1,3.03030303030303,3.03030303030303,0,4.84848484848485,76.3636363636364,10.9090909090909,1.21212121212121,0.606060606060606
"E00032993",166,9,19,1,13,48,62,10,4,5.42168674698795,11.4457831325301,0.602409638554217,7.83132530120482,28.9156626506024,37.3493975903614,6.02409638554217,2.40963855421687
"E00032994",63,0,3,0,16,30,10,2,2,0,4.76190476190476,0,25.3968253968254,47.6190476190476,15.8730158730159,3.17460317460317,3.17460317460317
"E00032995",149,25,13,0,6,75,24,2,4,16.7785234899329,8.7248322147651,0,4.02684563758389,50.3355704697987,16.1073825503356,1.34228187919463,2.68456375838926
"E00032996",181,5,20,0,51,94,4,2,5,2.76243093922652,11.0497237569061,0,28.1767955801105,51.9337016574586,2.20994475138122,1.10497237569061,2.76243093922652
"E00032997",106,20,20,1,1,32,24,5,3,18.8679245283019,18.8679245283019,0.943396226415094,0.943396226415094,30.188679245283,22.6415094339623,4.71698113207547,2.83018867924528
"E00032998",164,16,23,0,13,51,53,3,5,9.75609756097561,14.0243902439024,0,7.92682926829268,31.0975609756098,32.3170731707317,1.82926829268293,3.04878048780488
"E00032999",236,14,3,0,8,118,87,3,3,5.93220338983051,1.27118644067797,0,3.38983050847458,50,36.864406779661,1.27118644067797,1.27118644067797
"E00033000",87,0,5,0,4,74,2,0,2,0,5.74712643678161,0,4.59770114942529,85.0574712643678,2.29885057471264,0,2.29885057471264
"E00033002",129,15,20,0,6,43,33,6,6,11.6279069767442,15.5038759689922,0,4.65116279069767,33.3333333333333,25.5813953488372,4.65116279069767,4.65116279069767
"E00033004",167,47,52,0,0,3,58,5,2,28.1437125748503,31.1377245508982,0,0,1.79640718562874,34.7305389221557,2.9940119760479,1.19760479041916
"E00033005",176,8,22,1,18,101,18,2,6,4.54545454545455,12.5,0.568181818181818,10.2272727272727,57.3863636363636,10.2272727272727,1.13636363636364,3.40909090909091
"E00033006",120,25,22,0,2,47,23,1,0,20.8333333333333,18.3333333333333,0,1.66666666666667,39.1666666666667,19.1666666666667,0.833333333333333,0
"E00033007",155,2,5,8,15,105,13,3,4,1.29032258064516,3.2258064516129,5.16129032258065,9.67741935483871,67.741935483871,8.38709677419355,1.93548387096774,2.58064516129032
"E00033008",147,3,14,1,51,66,10,1,1,2.04081632653061,9.52380952380952,0.680272108843537,34.6938775510204,44.8979591836735,6.80272108843537,0.680272108843537,0.680272108843537
"E00033012",104,43,35,0,0,1,18,6,1,41.3461538461538,33.6538461538462,0,0,0.961538461538462,17.3076923076923,5.76923076923077,0.961538461538462
"E00033013",115,22,15,0,1,29,45,2,1,19.1304347826087,13.0434782608696,0,0.869565217391304,25.2173913043478,39.1304347826087,1.73913043478261,0.869565217391304
"E00033015",109,15,13,2,0,3,69,5,2,13.7614678899083,11.9266055045872,1.8348623853211,0,2.75229357798165,63.302752293578,4.58715596330275,1.8348623853211
"E00033016",226,35,31,6,2,41,98,11,2,15.4867256637168,13.716814159292,2.65486725663717,0.884955752212389,18.141592920354,43.3628318584071,4.86725663716814,0.884955752212389
"E00033018",72,7,3,2,0,25,35,0,0,9.72222222222222,4.16666666666667,2.77777777777778,0,34.7222222222222,48.6111111111111,0,0
"E00033019",218,1,4,1,5,150,56,1,0,0.458715596330275,1.8348623853211,0.458715596330275,2.29357798165138,68.8073394495413,25.6880733944954,0.458715596330275,0
"E00033020",143,2,12,4,2,47,63,12,1,1.3986013986014,8.39160839160839,2.7972027972028,1.3986013986014,32.8671328671329,44.0559440559441,8.39160839160839,0.699300699300699
"E00033021",134,4,8,23,12,73,9,4,1,2.98507462686567,5.97014925373134,17.1641791044776,8.95522388059701,54.4776119402985,6.71641791044776,2.98507462686567,0.746268656716418
"E00033023",149,14,4,0,3,83,35,3,7,9.39597315436242,2.68456375838926,0,2.01342281879195,55.7046979865772,23.489932885906,2.01342281879195,4.69798657718121
"E00033024",104,4,7,0,20,61,8,1,3,3.84615384615385,6.73076923076923,0,19.2307692307692,58.6538461538462,7.69230769230769,0.961538461538462,2.88461538461538
