"GeographyCode","KS403EW0001","KS403EW0002","KS403EW0003","KS403EW0004","KS403EW0005","KS403EW0009","KS403EW0010","KS403EW0011","KS403EW0012"
"E01006512",799,75,724,228,60,9.38673341677096,90.613266583229,28.5356695869837,7.50938673341677
"E01006513",909,86,823,369,48,9.46094609460946,90.5390539053905,40.5940594059406,5.28052805280528
"E01006514",1115,62,1053,332,57,5.56053811659193,94.4394618834081,29.7757847533632,5.11210762331839
"E01006515",641,17,624,88,26,2.65210608424337,97.3478939157566,13.7285491419657,4.05616224648986
"E01006518",835,38,797,100,58,4.55089820359281,95.4491017964072,11.9760479041916,6.94610778443114
"E01006519",514,14,500,5,7,2.72373540856031,97.2762645914397,0.972762645914397,1.36186770428016
"E01006520",1182,72,1110,213,37,6.09137055837564,93.9086294416244,18.0203045685279,3.13028764805415
"E01006521",928,36,892,102,39,3.87931034482759,96.1206896551724,10.9913793103448,4.20258620689655
"E01006522",1094,57,1037,185,52,5.21023765996344,94.7897623400366,16.9104204753199,4.75319926873857
"E01006523",830,37,793,98,21,4.45783132530121,95.5421686746988,11.8072289156626,2.53012048192771
"E01006524",583,11,572,38,21,1.88679245283019,98.1132075471698,6.5180102915952,3.60205831903945
"E01006525",486,11,475,7,6,2.26337448559671,97.7366255144033,1.440329218107,1.23456790123457
"E01006526",654,28,626,20,16,4.28134556574923,95.7186544342508,3.05810397553517,2.44648318042813
"E01006527",638,20,618,22,8,3.13479623824451,96.8652037617555,3.44827586206897,1.25391849529781
"E01006528",613,39,574,33,16,6.36215334420881,93.6378466557912,5.38336052202284,2.61011419249592
"E01006529",559,22,537,14,14,3.93559928443649,96.0644007155635,2.50447227191413,2.50447227191413
"E01006530",616,11,605,12,10,1.78571428571429,98.2142857142857,1.94805194805195,1.62337662337662
"E01006531",674,13,661,12,12,1.92878338278932,98.0712166172107,1.78041543026706,1.78041543026706
"E01006532",617,5,612,9,3,0.810372771474878,99.1896272285251,1.45867098865478,0.486223662884927
"E01006533",614,8,606,13,9,1.30293159609121,98.6970684039088,2.11726384364821,1.46579804560261
"E01006534",649,23,626,33,27,3.54391371340524,96.4560862865948,5.08474576271187,4.16024653312789
"E01006535",656,26,630,17,25,3.96341463414634,96.0365853658537,2.59146341463415,3.8109756097561
"E01006536",815,36,779,33,32,4.41717791411043,95.5828220858896,4.04907975460123,3.92638036809816
"E01006537",964,41,923,83,25,4.25311203319502,95.746887966805,8.60995850622407,2.59336099585062
"E01006538",527,23,504,11,14,4.36432637571157,95.6356736242884,2.08728652751423,2.65654648956357
"E01006539",601,12,589,12,5,1.99667221297837,98.0033277870216,1.99667221297837,0.831946755407654
"E01006540",771,58,713,107,63,7.52269779507134,92.4773022049287,13.8780804150454,8.17120622568093
"E01006541",803,32,771,49,27,3.98505603985056,96.0149439601494,6.10211706102117,3.36239103362391
"E01006542",583,36,547,26,24,6.17495711835334,93.8250428816467,4.45969125214408,4.11663807890223
"E01006543",509,30,479,12,11,5.89390962671906,94.1060903732809,2.35756385068762,2.16110019646365
"E01006544",738,41,697,60,46,5.55555555555556,94.4444444444444,8.13008130081301,6.23306233062331
"E01006545",646,46,600,24,18,7.12074303405573,92.8792569659443,3.71517027863777,2.78637770897833
"E01006546",583,50,533,40,38,8.57632933104631,91.4236706689537,6.86106346483705,6.5180102915952
"E01006547",718,74,644,55,35,10.3064066852368,89.6935933147632,7.66016713091922,4.87465181058496
"E01006548",759,74,685,70,43,9.74967061923584,90.2503293807642,9.22266139657444,5.66534914361001
"E01006549",949,84,865,231,52,8.85142255005269,91.1485774499473,24.3414120126449,5.47945205479452
"E01006550",483,19,464,60,28,3.93374741200828,96.0662525879917,12.4223602484472,5.79710144927536
"E01006551",751,13,738,73,18,1.73102529960053,98.2689747003995,9.72037283621838,2.39680426098535
"E01006552",869,46,823,166,88,5.29344073647871,94.7065592635213,19.102416570771,10.126582278481
"E01006553",642,44,598,63,41,6.85358255451713,93.1464174454829,9.81308411214953,6.38629283489097
"E01006554",649,58,591,120,31,8.93682588597843,91.0631741140216,18.4899845916795,4.77657935285054
"E01006556",1016,63,953,178,77,6.2007874015748,93.7992125984252,17.5196850393701,7.57874015748032
"E01006557",635,38,597,105,67,5.98425196850394,94.0157480314961,16.5354330708661,10.5511811023622
"E01006558",739,81,658,57,40,10.9607577807848,89.0392422192152,7.71312584573748,5.4127198917456
"E01006560",996,11,985,115,63,1.10441767068273,98.8955823293173,11.5461847389558,6.32530120481928
"E01006562",714,42,672,75,46,5.88235294117647,94.1176470588235,10.5042016806723,6.44257703081232
"E01006563",908,25,883,102,56,2.75330396475771,97.2466960352423,11.2334801762115,6.16740088105727
"E01006564",800,24,776,60,31,3,97,7.5,3.875
"E01006565",638,41,597,34,32,6.42633228840125,93.5736677115987,5.32915360501567,5.01567398119122
"E01006566",577,25,552,38,25,4.33275563258232,95.6672443674177,6.58578856152513,4.33275563258232
"E01006567",892,37,855,75,26,4.14798206278027,95.8520179372197,8.40807174887892,2.91479820627803
"E01006568",629,52,577,48,16,8.2670906200318,91.7329093799682,7.63116057233704,2.54372019077901
"E01006569",613,39,574,46,28,6.36215334420881,93.6378466557912,7.50407830342577,4.56769983686786
"E01006570",595,23,572,30,20,3.86554621848739,96.1344537815126,5.04201680672269,3.36134453781513
"E01006571",612,28,584,41,30,4.57516339869281,95.4248366013072,6.69934640522876,4.90196078431373
"E01006572",501,6,495,33,22,1.19760479041916,98.8023952095808,6.58682634730539,4.39121756487026
"E01006573",778,53,725,53,34,6.81233933161954,93.1876606683805,6.81233933161954,4.37017994858612
"E01006574",612,20,592,26,21,3.26797385620915,96.7320261437908,4.2483660130719,3.43137254901961
"E01006575",578,22,556,24,15,3.80622837370242,96.1937716262976,4.1522491349481,2.59515570934256
"E01006576",713,44,669,17,15,6.1711079943899,93.8288920056101,2.38429172510519,2.10378681626928
"E01006577",597,26,571,4,8,4.35510887772194,95.6448911222781,0.670016750418761,1.34003350083752
"E01006578",554,31,523,15,13,5.5956678700361,94.4043321299639,2.70758122743682,2.34657039711191
"E01006579",618,17,601,10,11,2.75080906148867,97.2491909385113,1.61812297734628,1.77993527508091
"E01006580",515,5,510,7,6,0.970873786407767,99.0291262135922,1.35922330097087,1.16504854368932
"E01006581",607,15,592,16,17,2.47116968698517,97.5288303130148,2.63591433278418,2.8006589785832
"E01006582",585,13,572,10,9,2.22222222222222,97.7777777777778,1.70940170940171,1.53846153846154
"E01006583",467,6,461,5,5,1.2847965738758,98.7152034261242,1.07066381156317,1.07066381156317
"E01006584",611,26,585,17,13,4.25531914893617,95.7446808510638,2.7823240589198,2.12765957446809
"E01006585",641,20,621,41,30,3.1201248049922,96.8798751950078,6.39625585023401,4.6801872074883
"E01006586",921,29,892,63,25,3.14875135722041,96.8512486427796,6.84039087947883,2.71444082519001
"E01006587",717,15,702,52,20,2.09205020920502,97.907949790795,7.25244072524407,2.78940027894003
"E01006588",702,42,660,40,17,5.98290598290598,94.017094017094,5.6980056980057,2.42165242165242
"E01006589",599,11,588,5,8,1.83639398998331,98.1636060100167,0.834724540901502,1.3355592654424
"E01006590",701,53,648,34,29,7.56062767475036,92.4393723252496,4.85021398002853,4.13694721825963
"E01006591",671,39,632,23,17,5.81222056631893,94.1877794336811,3.42771982116244,2.53353204172876
"E01006592",624,11,613,18,13,1.76282051282051,98.2371794871795,2.88461538461538,2.08333333333333
"E01006593",662,45,617,34,18,6.797583081571,93.202416918429,5.13595166163142,2.7190332326284
"E01006594",579,11,568,6,3,1.89982728842832,98.1001727115717,1.03626943005181,0.518134715025907
"E01006595",812,34,778,20,13,4.1871921182266,95.8128078817734,2.46305418719212,1.60098522167488
"E01006596",597,17,580,18,12,2.84757118927973,97.1524288107203,3.01507537688442,2.01005025125628
"E01006597",683,19,664,8,9,2.78184480234261,97.2181551976574,1.17130307467057,1.31771595900439
"E01006598",604,24,580,42,23,3.97350993377483,96.0264900662252,6.95364238410596,3.80794701986755
"E01006599",482,25,457,31,19,5.18672199170125,94.8132780082988,6.43153526970954,3.94190871369295
"E01006600",592,25,567,26,23,4.22297297297297,95.777027027027,4.39189189189189,3.88513513513514
"E01006603",594,29,565,21,24,4.88215488215488,95.1178451178451,3.53535353535354,4.04040404040404
"E01006604",571,36,535,24,20,6.30472854640981,93.6952714535902,4.2031523642732,3.50262697022767
"E01006605",696,22,674,40,37,3.16091954022989,96.8390804597701,5.74712643678161,5.31609195402299
"E01006606",723,42,681,33,19,5.80912863070539,94.1908713692946,4.5643153526971,2.62793914246196
"E01006607",641,22,619,42,21,3.43213728549142,96.5678627145086,6.55226209048362,3.27613104524181
