"GeographyCode","KS404EW0001","KS404EW0002","KS404EW0003","KS404EW0004","KS404EW0005","KS404EW0006","KS404EW0007","KS404EW0008","KS404EW0009","KS404EW0010","KS404EW0011","KS404EW0012"
"E02001347",3204,1218,1376,526,71,13,2693,38.0149812734082,42.9463171036205,16.4169787765293,2.21598002496879,0.405742821473159
"E02001348",3148,1192,1460,428,57,11,2549,37.8653113087675,46.3786531130877,13.5959339263024,1.81067344345616,0.349428208386277
"E02001349",3422,1171,1571,567,99,14,3064,34.2197545295149,45.9088252483928,16.5692577440094,2.89304500292227,0.409117475160725
"E02001350",3417,1531,1325,486,65,10,2535,44.8053848405034,38.7767047117354,14.2230026338894,1.90225343868891,0.292654375182909
"E02001351",3515,1694,1365,378,63,15,2382,48.1934566145092,38.8335704125178,10.7539118065434,1.7923186344239,0.42674253200569
"E02001352",3046,1656,1053,295,33,9,1779,54.3663821405122,34.56992777413,9.68483256730138,1.08338804990151,0.295469468154957
"E02001353",2959,481,1413,893,145,27,3754,16.2554917201757,47.7526191280838,30.1791145657317,4.90030415680973,0.912470429199054
"E02001354",3312,1519,1332,400,50,11,2327,45.8635265700483,40.2173913043478,12.0772946859903,1.50966183574879,0.332125603864734
"E02001355",3108,1572,1198,301,30,7,1918,50.5791505791506,38.5456885456885,9.68468468468468,0.965250965250965,0.225225225225225
"E02001356",2364,1299,845,192,16,12,1329,54.9492385786802,35.7445008460237,8.12182741116751,0.676818950930626,0.50761421319797
"E02001357",2858,1424,1145,244,41,4,1774,49.8250524842547,40.0629811056683,8.53743876836949,1.43456962911127,0.139958012596221
"E02001358",3450,2109,1143,174,20,4,1583,61.1304347826087,33.1304347826087,5.04347826086957,0.579710144927536,0.115942028985507
"E02001359",2328,636,961,559,134,38,2641,27.319587628866,41.2800687285223,24.0120274914089,5.75601374570447,1.63230240549828
"E02001360",4130,2717,1165,216,27,5,1698,65.7869249394673,28.2082324455206,5.23002421307506,0.653753026634383,0.121065375302663
"E02001361",3388,1622,1328,371,52,15,2289,47.874852420307,39.1971664698937,10.9504132231405,1.53482880755608,0.442739079102715
"E02001362",3161,1222,1336,501,92,10,2655,38.6586523252135,42.2651059791205,15.8494147421702,2.91047136981968,0.316355583676052
"E02001363",3481,1741,1325,357,45,13,2245,50.0143636885952,38.0637747773628,10.2556736569951,1.29273197357081,0.373455903476013
"E02001364",2532,1693,709,113,16,1,987,66.8641390205371,28.001579778831,4.46287519747235,0.631911532385466,0.0394944707740916
"E02001365",4059,2364,1361,293,36,5,2091,58.2409460458241,33.530426213353,7.21852673072185,0.886917960088692,0.123183050012318
"E02001366",4081,1938,1599,471,64,9,2773,47.4883606959079,39.1815731438373,11.5412888997795,1.56824307767704,0.220534182798334
"E02001367",3939,982,1746,988,170,53,4459,24.9301853262249,44.3259710586443,25.0825082508251,4.31581619700432,1.34551916730135
"E02001368",2918,1911,876,116,8,7,1167,65.4900616860864,30.0205620287868,3.97532556545579,0.274160383824537,0.23989033584647
"E02001369",3877,2339,1282,221,29,6,1853,60.3301521795202,33.0668042300748,5.70028372452928,0.748001031725561,0.154758834150116
"E02001370",3153,2221,797,114,19,2,1090,70.4408499841421,25.2775134792261,3.61560418648906,0.602600697748176,0.0634316523945449
"E02001371",3076,1395,1224,398,51,8,2212,45.3511053315995,39.7919375812744,12.9388816644994,1.65799739921977,0.260078023407022
"E02001372",2728,1128,1057,446,81,16,2260,41.3489736070381,38.7463343108504,16.3489736070381,2.9692082111437,0.586510263929619
"E02001373",4089,1863,1701,451,57,17,2846,45.5612619222304,41.5994130594277,11.0295915871851,1.39398385913426,0.415749572022499
"E02001374",4105,2527,1237,281,40,20,2012,61.5590742996346,30.1339829476248,6.84531059683313,0.97442143727162,0.48721071863581
"E02001375",3202,1554,1279,317,43,9,2078,48.5321673953779,39.9437851342911,9.9000624609619,1.34291068082448,0.28107432854466
"E02001376",3789,2476,1126,164,16,7,1544,65.3470572710478,29.7176035893376,4.32831881762998,0.422275006598047,0.184745315386646
"E02001377",4063,2770,1045,201,39,8,1597,68.1762244646813,25.7199113955206,4.94708343588481,0.959881860694068,0.196898843219296
"E02001378",3557,1498,1485,485,71,18,2742,42.1141411301659,41.7486646050042,13.6350857464155,1.9960640989598,0.506044419454597
"E02001380",3117,707,1455,803,127,25,3554,22.6820660891883,46.679499518768,25.7619505935194,4.074430542188,0.802053256336221
"E02001381",4312,2379,1577,295,55,6,2361,55.1716141001855,36.5723562152134,6.84137291280148,1.27551020408163,0.139146567717996
"E02001382",2782,413,1304,891,138,36,3653,14.8454349388929,46.8727534148095,32.0273184759166,4.96046010064702,1.294033069734
"E02001383",4260,2988,1086,162,11,13,1507,70.1408450704225,25.4929577464789,3.80281690140845,0.258215962441315,0.305164319248826
"E02001384",3941,1976,1411,398,121,35,2727,50.1395584876935,35.8030956609997,10.0989596549099,3.07028672925653,0.88809946714032
"E02001385",3631,2488,978,137,24,4,1344,68.5210685761498,26.9347287248692,3.77306527127513,0.6609749380336,0.110162489672267
"E02001386",3572,1854,1329,330,49,10,2177,51.9036954087346,37.2060470324748,9.23852183650616,1.37178051511758,0.279955207166853
