"GeographyCode","KS404EW0001","KS404EW0002","KS404EW0003","KS404EW0004","KS404EW0005","KS404EW0006","KS404EW0007","KS404EW0008","KS404EW0009","KS404EW0010","KS404EW0011","KS404EW0012"
"E00032987",87,63,22,2,0,0,26,72.4137931034483,25.2873563218391,2.29885057471264,0,0
"E00032988",200,121,70,6,1,2,96,60.5,35,3,0.5,1
"E00032989",232,151,74,7,0,0,88,65.0862068965517,31.8965517241379,3.01724137931034,0,0
"E00032990",219,133,59,25,0,2,117,60.7305936073059,26.9406392694064,11.4155251141553,0,0.91324200913242
"E00032991",219,152,53,10,1,3,90,69.4063926940639,24.2009132420091,4.5662100456621,0.45662100456621,1.36986301369863
"E00032992",165,133,28,3,1,0,37,80.6060606060606,16.969696969697,1.81818181818182,0.606060606060606,0
"E00032993",166,110,43,11,2,0,71,66.2650602409639,25.9036144578313,6.62650602409639,1.20481927710843,0
"E00032994",63,53,10,0,0,0,10,84.1269841269841,15.8730158730159,0,0,0
"E00032995",149,107,36,5,1,0,49,71.8120805369127,24.1610738255034,3.35570469798658,0.671140939597315,0
"E00032996",181,101,71,7,2,0,91,55.8011049723757,39.2265193370166,3.86740331491713,1.10497237569061,0
"E00032997",106,65,33,7,0,1,51,61.3207547169811,31.1320754716981,6.60377358490566,0,0.943396226415094
"E00032998",164,86,64,11,2,1,96,52.4390243902439,39.0243902439024,6.70731707317073,1.21951219512195,0.609756097560976
"E00032999",236,159,74,3,0,0,80,67.3728813559322,31.3559322033898,1.27118644067797,0,0
"E00033000",87,62,23,2,0,0,27,71.264367816092,26.4367816091954,2.29885057471264,0,0
"E00033002",129,81,42,6,0,0,54,62.7906976744186,32.5581395348837,4.65116279069767,0,0
"E00033004",167,37,104,25,1,0,157,22.1556886227545,62.2754491017964,14.9700598802395,0.598802395209581,0
"E00033005",176,115,58,3,0,0,64,65.3409090909091,32.9545454545455,1.70454545454545,0,0
"E00033006",120,64,52,4,0,0,60,53.3333333333333,43.3333333333333,3.33333333333333,0,0
"E00033007",155,97,49,9,0,0,67,62.5806451612903,31.6129032258064,5.80645161290323,0,0
"E00033008",147,114,25,7,1,0,42,77.5510204081633,17.0068027210884,4.76190476190476,0.680272108843537,0
"E00033012",104,27,56,19,1,1,103,25.9615384615385,53.8461538461538,18.2692307692308,0.961538461538462,0.961538461538462
"E00033013",115,67,39,9,0,0,57,58.2608695652174,33.9130434782609,7.82608695652174,0,0
