"GeographyCode","KS405EW0001","KS405EW0002","KS405EW0003","KS405EW0004","KS405EW0005","KS405EW0006","KS405EW0007","KS405EW0008","KS405EW0009","KS405EW0010","KS405EW0011","KS405EW0012","KS405EW0013","KS405EW0014","KS405EW0015","KS405EW0016","KS405EW0017","KS405EW0018","KS405EW0019","KS405EW0020","KS405EW0021","KS405EW0022","KS405EW0023","KS405EW0024","KS405EW0025","KS405EW0026"
"E01006512",9,460,0,0,0,0,0,0,0,0,0,15,442,3,0,0,0,0,0,0,0,0,0,3.26086956521739,96.0869565217391,0.652173913043478
"E01006513",28,1250,0,0,0,0,0,0,0,0,0,0,1244,6,0,0,0,0,0,0,0,0,0,0,99.52,0.48
"E01006514",46,350,0,0,0,0,0,0,0,37,0,4,303,6,0,0,0,0,0,0,0,10.5714285714286,0,1.14285714285714,86.5714285714286,1.71428571428571
"E01006515",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006518",1,66,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"E01006519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006520",3,21,0,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,80.9523809523809,0,19.047619047619,0,0,0
"E01006521",12,41,0,0,0,0,0,0,0,27,0,0,14,0,0,0,0,0,0,0,0,65.8536585365854,0,0,34.1463414634146,0
"E01006522",5,61,0,0,0,0,0,0,16,0,0,29,15,1,0,0,0,0,0,0,26.2295081967213,0,0,47.5409836065574,24.5901639344262,1.63934426229508
"E01006523",1,35,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01006524",13,1352,0,3,0,0,0,0,151,40,0,0,1158,0,0,0.22189349112426,0,0,0,0,11.1686390532544,2.9585798816568,0,0,85.6508875739645,0
"E01006525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006526",4,103,0,0,0,0,0,0,29,20,0,54,0,0,0,0,0,0,0,0,28.1553398058252,19.4174757281553,0,52.4271844660194,0,0
"E01006527",2,81,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01006528",2,27,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,0,0,0,92.5925925925926,0,0,0,7.40740740740741
"E01006529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006530",1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,0
"E01006531",1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01006532",3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01006533",1,53,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E01006534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006535",3,89,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"E01006536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006539",3,34,0,0,0,0,0,0,25,5,0,4,0,0,0,0,0,0,0,0,73.5294117647059,14.7058823529412,0,11.7647058823529,0,0
