"GeographyCode","KS405EW0001","KS405EW0002","KS405EW0003","KS405EW0004","KS405EW0005","KS405EW0006","KS405EW0007","KS405EW0008","KS405EW0009","KS405EW0010","KS405EW0011","KS405EW0012","KS405EW0013","KS405EW0014","KS405EW0015","KS405EW0016","KS405EW0017","KS405EW0018","KS405EW0019","KS405EW0020","KS405EW0021","KS405EW0022","KS405EW0023","KS405EW0024","KS405EW0025","KS405EW0026"
"E02001347",5,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02001348",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001349",3,23,0,0,0,0,0,0,19,3,0,0,1,0,0,0,0,0,0,0,82.6086956521739,13.0434782608696,0,0,4.34782608695652,0
"E02001350",3,142,0,0,0,0,0,0,131,0,0,0,11,0,0,0,0,0,0,0,92.2535211267606,0,0,0,7.74647887323944,0
"E02001351",2,753,0,0,0,0,0,0,0,58,0,0,695,0,0,0,0,0,0,0,0,7.70252324037185,0,0,92.2974767596282,0
"E02001352",1,796,0,0,0,0,0,0,0,0,0,0,796,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02001353",3,46,0,0,0,0,0,0,0,43,0,3,0,0,0,0,0,0,0,0,0,93.4782608695652,0,6.52173913043478,0,0
"E02001354",2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E02001355",4,4,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,50,0,0,0,50
"E02001356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001357",3,27,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E02001358",1,28,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"E02001359",5,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E02001360",8,69,0,0,0,0,0,0,35,0,0,0,22,12,0,0,0,0,0,0,50.7246376811594,0,0,0,31.8840579710145,17.3913043478261
"E02001361",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001363",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001364",17,108,0,0,0,0,5,0,56,40,0,3,4,0,0,0,0,0,4.62962962962963,0,51.8518518518518,37.037037037037,0,2.77777777777778,3.7037037037037,0
"E02001365",4,99,0,0,0,0,0,0,0,3,0,95,0,1,0,0,0,0,0,0,0,3.03030303030303,0,95.959595959596,0,1.01010101010101
"E02001366",8,73,0,0,0,0,0,0,0,47,3,9,14,0,0,0,0,0,0,0,0,64.3835616438356,4.10958904109589,12.3287671232877,19.1780821917808,0
"E02001367",4,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E02001368",6,76,0,0,0,0,0,0,0,65,0,0,11,0,0,0,0,0,0,0,0,85.5263157894737,0,0,14.4736842105263,0
"E02001369",3,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02001370",10,31,0,0,0,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,0,90.3225806451613,0,9.67741935483871,0,0
"E02001371",3,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E02001372",17,207,1,0,0,0,0,0,89,57,0,1,56,3,0.483091787439614,0,0,0,0,0,42.9951690821256,27.536231884058,0,0.483091787439614,27.0531400966184,1.44927536231884
"E02001373",4,43,0,0,0,0,0,0,0,0,5,0,38,0,0,0,0,0,0,0,0,0,11.6279069767442,0,88.3720930232558,0
"E02001374",48,148,0,0,0,4,22,17,10,10,1,21,61,2,0,0,0,2.7027027027027,14.8648648648649,11.4864864864865,6.75675675675676,6.75675675675676,0.675675675675676,14.1891891891892,41.2162162162162,1.35135135135135
"E02001375",5,95,0,0,0,7,0,0,0,72,2,0,14,0,0,0,0,7.36842105263158,0,0,0,75.7894736842105,2.10526315789474,0,14.7368421052632,0
"E02001376",3,24,0,0,0,0,0,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,8.33333333333333,0,91.6666666666667,0
"E02001377",45,2942,0,0,4,0,0,0,0,38,0,15,2876,9,0,0,0.135961930659415,0,0,0,0,1.29163834126445,0,0.509857239972808,97.7566281441196,0.305914343983685
"E02001378",14,239,0,25,0,0,0,0,59,85,0,29,17,24,0,10.4602510460251,0,0,0,0,24.6861924686192,35.5648535564854,0,12.1338912133891,7.11297071129707,10.0418410041841
"E02001380",2,7,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,71.4285714285714,0,0,0,0,28.5714285714286,0,0,0
"E02001381",3,6,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,50,0,0,50,0
"E02001382",3,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,80,0,0,20,0
"E02001383",62,376,0,3,0,0,0,0,0,37,0,4,319,13,0,0.797872340425532,0,0,0,0,0,9.84042553191489,0,1.06382978723404,84.8404255319149,3.45744680851064
"E02001384",8,23,0,0,0,0,0,0,0,3,0,0,17,3,0,0,0,0,0,0,0,13.0434782608696,0,0,73.9130434782609,13.0434782608696
"E02001385",4,51,0,0,0,0,17,0,0,31,0,0,3,0,0,0,0,0,33.3333333333333,0,0,60.7843137254902,0,0,5.88235294117647,0
"E02001386",2,27,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,37.037037037037,0,62.962962962963,0,0,0,0,0
"E02001387",4,70,0,0,0,0,0,0,0,28,0,0,42,0,0,0,0,0,0,0,0,40,0,0,60,0
"E02001388",8,58,0,0,0,0,0,3,0,49,0,4,2,0,0,0,0,0,0,5.17241379310345,0,84.4827586206897,0,6.89655172413793,3.44827586206897,0
"E02001389",21,313,0,0,0,0,0,0,85,121,4,15,88,0,0,0,0,0,0,0,27.1565495207668,38.6581469648562,1.2779552715655,4.79233226837061,28.1150159744409,0
"E02001390",4,67,0,0,0,0,0,0,66,0,0,0,1,0,0,0,0,0,0,0,98.5074626865672,0,0,0,1.49253731343284,0
"E02001391",4,83,0,0,0,0,6,0,0,77,0,0,0,0,0,0,0,0,7.2289156626506,0,0,92.7710843373494,0,0,0,0
"E02001392",5,18,0,0,0,0,0,0,0,5,0,0,4,9,0,0,0,0,0,0,0,27.7777777777778,0,0,22.2222222222222,50
"E02001393",21,550,0,0,0,0,3,0,29,8,0,4,506,0,0,0,0,0,0.545454545454546,0,5.27272727272727,1.45454545454545,0,0.727272727272727,92,0
"E02001394",36,1985,0,3,0,0,0,0,196,141,0,83,1559,3,0,0.151133501259446,0,0,0,0,9.87405541561713,7.10327455919396,0,4.18136020151134,78.5390428211587,0.151133501259446
"E02001395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02001396",4,62,0,0,0,0,0,0,59,2,0,0,0,1,0,0,0,0,0,0,95.1612903225807,3.2258064516129,0,0,0,1.61290322580645
"E02001397",3,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"E02001398",20,472,0,0,0,0,0,13,0,87,0,14,356,2,0,0,0,0,0,2.75423728813559,0,18.4322033898305,0,2.96610169491525,75.4237288135593,0.423728813559322
"E02001399",4,88,0,0,0,0,0,0,4,3,0,0,81,0,0,0,0,0,0,0,4.54545454545455,3.40909090909091,0,0,92.0454545454545,0
"E02001400",3,89,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
"E02001401",3,59,0,0,0,0,0,0,0,56,0,0,3,0,0,0,0,0,0,0,0,94.9152542372881,0,0,5.08474576271187,0
"E02001402",10,143,0,0,0,0,0,0,96,39,0,0,4,4,0,0,0,0,0,0,67.1328671328671,27.2727272727273,0,0,2.7972027972028,2.7972027972028
"E02001403",5,25,0,15,0,0,0,0,5,3,0,0,2,0,0,60,0,0,0,0,20,12,0,0,8,0
"E02001404",6,31,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
"E02001405",2,35,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
"E02006932",75,4637,0,0,0,0,0,0,0,0,0,0,4556,81,0,0,0,0,0,0,0,0,0,0,98.25318093595,1.74681906405003
"E02006933",74,53,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,100,0
"E02006934",11,835,0,0,0,0,0,0,0,0,0,0,835,0,0,0,0,0,0,0,0,0,0,0,100,0
