"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E01006512",1683,171,122,98,2,268,732,290,32,942,100,71,771,10.1604278074866,7.24896019013666,5.82293523469994,0.11883541295306,15.92394533571,43.49376114082,17.2311348781937,1.90136660724896,55.9714795008913,5.941770647653,4.21865715983363,45.8110516934046
"E01006513",2888,154,152,197,15,1244,827,299,8,2054,453,215,1386,5.33240997229917,5.26315789473684,6.8213296398892,0.519390581717452,43.0747922437673,28.6357340720222,10.3531855955679,0.277008310249307,71.1218836565097,15.685595567867,7.44459833795014,47.9916897506925
"E01006514",2003,192,121,194,7,607,791,91,12,856,267,80,509,9.58562156764853,6.04093859211183,9.68547179231153,0.349475786320519,30.3045431852222,39.4907638542187,4.54318522216675,0.599101347978033,42.7358961557663,13.3300049925112,3.99400898652022,25.4118821767349
"E01006515",1023,381,71,122,9,110,261,69,15,106,34,12,60,37.2434017595308,6.94037145650049,11.9257086999022,0.879765395894428,10.752688172043,25.5131964809384,6.74486803519062,1.46627565982405,10.3616813294233,3.32355816226784,1.17302052785924,5.86510263929619
"E01006518",1425,668,151,163,17,132,202,92,39,83,24,13,46,46.8771929824561,10.5964912280702,11.4385964912281,1.19298245614035,9.26315789473684,14.1754385964912,6.45614035087719,2.73684210526316,5.82456140350877,1.68421052631579,0.912280701754386,3.2280701754386
"E01006519",1055,154,94,133,31,104,510,29,45,49,18,5,26,14.5971563981043,8.90995260663507,12.60663507109,2.93838862559242,9.85781990521327,48.3412322274881,2.74881516587678,4.2654028436019,4.64454976303318,1.70616113744076,0.4739336492891,2.46445497630332
"E01006520",1616,251,114,120,14,188,874,55,8,118,46,16,56,15.5321782178218,7.05445544554455,7.42574257425743,0.866336633663366,11.6336633663366,54.0841584158416,3.40346534653465,0.495049504950495,7.3019801980198,2.84653465346535,0.99009900990099,3.46534653465347
"E01006521",1491,301,119,168,47,173,633,50,11,103,39,8,55,20.18779342723,7.981220657277,11.2676056338028,3.15224681421865,11.6029510395708,42.4547283702213,3.35345405767941,0.73775989268947,6.90811535881958,2.61569416498994,0.536552649228706,3.68879946344735
"E01006522",1602,238,107,157,14,178,877,31,7,129,52,11,65,14.856429463171,6.67915106117353,9.80024968789014,0.873907615480649,11.1111111111111,54.7440699126092,1.93508114856429,0.436953807740325,8.05243445692884,3.24594257178527,0.686641697877653,4.05742821473159
"E01006523",1352,254,97,132,26,153,652,38,9,91,25,6,60,18.7869822485207,7.17455621301775,9.76331360946746,1.92307692307692,11.3165680473373,48.2248520710059,2.81065088757396,0.665680473372781,6.73076923076923,1.8491124260355,0.443786982248521,4.43786982248521
"E01006524",2300,303,99,169,28,1082,556,63,10,1210,178,144,888,13.1739130434783,4.30434782608696,7.34782608695652,1.21739130434783,47.0434782608696,24.1739130434783,2.73913043478261,0.434782608695652,52.6086956521739,7.73913043478261,6.26086956521739,38.6086956521739
"E01006525",1049,149,95,149,36,145,442,33,27,71,35,6,30,14.2040038131554,9.05624404194471,14.2040038131554,3.43183984747378,13.8226882745472,42.1353670162059,3.14585319351764,2.57387988560534,6.76835081029552,3.33651096282173,0.571973307912297,2.85986653956149
"E01006526",1217,285,122,144,24,118,478,46,19,59,24,12,23,23.41824157765,10.0246507806081,11.8323746918652,1.97206244864421,9.69597370583402,39.2769104354971,3.7797863599014,1.56121610517666,4.84798685291701,1.97206244864421,0.986031224322103,1.8898931799507
"E01006527",1247,267,141,157,37,187,404,54,35,149,49,18,82,21.411387329591,11.3071371291099,12.5902165196472,2.96712109061748,14.9959903769046,32.3977546110666,4.33039294306335,2.80673616680032,11.9486768243785,3.92943063352045,1.44346431435445,6.57578187650361
"E01006528",1239,180,110,158,29,201,505,56,19,161,56,12,93,14.5278450363196,8.87812752219532,12.7522195318805,2.34059725585149,16.2227602905569,40.7586763518967,4.51977401129944,1.53349475383374,12.9943502824859,4.51977401129944,0.968523002421308,7.50605326876513
"E01006529",1080,168,119,132,23,121,487,30,20,67,34,2,31,15.5555555555556,11.0185185185185,12.2222222222222,2.12962962962963,11.2037037037037,45.0925925925926,2.77777777777778,1.85185185185185,6.2037037037037,3.14814814814815,0.185185185185185,2.87037037037037
"E01006530",1222,270,134,215,61,148,350,44,37,52,21,6,24,22.0949263502455,10.9656301145663,17.5941080196399,4.99181669394435,12.1112929623568,28.6415711947627,3.60065466448445,3.0278232405892,4.25531914893617,1.71849427168576,0.490998363338789,1.96399345335516
"E01006531",1292,373,145,210,54,160,317,33,35,52,21,4,27,28.8699690402477,11.2229102167183,16.2538699690402,4.17956656346749,12.3839009287926,24.5356037151703,2.55417956656347,2.70897832817337,4.02476780185759,1.62538699690402,0.309597523219814,2.08978328173375
"E01006532",1280,186,114,188,50,137,578,27,48,56,21,5,30,14.53125,8.90625,14.6875,3.90625,10.703125,45.15625,2.109375,3.75,4.375,1.640625,0.390625,2.34375
"E01006533",1205,322,143,163,64,129,353,31,27,49,20,6,22,26.7219917012448,11.8672199170124,13.5269709543568,5.31120331950207,10.7053941908714,29.2946058091286,2.57261410788382,2.24066390041494,4.06639004149378,1.6597510373444,0.497925311203319,1.82572614107884
"E01006534",1271,374,180,205,27,133,304,48,58,66,26,4,36,29.4256490952006,14.162077104642,16.1290322580645,2.1243115656963,10.4642014162077,23.9181746656176,3.7765538945712,4.5633359559402,5.1927616050354,2.0456333595594,0.3147128245476,2.8324154209284
"E01006535",1401,442,214,200,31,149,323,42,51,58,25,9,24,31.5488936473947,15.2748037116345,14.2755174875089,2.21270521056388,10.6352605281941,23.0549607423269,2.99785867237687,3.64025695931478,4.13990007137759,1.78443968593862,0.642398286937901,1.71306209850107
"E01006536",1545,533,234,239,41,185,270,43,59,58,24,6,28,34.4983818770227,15.1456310679612,15.4692556634304,2.6537216828479,11.9741100323625,17.4757281553398,2.7831715210356,3.81877022653722,3.75404530744337,1.55339805825243,0.388349514563107,1.81229773462783
"E01006537",1847,398,264,320,58,247,419,141,40,83,31,10,42,21.5484569572279,14.2934488359502,17.3253925284245,3.14022739577694,13.3730373578776,22.6854358419058,7.63400108283703,2.16567406605306,4.4937736870601,1.67839740119112,0.541418516513265,2.27395776935571
"E01006538",1101,267,162,180,49,146,262,35,38,39,23,1,15,24.2506811989101,14.7138964577657,16.3487738419619,4.45049954586739,13.2606721162579,23.7965485921889,3.17892824704814,3.45140781108084,3.54223433242507,2.08900999091735,0.0908265213442325,1.36239782016349
"E01006539",1237,195,105,162,25,119,600,31,42,61,34,1,26,15.7639450282943,8.48827809215845,13.0962004850445,2.02101859337106,9.62004850444624,48.5044462409054,2.50606305578011,3.39531123686338,4.93128536782538,2.74858528698464,0.0808407437348424,2.1018593371059
"E01006540",1218,483,217,179,24,100,135,80,38,83,23,16,44,39.6551724137931,17.816091954023,14.696223316913,1.97044334975369,8.21018062397373,11.0837438423645,6.56814449917898,3.11986863711002,6.81444991789819,1.88834154351396,1.3136288998358,3.61247947454844
"E01006541",1350,505,241,201,66,136,156,45,38,47,21,4,22,37.4074074074074,17.8518518518519,14.8888888888889,4.88888888888889,10.0740740740741,11.5555555555556,3.33333333333333,2.81481481481481,3.48148148148148,1.55555555555556,0.296296296296296,1.62962962962963
"E01006542",1149,425,182,161,32,127,165,57,43,50,24,1,24,36.9886858137511,15.8398607484769,14.0121845082681,2.78503046127067,11.053089643168,14.3603133159269,4.96083550913838,3.74238468233246,4.35161009573542,2.088772845953,0.0870322019147084,2.088772845953
"E01006543",1053,311,193,180,54,143,145,27,37,55,28,5,22,29.5346628679962,18.3285849952517,17.0940170940171,5.12820512820513,13.5802469135802,13.7701804368471,2.56410256410256,3.51377018043685,5.22317188983856,2.65906932573599,0.474833808167141,2.08926875593542
