"GeographyCode","KS501EW0001","KS501EW0002","KS501EW0003","KS501EW0004","KS501EW0005","KS501EW0006","KS501EW0007","KS501EW0008","KS501EW0009","KS501EW0010","KS501EW0011","KS501EW0012","KS501EW0013","KS501EW0014","KS501EW0015","KS501EW0016","KS501EW0017","KS501EW0018","KS501EW0019","KS501EW0020","KS501EW0021","KS501EW0022","KS501EW0023","KS501EW0024","KS501EW0025"
"E02001347",6072,1984,870,1005,202,774,1007,230,175,231,100,20,111,32.6745718050066,14.3280632411067,16.5513833992095,3.32674571805007,12.7470355731225,16.5843214756258,3.78787878787879,2.88208168642951,3.80434782608696,1.64690382081686,0.329380764163373,1.82806324110672
"E02001348",5819,1567,1018,1035,214,761,1056,168,163,201,89,12,99,26.9290256057742,17.494414847912,17.7865612648221,3.67760783639801,13.0778484275649,18.1474480151229,2.88709400240591,2.80116858566764,3.4542017528785,1.52947241794123,0.206221000171851,1.70132325141777
"E02001349",6487,1561,1106,1168,238,939,1273,202,170,303,161,28,113,24.0635116386619,17.0494835825497,18.0052412517342,3.66887621396639,14.4751040542624,19.6238631108371,3.11392014798828,2.62062586711885,4.67088022198243,2.48188685062433,0.431632495760752,1.74194542932018
"E02001350",6233,2425,895,990,156,671,846,250,164,231,92,35,102,38.9058238408471,14.3590566340446,15.883202310284,2.50280763677202,10.7652815658591,13.572918337879,4.01090967431413,2.63115674635007,3.70608053906626,1.4760147601476,0.561527354403979,1.63645114712017
"E02001351",7217,2768,1175,1220,191,747,827,289,205,340,133,60,147,38.3538866565055,16.2810031869198,16.9045309685465,2.64652902868228,10.3505611750035,11.4590550090065,4.00443397533601,2.84051544963281,4.71109879451296,1.84287099903007,0.831370375502286,2.0368574199806
"E02001352",6127,2161,871,1080,187,718,803,307,141,325,121,30,173,35.2701158805288,14.2157662803982,17.6268973396442,3.05206463195691,11.7186224906153,13.1059245960503,5.01060878080627,2.30128937489799,5.30439040313367,1.97486535008977,0.489636037212339,2.82356781459115
"E02001353",5953,1282,917,1094,241,829,1375,215,192,290,138,26,125,21.5353603225265,15.4039979842096,18.3772887619688,4.04837896858727,13.9257517218209,23.0975978498236,3.61162439106333,3.22526457248446,4.87149336469007,2.31815891147321,0.436754577523937,2.09978162271124
"E02001354",6064,2329,983,961,196,682,691,222,183,309,130,39,136,38.4069920844327,16.2104221635884,15.8476253298153,3.23218997361478,11.2467018469657,11.3951187335092,3.66094986807388,3.01781002638522,5.09564643799472,2.14379947229551,0.643139841688654,2.24274406332454
"E02001355",5508,2011,820,962,161,690,683,181,160,267,95,41,131,36.5105301379811,14.8874364560639,17.4655047204067,2.92302106027596,12.5272331154684,12.4001452432825,3.28612926652142,2.90486564996369,4.84749455337691,1.72476397966594,0.744371822803195,2.37835875090777
"E02001356",4183,1748,618,710,76,394,448,189,146,186,74,27,84,41.7881902940473,14.7740855845087,16.9734640210375,1.81687783887162,9.41907721730815,10.7100167344011,4.51828830982548,3.4903179536218,4.44656944776476,1.76906526416448,0.645469758546498,2.00812813770021
"E02001357",5515,2347,820,961,143,568,522,154,184,267,90,33,143,42.5566636446056,14.868540344515,17.4252039891206,2.59292837715322,10.2991840435177,9.46509519492294,2.792384406165,3.33635539437897,4.84134179510426,1.63191296464189,0.598368087035358,2.59292837715322
"E02001358",5711,2221,916,927,174,670,596,207,144,247,102,33,111,38.8898616704605,16.039222552968,16.2318333041499,3.04675188233234,11.7317457538084,10.4360007004027,3.62458413587813,2.52144983365435,4.32498686744878,1.78602696550517,0.577832253545789,1.94361758010856
"E02001359",4774,1360,721,737,209,547,1031,169,150,226,98,23,105,28.4876413908672,15.1026392961877,15.4377880184332,4.3778801843318,11.4578969417679,21.5961457896942,3.54000837871806,3.14201927105153,4.73397570171764,2.05278592375367,0.481776288227901,2.19941348973607
"E02001360",6909,3099,948,991,166,735,665,305,205,324,102,47,174,44.8545375597047,13.7212331741207,14.3436097843393,2.40266319293675,10.6382978723404,9.62512664640324,4.41453177015487,2.96714430453032,4.68953538862353,1.47633521493704,0.680272108843537,2.51845419018671
"E02001361",6237,2335,1052,1008,244,678,703,217,203,265,109,28,128,37.4378707712041,16.8670835337502,16.1616161616162,3.91213724547058,10.8706108706109,11.2714446047779,3.47923681257015,3.25476992143659,4.24883758217092,1.74763508096841,0.448933782267116,2.05226871893539
"E02001362",6208,2121,976,995,221,722,953,220,196,277,110,24,142,34.1655927835052,15.7216494845361,16.027706185567,3.55992268041237,11.6301546391753,15.3511597938144,3.54381443298969,3.15721649484536,4.46198453608247,1.77190721649485,0.38659793814433,2.28737113402062
"E02001363",6076,2287,930,956,158,670,824,251,189,282,109,33,140,37.6398946675444,15.3061224489796,15.7340355497038,2.60039499670836,11.026991441738,13.5615536537196,4.13100724160632,3.11059907834101,4.64121132323897,1.79394338380513,0.54312047399605,2.30414746543779
"E02001364",4287,1869,661,662,100,393,401,201,155,173,70,9,92,43.5969209237229,15.418707721017,15.4420340564497,2.33263354327035,9.16724982505248,9.35386050851411,4.68859342197341,3.61558199206905,4.03545602985771,1.63284348028925,0.209937018894332,2.14602285980872
"E02001365",7072,2352,1205,1129,173,932,988,293,197,491,163,46,282,33.2579185520362,17.0390271493213,15.9643665158371,2.44626696832579,13.1787330316742,13.9705882352941,4.14309954751131,2.7856334841629,6.94287330316742,2.30486425339367,0.650452488687783,3.98755656108597
"E02001366",7365,2274,1165,1267,223,891,1235,310,222,360,131,38,190,30.8757637474542,15.8180583842498,17.2029871011541,3.02783435166327,12.0977596741344,16.7684996605567,4.20909708078751,3.0142566191446,4.88798370672098,1.77868295994569,0.515953835709437,2.57976917854718
"E02001367",7735,1810,1001,1300,337,1021,2007,259,210,360,164,36,159,23.4001292824822,12.9411764705882,16.8067226890756,4.3568196509373,13.1997414350356,25.9469941822883,3.34841628959276,2.71493212669683,4.65416936005171,2.120232708468,0.465416936005171,2.05559146735617
"E02001368",4871,2468,609,553,89,384,558,210,120,212,78,8,126,50.6672141244098,12.5025662081708,11.3529049476494,1.82714021761445,7.88339150071854,11.4555532744816,4.31122972695545,2.46355984397454,4.35228905768836,1.60131389858345,0.164237322931636,2.58673783617327
"E02001369",6581,2776,772,778,125,708,1148,274,147,551,161,59,325,42.1820392037684,11.7307400091172,11.8219115635922,1.89940738489591,10.7582434280504,17.4441574228841,4.16350098769184,2.23370308463759,8.37258775262118,2.44643671174594,0.896520285670871,4.93845920072937
"E02001370",5034,2460,703,679,138,360,441,253,143,233,75,33,124,48.8676996424315,13.9650377433453,13.4882796980532,2.74135876042908,7.15137067938021,8.76042908224076,5.02582439411998,2.84068335319825,4.62852602304331,1.48986889153754,0.65554231227652,2.46324990067541
"E02001371",5641,2032,870,920,127,632,842,218,175,238,80,29,127,36.0219819180996,15.4227973763517,16.3091650416593,2.25137386988123,11.2036872894877,14.9264314837795,3.864563020741,3.10228682857649,4.21911008686403,1.41818826449211,0.51409324587839,2.25137386988123
"E02001372",5176,1739,701,827,180,620,956,153,146,224,98,32,92,33.597372488408,13.5432766615147,15.9775888717156,3.47758887171561,11.9783616692427,18.4698608964451,2.95595054095827,2.82071097372488,4.32766615146832,1.89335394126739,0.618238021638331,1.7774343122102
"E02001373",7450,2292,1109,1281,224,980,1282,282,220,382,144,44,192,30.7651006711409,14.8859060402685,17.1946308724832,3.00671140939597,13.1543624161074,17.2080536912752,3.78523489932886,2.95302013422819,5.12751677852349,1.93288590604027,0.590604026845638,2.57718120805369
"E02001374",6920,2068,971,986,154,865,1399,477,144,684,228,85,368,29.8843930635838,14.0317919075145,14.2485549132948,2.22543352601156,12.5,20.2167630057803,6.89306358381503,2.08092485549133,9.88439306358381,3.29479768786127,1.22832369942197,5.31791907514451
"E02001375",5870,2042,945,907,195,625,965,191,156,196,71,32,88,34.7870528109029,16.0988074957411,15.4514480408859,3.32197614991482,10.6473594548552,16.4395229982964,3.25383304940375,2.65758091993186,3.33901192504259,1.20954003407155,0.545144804088586,1.49914821124361
