"GeographyCode","KS601EW0001","KS601EW0002","KS601EW0003","KS601EW0004","KS601EW0005","KS601EW0006","KS601EW0007","KS601EW0008","KS601EW0009","KS601EW0010","KS601EW0011","KS601EW0012","KS601EW0013","KS601EW0014","KS601EW0015","KS601EW0016","KS601EW0017","KS601EW0018","KS601EW0019","KS601EW0020","KS601EW0021","KS601EW0022","KS601EW0023","KS601EW0024","KS601EW0025","KS601EW0026","KS601EW0027","KS601EW0028","KS601EW0029"
"E01006512",1666,87,283,43,59,173,32,822,49,81,37,11,4,14,22,5.22208883553421,16.9867947178872,2.58103241296519,3.54141656662665,10.3841536614646,1.92076830732293,49.3397358943577,2.94117647058824,4.86194477791116,2.22088835534214,0.660264105642257,0.240096038415366,0.840336134453782,1.32052821128451
"E01006513",2853,92,414,93,43,670,25,1419,8,58,31,12,3,10,16,3.22467577988083,14.5110410094637,3.25972660357518,1.50718541885734,23.4840518752191,0.87627059235892,49.7371188222923,0.280406589554855,2.0329477742727,1.08657553452506,0.420609884332282,0.10515247108307,0.350508236943568,0.560813179109709
"E01006514",1955,146,400,112,121,350,95,525,25,128,53,22,21,25,48,7.46803069053709,20.460358056266,5.72890025575448,6.18925831202046,17.9028132992327,4.85933503836317,26.8542199488491,1.27877237851662,6.54731457800511,2.71099744245524,1.12531969309463,1.07416879795396,1.27877237851662,2.45524296675192
"E01006515",921,107,294,47,61,48,104,75,46,96,43,12,6,13,19,11.6178067318132,31.9218241042345,5.10314875135722,6.62323561346363,5.21172638436482,11.2920738327904,8.14332247557003,4.99457111834962,10.4234527687296,4.66883821932682,1.30293159609121,0.651465798045603,1.41150922909881,2.06297502714441
"E01006518",1229,174,317,46,90,42,167,82,56,188,67,20,22,21,39,14.1578519121237,25.793327908869,3.74288039056143,7.32302685109845,3.41741253051261,13.5882831570382,6.67209113100081,4.55655004068348,15.2969894222945,5.45158665581774,1.6273393002441,1.79007323026851,1.70870626525631,3.173311635476
"E01006519",949,132,397,90,25,32,163,63,14,24,9,11,6,4,7,13.9093782929399,41.8335089567966,9.48366701791359,2.63435194942044,3.37197049525817,17.1759747102213,6.63856691253952,1.47523709167545,2.52897787144363,0.948366701791359,1.15911485774499,0.632244467860906,0.421496311907271,0.737618545837724
"E01006520",1523,112,761,129,109,63,114,65,16,129,25,11,26,14,48,7.35390676296783,49.9671700590939,8.47012475377544,7.15692711753119,4.1365725541694,7.48522652659225,4.26789231779383,1.0505581089954,8.47012475377544,1.64149704530532,0.72225869993434,1.70715692711753,0.919238345370978,3.15167432698621
"E01006521",1256,112,524,123,69,49,166,68,29,82,34,12,8,5,34,8.9171974522293,41.7197452229299,9.79299363057325,5.49363057324841,3.90127388535032,13.2165605095541,5.4140127388535,2.30891719745223,6.52866242038217,2.70700636942675,0.955414012738854,0.636942675159236,0.398089171974522,2.70700636942675
"E01006522",1564,108,744,121,123,65,75,74,36,179,39,13,12,11,56,6.90537084398977,47.5703324808184,7.73657289002558,7.86445012787724,4.15601023017903,4.79539641943734,4.73145780051151,2.30179028132992,11.4450127877238,2.49360613810742,0.831202046035806,0.767263427109974,0.703324808184143,3.58056265984655
"E01006523",1242,121,562,103,83,33,99,69,38,109,25,8,18,10,33,9.74235104669887,45.2495974235105,8.29307568438003,6.68276972624799,2.65700483091787,7.97101449275362,5.55555555555556,3.05958132045089,8.77616747181965,2.01288244766506,0.644122383252818,1.44927536231884,0.805152979066022,2.65700483091787
"E01006524",2033,80,403,104,19,324,132,900,23,35,13,4,5,5,5,3.93507132316773,19.8229217904574,5.11559272011805,0.934579439252336,15.9370388588293,6.49286768322676,44.269552385637,1.13133300541072,1.72159370388588,0.639449090014756,0.196753566158387,0.245941957697983,0.245941957697983,0.245941957697983
"E01006525",942,129,385,87,35,43,151,60,20,25,7,10,12,6,13,13.6942675159236,40.8704883227176,9.23566878980892,3.71549893842887,4.56475583864119,16.0297239915074,6.36942675159236,2.12314225053079,2.65392781316348,0.743099787685775,1.06157112526539,1.27388535031847,0.636942675159236,1.38004246284501
