"GeographyCode","KS602EW0001","KS602EW0002","KS602EW0003","KS602EW0004","KS602EW0005","KS602EW0006","KS602EW0007","KS602EW0008","KS602EW0009","KS602EW0010","KS602EW0011","KS602EW0012","KS602EW0013","KS602EW0014","KS602EW0015","KS602EW0016","KS602EW0017","KS602EW0018","KS602EW0019","KS602EW0020","KS602EW0021","KS602EW0022","KS602EW0023","KS602EW0024","KS602EW0025","KS602EW0026","KS602EW0027","KS602EW0028","KS602EW0029"
"E00032987",68,4,28,8,7,3,8,3,2,3,2,1,1,1,2,5.88235294117647,41.1764705882353,11.7647058823529,10.2941176470588,4.41176470588235,11.7647058823529,4.41176470588235,2.94117647058824,4.41176470588235,2.94117647058824,1.47058823529412,1.47058823529412,1.47058823529412,2.94117647058824
"E00032988",182,14,48,16,21,11,24,7,1,33,7,5,3,6,11,7.69230769230769,26.3736263736264,8.79120879120879,11.5384615384615,6.04395604395604,13.1868131868132,3.84615384615385,0.549450549450549,18.1318681318681,3.84615384615385,2.74725274725275,1.64835164835165,3.2967032967033,6.04395604395604
"E00032989",189,20,54,12,16,11,10,25,1,36,4,1,5,2,10,10.5820105820106,28.5714285714286,6.34920634920635,8.46560846560847,5.82010582010582,5.29100529100529,13.2275132275132,0.529100529100529,19.047619047619,2.11640211640212,0.529100529100529,2.64550264550265,1.05820105820106,5.29100529100529
"E00032990",174,20,52,14,16,7,12,27,0,19,7,4,0,3,9,11.4942528735632,29.8850574712644,8.04597701149425,9.19540229885057,4.02298850574713,6.89655172413793,15.5172413793103,0,10.9195402298851,4.02298850574713,2.29885057471264,0,1.72413793103448,5.17241379310345
"E00032991",182,13,59,6,28,8,2,24,1,36,5,4,5,1,20,7.14285714285714,32.4175824175824,3.2967032967033,15.3846153846154,4.3956043956044,1.0989010989011,13.1868131868132,0.549450549450549,19.7802197802198,2.74725274725275,2.1978021978022,2.74725274725275,0.549450549450549,10.989010989011
"E00032992",129,14,37,4,19,7,3,20,0,24,1,3,1,1,15,10.8527131782946,28.6821705426357,3.10077519379845,14.7286821705426,5.42635658914729,2.32558139534884,15.5038759689922,0,18.6046511627907,0.775193798449612,2.32558139534884,0.775193798449612,0.775193798449612,11.6279069767442
"E00032993",133,8,55,14,11,9,3,22,0,10,1,0,1,2,1,6.01503759398496,41.3533834586466,10.5263157894737,8.27067669172932,6.76691729323308,2.25563909774436,16.5413533834586,0,7.5187969924812,0.75187969924812,0,0.75187969924812,1.50375939849624,0.75187969924812
"E00032994",42,0,10,5,2,2,5,4,0,11,3,0,0,0,2,0,23.8095238095238,11.9047619047619,4.76190476190476,4.76190476190476,11.9047619047619,9.52380952380952,0,26.1904761904762,7.14285714285714,0,0,0,4.76190476190476
"E00032995",93,5,24,2,11,0,12,9,1,26,3,4,2,4,3,5.37634408602151,25.8064516129032,2.1505376344086,11.8279569892473,0,12.9032258064516,9.67741935483871,1.0752688172043,27.9569892473118,3.2258064516129,4.3010752688172,2.1505376344086,4.3010752688172,3.2258064516129
"E00032996",134,0,43,8,12,4,30,7,1,22,7,4,2,4,4,0,32.089552238806,5.97014925373134,8.95522388059701,2.98507462686567,22.3880597014925,5.22388059701492,0.746268656716418,16.4179104477612,5.22388059701492,2.98507462686567,1.49253731343284,2.98507462686567,2.98507462686567
"E00032997",86,11,31,7,10,3,6,4,1,10,3,2,0,5,3,12.7906976744186,36.046511627907,8.13953488372093,11.6279069767442,3.48837209302326,6.97674418604651,4.65116279069767,1.16279069767442,11.6279069767442,3.48837209302326,2.32558139534884,0,5.81395348837209,3.48837209302326
"E00032998",141,11,57,18,8,4,15,9,1,16,2,1,2,1,3,7.80141843971631,40.4255319148936,12.7659574468085,5.67375886524823,2.83687943262411,10.6382978723404,6.38297872340426,0.709219858156028,11.3475177304965,1.41843971631206,0.709219858156028,1.41843971631206,0.709219858156028,2.12765957446809
"E00032999",194,17,64,14,21,17,8,33,1,13,6,5,2,8,5,8.76288659793814,32.9896907216495,7.21649484536082,10.8247422680412,8.76288659793814,4.12371134020619,17.0103092783505,0.515463917525773,6.70103092783505,3.09278350515464,2.57731958762887,1.03092783505155,4.12371134020619,2.57731958762887
"E00033000",40,2,10,0,4,1,7,7,2,7,0,0,1,1,0,5,25,0,10,2.5,17.5,17.5,5,17.5,0,0,2.5,2.5,0
"E00033002",97,11,28,7,8,7,5,8,0,16,7,0,2,0,2,11.340206185567,28.8659793814433,7.21649484536082,8.24742268041237,7.21649484536082,5.15463917525773,8.24742268041237,0,16.4948453608247,7.21649484536082,0,2.06185567010309,0,2.06185567010309
"E00033004",132,6,75,23,7,4,7,9,0,1,0,3,0,0,3,4.54545454545455,56.8181818181818,17.4242424242424,5.3030303030303,3.03030303030303,5.3030303030303,6.81818181818182,0,0.757575757575758,0,2.27272727272727,0,0,2.27272727272727
"E00033005",131,14,45,3,12,1,19,8,3,20,6,4,4,1,6,10.6870229007634,34.3511450381679,2.29007633587786,9.16030534351145,0.763358778625954,14.5038167938931,6.10687022900763,2.29007633587786,15.2671755725191,4.58015267175572,3.05343511450382,3.05343511450382,0.763358778625954,4.58015267175572
"E00033006",98,6,34,6,7,4,18,5,2,14,2,2,0,1,3,6.12244897959184,34.6938775510204,6.12244897959184,7.14285714285714,4.08163265306122,18.3673469387755,5.10204081632653,2.04081632653061,14.2857142857143,2.04081632653061,2.04081632653061,0,1.02040816326531,3.06122448979592
