"GeographyCode","KS604EW0001","KS604EW0002","KS604EW0003","KS604EW0004","KS604EW0005","KS604EW0006","KS604EW0007","KS604EW0008","KS604EW0009","KS604EW0010","KS604EW0011","KS604EW0012","KS604EW0013","KS604EW0014","KS604EW0015","KS604EW0016","KS604EW0017","KS604EW0018","KS604EW0019","KS604EW0020","KS604EW0021","KS604EW0022","KS604EW0023","KS604EW0024","KS604EW0025","KS604EW0026","KS604EW0027","KS604EW0028","KS604EW0029"
"E02001347",3378,248,772,2050,308,1660,72,198,1146,244,1718,176,574,904,64,7.34162226169331,22.8537596210776,60.6867969212552,9.11782119597395,49.141503848431,2.13143872113677,5.86145648312611,33.9253996447602,7.22320899940793,50.858496151569,5.21018354055654,16.9923031379514,26.761397276495,1.89461219656602
"E02001348",3473,217,756,2209,291,1747,67,190,1265,225,1726,150,566,944,66,6.2482004031097,21.7679239850274,63.6049524906421,8.37892312122085,50.3023322775698,1.92916786639793,5.47077454650158,36.4238410596026,6.47854880506766,49.6976677224302,4.31903253671178,16.2971494385258,27.1811114310394,1.90037431615318
"E02001349",4057,281,826,2627,323,2061,103,194,1516,248,1996,178,632,1111,75,6.9263002218388,20.3598718264728,64.7522800098595,7.96154794182894,50.8010845452305,2.53882178949963,4.78185851614493,37.3675129405965,6.1128912989894,49.1989154547695,4.38747843233917,15.5780133103278,27.384767069263,1.84865664283954
"E02001350",3082,210,734,1899,239,1513,68,170,1085,190,1569,142,564,814,49,6.81375730045425,23.8157040882544,61.6158338741077,7.75470473718365,49.0914990266061,2.20635950681376,5.51589876703439,35.2044127190136,6.16482803374432,50.9085009733939,4.60739779364049,18.29980532122,26.4114211550941,1.58987670343933
"E02001351",3315,264,848,1965,238,1693,92,263,1152,186,1622,172,585,813,52,7.96380090497737,25.5806938159879,59.2760180995475,7.17948717948718,51.0708898944193,2.77526395173454,7.93363499245852,34.7511312217195,5.61085972850679,48.9291101055807,5.18853695324284,17.6470588235294,24.5248868778281,1.56862745098039
"E02001352",2995,206,780,1769,240,1699,77,302,1118,202,1296,129,478,651,38,6.87813021702838,26.0434056761269,59.0651085141903,8.01335559265442,56.7278797996661,2.57095158597663,10.0834724540902,37.3288814691152,6.74457429048414,43.2721202003339,4.30717863105175,15.9599332220367,21.7362270450751,1.26878130217028
"E02001353",3971,293,842,2438,398,1945,93,177,1384,291,2026,200,665,1054,107,7.37849408209519,21.2037270209015,61.3951145807101,10.0226643162931,48.9801057668094,2.3419793502896,4.45731553764795,34.8526819440947,7.32812893477713,51.0198942331906,5.03651473180559,16.7464114832536,26.5424326366155,2.69453538151599
"E02001354",3093,277,814,1788,214,1512,110,189,1037,176,1581,167,625,751,38,8.95570643388296,26.3174911089557,57.807953443259,6.91884901390236,48.8845780795344,3.55641771742645,6.1105722599418,33.5273197542839,5.69026834788231,51.1154219204656,5.39928871645651,20.2069188490139,24.2806336889751,1.22858066602005
"E02001355",2783,215,660,1687,221,1403,74,177,981,171,1380,141,483,706,50,7.72547610492274,23.7154150197628,60.6180380883938,7.94107078692059,50.4132231404959,2.65900107797341,6.3600431189364,35.2497305066475,6.14444843693856,49.5867768595041,5.06647502694934,17.3553719008264,25.3683075817463,1.79662234998203
"E02001356",1896,145,514,1103,134,885,47,123,619,96,1011,98,391,484,38,7.64767932489451,27.1097046413502,58.1751054852321,7.06751054852321,46.6772151898734,2.4789029535865,6.4873417721519,32.6476793248945,5.06329113924051,53.3227848101266,5.16877637130802,20.6223628691983,25.5274261603376,2.0042194092827
"E02001357",2460,211,672,1431,146,1159,74,161,798,126,1301,137,511,633,20,8.57723577235772,27.3170731707317,58.1707317073171,5.9349593495935,47.1138211382114,3.00813008130081,6.54471544715447,32.4390243902439,5.1219512195122,52.8861788617886,5.56910569105691,20.7723577235772,25.7317073170732,0.813008130081301
"E02001358",2875,205,697,1787,186,1410,56,163,1048,143,1465,149,534,739,43,7.1304347826087,24.2434782608696,62.1565217391304,6.4695652173913,49.0434782608696,1.94782608695652,5.6695652173913,36.4521739130435,4.97391304347826,50.9565217391304,5.18260869565217,18.5739130434783,25.704347826087,1.49565217391304
"E02001359",2765,235,619,1642,269,1384,81,149,942,212,1381,154,470,700,57,8.49909584086799,22.3869801084991,59.3851717902351,9.72875226039783,50.0542495479204,2.92947558770344,5.38878842676311,34.0687160940325,7.66726943942134,49.9457504520796,5.56962025316456,16.998191681736,25.3164556962025,2.06148282097649
"E02001360",2987,208,812,1739,228,1521,77,229,1029,186,1466,131,583,710,42,6.96350853699364,27.1844660194175,58.2189487780382,7.63307666555072,50.920656176766,2.57783729494476,7.66655507197857,34.4492802142618,6.22698359558085,49.079343823234,4.38567124204888,19.5179109474389,23.7696685637764,1.40609306996987
"E02001361",3144,265,778,1887,214,1537,68,191,1102,176,1607,197,587,785,38,8.42875318066158,24.7455470737914,60.0190839694656,6.80661577608142,48.8867684478371,2.16284987277354,6.07506361323155,35.0508905852417,5.59796437659033,51.1132315521629,6.26590330788804,18.6704834605598,24.9681933842239,1.20865139949109
"E02001362",3206,262,750,1979,215,1596,91,176,1159,170,1610,171,574,820,45,8.17217716781036,23.3936369307548,61.7280099812851,6.70617592014972,49.7816593886463,2.83842794759825,5.48970679975047,36.1509669369931,5.30255770430443,50.2183406113537,5.3337492202121,17.9039301310044,25.577043044292,1.40361821584529
"E02001363",2913,206,774,1686,247,1362,68,165,952,177,1551,138,609,734,70,7.07174733951253,26.5705458290422,57.8784757981462,8.479231033299,46.7559217301751,2.33436319945074,5.66426364572606,32.6810847923103,6.07621009268795,53.2440782698249,4.73738414006179,20.9062821833162,25.1973910058359,2.40302094061105
"E02001364",1769,170,439,1035,125,899,60,124,626,89,870,110,315,409,36,9.60994912379876,24.816280384398,58.5076314301865,7.06613906161673,50.8196721311475,3.39174674957603,7.0096099491238,35.3872244205766,5.03109101187111,49.1803278688525,6.21820237422272,17.8066704352742,23.1204070096099,2.03504804974562
"E02001365",3544,294,893,2125,232,1779,107,264,1232,176,1765,187,629,893,56,8.29571106094808,25.1975169300226,59.9604966139955,6.54627539503386,50.1975169300226,3.01918735891648,7.44920993227991,34.7629796839729,4.96613995485327,49.8024830699774,5.2765237020316,17.7483069977427,25.1975169300226,1.58013544018059
"E02001366",3844,301,849,2400,294,1981,120,243,1393,225,1863,181,606,1007,69,7.83038501560874,22.0863683662851,62.4349635796046,7.64828303850156,51.5348595213319,3.12174817898023,6.32154006243496,36.2382934443288,5.85327783558793,48.4651404786681,4.70863683662851,15.7648283038502,26.1966701352758,1.79500520291363
"E02001367",4487,373,907,2747,460,2255,125,217,1552,361,2232,248,690,1195,99,8.31290394472922,20.2139514151995,61.2213059950969,10.2518386449744,50.2562959661244,2.78582571874304,4.83619344773791,34.5888121239135,8.04546467572989,49.7437040338756,5.52707822598618,15.3777579674616,26.6324938711834,2.20637396924448
"E02001368",1889,152,512,1098,127,915,49,146,617,103,974,103,366,481,24,8.04658549497088,27.1042879830598,58.1259925886713,6.72313393329804,48.438327157226,2.59396506087877,7.7289571201694,32.6627845420858,5.45262043409211,51.561672842774,5.45262043409211,19.3753308628904,25.4632080465855,1.27051349920593
"E02001369",2898,237,705,1724,232,1518,93,182,1065,178,1380,144,523,659,54,8.17805383022774,24.3271221532091,59.4893029675638,8.00552104899931,52.3809523809524,3.20910973084886,6.28019323671498,36.7494824016563,6.14216701173223,47.6190476190476,4.96894409937888,18.0469289164941,22.7398205659075,1.86335403726708
"E02001370",1724,147,490,969,118,837,53,142,554,88,887,94,348,415,30,8.52668213457077,28.4222737819026,56.2064965197216,6.84454756380511,48.5498839907193,3.07424593967517,8.23665893271462,32.1345707656613,5.10440835266821,51.4501160092807,5.45243619489559,20.1856148491879,24.0719257540603,1.74013921113689
"E02001371",2936,221,743,1760,212,1378,73,185,949,171,1558,148,558,811,41,7.52724795640327,25.3065395095368,59.9455040871935,7.22070844686648,46.9346049046322,2.48637602179837,6.30108991825613,32.3228882833787,5.82425068119891,53.0653950953678,5.0408719346049,19.0054495912807,27.6226158038147,1.39645776566757
