"GeographyCode","KS605EW0001","KS605EW0002","KS605EW0003","KS605EW0004","KS605EW0005","KS605EW0006","KS605EW0007","KS605EW0008","KS605EW0009","KS605EW0010","KS605EW0011","KS605EW0012","KS605EW0013","KS605EW0014","KS605EW0015","KS605EW0016","KS605EW0017","KS605EW0018","KS605EW0019","KS605EW0020","KS605EW0021","KS605EW0022","KS605EW0023","KS605EW0024","KS605EW0025","KS605EW0026","KS605EW0027","KS605EW0028","KS605EW0029","KS605EW0030","KS605EW0031","KS605EW0032","KS605EW0033","KS605EW0034","KS605EW0035","KS605EW0036","KS605EW0037"
"E01006512",513,0,0,24,0,1,9,56,8,86,18,4,3,32,15,22,111,89,35,0,0,4.67836257309941,0,0.194931773879142,1.75438596491228,10.916179337232,1.55945419103314,16.7641325536062,3.50877192982456,0.779727095516569,0.584795321637427,6.23781676413255,2.92397660818713,4.28849902534113,21.6374269005848,17.3489278752437,6.82261208576998
"E01006513",1052,2,1,24,2,0,11,210,18,222,46,25,20,73,40,42,124,86,106,0.190114068441065,0.0950570342205323,2.28136882129278,0.190114068441065,0,1.04562737642586,19.9619771863118,1.71102661596958,21.1026615969582,4.37262357414449,2.37642585551331,1.90114068441065,6.93916349809886,3.80228136882129,3.99239543726236,11.787072243346,8.17490494296578,10.0760456273764
"E01006514",926,1,0,22,0,1,15,135,8,141,49,16,16,66,34,30,151,113,128,0.107991360691145,0,2.37580993520518,0,0.107991360691145,1.61987041036717,14.5788336933045,0.863930885529158,15.2267818574514,5.29157667386609,1.72786177105832,1.72786177105832,7.12742980561555,3.67170626349892,3.23974082073434,16.3066954643628,12.2030237580994,13.8228941684665
"E01006515",482,0,1,14,2,3,18,61,18,76,23,12,10,26,22,24,43,84,45,0,0.20746887966805,2.9045643153527,0.4149377593361,0.622406639004149,3.7344398340249,12.655601659751,3.7344398340249,15.7676348547718,4.77178423236515,2.4896265560166,2.0746887966805,5.39419087136929,4.5643153526971,4.9792531120332,8.92116182572614,17.4273858921162,9.33609958506224
"E01006518",562,0,1,26,2,4,30,79,24,72,16,13,13,17,31,39,61,99,35,0,0.177935943060498,4.62633451957295,0.355871886120996,0.711743772241993,5.33807829181495,14.0569395017794,4.27046263345196,12.8113879003559,2.84697508896797,2.31316725978648,2.31316725978648,3.02491103202847,5.51601423487545,6.93950177935943,10.8540925266904,17.6156583629893,6.22775800711744
"E01006519",643,0,0,40,1,7,28,57,27,29,23,22,13,56,23,48,145,96,28,0,0,6.22083981337481,0.15552099533437,1.08864696734059,4.35458786936236,8.8646967340591,4.19906687402799,4.51010886469673,3.57698289269051,3.42146189735614,2.02177293934681,8.70917573872473,3.57698289269051,7.46500777604977,22.5505443234837,14.9300155520995,4.35458786936236
"E01006520",1049,1,0,57,3,4,41,82,22,50,72,26,28,96,40,64,169,223,71,0.0953288846520496,0,5.43374642516683,0.285986653956149,0.381315538608198,3.90848427073403,7.81696854146807,2.09723546234509,4.76644423260248,6.86367969494757,2.47855100095329,2.66920877025739,9.15157292659676,3.81315538608198,6.10104861773117,16.1105815061964,21.2583412774071,6.76835081029552
"E01006521",799,0,1,48,2,2,34,81,16,34,34,25,20,76,28,51,140,155,52,0,0.125156445556946,6.00750938673342,0.250312891113892,0.250312891113892,4.25531914893617,10.1376720901126,2.00250312891114,4.25531914893617,4.25531914893617,3.12891113892365,2.50312891113892,9.51188986232791,3.50438047559449,6.38297872340426,17.5219023779725,19.3992490613267,6.5081351689612
"E01006522",1027,0,1,34,2,2,31,90,26,64,71,25,30,102,38,66,172,212,61,0,0.0973709834469328,3.31061343719572,0.194741966893866,0.194741966893866,3.01850048685492,8.76338851022395,2.53164556962025,6.2317429406037,6.91333982473223,2.43427458617332,2.92112950340798,9.93184031158715,3.70009737098345,6.42648490749757,16.7478091528724,20.6426484907498,5.9396299902629
"E01006523",812,0,1,34,0,2,26,66,29,36,40,11,8,51,27,59,156,200,66,0,0.123152709359606,4.1871921182266,0,0.246305418719212,3.20197044334975,8.12807881773399,3.57142857142857,4.43349753694581,4.92610837438424,1.35467980295567,0.985221674876847,6.2807881773399,3.32512315270936,7.26600985221675,19.2118226600985,24.6305418719212,8.12807881773399
"E01006524",767,4,1,31,4,1,28,100,9,78,24,30,16,56,19,49,113,135,69,0.521512385919166,0.130378096479791,4.04172099087353,0.521512385919166,0.130378096479791,3.65058670143416,13.0378096479791,1.17340286831812,10.1694915254237,3.12907431551499,3.91134289439374,2.08604954367666,7.30117340286832,2.47718383311604,6.38852672750978,14.7327249022164,17.6010430247718,8.99608865710561
"E01006525",638,1,0,41,1,1,44,61,26,25,15,21,11,62,17,68,114,89,41,0.156739811912226,0,6.42633228840125,0.156739811912226,0.156739811912226,6.89655172413793,9.56112852664577,4.07523510971787,3.91849529780564,2.35109717868339,3.29153605015674,1.72413793103448,9.71786833855799,2.66457680250784,10.6583072100313,17.8683385579937,13.9498432601881,6.42633228840125
"E01006526",698,1,0,35,5,6,29,76,35,22,27,20,9,60,28,59,125,134,27,0.143266475644699,0,5.01432664756447,0.716332378223496,0.859598853868195,4.15472779369628,10.8882521489971,5.01432664756447,3.15186246418338,3.86819484240688,2.86532951289398,1.28939828080229,8.59598853868195,4.01146131805158,8.45272206303725,17.9083094555874,19.1977077363897,3.86819484240688
"E01006527",658,0,0,42,0,5,32,76,31,46,20,26,15,42,18,56,105,97,47,0,0,6.38297872340426,0,0.759878419452888,4.86322188449848,11.5501519756839,4.7112462006079,6.99088145896657,3.03951367781155,3.95136778115502,2.27963525835866,6.38297872340426,2.73556231003039,8.51063829787234,15.9574468085106,14.741641337386,7.14285714285714
"E01006528",760,0,1,43,2,7,29,93,38,55,39,27,12,54,34,53,127,110,36,0,0.131578947368421,5.65789473684211,0.263157894736842,0.921052631578947,3.81578947368421,12.2368421052632,5,7.23684210526316,5.13157894736842,3.55263157894737,1.57894736842105,7.10526315789474,4.47368421052632,6.97368421052632,16.7105263157895,14.4736842105263,4.73684210526316
"E01006529",709,0,0,48,1,4,31,58,37,34,20,27,10,57,21,55,151,108,47,0,0,6.77009873060649,0.141043723554302,0.564174894217207,4.37235543018336,8.18053596614951,5.21861777150917,4.79548660084626,2.82087447108604,3.80818053596615,1.41043723554302,8.03949224259521,2.96191819464034,7.7574047954866,21.2976022566996,15.2327221438646,6.62905500705219
"E01006530",648,0,0,54,2,6,40,89,31,31,16,19,10,35,23,77,98,90,27,0,0,8.33333333333333,0.308641975308642,0.925925925925926,6.17283950617284,13.7345679012346,4.78395061728395,4.78395061728395,2.46913580246914,2.9320987654321,1.54320987654321,5.40123456790123,3.54938271604938,11.8827160493827,15.1234567901235,13.8888888888889,4.16666666666667
"E01006531",570,1,1,41,2,8,43,78,25,19,18,23,17,37,16,65,77,77,22,0.175438596491228,0.175438596491228,7.19298245614035,0.350877192982456,1.40350877192982,7.54385964912281,13.6842105263158,4.3859649122807,3.33333333333333,3.15789473684211,4.03508771929825,2.98245614035088,6.49122807017544,2.80701754385965,11.4035087719298,13.5087719298246,13.5087719298246,3.85964912280702
"E01006532",729,1,0,45,6,5,57,88,21,28,32,23,18,70,22,49,112,125,27,0.137174211248285,0,6.17283950617284,0.823045267489712,0.685871056241427,7.81893004115226,12.0713305898491,2.88065843621399,3.84087791495199,4.38957475994513,3.15500685871056,2.46913580246914,9.60219478737997,3.01783264746228,6.72153635116598,15.363511659808,17.1467764060357,3.7037037037037
"E01006533",581,0,1,43,2,2,34,86,33,29,16,24,9,37,16,47,82,94,26,0,0.172117039586919,7.40103270223752,0.344234079173838,0.344234079173838,5.85197934595525,14.802065404475,5.67986230636833,4.99139414802065,2.75387263339071,4.13080895008606,1.54905335628227,6.36833046471601,2.75387263339071,8.0895008605852,14.1135972461274,16.1790017211704,4.4750430292599
"E01006534",709,0,0,57,6,4,34,115,53,58,19,23,3,33,36,44,79,110,35,0,0,8.03949224259521,0.846262341325811,0.564174894217207,4.79548660084626,16.2200282087447,7.475317348378,8.18053596614951,2.67983074753173,3.24400564174894,0.423131170662906,4.65444287729196,5.07757404795487,6.20592383638928,11.1424541607898,15.5148095909732,4.93653032440056
"E01006535",739,0,0,51,3,3,39,127,43,36,27,28,8,35,23,68,87,125,36,0,0,6.90121786197564,0.40595399188092,0.40595399188092,5.27740189445196,17.1853856562923,5.81867388362652,4.87144790257104,3.65358592692828,3.78890392422192,1.08254397834912,4.7361299052774,3.11231393775372,9.20162381596752,11.7726657645467,16.914749661705,4.87144790257104
"E01006536",775,0,1,47,2,3,52,149,70,38,10,15,12,20,41,59,86,137,33,0,0.129032258064516,6.06451612903226,0.258064516129032,0.387096774193548,6.70967741935484,19.2258064516129,9.03225806451613,4.90322580645161,1.29032258064516,1.93548387096774,1.54838709677419,2.58064516129032,5.29032258064516,7.61290322580645,11.0967741935484,17.6774193548387,4.25806451612903
"E01006537",1167,0,0,135,7,6,66,204,76,73,45,37,19,51,57,81,111,157,42,0,0,11.5681233933162,0.599828620394173,0.51413881748072,5.65552699228792,17.4807197943445,6.51242502142245,6.25535561268209,3.8560411311054,3.17052270779777,1.62810625535561,4.37017994858612,4.88431876606684,6.94087403598972,9.51156812339332,13.4532990574122,3.59897172236504
"E01006538",643,0,0,80,4,3,41,90,48,28,17,26,8,32,27,36,83,87,33,0,0,12.4416796267496,0.622083981337481,0.46656298600311,6.37636080870918,13.9968895800933,7.46500777604977,4.35458786936236,2.64385692068429,4.04354587869362,1.24416796267496,4.97667185069984,4.19906687402799,5.59875583203732,12.9082426127527,13.5303265940902,5.13219284603421
"E01006539",732,1,1,44,3,2,41,100,15,35,19,32,16,67,21,53,124,123,35,0.136612021857924,0.136612021857924,6.01092896174863,0.409836065573771,0.273224043715847,5.60109289617486,13.6612021857924,2.04918032786885,4.78142076502732,2.59562841530055,4.37158469945355,2.18579234972678,9.15300546448088,2.86885245901639,7.24043715846994,16.9398907103825,16.8032786885246,4.78142076502732
"E01006540",487,0,0,30,3,9,38,77,32,56,20,17,7,11,38,18,30,77,24,0,0,6.16016427104723,0.616016427104723,1.84804928131417,7.80287474332649,15.8110882956879,6.57084188911704,11.4989733059548,4.10677618069815,3.49075975359343,1.43737166324435,2.25872689938398,7.80287474332649,3.69609856262834,6.16016427104723,15.8110882956879,4.92813141683778
"E01006541",717,0,0,55,2,5,70,113,49,35,14,29,11,32,27,64,60,102,49,0,0,7.67085076708508,0.278940027894003,0.697350069735007,9.7629009762901,15.7601115760112,6.83403068340307,4.88145048814505,1.95258019525802,4.04463040446304,1.53417015341702,4.46304044630404,3.76569037656904,8.92608089260809,8.36820083682008,14.2259414225941,6.83403068340307
