"GeographyCode","KS608EW0001","KS608EW0002","KS608EW0003","KS608EW0004","KS608EW0005","KS608EW0006","KS608EW0007","KS608EW0008","KS608EW0009","KS608EW0010","KS608EW0011","KS608EW0012","KS608EW0013","KS608EW0014","KS608EW0015","KS608EW0016","KS608EW0017","KS608EW0018","KS608EW0019"
"E01006512",513,27,194,49,39,34,27,53,14,76,5.26315789473684,37.8167641325536,9.55165692007797,7.60233918128655,6.62768031189084,5.26315789473684,10.3313840155945,2.72904483430799,14.8148148148148
"E01006513",1052,71,234,172,91,38,48,167,12,219,6.74904942965779,22.2433460076046,16.3498098859316,8.65019011406844,3.61216730038023,4.56273764258555,15.8745247148289,1.14068441064639,20.8174904942966
"E01006514",926,67,222,170,85,37,66,119,15,145,7.2354211663067,23.9740820734341,18.3585313174946,9.1792656587473,3.99568034557235,7.12742980561555,12.8509719222462,1.61987041036717,15.658747300216
"E01006515",482,39,96,62,52,48,40,51,27,67,8.09128630705394,19.9170124481328,12.8630705394191,10.7883817427386,9.95850622406639,8.29875518672199,10.5809128630705,5.60165975103734,13.9004149377593
"E01006518",562,29,57,63,55,66,104,52,38,98,5.16014234875445,10.1423487544484,11.2099644128114,9.7864768683274,11.7437722419929,18.5053380782918,9.25266903914591,6.76156583629893,17.4377224199288
"E01006519",643,80,249,75,66,40,35,31,20,47,12.4416796267496,38.7247278382582,11.6640746500778,10.2643856920684,6.22083981337481,5.44323483670296,4.82115085536547,3.1104199066874,7.3094867807154
"E01006520",1049,83,424,223,76,46,60,54,28,55,7.91229742612011,40.419447092469,21.2583412774071,7.24499523355577,4.38512869399428,5.71973307912297,5.14775977121068,2.66920877025739,5.24308865586273
"E01006521",799,96,270,135,77,38,62,52,19,50,12.0150187734668,33.7922403003755,16.8961201501877,9.63704630788486,4.75594493116396,7.75969962453066,6.5081351689612,2.37797246558198,6.25782227784731
"E01006522",1027,75,399,195,103,50,55,51,31,68,7.30282375851996,38.8510223953262,18.9873417721519,10.0292112950341,4.86854917234664,5.3554040895813,4.96592015579357,3.01850048685492,6.62122687439143
"E01006523",812,62,338,129,73,41,56,42,31,40,7.63546798029557,41.6256157635468,15.8866995073892,8.99014778325123,5.04926108374384,6.89655172413793,5.17241379310345,3.81773399014778,4.92610837438424
"E01006524",767,75,268,93,69,35,55,72,16,84,9.77835723598435,34.9413298565841,12.1251629726206,8.99608865710561,4.5632333767927,7.17079530638853,9.38722294654498,2.08604954367666,10.9517601043025
"E01006525",638,71,163,108,106,49,49,39,22,31,11.128526645768,25.5485893416928,16.9278996865204,16.6144200626959,7.68025078369906,7.68025078369906,6.1128526645768,3.44827586206897,4.858934169279
"E01006526",698,63,215,94,86,41,63,43,45,48,9.02578796561605,30.8022922636103,13.4670487106017,12.3209169054441,5.87392550143267,9.02578796561605,6.16045845272206,6.44699140401146,6.87679083094556
"E01006527",658,57,166,91,83,43,57,59,36,66,8.66261398176292,25.2279635258359,13.8297872340426,12.6139817629179,6.53495440729483,8.66261398176292,8.96656534954407,5.47112462006079,10.0303951367781
"E01006528",760,65,219,119,91,34,53,59,45,75,8.55263157894737,28.8157894736842,15.6578947368421,11.9736842105263,4.47368421052632,6.97368421052632,7.76315789473684,5.92105263157895,9.86842105263158
"E01006529",709,53,249,83,96,33,54,51,30,60,7.475317348378,35.1198871650212,11.7066290550071,13.540197461213,4.65444287729196,7.6163610719323,7.19322990126939,4.23131170662905,8.46262341325811
"E01006530",648,60,129,95,93,60,64,56,35,56,9.25925925925926,19.9074074074074,14.6604938271605,14.3518518518519,9.25925925925926,9.87654320987654,8.64197530864197,5.40123456790123,8.64197530864197
"E01006531",570,64,109,90,95,54,31,55,37,35,11.2280701754386,19.1228070175439,15.7894736842105,16.6666666666667,9.47368421052632,5.43859649122807,9.64912280701754,6.49122807017544,6.14035087719298
"E01006532",729,145,265,91,66,36,34,34,27,31,19.8902606310014,36.3511659807956,12.482853223594,9.05349794238683,4.93827160493827,4.6639231824417,4.6639231824417,3.7037037037037,4.25240054869685
"E01006533",581,46,141,59,84,69,45,50,43,44,7.91738382099828,24.2685025817556,10.1549053356282,14.4578313253012,11.8760757314974,7.74526678141136,8.60585197934595,7.40103270223752,7.57314974182444
"E01006534",709,73,123,69,96,56,75,72,60,85,10.296191819464,17.3483779971791,9.73201692524683,13.540197461213,7.8984485190409,10.5782792665726,10.1551480959097,8.46262341325811,11.9887165021157
"E01006535",739,62,127,109,98,63,74,84,52,70,8.38971583220568,17.1853856562923,14.7496617050068,13.2611637347767,8.52503382949932,10.0135317997294,11.3667117726658,7.03653585926928,9.4722598105548
"E01006536",775,50,95,78,96,63,117,92,68,116,6.45161290322581,12.258064516129,10.0645161290323,12.3870967741935,8.12903225806452,15.0967741935484,11.8709677419355,8.7741935483871,14.9677419354839
"E01006537",1167,103,172,154,136,113,106,128,115,140,8.82604970008569,14.738646101114,13.1962296486718,11.6538131962296,9.68294772922022,9.08311910882605,10.968294772922,9.85432733504713,11.9965724078835
"E01006538",643,47,108,62,77,68,75,76,75,55,7.3094867807154,16.796267496112,9.64230171073095,11.9751166407465,10.5754276827372,11.6640746500778,11.8195956454121,11.6640746500778,8.55365474339036
"E01006539",732,104,265,91,83,42,32,42,28,45,14.207650273224,36.2021857923497,12.431693989071,11.3387978142077,5.73770491803279,4.37158469945355,5.73770491803279,3.82513661202186,6.14754098360656
"E01006540",487,37,43,40,45,44,60,57,39,122,7.59753593429158,8.82956878850103,8.2135523613963,9.24024640657084,9.03490759753593,12.3203285420945,11.7043121149897,8.0082135523614,25.0513347022587
"E01006541",717,46,69,53,144,84,78,77,79,87,6.41562064156206,9.6234309623431,7.39191073919107,20.0836820083682,11.7154811715481,10.8786610878661,10.7391910739191,11.0181311018131,12.1338912133891
"E01006542",565,31,39,64,71,58,64,66,54,118,5.48672566371681,6.90265486725664,11.3274336283186,12.5663716814159,10.2654867256637,11.3274336283186,11.6814159292035,9.55752212389381,20.8849557522124
"E01006543",626,37,51,62,120,88,73,76,53,66,5.91054313099042,8.14696485623003,9.90415335463259,19.1693290734824,14.0575079872204,11.6613418530351,12.1405750798722,8.46645367412141,10.5431309904153
"E01006544",561,28,25,46,81,66,74,76,51,114,4.99108734402852,4.45632798573975,8.19964349376114,14.4385026737968,11.7647058823529,13.1907308377897,13.5472370766488,9.09090909090909,20.3208556149733
"E01006545",670,23,53,63,110,65,90,85,87,94,3.43283582089552,7.91044776119403,9.40298507462687,16.4179104477612,9.70149253731343,13.4328358208955,12.6865671641791,12.9850746268657,14.0298507462687
"E01006546",546,29,37,56,83,54,67,73,40,107,5.31135531135531,6.77655677655678,10.2564102564103,15.2014652014652,9.89010989010989,12.2710622710623,13.3699633699634,7.32600732600733,19.5970695970696
"E01006547",521,34,55,49,58,54,68,60,47,96,6.52591170825336,10.5566218809981,9.40499040307102,11.1324376199616,10.3646833013436,13.0518234165067,11.5163147792706,9.021113243762,18.426103646833
"E01006548",583,22,44,57,81,42,95,77,61,104,3.77358490566038,7.54716981132075,9.7770154373928,13.893653516295,7.2041166380789,16.295025728988,13.2075471698113,10.4631217838765,17.8387650085763
"E01006549",820,71,254,106,63,49,62,76,45,94,8.65853658536585,30.9756097560976,12.9268292682927,7.68292682926829,5.97560975609756,7.5609756097561,9.26829268292683,5.48780487804878,11.4634146341463
"E01006550",583,34,108,74,67,28,38,96,16,122,5.83190394511149,18.52487135506,12.6929674099485,11.4922813036021,4.80274442538593,6.5180102915952,16.4665523156089,2.74442538593482,20.926243567753
