"GeographyCode","KS608EW0001","KS608EW0002","KS608EW0003","KS608EW0004","KS608EW0005","KS608EW0006","KS608EW0007","KS608EW0008","KS608EW0009","KS608EW0010","KS608EW0011","KS608EW0012","KS608EW0013","KS608EW0014","KS608EW0015","KS608EW0016","KS608EW0017","KS608EW0018","KS608EW0019"
"E02001347",3378,270,495,314,431,349,410,318,341,450,7.99289520426288,14.6536412078153,9.29544108940201,12.7590290112493,10.3315571343991,12.137359384251,9.41385435168739,10.0947306098283,13.3214920071048
"E02001348",3473,263,429,365,568,387,405,395,307,354,7.57270371436798,12.3524330549957,10.509645839332,16.3547365390153,11.1431039447164,11.6613878491218,11.3734523466743,8.83961992513677,10.1929167866398
"E02001349",4057,311,505,476,745,410,433,424,354,399,7.66576287897461,12.4476213951195,11.7328074932216,18.3633226522061,10.1059896475228,10.6729110179936,10.4510722208528,8.72565935420261,9.83485333990633
"E02001350",3082,222,373,247,429,312,379,324,348,448,7.20311486048021,12.1025308241402,8.01427644386762,13.919532770928,10.1232965606749,12.2972096041531,10.5126541207008,11.2913692407528,14.5360155743024
"E02001351",3315,156,316,269,396,393,465,368,385,567,4.70588235294118,9.53242835595777,8.11463046757164,11.9457013574661,11.8552036199095,14.027149321267,11.1010558069382,11.6138763197587,17.10407239819
"E02001352",2995,145,291,285,403,405,312,290,298,566,4.84140233722871,9.71619365609349,9.51585976627713,13.4557595993322,13.5225375626043,10.4173622704508,9.68280467445743,9.94991652754591,18.89816360601
"E02001353",3971,367,645,485,608,428,344,390,345,359,9.24200453286326,16.242760010073,12.2135482246286,15.311004784689,10.778141526064,8.66280533870562,9.8212037270209,8.68798791236464,9.04054394359104
"E02001354",3093,172,280,290,397,378,381,383,338,474,5.56094406724863,9.05269964435823,9.37601034594245,12.8354348528936,12.2211445198836,12.3181377303589,12.3827998706757,10.9279017135467,15.3249272550921
"E02001355",2783,166,252,238,446,307,341,330,308,395,5.96478620194035,9.05497664390945,8.55192238591448,16.0258713618397,11.0312612288897,12.2529644268775,11.8577075098814,11.0671936758893,14.1933165648581
"E02001356",1896,114,162,151,237,179,277,209,198,369,6.0126582278481,8.54430379746835,7.96413502109705,12.5,9.44092827004219,14.6097046413502,11.0232067510549,10.4430379746835,19.4620253164557
"E02001357",2460,120,197,166,285,262,387,334,272,437,4.8780487804878,8.00813008130081,6.7479674796748,11.5853658536585,10.650406504065,15.7317073170732,13.5772357723577,11.0569105691057,17.7642276422764
"E02001358",2875,161,198,234,437,281,385,346,309,524,5.6,6.88695652173913,8.13913043478261,15.2,9.77391304347826,13.3913043478261,12.0347826086957,10.7478260869565,18.2260869565217
"E02001359",2765,238,396,319,406,344,257,288,239,278,8.60759493670886,14.3218806509946,11.5370705244123,14.6835443037975,12.4412296564195,9.29475587703436,10.4159132007233,8.64376130198915,10.0542495479204
"E02001360",2987,174,233,193,376,310,372,360,327,642,5.8252427184466,7.80046869768999,6.46133244057583,12.5878808168731,10.3783059926348,12.4539671911617,12.0522263140275,10.9474389019083,21.4931369266823
"E02001361",3144,207,258,263,540,370,368,368,320,450,6.58396946564886,8.20610687022901,8.36513994910942,17.175572519084,11.7684478371501,11.704834605598,11.704834605598,10.1781170483461,14.3129770992366
"E02001362",3206,237,377,298,507,375,368,369,291,384,7.39238927011853,11.7592014971928,9.29507174048659,15.8140985651903,11.6968184653774,11.4784778540237,11.5096693699314,9.07673112913288,11.9775421085465
"E02001363",2913,184,329,259,347,287,458,336,269,444,6.31651218674906,11.294198420872,8.8911774802609,11.9121180913148,9.85238585650532,15.7226227257123,11.5345005149331,9.23446618606248,15.2420185375901
"E02001364",1769,106,102,154,221,175,233,215,174,389,5.99208592425099,5.76596947427925,8.70548332391181,12.4929338609384,9.89259468626343,13.1712832108536,12.1537591859808,9.83606557377049,21.9898247597513
"E02001365",3544,162,333,307,490,347,500,441,333,631,4.57110609480813,9.3961625282167,8.66252821670429,13.8261851015801,9.79119638826185,14.1083521444695,12.4435665914221,9.3961625282167,17.8047404063205
"E02001366",3844,230,502,402,598,424,445,401,335,507,5.98335067637877,13.0593132154006,10.4578563995838,15.5567117585848,11.0301768990635,11.576482830385,10.4318418314256,8.71488033298647,13.1893860561915
"E02001367",4487,470,880,558,705,458,412,383,291,330,10.4747047024738,19.612213059951,12.4359260084689,15.7120570537107,10.2072654334745,9.18208156897705,8.53577000222866,6.48540227323379,7.35457989748161
"E02001368",1889,99,192,161,245,169,260,189,184,390,5.24086818422446,10.1641079936474,8.52302805717311,12.9698253043939,8.94653255690842,13.7638962413976,10.0052938062467,9.74060349391212,20.6458443620963
"E02001369",2898,188,432,265,338,225,316,309,253,572,6.4872325741891,14.9068322981366,9.14423740510697,11.6632160110421,7.7639751552795,10.904071773637,10.6625258799172,8.73015873015873,19.7377501725328
"E02001370",1724,92,156,121,200,183,247,193,137,395,5.33642691415313,9.04872389791183,7.01856148491879,11.6009280742459,10.614849187935,14.3271461716937,11.1948955916473,7.94663573085847,22.9118329466357
"E02001371",2936,182,390,260,335,301,437,330,310,391,6.19891008174387,13.283378746594,8.85558583106267,11.4100817438692,10.2520435967302,14.8841961852861,11.2397820163488,10.558583106267,13.3174386920981
"E02001372",2688,207,407,293,372,282,318,265,236,308,7.70089285714286,15.141369047619,10.9002976190476,13.8392857142857,10.4910714285714,11.8303571428571,9.85863095238095,8.7797619047619,11.4583333333333
"E02001373",4003,269,517,408,586,423,483,422,319,576,6.71996002997752,12.9153135148639,10.1923557332001,14.6390207344492,10.5670746939795,12.0659505370972,10.5420934299276,7.96902323257557,14.3892080939296
"E02001374",3372,201,439,313,384,339,436,361,278,621,5.96085409252669,13.0189798339265,9.28232502965599,11.3879003558719,10.0533807829181,12.9300118623962,10.70581257414,8.24436536180308,18.4163701067616
"E02001375",2983,184,392,290,468,268,412,307,250,412,6.16828695943681,13.1411330874958,9.72175662085149,15.6889037881328,8.98424404961448,13.8115990613476,10.2916526986255,8.38082467314784,13.8115990613476
"E02001376",2997,151,320,202,304,284,460,321,225,730,5.03837170503837,10.6773440106773,6.74007340674007,10.1434768101435,9.47614280947614,15.3486820153487,10.7107107107107,7.50750750750751,24.3576910243577
"E02001377",3305,143,540,280,243,219,317,610,159,794,4.3267776096823,16.338880484115,8.47201210287443,7.35249621785174,6.62632375189107,9.59152798789713,18.4568835098336,4.81089258698941,24.0242057488654
"E02001378",3509,268,616,399,482,325,368,364,267,420,7.63750356226845,17.5548589341693,11.3707609005415,13.7361071530351,9.26189797663152,10.4873183243089,10.3733257338273,7.60900541464805,11.96922200057
"E02001380",3718,331,802,474,588,364,301,334,235,289,8.90263582571275,21.5707369553523,12.7487896718666,15.8149542764927,9.79020979020979,8.09575040344271,8.98332436793975,6.32060247444863,7.7729962345347
"E02001381",3907,252,591,440,413,348,453,467,262,681,6.44996160737139,15.1266956744305,11.2618377271564,10.5707704120809,8.90708983875096,11.5945738418224,11.9529050422319,6.70591246480676,17.4302533913489
"E02001382",3635,357,816,497,573,326,283,326,213,244,9.82118294360385,22.4484181568088,13.6726272352132,15.7634112792297,8.96836313617607,7.78541953232462,8.96836313617607,5.85969738651994,6.71251719394773
"E02001383",2950,218,665,487,268,167,270,342,88,445,7.38983050847458,22.5423728813559,16.5084745762712,9.08474576271186,5.66101694915254,9.15254237288136,11.5932203389831,2.98305084745763,15.0847457627119
"E02001384",4086,241,692,458,421,252,385,651,157,829,5.89818893783651,16.9358786098874,11.2090063631914,10.3034752814489,6.16740088105727,9.42241801272638,15.9324522760646,3.84238864415076,20.2887909936368
"E02001385",2156,190,307,226,183,193,279,220,144,414,8.8126159554731,14.239332096475,10.4823747680891,8.48794063079777,8.95176252319109,12.9406307977737,10.2040816326531,6.67903525046382,19.2022263450835
"E02001386",2764,161,244,242,348,320,387,371,292,399,5.82489146164978,8.82778581765557,8.75542691751085,12.5904486251809,11.5774240231548,14.0014471780029,13.4225759768452,10.5643994211288,14.4356005788712
"E02001387",4074,457,1369,505,515,241,283,287,164,253,11.2174766813942,33.6033382425135,12.3956799214531,12.6411389297987,5.91556210112911,6.94648993618066,7.0446735395189,4.02552773686794,6.21011291114384
"E02001388",4217,304,1190,618,438,253,369,433,146,466,7.20891629120228,28.2191131135879,14.6549679867204,10.3865307090349,5.99952572919137,8.7502964192554,10.2679630068769,3.46217690301162,11.0505098411193
"E02001389",3079,272,959,486,238,205,230,233,126,330,8.83403702500812,31.1464761286132,15.7843455667425,7.7297823968821,6.65800584605391,7.46995777849951,7.56739201039298,4.09223773952582,10.7177655082819
"E02001390",2887,202,323,308,283,295,407,292,225,552,6.99688257706962,11.1880845167994,10.6685140284032,9.80256321440942,10.2182196051264,14.0976792518185,10.1143055074472,7.79355732594389,19.1201939729823
"E02001391",2269,126,156,198,288,243,322,304,259,373,5.55310709563684,6.87527545174085,8.72631115028647,12.6928162185985,10.7095636844425,14.1912736888497,13.3979726751873,11.4147201410313,16.4389598942265
"E02001392",2605,316,672,372,330,223,208,213,123,148,12.1305182341651,25.7965451055662,14.2802303262956,12.6679462571977,8.56046065259117,7.98464491362764,8.17658349328215,4.72168905950096,5.68138195777351
"E02001393",3663,574,1216,504,435,184,182,255,113,200,15.6702156702157,33.1968331968332,13.7592137592138,11.8755118755119,5.02320502320502,4.96860496860497,6.96150696150696,3.08490308490308,5.46000546000546
"E02001394",4419,388,1523,603,432,208,325,347,142,451,8.78026702873953,34.4648110432224,13.6456211812627,9.77596741344195,4.70694727313872,7.35460511427925,7.85245530663046,3.21339669608509,10.2059289431998
"E02001395",3161,272,896,491,441,248,237,260,131,185,8.60487187598861,28.3454602973742,15.5330591584941,13.9512812401139,7.84561847516609,7.49762733312243,8.22524517557735,4.14425814615628,5.85257829800696
"E02001396",3885,301,868,523,470,303,333,350,240,497,7.74774774774775,22.3423423423423,13.4620334620335,12.0978120978121,7.7992277992278,8.57142857142857,9.00900900900901,6.17760617760618,12.7927927927928
