"GeographyCode","KS610EW0001","KS610EW0002","KS610EW0003","KS610EW0004","KS610EW0005","KS610EW0006","KS610EW0007","KS610EW0008","KS610EW0009","KS610EW0010","KS610EW0011","KS610EW0012","KS610EW0013","KS610EW0014","KS610EW0015","KS610EW0016","KS610EW0017","KS610EW0018","KS610EW0019"
"E00032987",57,7,8,6,3,1,9,12,3,8,12.280701754386,14.0350877192982,10.5263157894737,5.26315789473684,1.75438596491228,15.7894736842105,21.0526315789474,5.26315789473684,14.0350877192982
"E00032988",75,10,20,13,9,1,5,13,0,4,13.3333333333333,26.6666666666667,17.3333333333333,12,1.33333333333333,6.66666666666667,17.3333333333333,0,5.33333333333333
"E00032989",64,5,17,11,4,0,11,5,1,10,7.8125,26.5625,17.1875,6.25,0,17.1875,7.8125,1.5625,15.625
"E00032990",69,8,23,15,7,2,5,6,0,3,11.5942028985507,33.3333333333333,21.7391304347826,10.1449275362319,2.89855072463768,7.2463768115942,8.69565217391304,0,4.34782608695652
"E00032991",81,9,25,10,5,3,11,9,0,9,11.1111111111111,30.8641975308642,12.3456790123457,6.17283950617284,3.7037037037037,13.5802469135802,11.1111111111111,0,11.1111111111111
"E00032992",33,2,6,4,5,0,9,4,0,3,6.06060606060606,18.1818181818182,12.1212121212121,15.1515151515152,0,27.2727272727273,12.1212121212121,0,9.09090909090909
"E00032993",68,4,21,13,10,4,5,8,0,3,5.88235294117647,30.8823529411765,19.1176470588235,14.7058823529412,5.88235294117647,7.35294117647059,11.7647058823529,0,4.41176470588235
"E00032994",14,2,1,0,0,1,2,2,1,5,14.2857142857143,7.14285714285714,0,0,7.14285714285714,14.2857142857143,14.2857142857143,7.14285714285714,35.7142857142857
"E00032995",45,0,6,3,13,0,14,3,0,6,0,13.3333333333333,6.66666666666667,28.8888888888889,0,31.1111111111111,6.66666666666667,0,13.3333333333333
"E00032996",57,0,3,1,10,0,21,12,1,9,0,5.26315789473684,1.75438596491228,17.5438596491228,0,36.8421052631579,21.0526315789474,1.75438596491228,15.7894736842105
"E00032997",38,3,8,4,4,1,4,6,1,7,7.89473684210526,21.0526315789474,10.5263157894737,10.5263157894737,2.63157894736842,10.5263157894737,15.7894736842105,2.63157894736842,18.4210526315789
"E00032998",68,7,13,4,13,3,5,9,3,11,10.2941176470588,19.1176470588235,5.88235294117647,19.1176470588235,4.41176470588235,7.35294117647059,13.2352941176471,4.41176470588235,16.1764705882353
"E00032999",81,1,19,13,11,4,7,10,0,16,1.23456790123457,23.4567901234568,16.0493827160494,13.5802469135802,4.93827160493827,8.64197530864197,12.3456790123457,0,19.7530864197531
"E00033000",26,6,3,4,2,0,4,1,0,6,23.0769230769231,11.5384615384615,15.3846153846154,7.69230769230769,0,15.3846153846154,3.84615384615385,0,23.0769230769231
"E00033002",46,3,16,2,5,2,9,2,1,6,6.52173913043478,34.7826086956522,4.34782608695652,10.8695652173913,4.34782608695652,19.5652173913043,4.34782608695652,2.17391304347826,13.0434782608696
"E00033004",78,12,25,10,15,0,5,7,1,3,15.3846153846154,32.0512820512821,12.8205128205128,19.2307692307692,0,6.41025641025641,8.97435897435897,1.28205128205128,3.84615384615385
"E00033005",53,5,4,2,2,1,12,12,5,10,9.43396226415094,7.54716981132075,3.77358490566038,3.77358490566038,1.88679245283019,22.6415094339623,22.6415094339623,9.43396226415094,18.8679245283019
"E00033006",57,3,1,4,7,1,22,6,0,13,5.26315789473684,1.75438596491228,7.01754385964912,12.280701754386,1.75438596491228,38.5964912280702,10.5263157894737,0,22.8070175438596
"E00033007",40,4,2,3,3,1,13,9,0,5,10,5,7.5,7.5,2.5,32.5,22.5,0,12.5
"E00033008",54,1,2,3,5,5,17,4,1,16,1.85185185185185,3.7037037037037,5.55555555555556,9.25925925925926,9.25925925925926,31.4814814814815,7.40740740740741,1.85185185185185,29.6296296296296
"E00033012",39,9,8,7,9,0,3,3,0,0,23.0769230769231,20.5128205128205,17.9487179487179,23.0769230769231,0,7.69230769230769,7.69230769230769,0,0
"E00033013",39,2,16,4,3,0,2,5,0,7,5.12820512820513,41.025641025641,10.2564102564103,7.69230769230769,0,5.12820512820513,12.8205128205128,0,17.9487179487179
"E00033015",27,1,9,1,7,0,2,5,0,2,3.7037037037037,33.3333333333333,3.7037037037037,25.9259259259259,0,7.40740740740741,18.5185185185185,0,7.40740740740741
"E00033016",63,6,15,8,7,1,5,9,0,12,9.52380952380952,23.8095238095238,12.6984126984127,11.1111111111111,1.58730158730159,7.93650793650794,14.2857142857143,0,19.047619047619
"E00033018",65,5,6,6,6,0,3,14,0,25,7.69230769230769,9.23076923076923,9.23076923076923,9.23076923076923,0,4.61538461538462,21.5384615384615,0,38.4615384615385
"E00033019",51,4,14,8,6,0,7,7,0,5,7.84313725490196,27.4509803921569,15.6862745098039,11.7647058823529,0,13.7254901960784,13.7254901960784,0,9.80392156862745
"E00033020",51,0,12,6,7,1,4,9,0,12,0,23.5294117647059,11.7647058823529,13.7254901960784,1.96078431372549,7.84313725490196,17.6470588235294,0,23.5294117647059
"E00033021",47,5,11,3,9,2,4,8,0,5,10.6382978723404,23.4042553191489,6.38297872340426,19.1489361702128,4.25531914893617,8.51063829787234,17.0212765957447,0,10.6382978723404
