"GeographyCode","KS612EW0001","KS612EW0002","KS612EW0003","KS612EW0004","KS612EW0005","KS612EW0006","KS612EW0007","KS612EW0008","KS612EW0009","KS612EW0010","KS612EW0011","KS612EW0012","KS612EW0013","KS612EW0014","KS612EW0015","KS612EW0016","KS612EW0017","KS612EW0018","KS612EW0019","KS612EW0020","KS612EW0021","KS612EW0022","KS612EW0023","KS612EW0024","KS612EW0025","KS612EW0026","KS612EW0027","KS612EW0028","KS612EW0029","KS612EW0030","KS612EW0031"
"E02001347",2669,170,44,126,401,182,315,281,422,484,237,153,84,177,177,0,6.36942675159236,1.64855751217685,4.72086923941551,15.0243536905208,6.8190333458224,11.8021730985388,10.5282877482203,15.8111652304234,18.1341326339453,8.87973023604346,5.73248407643312,3.14724615961034,6.63169726489322,6.63169726489322,0
"E02001348",2602,151,38,113,463,295,285,313,404,353,178,93,85,160,160,0,5.8032282859339,1.46041506533436,4.34281322059954,17.794004611837,11.337432744043,10.9531129900077,12.0292083013067,15.5265180630284,13.5664873174481,6.84089162182936,3.57417371252882,3.26671790930054,6.14911606456572,6.14911606456572,0
"E02001349",3010,205,48,157,506,351,306,325,435,446,216,98,118,220,220,0,6.81063122923588,1.59468438538206,5.21594684385382,16.8106312292359,11.6611295681063,10.1661129568106,10.797342192691,14.4518272425249,14.8172757475083,7.17607973421927,3.25581395348837,3.9202657807309,7.30897009966777,7.30897009966777,0
"E02001350",2601,163,34,129,292,202,289,246,438,533,256,161,95,182,182,0,6.26682045367166,1.30718954248366,4.959630911188,11.2264513648597,7.76624375240292,11.1111111111111,9.45790080738178,16.8396770472895,20.4921184159938,9.84236831987697,6.18992695117263,3.65244136870434,6.99730872741253,6.99730872741253,0
"E02001351",3459,128,25,103,325,223,353,367,562,797,451,326,125,253,253,0,3.70049147152356,0.722752240531946,2.97773923099162,9.39577912691529,6.44694998554496,10.2052616363111,10.610002891009,16.2474703671581,23.0413414281584,13.0384504191963,9.42468921653657,3.61376120265973,7.31425267418329,7.31425267418329,0
"E02001352",3383,120,29,91,366,242,342,332,472,751,509,366,143,249,249,0,3.54714750221697,0.857227313035767,2.6899201891812,10.8187998817618,7.15341412947088,10.1093703813184,9.81377475613361,13.9521135087201,22.1992314513745,15.0458173219036,10.8187998817618,4.22701744014189,7.36033106710021,7.36033106710021,0
"E02001353",2711,278,69,209,512,250,392,280,317,319,134,83,51,229,229,0,10.2545186278126,2.54518627812615,7.70933234968646,18.8860199188491,9.22168941350055,14.4596090003689,10.3282921431206,11.6931021763187,11.7668756916267,4.9428255256363,3.06160088528218,1.88122464035411,8.44706750276651,8.44706750276651,0
"E02001354",2598,110,25,85,298,212,285,276,394,525,268,149,119,230,230,0,4.23402617397998,0.962278675904542,3.27174749807544,11.4703618167821,8.16012317167052,10.9699769053118,10.6235565819861,15.1655119322556,20.2078521939954,10.3156274056967,5.73518090839107,4.58044649730562,8.85296381832179,8.85296381832179,0
"E02001355",2455,83,18,65,305,206,261,250,429,449,266,148,118,206,206,0,3.38085539714868,0.733197556008147,2.64765784114053,12.4236252545825,8.39103869653768,10.6313645621181,10.183299389002,17.4745417515275,18.2892057026477,10.8350305498982,6.02851323828921,4.80651731160896,8.39103869653768,8.39103869653768,0
"E02001356",1746,51,14,37,163,139,169,177,272,372,252,156,96,151,151,0,2.92096219931271,0.801832760595647,2.11912943871707,9.33562428407789,7.9610538373425,9.67926689576174,10.1374570446735,15.5784650630011,21.3058419243986,14.4329896907216,8.93470790378007,5.49828178694158,8.64833906071019,8.64833906071019,0
"E02001357",2209,53,8,45,209,149,211,223,435,446,272,169,103,211,211,0,2.39927569035763,0.362154821186057,2.03712086917157,9.46129470348574,6.74513354459031,9.55183340878225,10.0950656405613,19.6921684019919,20.1901312811227,12.3132639203259,7.65052059755545,4.66274332277048,9.55183340878225,9.55183340878225,0
"E02001358",2559,78,16,62,258,223,246,267,459,532,317,182,135,179,179,0,3.04806565064478,0.625244236029699,2.42282141461508,10.0820633059789,8.71434153966393,9.61313012895662,10.4337631887456,17.936694021102,20.7893708479875,12.3876514263384,7.11215318483783,5.27549824150059,6.99491989058226,6.99491989058226,0
"E02001359",2138,212,51,161,344,178,299,233,244,276,149,98,51,203,203,0,9.91580916744621,2.38540692235734,7.53040224508887,16.089803554724,8.32553788587465,13.9850327408793,10.8980355472404,11.4125350795136,12.9092609915809,6.96913002806361,4.58372310570627,2.38540692235734,9.49485500467727,9.49485500467727,0
"E02001360",3272,81,23,58,295,210,271,327,534,760,520,344,176,274,274,0,2.47555012224939,0.702933985330073,1.77261613691932,9.0158924205379,6.41809290953545,8.28239608801956,9.99388753056235,16.320293398533,23.2273838630807,15.8924205378973,10.5134474327628,5.37897310513447,8.37408312958435,8.37408312958435,0
