"GeographyCode","KS612EW0001","KS612EW0002","KS612EW0003","KS612EW0004","KS612EW0005","KS612EW0006","KS612EW0007","KS612EW0008","KS612EW0009","KS612EW0010","KS612EW0011","KS612EW0012","KS612EW0013","KS612EW0014","KS612EW0015","KS612EW0016","KS612EW0017","KS612EW0018","KS612EW0019","KS612EW0020","KS612EW0021","KS612EW0022","KS612EW0023","KS612EW0024","KS612EW0025","KS612EW0026","KS612EW0027","KS612EW0028","KS612EW0029","KS612EW0030","KS612EW0031"
"E00032987",68,6,1,5,10,5,7,12,5,7,10,8,2,6,6,0,8.82352941176471,1.47058823529412,7.35294117647059,14.7058823529412,7.35294117647059,10.2941176470588,17.6470588235294,7.35294117647059,10.2941176470588,14.7058823529412,11.7647058823529,2.94117647058824,8.82352941176471,8.82352941176471,0
"E00032988",182,25,4,21,37,7,15,13,20,23,26,15,11,16,16,0,13.7362637362637,2.1978021978022,11.5384615384615,20.3296703296703,3.84615384615385,8.24175824175824,7.14285714285714,10.989010989011,12.6373626373626,14.2857142857143,8.24175824175824,6.04395604395604,8.79120879120879,8.79120879120879,0
"E00032989",189,13,2,11,42,18,14,7,27,9,28,18,10,31,31,0,6.87830687830688,1.05820105820106,5.82010582010582,22.2222222222222,9.52380952380952,7.40740740740741,3.7037037037037,14.2857142857143,4.76190476190476,14.8148148148148,9.52380952380952,5.29100529100529,16.4021164021164,16.4021164021164,0
"E00032990",174,29,3,26,27,9,10,6,22,16,22,13,9,33,33,0,16.6666666666667,1.72413793103448,14.9425287356322,15.5172413793103,5.17241379310345,5.74712643678161,3.44827586206897,12.6436781609195,9.19540229885057,12.6436781609195,7.47126436781609,5.17241379310345,18.9655172413793,18.9655172413793,0
"E00032991",182,14,1,13,34,14,4,11,25,9,39,19,20,32,32,0,7.69230769230769,0.549450549450549,7.14285714285714,18.6813186813187,7.69230769230769,2.1978021978022,6.04395604395604,13.7362637362637,4.94505494505495,21.4285714285714,10.4395604395604,10.989010989011,17.5824175824176,17.5824175824176,0
"E00032992",129,9,0,9,24,9,3,10,13,8,26,11,15,27,27,0,6.97674418604651,0,6.97674418604651,18.6046511627907,6.97674418604651,2.32558139534884,7.75193798449612,10.077519379845,6.2015503875969,20.1550387596899,8.52713178294574,11.6279069767442,20.9302325581395,20.9302325581395,0
"E00032993",133,11,0,11,19,10,11,11,20,10,10,9,1,31,31,0,8.27067669172932,0,8.27067669172932,14.2857142857143,7.5187969924812,8.27067669172932,8.27067669172932,15.0375939849624,7.5187969924812,7.5187969924812,6.76691729323308,0.75187969924812,23.3082706766917,23.3082706766917,0
"E00032994",42,3,0,3,5,4,2,5,7,4,6,4,2,6,6,0,7.14285714285714,0,7.14285714285714,11.9047619047619,9.52380952380952,4.76190476190476,11.9047619047619,16.6666666666667,9.52380952380952,14.2857142857143,9.52380952380952,4.76190476190476,14.2857142857143,14.2857142857143,0
"E00032995",93,6,1,5,9,8,6,5,16,19,15,12,3,9,9,0,6.45161290322581,1.0752688172043,5.37634408602151,9.67741935483871,8.60215053763441,6.45161290322581,5.37634408602151,17.2043010752688,20.4301075268817,16.1290322580645,12.9032258064516,3.2258064516129,9.67741935483871,9.67741935483871,0
"E00032996",134,8,1,7,6,6,11,20,20,25,28,24,4,10,10,0,5.97014925373134,0.746268656716418,5.22388059701492,4.47761194029851,4.47761194029851,8.2089552238806,14.9253731343284,14.9253731343284,18.6567164179104,20.8955223880597,17.910447761194,2.98507462686567,7.46268656716418,7.46268656716418,0
"E00032997",86,1,0,1,10,3,10,6,17,13,19,16,3,7,7,0,1.16279069767442,0,1.16279069767442,11.6279069767442,3.48837209302326,11.6279069767442,6.97674418604651,19.7674418604651,15.1162790697674,22.093023255814,18.6046511627907,3.48837209302326,8.13953488372093,8.13953488372093,0
"E00032998",141,18,5,13,23,14,9,14,17,23,10,7,3,13,13,0,12.7659574468085,3.54609929078014,9.21985815602837,16.3120567375887,9.9290780141844,6.38297872340426,9.9290780141844,12.0567375886525,16.3120567375887,7.09219858156028,4.9645390070922,2.12765957446809,9.21985815602837,9.21985815602837,0
"E00032999",194,20,1,19,43,12,8,13,14,14,22,17,5,48,48,0,10.3092783505155,0.515463917525773,9.79381443298969,22.1649484536082,6.18556701030928,4.12371134020619,6.70103092783505,7.21649484536082,7.21649484536082,11.340206185567,8.76288659793814,2.57731958762887,24.7422680412371,24.7422680412371,0
"E00033000",40,1,0,1,1,1,2,4,9,4,10,10,0,8,8,0,2.5,0,2.5,2.5,2.5,5,10,22.5,10,25,25,0,20,20,0
"E00033002",97,9,1,8,12,8,8,12,9,13,11,9,2,15,15,0,9.27835051546392,1.03092783505155,8.24742268041237,12.3711340206186,8.24742268041237,8.24742268041237,12.3711340206186,9.27835051546392,13.4020618556701,11.340206185567,9.27835051546392,2.06185567010309,15.4639175257732,15.4639175257732,0
"E00033004",132,30,8,22,33,14,16,12,9,2,3,0,3,13,13,0,22.7272727272727,6.06060606060606,16.6666666666667,25,10.6060606060606,12.1212121212121,9.09090909090909,6.81818181818182,1.51515151515152,2.27272727272727,0,2.27272727272727,9.84848484848485,9.84848484848485,0
"E00033005",131,3,0,3,23,7,3,13,26,27,20,14,6,9,9,0,2.29007633587786,0,2.29007633587786,17.5572519083969,5.34351145038168,2.29007633587786,9.9236641221374,19.8473282442748,20.6106870229008,15.2671755725191,10.6870229007634,4.58015267175572,6.87022900763359,6.87022900763359,0
"E00033006",98,6,1,5,9,9,7,6,21,18,13,10,3,9,9,0,6.12244897959184,1.02040816326531,5.10204081632653,9.18367346938776,9.18367346938776,7.14285714285714,6.12244897959184,21.4285714285714,18.3673469387755,13.265306122449,10.2040816326531,3.06122448979592,9.18367346938776,9.18367346938776,0
"E00033007",114,1,0,1,5,3,16,9,23,22,22,18,4,13,13,0,0.87719298245614,0,0.87719298245614,4.3859649122807,2.63157894736842,14.0350877192982,7.89473684210526,20.1754385964912,19.2982456140351,19.2982456140351,15.7894736842105,3.50877192982456,11.4035087719298,11.4035087719298,0
"E00033008",108,3,0,3,4,3,5,11,17,22,31,22,9,12,12,0,2.77777777777778,0,2.77777777777778,3.7037037037037,2.77777777777778,4.62962962962963,10.1851851851852,15.7407407407407,20.3703703703704,28.7037037037037,20.3703703703704,8.33333333333333,11.1111111111111,11.1111111111111,0
"E00033012",79,26,4,22,18,4,8,2,4,6,2,1,1,9,9,0,32.9113924050633,5.06329113924051,27.8481012658228,22.7848101265823,5.06329113924051,10.126582278481,2.53164556962025,5.06329113924051,7.59493670886076,2.53164556962025,1.26582278481013,1.26582278481013,11.3924050632911,11.3924050632911,0
"E00033013",81,18,0,18,12,4,6,3,8,6,2,2,0,22,22,0,22.2222222222222,0,22.2222222222222,14.8148148148148,4.93827160493827,7.40740740740741,3.7037037037037,9.87654320987654,7.40740740740741,2.46913580246914,2.46913580246914,0,27.1604938271605,27.1604938271605,0
"E00033015",123,19,0,19,8,3,2,7,5,5,2,2,0,72,72,0,15.4471544715447,0,15.4471544715447,6.50406504065041,2.4390243902439,1.6260162601626,5.69105691056911,4.0650406504065,4.0650406504065,1.6260162601626,1.6260162601626,0,58.5365853658537,58.5365853658537,0
"E00033016",276,26,1,25,16,9,4,7,8,7,15,8,7,184,184,0,9.42028985507246,0.36231884057971,9.05797101449275,5.79710144927536,3.26086956521739,1.44927536231884,2.53623188405797,2.89855072463768,2.53623188405797,5.43478260869565,2.89855072463768,2.53623188405797,66.6666666666667,66.6666666666667,0
"E00033018",112,9,0,9,10,3,1,3,3,2,3,3,0,78,78,0,8.03571428571429,0,8.03571428571429,8.92857142857143,2.67857142857143,0.892857142857143,2.67857142857143,2.67857142857143,1.78571428571429,2.67857142857143,2.67857142857143,0,69.6428571428571,69.6428571428571,0
"E00033019",199,13,0,13,25,6,7,13,26,10,24,11,13,75,75,0,6.53266331658291,0,6.53266331658291,12.5628140703518,3.01507537688442,3.51758793969849,6.53266331658291,13.0653266331658,5.0251256281407,12.0603015075377,5.52763819095477,6.53266331658291,37.6884422110553,37.6884422110553,0
"E00033020",132,22,3,19,17,11,7,4,12,7,6,3,3,46,46,0,16.6666666666667,2.27272727272727,14.3939393939394,12.8787878787879,8.33333333333333,5.3030303030303,3.03030303030303,9.09090909090909,5.3030303030303,4.54545454545455,2.27272727272727,2.27272727272727,34.8484848484849,34.8484848484849,0
"E00033021",106,14,1,13,19,7,4,14,11,15,15,13,2,7,7,0,13.2075471698113,0.943396226415094,12.2641509433962,17.9245283018868,6.60377358490566,3.77358490566038,13.2075471698113,10.377358490566,14.1509433962264,14.1509433962264,12.2641509433962,1.88679245283019,6.60377358490566,6.60377358490566,0
"E00033023",186,15,1,14,29,5,10,9,4,12,8,3,5,94,94,0,8.06451612903226,0.537634408602151,7.52688172043011,15.5913978494624,2.68817204301075,5.37634408602151,4.83870967741935,2.1505376344086,6.45161290322581,4.3010752688172,1.61290322580645,2.68817204301075,50.5376344086022,50.5376344086022,0
"E00033024",75,4,0,4,12,5,5,7,5,13,20,17,3,4,4,0,5.33333333333333,0,5.33333333333333,16,6.66666666666667,6.66666666666667,9.33333333333333,6.66666666666667,17.3333333333333,26.6666666666667,22.6666666666667,4,5.33333333333333,5.33333333333333,0
"E00033025",93,9,0,9,29,12,9,5,12,9,1,1,0,7,7,0,9.67741935483871,0,9.67741935483871,31.1827956989247,12.9032258064516,9.67741935483871,5.37634408602151,12.9032258064516,9.67741935483871,1.0752688172043,1.0752688172043,0,7.52688172043011,7.52688172043011,0
"E00033026",71,15,2,13,20,7,11,1,6,4,5,4,1,2,2,0,21.1267605633803,2.8169014084507,18.3098591549296,28.169014084507,9.85915492957746,15.4929577464789,1.40845070422535,8.45070422535211,5.63380281690141,7.04225352112676,5.63380281690141,1.40845070422535,2.8169014084507,2.8169014084507,0
"E00033027",169,37,1,36,40,15,13,8,10,13,13,4,9,20,20,0,21.8934911242604,0.591715976331361,21.301775147929,23.6686390532544,8.87573964497041,7.69230769230769,4.73372781065089,5.91715976331361,7.69230769230769,7.69230769230769,2.36686390532544,5.32544378698225,11.8343195266272,11.8343195266272,0
"E00033029",114,23,3,20,28,11,6,13,9,11,5,2,3,8,8,0,20.1754385964912,2.63157894736842,17.5438596491228,24.5614035087719,9.64912280701754,5.26315789473684,11.4035087719298,7.89473684210526,9.64912280701754,4.3859649122807,1.75438596491228,2.63157894736842,7.01754385964912,7.01754385964912,0
"E00033030",124,21,6,15,21,6,13,9,2,3,2,1,1,47,47,0,16.9354838709677,4.83870967741935,12.0967741935484,16.9354838709677,4.83870967741935,10.4838709677419,7.25806451612903,1.61290322580645,2.41935483870968,1.61290322580645,0.806451612903226,0.806451612903226,37.9032258064516,37.9032258064516,0
