"GeographyCode","QS102EW0001","QS102EW0002","QS102EW0003"
"E00032987",198,3.39,58.40707965
"E00032988",348,2.73,127.4725275
"E00032989",333,2.23,149.3273543
"E00032990",330,3.37,97.92284866
"E00032991",320,2.39,133.8912134
"E00032992",240,2.58,93.02325581
"E00032993",282,4.2,67.14285714
"E00032994",111,8.24,13.47087379
"E00032995",268,2.09,128.2296651
"E00032996",417,6.38,65.36050157
"E00032997",211,1.79,117.877095
"E00032998",337,4.97,67.80684105
"E00032999",359,2.51,143.0278884
"E00033000",177,2.29,77.29257642
"E00033002",227,3.82,59.42408377
"E00033004",252,17.47,14.42472811
"E00033005",402,9.08,44.27312775
"E00033006",271,1.87,144.9197861
"E00033007",317,4.74,66.87763713
"E00033008",345,5.52,62.5
"E00033012",149,19.5,7.641025641
"E00033013",202,2.26,89.38053097
"E00033015",209,1.46,143.1506849
"E00033016",597,3.63,164.4628099
"E00033018",270,2.4,112.5
"E00033019",350,3.86,90.67357513
"E00033020",231,1.43,161.5384615
"E00033021",262,4.98,52.61044177
"E00033023",433,12.87,33.64413364
"E00033024",178,13.41,13.27367636
"E00033025",265,1.92,138.0208333
"E00033026",219,2.33,93.99141631
"E00033027",393,4.66,84.33476395
"E00033029",240,1.7,141.1764706
"E00033030",321,16.95,18.9380531
"E00033031",309,2.19,141.0958904
"E00033032",347,6.78,51.179941
"E00033033",288,2.39,120.5020921
"E00033034",313,4.19,74.70167064
"E00033035",359,3.18,112.8930818
"E00033036",191,3.33,57.35735736
"E00033037",314,7.35,42.72108844
"E00033038",166,3.15,52.6984127
"E00033040",270,2.12,127.3584906
"E00033041",262,4.25,61.64705882
"E00033042",239,4.98,47.99196787
"E00033043",252,5.11,49.31506849
"E00033044",239,7.58,31.53034301
"E00033045",215,3.34,64.37125749
"E00033046",180,13.94,12.91248207
"E00033047",328,5.83,56.26072041
"E00033048",252,12.44,20.25723473
"E00033049",372,2.05,181.4634146
"E00033050",227,11.96,18.97993311
"E00033051",308,27.44,11.2244898
"E00033052",379,2.24,169.1964286
"E00033053",278,1.66,167.4698795
"E00033054",158,1.82,86.81318681
"E00033055",244,1.84,132.6086957
"E00033056",278,1.77,157.0621469
"E00033057",292,1.96,148.9795918
"E00033059",307,5.21,58.92514395
"E00033060",204,7.81,26.12035851
"E00033061",235,5.03,46.71968191
"E00033062",264,7.59,34.7826087
"E00033063",259,25.65,10.09746589
"E00033064",235,2.13,110.3286385
"E00033065",293,10.39,28.20019249
"E00033066",242,6.15,39.3495935
"E00033067",279,2.63,106.0836502
"E00033068",327,4.26,76.76056338
"E00033069",248,1.92,129.1666667
"E00033070",279,30.15,9.253731343
"E00033071",275,7.82,35.16624041
"E00033072",304,6.45,47.13178295
"E00033073",257,3.22,79.8136646
"E00033074",299,1.95,153.3333333
"E00033075",254,3.12,81.41025641
"E00033076",397,14.38,27.6077886
"E00033077",292,3.14,92.99363057
"E00033078",329,35.42,9.288537549
"E00033079",230,1.45,158.6206897
"E00033080",197,1.53,128.7581699
"E00033081",220,2.21,99.54751131
"E00033082",312,6.83,45.68081991
"E00033083",336,62.83,5.347763807
"E00033084",325,30.69,10.58976865
"E00033085",321,5.71,56.21716287
"E00033086",249,3.83,65.01305483
"E00033087",397,6.2,64.03225806
"E00033088",239,3.23,73.99380805
"E00033089",302,3.86,78.23834197
"E00033090",376,5.35,70.28037383
"E00033091",306,63.06,4.852521408
"E00033092",307,6.33,48.49921011
"E00033093",372,22.85,16.28008753
"E00033094",328,4.88,67.21311475
"E00033095",443,59.4,7.457912458
"E00033096",262,10.85,24.14746544
"E00033097",263,10.04,26.19521912
"E00033098",277,10.35,26.76328502
"E00033099",163,4.24,38.44339623
"E00033100",297,4.21,70.54631829
"E00033101",212,6.08,34.86842105
"E00033102",429,36.08,11.8902439
"E00033103",298,4.61,64.64208243
"E00033104",275,4.7,58.5106383
"E00033105",293,6.6,44.39393939
"E00033106",286,6.86,41.6909621
"E00033107",353,9.16,38.5371179
"E00033108",317,4.01,79.05236908
"E00033109",322,9.15,35.19125683
"E00033110",340,64.88,5.240443896
"E00033112",308,7.2,42.77777778
"E00033113",246,10.81,22.75670675
"E00033114",308,6.45,47.75193798
"E00033115",132,1.67,79.04191617
"E00033116",190,28.85,6.585788562
"E00033117",385,7.01,54.92154066
"E00033118",331,4.22,78.43601896
"E00033119",262,6.22,42.1221865
"E00033120",313,4.93,63.48884381
"E00033121",220,3.56,61.79775281
"E00033122",275,3.69,74.52574526
"E00033123",258,5.46,47.25274725
"E00033124",307,13.88,22.11815562
"E00033125",187,2.42,77.27272727
"E00033126",254,5.24,48.47328244
"E00033127",524,106.86,4.903612203
"E00033128",268,4.62,58.00865801
"E00033129",256,14.63,17.49829118
"E00033130",360,20.82,17.29106628
"E00033131",275,4.29,64.1025641
"E00033132",459,3.12,147.1153846
"E00033133",366,3.46,105.7803468
