"GeographyCode","QS103EW0001","QS103EW0002","QS103EW0003","QS103EW0004","QS103EW0005","QS103EW0006","QS103EW0007","QS103EW0008","QS103EW0009","QS103EW0010","QS103EW0011","QS103EW0012","QS103EW0013","QS103EW0014","QS103EW0015","QS103EW0016","QS103EW0017","QS103EW0018","QS103EW0019","QS103EW0020","QS103EW0021","QS103EW0022","QS103EW0023","QS103EW0024","QS103EW0025","QS103EW0026","QS103EW0027","QS103EW0028","QS103EW0029","QS103EW0030","QS103EW0031","QS103EW0032","QS103EW0033","QS103EW0034","QS103EW0035","QS103EW0036","QS103EW0037","QS103EW0038","QS103EW0039","QS103EW0040","QS103EW0041","QS103EW0042","QS103EW0043","QS103EW0044","QS103EW0045","QS103EW0046","QS103EW0047","QS103EW0048","QS103EW0049","QS103EW0050","QS103EW0051","QS103EW0052","QS103EW0053","QS103EW0054","QS103EW0055","QS103EW0056","QS103EW0057","QS103EW0058","QS103EW0059","QS103EW0060","QS103EW0061","QS103EW0062","QS103EW0063","QS103EW0064","QS103EW0065","QS103EW0066","QS103EW0067","QS103EW0068","QS103EW0069","QS103EW0070","QS103EW0071","QS103EW0072","QS103EW0073","QS103EW0074","QS103EW0075","QS103EW0076","QS103EW0077","QS103EW0078","QS103EW0079","QS103EW0080","QS103EW0081","QS103EW0082","QS103EW0083","QS103EW0084","QS103EW0085","QS103EW0086","QS103EW0087","QS103EW0088","QS103EW0089","QS103EW0090","QS103EW0091","QS103EW0092","QS103EW0093","QS103EW0094","QS103EW0095","QS103EW0096","QS103EW0097","QS103EW0098","QS103EW0099","QS103EW0100","QS103EW0101","QS103EW0102"
"E00032987",198,2,0,4,0,2,3,0,8,0,1,3,2,3,4,1,3,2,2,3,3,5,4,5,6,4,10,10,5,5,5,6,4,5,3,0,5,5,4,4,4,1,3,0,2,2,4,2,0,2,2,1,0,2,0,0,4,2,1,1,1,2,1,0,2,2,0,1,1,0,2,1,3,1,2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00032988",348,5,1,0,0,0,2,0,2,1,1,0,0,0,4,1,1,5,1,6,12,5,10,11,8,9,12,3,9,7,8,7,3,2,7,3,3,9,4,6,6,9,8,7,7,6,5,3,7,7,7,7,7,6,2,1,4,6,3,6,7,4,5,7,3,2,2,3,2,5,1,0,4,1,3,1,2,1,0,1,2,0,2,0,1,2,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
"E00032989",333,6,0,2,1,5,2,2,1,0,3,3,3,0,2,1,3,1,0,1,1,12,17,19,9,6,11,10,3,7,2,8,11,6,7,11,4,3,1,4,9,6,14,3,1,3,12,4,7,10,6,8,8,8,2,0,4,3,3,2,2,3,0,2,3,3,3,0,2,2,2,3,2,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00032990",330,5,3,2,2,2,0,0,2,0,0,0,0,3,3,0,1,0,0,2,6,14,16,6,10,8,10,10,10,7,9,10,20,11,9,7,2,2,4,4,6,6,5,11,7,5,1,6,2,6,3,6,2,2,6,1,0,2,1,0,2,2,3,4,2,3,2,1,3,2,0,1,2,4,1,2,1,3,1,5,1,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"E00032991",320,4,3,1,1,1,2,0,1,0,1,1,0,0,0,1,2,1,2,6,3,4,13,15,9,14,13,8,13,8,4,4,15,4,9,2,6,5,6,10,6,5,8,11,3,7,9,8,2,12,8,2,6,6,2,4,3,5,1,5,0,4,3,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00032992",240,1,1,0,0,1,1,0,0,1,2,1,3,2,1,3,1,3,2,2,4,11,8,11,5,6,7,10,1,7,6,9,7,6,2,3,6,1,6,4,9,6,2,10,7,7,3,7,2,6,5,1,3,0,2,0,2,1,0,4,4,0,1,0,0,3,1,0,1,0,0,2,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00032993",282,2,2,3,0,2,2,0,1,0,3,0,3,3,3,3,1,1,0,3,6,8,13,9,16,17,14,8,10,4,10,14,2,2,7,7,4,10,8,5,10,5,2,2,3,5,3,2,4,1,1,0,1,4,1,1,1,2,0,0,2,1,0,1,2,1,3,0,1,0,0,1,3,1,1,2,2,0,2,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"E00032994",111,1,3,1,1,2,4,2,2,0,0,4,3,0,3,0,1,1,2,3,1,1,2,2,0,1,1,0,0,1,2,0,5,1,0,1,1,1,2,0,2,2,1,0,2,0,1,3,1,3,1,2,0,1,0,2,0,4,1,4,1,3,0,0,3,1,1,0,0,1,1,2,0,2,1,2,1,0,0,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00032995",268,2,2,1,4,4,4,0,4,3,0,2,2,2,3,3,3,2,1,6,2,3,5,5,4,2,6,1,3,4,3,5,4,1,2,8,4,2,3,6,4,4,1,5,1,2,3,5,8,4,2,4,1,3,2,4,1,3,5,2,3,4,4,2,2,3,4,3,4,3,2,0,2,4,1,3,5,6,6,3,3,1,2,3,2,2,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0
"E00032996",417,3,6,5,7,4,8,3,7,3,4,7,11,12,4,7,12,6,0,6,5,2,5,6,3,0,11,4,2,6,8,2,4,3,2,3,8,2,2,4,3,3,8,6,3,4,1,3,5,11,10,7,7,5,9,7,3,1,8,2,6,6,9,3,9,4,3,6,4,10,4,5,3,3,4,5,1,5,2,7,6,4,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
