"GeographyCode","QS105EW0001","QS105EW0002","QS105EW0003"
"E01006512",21,10,11
"E01006513",56,29,27
"E01006514",29,15,14
"E01006515",10,3,7
"E01006518",8,1,7
"E01006519",34,17,17
"E01006520",0,0,0
"E01006521",6,3,3
"E01006522",2,0,2
"E01006523",7,4,3
"E01006524",41,25,16
"E01006525",21,13,8
"E01006526",8,5,3
"E01006527",14,6,8
"E01006528",19,11,8
"E01006529",15,5,10
"E01006530",15,8,7
"E01006531",15,8,7
"E01006532",31,11,20
"E01006533",18,9,9
"E01006534",17,9,8
"E01006535",16,7,9
"E01006536",7,4,3
"E01006537",18,10,8
"E01006538",11,9,2
"E01006539",39,22,17
"E01006540",0,0,0
"E01006541",8,4,4
"E01006542",4,3,1
"E01006543",3,1,2
"E01006544",6,2,4
"E01006545",6,4,2
"E01006546",2,1,1
"E01006547",4,2,2
"E01006548",7,2,5
"E01006549",6,4,2
"E01006550",13,7,6
"E01006551",15,7,8
"E01006552",8,3,5
"E01006553",17,12,5
"E01006554",27,13,14
"E01006556",19,15,4
"E01006557",16,12,4
"E01006558",5,4,1
"E01006560",10,2,8
"E01006562",8,4,4
"E01006563",3,1,2
"E01006564",5,1,4
"E01006565",7,3,4
"E01006566",9,6,3
"E01006567",16,8,8
"E01006568",5,1,4
"E01006569",11,4,7
"E01006570",15,8,7
"E01006571",5,3,2
"E01006572",6,3,3
"E01006573",15,7,8
"E01006574",5,2,3
"E01006575",10,2,8
"E01006576",15,8,7
"E01006577",16,7,9
"E01006578",5,4,1
"E01006579",13,9,4
"E01006580",24,11,13
"E01006581",30,14,16
"E01006582",28,12,16
"E01006583",53,20,33
"E01006584",10,2,8
"E01006585",3,2,1
"E01006586",15,10,5
"E01006587",10,6,4
"E01006588",12,4,8
"E01006589",20,10,10
"E01006590",15,8,7
"E01006591",27,9,18
"E01006592",50,22,28
"E01006593",16,6,10
"E01006594",31,17,14
"E01006595",17,7,10
"E01006596",27,15,12
"E01006597",34,20,14
"E01006598",7,3,4
"E01006599",1,0,1
