"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E02001347",6047,3009,2338,649,22,3038,1974,66,162,407,429
"E02001348",5819,2919,2188,697,34,2900,1918,54,153,395,380
"E02001349",6464,3387,2568,776,43,3077,2064,52,137,453,371
"E02001350",6091,2854,2070,750,34,3237,2080,45,184,409,519
"E02001351",6464,2702,2038,612,52,3762,2466,62,230,501,503
"E02001352",5331,2133,1612,477,44,3198,2170,75,179,431,343
"E02001353",5907,3522,2822,656,44,2385,1613,45,143,304,280
"E02001354",6062,2679,2061,582,36,3383,2259,59,169,437,459
"E02001355",5504,2343,1800,518,25,3161,2102,53,189,403,414
"E02001356",4183,1828,1272,516,40,2355,1532,38,158,340,287
"E02001357",5488,2248,1700,536,12,3240,2116,61,152,393,518
"E02001358",5683,2254,1598,630,26,3429,2313,37,205,533,341
"E02001359",4763,2610,2208,386,16,2153,1463,42,115,231,302
"E02001360",6850,2355,1644,641,70,4495,2986,102,252,673,482
"E02001361",6237,2769,2162,575,32,3468,2283,60,166,453,506
"E02001362",6208,2980,2472,482,26,3228,2012,48,150,430,588
"E02001363",6076,2502,1842,633,27,3574,2362,45,219,482,466
"E02001364",4179,1456,1038,402,16,2723,1841,43,135,434,270
"E02001365",6973,2714,1886,774,54,4259,2916,118,259,536,430
"E02001366",7294,3117,2382,682,53,4177,2874,88,237,544,434
"E02001367",7727,4406,3764,612,30,3321,2147,61,165,367,581
"E02001368",4795,1508,1116,354,38,3287,2158,65,201,461,402
"E02001369",6563,2253,1608,583,62,4310,3032,102,184,524,468
"E02001370",5003,1562,1108,416,38,3441,2194,71,190,565,421
"E02001371",5541,2614,1882,698,34,2927,1926,69,160,406,366
"E02001372",4969,2320,1850,450,20,2649,1722,53,121,376,377
"E02001373",7408,3298,2436,796,66,4110,2662,102,235,631,480
"E02001374",6775,2235,1504,647,84,4540,3300,155,247,581,257
"E02001375",5783,2664,2010,622,32,3119,1954,55,149,451,510
"E02001376",6766,2400,1782,551,67,4366,3022,201,236,519,388
"E02001377",7547,1746,1260,426,60,5801,4650,156,184,458,353
"E02001378",6354,2914,2188,692,34,3440,2225,68,176,535,436
"E02001380",6179,3666,3116,514,36,2513,1584,51,122,288,468
"E02001381",7648,2714,1842,792,80,4934,3626,130,216,537,425
"E02001382",5786,3573,3075,454,44,2213,1492,43,81,287,310
"E02001383",6263,1417,757,540,120,4846,3899,128,152,418,249
"E02001384",9730,1856,1212,604,40,7874,6879,128,141,374,352
"E02001385",5929,1774,1402,314,58,4155,2769,249,315,523,299
"E02001386",6233,2430,1822,572,36,3803,2239,49,188,658,669
"E02001387",6569,3756,3196,500,60,2813,1952,51,107,297,406
"E02001388",7911,2420,1614,744,62,5491,4723,68,116,343,241
"E02001389",5322,1492,688,726,78,3830,2910,90,156,496,178
"E02001390",6909,2267,1685,528,54,4642,3132,148,296,596,470
"E02001391",4695,2100,1640,437,23,2595,1641,35,123,388,408
"E02001392",4932,3044,2684,342,18,1888,1120,62,77,233,396
"E02001393",5988,3924,3598,294,32,2064,1353,71,62,173,405
"E02001394",7254,2797,1780,913,104,4457,3334,89,172,495,367
"E02001395",5118,2898,2372,470,56,2220,1478,38,82,274,348
"E02001396",6799,2740,1756,882,102,4059,2921,86,176,491,385
"E02001397",6533,3230,2554,634,42,3303,1902,48,170,550,633
"E02001398",6361,2748,1884,770,94,3613,2583,74,125,434,397
"E02001399",5987,3536,3100,406,30,2451,1609,53,80,288,421
"E02001400",5470,2630,2188,426,16,2840,1844,69,138,386,403
"E02001401",6608,3724,3160,536,28,2884,1785,75,117,344,563
"E02001402",6927,3928,3144,732,52,2999,1965,75,114,410,435
"E02001403",4874,2042,1400,604,38,2832,1922,45,161,396,308
"E02001404",5691,2451,1668,759,24,3240,2166,53,151,434,436
"E02001405",7267,2878,2012,842,24,4389,2926,67,252,609,535
"E02006932",5162,1168,352,680,136,3994,3647,87,67,139,54
"E02006933",4910,1660,838,718,104,3250,2583,108,127,298,134
"E02006934",4173,1376,466,840,70,2797,2365,112,114,169,37
