"GeographyCode","QS108EW0001","QS108EW0002","QS108EW0003","QS108EW0004","QS108EW0005","QS108EW0006","QS108EW0007","QS108EW0008","QS108EW0009","QS108EW0010","QS108EW0011"
"E00032987",162,44,26,18,0,118,91,2,5,10,10
"E00032988",280,58,26,28,4,222,186,4,6,18,8
"E00032989",299,44,20,24,0,255,222,2,7,18,6
"E00032990",303,84,32,42,10,219,164,8,10,21,16
"E00032991",302,60,20,24,16,242,211,5,6,17,3
"E00032992",222,28,10,18,0,194,165,5,6,17,1
"E00032993",254,70,38,24,8,184,152,5,6,9,12
"E00032994",84,18,12,4,2,66,37,0,7,12,10
"E00032995",229,70,52,16,2,159,99,3,11,22,24
"E00032996",314,114,90,24,0,200,110,7,14,38,31
"E00032997",173,46,36,10,0,127,83,5,11,14,14
"E00032998",277,118,76,36,6,159,109,4,13,15,18
"E00032999",331,72,20,44,8,259,218,4,4,27,6
"E00033000",146,54,44,8,2,92,50,3,9,13,17
"E00033002",194,58,38,16,4,136,98,9,9,15,5
"E00033004",240,108,72,30,6,132,90,4,5,25,8
"E00033005",282,92,72,20,0,190,130,3,9,24,24
"E00033006",230,94,64,30,0,136,94,3,4,17,18
"E00033007",251,71,55,10,6,180,102,10,8,36,24
"E00033008",249,58,42,16,0,191,134,2,10,33,12
"E00033012",143,70,62,6,2,73,46,5,2,13,7
"E00033013",175,52,32,18,2,123,88,12,5,15,3
"E00033015",187,86,36,30,20,101,89,3,3,5,1
"E00033016",355,122,100,20,2,233,200,13,9,9,2
"E00033018",136,30,8,20,2,106,104,1,0,1,0
"E00033019",322,44,22,14,8,278,235,4,3,29,7
"E00033020",227,48,8,30,10,179,167,0,2,9,1
"E00033021",220,91,45,38,8,129,79,8,6,19,17
"E00033023",275,68,40,22,6,207,156,1,5,23,22
"E00033024",157,36,28,6,2,121,85,2,3,18,13
"E00033025",228,124,86,34,4,104,76,2,3,12,11
"E00033026",174,104,88,14,2,70,39,4,6,9,12
"E00033027",335,98,60,38,0,237,168,4,9,31,25
"E00033029",209,98,70,24,4,111,82,6,4,8,11
"E00033030",207,130,118,12,0,77,61,4,0,4,8
"E00033031",265,136,102,24,10,129,92,1,5,20,11
"E00033032",334,108,38,66,4,226,178,1,8,33,6
"E00033033",270,88,28,58,2,182,159,1,6,10,6
"E00033034",297,116,32,78,6,181,152,2,6,18,3
"E00033035",290,124,78,38,8,166,126,5,7,16,12
"E00033036",175,50,26,20,4,125,95,0,6,19,5
"E00033037",247,128,122,4,2,119,82,1,4,15,17
"E00033038",151,38,8,24,6,113,92,1,1,16,3
