"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E02001347",6047,847,355,492,1014,499,375,97,31,12,2313,1096,282,410,382,143,807,175,556,76,559,162,385,12,507,208,299
"E02001348",5819,862,403,459,1101,589,369,109,27,7,2027,1075,236,295,292,129,811,176,583,52,580,152,413,15,438,208,230
"E02001349",6464,918,438,480,1202,741,349,89,17,6,2415,1219,311,382,347,156,932,163,697,72,549,164,372,13,448,186,262
"E02001350",6091,872,372,500,1121,545,402,132,25,17,2132,1106,269,309,336,112,843,221,539,83,542,186,329,27,581,319,262
"E02001351",6464,1071,424,647,1101,532,366,150,41,12,2288,1204,219,319,350,196,874,203,576,95,561,187,344,30,569,257,312
"E02001352",5331,798,369,429,1126,666,326,94,34,6,1850,1030,207,217,275,121,713,171,475,67,466,153,297,16,378,187,191
"E02001353",5907,863,336,527,959,508,332,82,28,9,2570,1117,328,461,462,202,794,119,586,89,426,103,302,21,295,124,171
"E02001354",6062,971,428,543,1101,580,333,136,36,16,1985,1054,201,288,300,142,900,199,639,62,558,156,380,22,547,252,295
"E02001355",5504,860,363,497,973,573,277,86,24,13,1867,1053,205,203,267,139,785,185,537,63,550,163,369,18,469,278,191
"E02001356",4183,678,234,444,828,332,318,132,40,6,1408,729,179,202,214,84,536,140,350,46,418,141,258,19,315,155,160
"E02001357",5488,925,359,566,856,408,266,126,44,12,1843,941,192,251,311,148,728,138,499,91,573,151,389,33,563,239,324
"E02001358",5683,938,416,522,1166,681,338,111,25,11,1892,1138,151,225,249,129,795,221,515,59,513,159,348,6,379,193,186
"E02001359",4763,732,318,414,642,374,182,60,16,10,1679,792,202,264,295,126,787,113,600,74,552,117,414,21,371,145,226
"E02001360",6850,1141,533,608,1255,765,321,115,39,15,2171,1369,167,249,236,150,1148,348,716,84,690,273,394,23,445,215,230
"E02001361",6237,1016,411,605,915,528,250,96,23,18,2122,1110,179,293,340,200,937,207,643,87,676,179,472,25,571,286,285
"E02001362",6208,913,405,508,722,423,193,68,28,10,2166,1084,200,346,368,168,932,171,664,97,738,218,490,30,737,330,407
"E02001363",6076,998,407,591,1157,569,404,131,43,10,2098,1087,249,275,332,155,750,205,476,69,575,202,340,33,498,247,251
"E02001364",4179,712,260,452,782,435,225,88,26,8,1412,837,133,160,176,106,607,185,372,50,350,139,197,14,316,159,157
"E02001365",6973,1239,588,651,1568,848,473,165,63,19,2341,1279,278,283,326,175,805,232,481,92,585,188,369,28,435,209,226
"E02001366",7294,1137,487,650,1402,889,330,123,46,14,2571,1477,207,349,348,190,974,221,652,101,653,188,447,18,557,233,324
"E02001367",7727,993,452,541,1051,656,303,46,26,20,2668,1227,334,460,445,202,1260,188,972,100,916,200,688,28,839,358,481
"E02001368",4795,675,337,338,795,514,177,73,22,9,1485,918,138,153,193,83,790,274,444,72,580,260,287,33,470,251,219
"E02001369",6563,1147,715,432,1363,1013,217,92,24,17,1837,1125,177,209,211,115,1022,314,634,74,709,271,409,29,485,246,239
"E02001370",5003,736,320,416,832,469,217,103,36,7,1502,890,133,163,235,81,791,315,399,77,662,288,351,23,480,294,186
"E02001371",5541,852,353,499,1107,432,473,133,51,18,2108,1027,294,317,335,135,618,130,431,57,435,139,274,22,421,201,220
"E02001372",4969,735,310,425,735,454,162,69,34,16,1745,886,194,250,273,142,744,178,502,64,461,145,309,7,549,272,277
"E02001373",7408,1170,503,667,1334,768,402,125,30,9,2668,1370,303,402,414,179,976,271,608,97,670,217,431,22,590,257,333
"E02001374",6775,1344,886,458,1695,1215,353,90,30,7,2235,1449,188,227,274,97,744,283,391,70,447,174,252,21,310,146,164
"E02001375",5783,760,313,447,987,521,340,75,34,17,1952,1058,197,304,279,114,806,188,534,84,620,203,391,26,658,320,338
"E02001376",6766,1459,959,500,1506,905,428,123,41,9,2065,1171,292,265,208,129,766,245,452,69,543,170,351,22,427,188,239
