"GeographyCode","QS110EW0001","QS110EW0002","QS110EW0003","QS110EW0004","QS110EW0005","QS110EW0006","QS110EW0007","QS110EW0008","QS110EW0009","QS110EW0010","QS110EW0011","QS110EW0012","QS110EW0013","QS110EW0014","QS110EW0015","QS110EW0016","QS110EW0017","QS110EW0018","QS110EW0019","QS110EW0020","QS110EW0021","QS110EW0022","QS110EW0023","QS110EW0024","QS110EW0025","QS110EW0026","QS110EW0027"
"E00032987",162,34,21,13,53,42,6,0,3,2,43,17,4,11,5,6,16,2,10,4,11,4,6,1,5,2,3
"E00032988",280,62,51,11,59,55,4,0,0,0,108,84,4,8,6,6,36,26,10,0,9,8,1,0,6,5,1
"E00032989",299,66,63,3,76,65,9,2,0,0,113,93,9,6,5,0,25,19,5,1,14,5,9,0,5,4,1
"E00032990",303,60,57,3,101,88,11,2,0,0,87,69,11,0,7,0,19,14,4,1,18,16,2,0,18,15,3
"E00032991",302,67,56,11,80,67,9,0,4,0,126,107,4,4,5,6,25,17,7,1,2,2,0,0,2,1,1
"E00032992",222,52,42,10,58,54,0,1,3,0,87,67,4,5,7,4,15,11,3,1,7,5,2,0,3,2,1
"E00032993",254,73,67,6,78,72,4,1,1,0,72,51,8,6,7,0,10,7,2,1,12,5,7,0,9,6,3
"E00032994",84,13,5,8,11,6,2,3,0,0,25,15,2,3,2,3,17,13,1,3,10,6,3,1,8,6,2
"E00032995",229,30,18,12,37,19,14,3,1,0,68,43,4,6,8,7,29,15,13,1,26,18,7,1,39,22,17
"E00032996",314,33,15,18,45,19,16,4,5,1,108,61,10,13,20,4,51,18,29,4,47,15,30,2,30,14,16
"E00032997",173,36,21,15,35,21,8,2,4,0,55,37,2,7,8,1,23,8,13,2,8,4,4,0,16,8,8
"E00032998",277,51,37,14,70,46,18,4,1,1,79,50,12,9,6,2,39,6,25,8,23,9,13,1,15,7,8
"E00032999",331,87,83,4,107,105,1,1,0,0,100,83,7,6,4,0,28,18,8,2,7,6,1,0,2,2,0
"E00033000",146,22,13,9,8,5,3,0,0,0,41,18,1,8,11,3,11,4,7,0,21,6,15,0,43,27,16
