"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E01006512",799,487,250,193,44,220,114,34,72,60,39,19,2,32,28,2,2
"E01006513",909,671,324,326,21,150,87,43,20,44,26,16,2,44,30,14,0
"E01006514",1115,550,344,192,14,360,239,60,61,119,92,24,3,86,72,12,2
"E01006515",641,202,76,88,38,203,88,43,72,93,58,27,8,143,91,50,2
"E01006518",835,162,56,40,66,320,118,88,114,133,76,47,10,220,139,77,4
"E01006519",514,28,2,12,14,218,26,51,141,119,34,74,11,149,66,83,0
"E01006520",1182,512,291,200,21,370,257,73,40,139,117,16,6,161,140,20,1
"E01006521",928,255,118,110,27,292,145,75,72,117,49,57,11,264,173,89,2
"E01006522",1094,491,238,218,35,446,313,63,70,88,66,21,1,69,58,11,0
"E01006523",830,304,148,123,33,283,145,73,65,125,77,43,5,118,78,38,2
"E01006524",583,164,78,66,20,203,91,45,67,74,32,38,4,142,72,69,1
"E01006525",486,50,10,28,12,183,22,59,102,99,16,71,12,154,61,90,3
"E01006526",654,129,59,45,25,275,108,58,109,95,39,52,4,155,81,74,0
"E01006527",638,103,38,42,23,228,59,52,117,99,36,53,10,208,112,95,1
"E01006528",613,197,62,93,42,232,74,57,101,94,33,57,4,90,45,45,0
"E01006529",559,104,32,48,24,249,60,60,129,84,30,52,2,122,58,63,1
"E01006530",616,41,9,8,24,205,27,61,117,123,27,89,7,247,109,135,3
"E01006531",674,35,2,19,14,174,28,48,98,114,26,75,13,351,171,179,1
"E01006532",617,20,4,3,13,224,24,45,155,143,24,105,14,230,97,133,0
"E01006533",614,30,9,8,13,219,55,53,111,152,60,84,8,213,116,97,0
"E01006534",649,71,31,14,26,309,75,70,164,106,29,66,11,163,89,73,1
"E01006535",656,65,7,29,29,299,61,87,151,105,32,62,11,187,105,80,2
"E01006536",815,102,28,27,47,352,97,88,167,133,44,78,11,228,103,121,4
"E01006537",964,310,97,100,113,341,86,108,147,144,37,93,14,169,58,110,1
"E01006538",527,55,15,13,27,218,27,59,132,91,17,68,6,163,71,89,3
"E01006539",601,45,17,16,12,206,45,49,112,166,35,108,23,184,79,102,3
"E01006540",771,256,117,38,101,276,139,48,89,103,59,38,6,136,100,34,2
"E01006541",803,142,58,30,54,299,110,66,123,133,55,70,8,229,139,88,2
"E01006542",583,142,63,26,53,265,99,55,111,72,29,35,8,104,50,52,2
"E01006543",509,53,13,8,32,210,35,70,105,96,27,60,9,150,73,76,1
"E01006544",738,151,52,12,87,305,93,64,148,112,34,65,13,170,85,81,4
"E01006545",646,154,50,19,85,251,58,54,139,95,21,61,13,146,72,72,2
"E01006546",583,170,67,21,82,227,72,58,97,83,31,45,7,103,57,44,2
"E01006547",718,232,114,31,87,250,104,54,92,97,47,39,11,139,69,63,7
"E01006548",759,224,91,33,100,299,104,52,143,90,53,33,4,146,86,60,0
"E01006549",949,480,312,140,28,321,229,43,49,82,47,32,3,66,48,18,0
"E01006550",483,260,28,220,12,120,48,26,46,49,15,29,5,54,27,26,1
"E01006551",751,103,53,36,14,231,148,47,36,136,101,32,3,281,209,71,1
"E01006552",869,343,121,87,135,350,136,58,156,85,41,31,13,91,48,38,5
"E01006553",642,318,47,256,15,187,56,41,90,74,35,34,5,63,29,33,1
"E01006554",649,272,100,158,14,217,112,33,72,99,34,55,10,61,34,24,3
"E01006556",1016,378,196,73,109,383,181,62,140,117,69,36,12,138,92,42,4
"E01006557",635,387,39,322,26,128,37,37,54,57,21,29,7,63,41,22,0
"E01006558",739,193,88,25,80,286,147,52,87,118,52,60,6,142,93,48,1
"E01006560",996,169,87,18,64,351,172,48,131,192,100,83,9,284,177,100,7
"E01006562",714,170,61,6,103,280,99,59,122,136,57,72,7,128,77,47,4
"E01006563",908,159,58,18,83,263,100,46,117,168,111,48,9,318,208,101,9
"E01006564",800,104,33,30,41,234,72,49,113,214,74,121,19,248,121,125,2
"E01006565",638,67,13,16,38,254,45,80,129,103,34,61,8,214,105,109,0
"E01006566",577,82,27,21,34,241,39,56,146,104,26,69,9,150,92,57,1
"E01006567",892,164,100,17,47,296,138,51,107,151,77,61,13,281,185,96,0
"E01006568",629,115,29,26,60,268,56,71,141,118,36,74,8,128,70,55,3
"E01006569",613,68,29,15,24,217,56,54,107,110,45,59,6,218,106,105,7
"E01006570",595,66,18,24,24,265,45,69,151,100,24,65,11,164,78,85,1
"E01006571",612,81,18,10,53,240,61,63,116,119,41,69,9,172,84,88,0
"E01006572",501,95,12,7,76,196,29,69,98,82,25,50,7,128,67,56,5
"E01006573",778,161,57,19,85,277,116,56,105,114,46,57,11,226,149,73,4
"E01006574",612,84,17,10,57,262,76,55,131,77,20,52,5,189,118,69,2
"E01006575",578,78,24,21,33,220,49,58,113,96,35,55,6,184,97,86,1
"E01006576",713,82,19,32,31,309,48,88,173,130,26,95,9,192,98,94,0
"E01006577",597,49,12,21,16,261,39,57,165,122,18,91,13,165,76,89,0
"E01006578",554,107,22,37,48,211,35,54,122,92,17,68,7,144,65,75,4
"E01006579",618,46,4,10,32,245,17,68,160,123,16,92,15,204,94,108,2
"E01006580",515,40,9,9,22,223,29,57,137,106,19,77,10,146,56,89,1
"E01006581",607,48,11,21,16,258,31,59,168,126,24,89,13,175,72,101,2
"E01006582",585,56,11,18,27,260,29,49,182,119,17,86,16,150,53,97,0
"E01006583",467,11,3,1,7,184,9,46,129,107,12,80,15,165,61,102,2
"E01006584",611,68,25,15,28,241,54,52,135,137,49,79,9,165,77,88,0
"E01006585",641,71,23,16,32,255,81,66,108,121,62,50,9,194,102,91,1
"E01006586",921,216,93,70,53,349,133,72,144,144,62,68,14,212,126,83,3
"E01006587",717,141,58,44,39,287,94,75,118,161,50,93,18,128,57,68,3
"E01006588",702,191,59,108,24,247,100,63,84,126,41,76,9,138,72,65,1
"E01006589",599,48,4,21,23,251,32,53,166,142,38,89,15,158,78,80,0
"E01006590",701,250,58,165,27,248,80,69,99,83,28,50,5,120,65,54,1
"E01006591",671,148,31,93,24,274,65,64,145,121,31,75,15,128,65,62,1
"E01006592",624,57,14,36,7,211,26,53,132,132,26,88,18,224,123,101,0
"E01006593",662,236,60,136,40,246,88,61,97,78,32,40,6,102,52,50,0
"E01006594",579,30,7,13,10,206,35,51,120,145,34,93,18,198,96,99,3
"E01006595",812,162,36,80,46,293,72,91,130,134,44,85,5,223,128,92,3
"E01006596",597,86,17,44,25,224,43,68,113,125,24,91,10,162,78,83,1
"E01006597",683,69,10,43,16,280,55,75,150,137,36,85,16,197,92,103,2
"E01006598",604,111,16,8,87,224,62,54,108,91,39,49,3,178,106,68,4
"E01006599",482,148,31,12,105,181,46,47,88,67,36,27,4,86,45,36,5
"E01006600",592,67,12,12,43,235,46,68,121,94,30,51,13,196,92,103,1
"E01006603",594,73,25,8,40,230,48,70,112,90,31,51,8,201,78,117,6
"E01006604",571,72,20,11,41,244,46,84,114,88,31,52,5,167,78,87,2
"E01006605",696,87,26,15,46,278,87,65,126,120,53,55,12,211,123,85,3
"E01006606",723,141,45,32,64,290,110,70,110,114,35,68,11,178,82,95,1
"E01006607",641,106,21,12,73,248,58,67,123,108,37,62,9,179,80,99,0
"E01006608",563,111,43,19,49,233,73,59,101,90,31,54,5,129,74,55,0
"E01006609",576,124,54,18,52,239,72,55,112,79,21,50,8,134,62,72,0
"E01006610",669,140,47,24,69,233,66,55,112,106,36,57,13,190,134,55,1
"E01006611",742,238,120,17,101,278,157,50,71,97,52,38,7,129,82,47,0
"E01006612",740,139,62,17,60,273,102,56,115,119,58,56,5,209,124,85,0
"E01006613",611,66,16,9,41,212,50,62,100,127,60,59,8,206,114,90,2
"E01006614",667,173,79,15,79,265,113,70,82,90,33,52,5,139,67,72,0
"E01006615",663,173,63,26,84,264,103,56,105,103,41,57,5,123,72,50,1
"E01006616",613,71,16,16,39,240,58,67,115,123,45,68,10,179,88,87,4
"E01006617",650,108,44,35,29,293,81,79,133,93,17,69,7,156,69,86,1
"E01006618",692,42,9,10,23,270,40,89,141,113,31,72,10,267,132,132,3
"E01006619",734,122,38,32,52,286,87,72,127,121,42,68,11,205,89,115,1
"E01006620",625,42,8,13,21,205,44,51,110,128,32,82,14,250,145,104,1
"E01006621",584,50,17,8,25,200,28,49,123,139,30,102,7,195,88,106,1
"E01006622",586,43,15,5,23,235,17,70,148,112,21,81,10,196,76,119,1
"E01006623",527,22,2,3,17,225,16,68,141,133,19,97,17,147,32,115,0
"E01006624",702,128,43,28,57,272,93,61,118,119,42,65,12,183,90,92,1
"E01006625",609,49,9,9,31,228,33,62,133,116,29,74,13,216,114,100,2
"E01006626",593,41,12,7,22,223,33,68,122,131,27,88,16,198,101,96,1
"E01006627",600,93,29,22,42,223,46,60,117,112,32,72,8,172,88,84,0
"E01006628",651,145,28,84,33,253,64,67,122,107,31,66,10,146,77,67,2
"E01006629",573,88,29,38,21,208,59,59,90,119,36,77,6,158,79,78,1
"E01006630",555,86,15,20,51,271,71,55,145,94,35,40,19,104,45,55,4
"E01006632",884,285,114,65,106,301,99,73,129,119,48,60,11,179,83,95,1
"E01006633",699,110,32,11,67,237,69,60,108,142,71,57,14,210,145,64,1
"E01006637",670,191,35,25,131,271,68,71,132,91,39,43,9,117,66,46,5
"E01006638",518,108,19,5,84,209,54,52,103,79,28,43,8,122,60,58,4
"E01006639",640,136,32,22,82,275,71,63,141,96,25,66,5,133,71,62,0
"E01006640",760,105,31,24,50,314,49,80,185,144,46,87,11,197,91,103,3
"E01006641",633,197,40,42,115,332,77,80,175,67,20,43,4,37,17,19,1
"E01006642",590,119,28,7,84,259,82,74,103,65,28,31,6,147,81,61,5
"E01006643",740,178,30,34,114,324,74,70,180,102,37,54,11,136,57,76,3
"E01006644",963,249,109,50,90,379,118,84,177,134,63,62,9,201,114,82,5
"E01006645",690,117,36,7,74,242,75,61,106,95,50,35,10,236,138,93,5
"E01006646",1006,381,188,119,74,325,158,57,110,134,63,59,12,166,94,69,3
"E01006647",636,112,28,7,77,235,69,38,128,124,53,55,16,165,92,67,6
"E01006648",1075,401,132,194,75,299,94,90,115,164,77,82,5,211,125,81,5
"E01006651",592,91,16,29,46,338,46,78,214,96,14,64,18,67,27,39,1
"E01006652",633,123,34,27,62,262,58,68,136,106,34,69,3,142,67,75,0
"E01006653",656,114,27,27,60,263,60,68,135,110,42,59,9,169,74,89,6
"E01006654",627,120,41,24,55,245,46,69,130,110,32,67,11,152,98,51,3
"E01006655",706,101,13,30,58,309,63,87,159,105,30,67,8,191,88,98,5
"E01006656",669,150,38,37,75,261,78,70,113,111,37,71,3,147,69,77,1
"E01006657",582,130,40,27,63,238,87,53,98,80,38,41,1,134,71,62,1
"E01006658",634,140,51,15,74,224,78,55,91,98,41,52,5,172,84,85,3
"E01006659",548,113,46,18,49,228,95,47,86,81,46,28,7,126,77,49,0
"E01006660",616,81,16,6,59,243,65,49,129,109,48,54,7,183,97,83,3
"E01006661",749,132,25,16,91,253,73,71,109,131,48,71,12,233,123,107,3
"E01006662",785,162,38,29,95,245,69,58,118,125,64,51,10,253,162,87,4
"E01006663",510,121,29,29,63,210,53,54,103,71,29,36,6,108,64,43,1
"E01006664",822,175,46,32,97,297,90,67,140,142,63,68,11,208,128,75,5
"E01006665",630,104,28,24,52,328,79,79,170,113,24,79,10,85,49,36,0
"E01006666",514,64,7,15,42,303,29,76,198,81,18,51,12,66,30,35,1
"E01006667",618,83,18,21,44,266,60,90,116,123,32,80,11,146,78,66,2
"E01006668",590,118,25,43,50,337,46,95,196,61,16,39,6,74,32,40,2
"E01006669",551,81,24,21,36,315,54,89,172,86,17,55,14,69,28,35,6
"E01006670",607,98,24,20,54,301,42,91,168,96,29,61,6,112,38,71,3
"E01006671",499,43,16,5,22,240,27,73,140,95,20,64,11,121,52,64,5
"E01006672",798,191,41,17,133,323,73,81,169,120,44,67,9,164,80,80,4
"E01006673",954,377,183,106,88,304,122,46,136,110,52,39,19,163,125,32,6
"E01006674",826,227,98,39,90,312,124,43,145,102,65,28,9,185,113,52,20
"E01006675",1132,503,298,166,39,410,297,59,54,131,100,25,6,88,71,15,2
