"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E02001347",3204,527,123,107,297,1377,312,337,728,518,175,296,47,782,370,394,18
"E02001348",3148,639,167,149,323,1277,338,332,607,514,176,309,29,718,360,351,7
"E02001349",3422,657,236,157,264,1484,406,366,712,582,163,379,40,699,350,340,9
"E02001350",3417,671,162,127,382,1320,339,339,642,555,221,281,53,871,505,347,19
"E02001351",3515,702,199,85,418,1387,329,361,697,572,203,312,57,854,444,391,19
"E02001352",3046,721,269,138,314,1237,437,266,534,465,171,255,39,623,340,276,7
"E02001353",2959,467,102,123,242,1535,256,431,848,474,119,310,45,483,227,248,8
"E02001354",3312,687,208,100,379,1247,309,323,615,572,199,339,34,806,408,390,8
"E02001355",3108,647,256,102,289,1191,370,300,521,499,185,276,38,771,441,325,5
"E02001356",2364,571,119,56,396,891,206,232,453,352,140,189,23,550,296,239,15
"E02001357",2858,457,88,47,322,1114,223,299,592,453,138,264,51,834,390,429,15
"E02001358",3450,906,381,108,417,1349,537,297,515,539,221,277,41,656,352,303,1
"E02001359",2328,286,90,58,138,960,182,262,516,459,113,298,48,623,262,355,6
"E02001360",4130,912,351,159,402,1554,631,348,575,803,348,406,49,861,488,355,18
"E02001361",3388,546,180,81,285,1332,355,344,633,604,207,340,57,906,465,428,13
"E02001362",3161,291,76,52,163,1243,239,368,636,568,171,341,56,1059,548,500,11
"E02001363",3481,801,231,109,461,1376,386,331,659,495,205,249,41,809,449,341,19
"E02001364",2532,610,247,61,302,1002,418,199,385,418,185,205,28,502,298,193,11
"E02001365",4059,1203,462,187,554,1583,531,343,709,527,232,250,45,746,397,336,13
"E02001366",4081,902,362,181,359,1698,604,395,699,619,221,341,57,862,421,431,10
"E02001367",3939,470,153,117,200,1533,306,401,826,737,188,489,60,1199,558,633,8
"E02001368",2918,518,202,113,203,1005,340,265,400,567,274,241,52,828,511,293,24
"E02001369",3877,1055,440,361,254,1209,496,244,469,704,314,345,45,909,517,375,17
"E02001370",3153,638,260,81,297,1041,440,185,416,567,315,206,46,907,582,306,19
"E02001371",3076,673,127,100,446,1373,338,348,687,393,130,230,33,637,340,281,16
"E02001372",2728,426,165,77,184,1069,300,254,515,488,178,269,41,745,417,324,4
"E02001373",4089,838,298,162,378,1688,486,391,811,656,271,325,60,907,474,422,11
"E02001374",4105,1420,778,335,307,1598,770,310,518,527,283,206,38,560,320,227,13
"E02001375",3202,533,147,109,277,1210,333,307,570,515,188,286,41,944,523,404,17
"E02001376",3789,1133,348,369,416,1403,496,292,615,532,245,246,41,721,358,347,16
"E02001377",4063,1830,783,833,214,1058,460,210,388,508,265,204,39,667,430,207,30
"E02001378",3557,708,264,191,253,1415,448,331,636,636,250,331,55,798,448,341,9
"E02001380",3117,323,84,99,140,1276,207,323,746,608,144,412,52,910,442,465,3
"E02001381",4312,1549,466,625,458,1500,605,317,578,556,266,250,40,707,427,265,15
"E02001382",2782,325,64,115,146,1183,158,302,723,540,103,385,52,734,303,421,10
"E02001383",4260,1986,1234,568,184,1362,810,214,338,439,292,114,33,473,353,109,11
"E02001384",3941,1984,361,1398,225,985,350,234,401,397,171,184,42,575,359,205,11
"E02001385",3631,1282,582,249,451,1367,531,213,623,388,219,118,51,594,344,200,50
"E02001386",3572,488,160,62,266,1264,371,329,564,648,254,348,46,1172,698,456,18
"E02001387",3162,378,70,211,97,1276,207,294,775,651,148,423,80,857,411,443,3
"E02001388",4170,2153,1206,813,134,1094,366,285,443,427,156,242,29,496,251,241,4
"E02001389",3740,1603,919,520,164,1304,872,208,224,428,309,96,23,405,317,81,7
"E02001390",4094,986,363,209,414,1617,572,357,688,623,302,256,65,868,465,381,22
"E02001391",2481,357,49,64,244,991,216,264,511,444,140,270,34,689,329,348,12
"E02001392",2556,223,74,70,79,811,174,221,416,498,114,336,48,1024,428,592,4
"E02001393",2845,135,36,46,53,1034,131,232,671,694,116,489,89,982,404,567,11
"E02001394",4290,1263,560,571,132,1621,832,306,483,576,302,250,24,830,512,312,6
"E02001395",2612,396,91,202,103,1009,201,296,512,466,122,310,34,741,365,368,8
"E02001396",3918,1288,469,511,308,1366,480,377,509,554,227,286,41,710,408,296,6
"E02001397",3848,530,215,137,178,1316,456,331,529,738,331,363,44,1264,749,509,6
"E02001398",3595,989,385,448,156,1268,487,331,450,562,226,300,36,776,452,317,7
"E02001399",2866,235,60,94,81,1112,144,285,683,592,119,421,52,927,416,501,10
"E02001400",2839,317,97,92,128,1258,336,302,620,477,140,292,45,787,404,376,7
"E02001401",3395,471,132,148,191,1157,223,329,605,624,167,409,48,1143,525,610,8
"E02001402",3762,633,227,237,169,1438,412,334,692,713,211,441,61,978,493,480,5
"E02001403",2841,760,320,172,268,1121,389,257,475,402,183,181,38,558,304,247,7
"E02001404",3155,679,180,134,365,1310,340,331,639,463,169,260,34,703,392,295,16
"E02001405",4154,1064,250,125,689,1525,397,389,739,687,294,337,56,878,471,385,22
"E02006932",3201,2419,1282,1083,54,514,335,119,60,142,98,35,9,126,91,34,1
"E02006933",3135,1681,800,769,112,875,489,197,189,313,162,138,13,266,145,115,6
"E02006934",2782,1859,930,861,68,684,434,174,76,157,98,53,6,82,63,17,2
