"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E00032987",87,33,10,17,6,30,8,4,18,10,2,5,3,14,6,7,1
"E00032988",200,57,36,20,1,98,67,13,18,31,26,5,0,14,13,0,1
"E00032989",232,95,68,21,6,101,78,8,15,22,19,3,0,14,9,5,0
"E00032990",219,103,62,31,10,65,41,15,9,18,14,3,1,33,31,2,0
"E00032991",219,89,60,24,5,103,74,16,13,24,17,6,1,3,3,0,0
"E00032992",165,67,49,14,4,74,56,5,13,15,11,3,1,9,7,2,0
"E00032993",166,88,41,43,4,52,28,11,13,9,7,2,0,17,11,6,0
"E00032994",63,12,2,3,7,19,9,4,6,16,13,0,3,16,12,3,1
"E00032995",149,27,13,4,10,45,14,14,17,22,15,7,0,55,40,14,1
"E00032996",181,23,2,1,20,67,14,18,35,36,18,17,1,55,29,23,3
"E00032997",106,30,9,8,13,41,15,12,14,17,8,8,1,18,12,6,0
"E00032998",164,58,24,20,14,50,17,14,19,26,6,15,5,30,16,12,2
"E00032999",236,114,67,46,1,88,60,15,13,25,18,5,2,9,8,1,0
"E00033000",87,3,0,1,2,26,4,6,16,9,4,5,0,49,33,16,0
"E00033002",129,34,18,10,6,65,36,13,16,14,9,3,2,16,11,5,0
"E00033004",167,49,34,13,2,81,48,22,11,22,11,11,0,15,9,6,0
"E00033005",176,30,12,7,11,74,28,20,26,24,16,7,1,48,29,17,2
"E00033006",120,24,2,8,14,40,5,17,18,21,10,9,2,35,15,20,0
"E00033007",155,17,2,3,12,55,20,12,23,35,18,13,4,48,32,15,1
"E00033008",147,29,5,1,23,66,22,11,33,29,13,14,2,23,14,9,0
"E00033012",104,28,21,6,1,34,23,8,3,28,16,11,1,14,6,8,0
"E00033013",115,40,15,20,5,44,24,4,16,17,9,7,1,14,13,1,0
"E00033015",109,63,17,43,3,32,14,8,10,9,5,4,0,5,5,0,0
"E00033016",226,149,92,36,21,50,18,9,23,19,12,6,1,8,6,1,1
"E00033018",72,59,27,29,3,9,5,4,0,1,1,0,0,3,3,0,0
"E00033019",218,97,51,36,10,88,70,9,9,20,16,4,0,13,8,4,1
"E00033020",143,89,49,39,1,37,30,4,3,14,13,1,0,3,2,1,0
"E00033021",134,47,13,21,13,38,20,8,10,25,17,7,1,24,15,9,0
"E00033023",149,31,5,23,3,49,26,11,12,29,22,7,0,40,33,6,1
"E00033024",104,19,10,3,6,38,19,10,9,24,15,8,1,23,14,9,0
"E00033025",135,31,9,16,6,59,24,15,20,17,9,8,0,28,14,14,0
"E00033026",90,10,3,2,5,40,7,9,24,12,5,7,0,28,13,15,0
"E00033027",200,79,39,32,8,51,28,10,13,21,6,13,2,49,36,12,1
"E00033029",111,26,8,13,5,45,18,12,15,17,4,13,0,23,9,14,0
"E00033030",95,7,3,2,2,33,6,4,23,21,4,12,5,34,10,24,0
"E00033031",130,22,7,13,2,62,12,18,32,18,4,13,1,28,16,11,1
"E00033032",238,119,67,48,4,76,53,17,6,20,15,4,1,23,19,4,0
"E00033033",193,102,54,41,7,71,50,11,10,11,9,2,0,9,9,0,0
"E00033034",201,105,52,47,6,75,52,16,7,14,9,5,0,7,5,2,0
"E00033035",159,45,11,28,6,57,20,22,15,30,14,14,2,27,12,14,1
"E00033036",128,51,29,19,3,49,26,13,10,20,14,4,2,8,6,2,0
"E00033037",153,24,17,3,4,48,26,4,18,26,10,15,1,55,25,30,0
"E00033038",110,58,33,18,7,37,30,4,3,13,9,4,0,2,1,1,0
"E00033040",132,43,18,17,8,50,25,13,12,15,11,4,0,24,15,8,1
"E00033041",110,6,0,2,4,47,8,10,29,18,0,14,4,39,25,14,0
"E00033042",98,9,2,6,1,35,8,9,18,21,3,14,4,33,14,19,0
"E00033043",112,27,6,14,7,46,7,19,20,14,5,8,1,25,10,14,1
"E00033044",92,5,0,3,2,34,2,10,22,21,6,14,1,32,10,21,1
"E00033045",132,17,9,4,4,42,23,5,14,17,7,9,1,56,42,14,0
"E00033046",121,10,2,6,2,14,10,3,1,18,10,8,0,79,51,28,0
"E00033047",106,8,2,2,4,43,3,10,30,22,4,18,0,33,10,23,0
"E00033048",100,4,1,1,2,35,4,7,24,20,0,17,3,41,18,22,1
"E00033049",154,58,14,24,20,62,15,15,32,21,5,15,1,13,7,6,0
"E00033050",84,5,1,4,0,33,1,14,18,23,2,18,3,23,9,14,0
"E00033051",167,69,28,38,3,51,17,22,12,29,14,13,2,18,6,12,0
"E00033052",144,61,11,40,10,42,12,15,15,14,4,9,1,27,14,13,0
"E00033053",111,36,12,20,4,45,4,14,27,14,6,7,1,16,10,6,0
"E00033054",76,14,7,2,5,28,8,8,12,15,7,5,3,19,8,10,1
"E00033055",106,21,7,9,5,52,12,15,25,20,10,10,0,13,6,7,0
"E00033056",123,24,5,13,6,58,13,17,28,12,6,6,0,29,10,19,0
"E00033057",122,25,7,11,7,50,11,6,33,17,7,9,1,30,14,16,0
"E00033059",149,10,4,3,3,49,10,12,27,25,7,13,5,65,42,23,0
"E00033060",101,5,2,1,2,22,5,4,13,20,6,14,0,54,32,22,0
"E00033061",91,6,1,1,4,36,4,8,24,20,7,11,2,29,15,14,0
"E00033062",105,4,1,1,2,39,5,7,27,21,4,15,2,41,20,21,0
"E00033063",101,0,0,0,0,40,4,11,25,31,6,22,3,30,9,21,0
"E00033064",97,6,0,1,5,51,8,12,31,21,10,9,2,19,5,14,0
"E00033065",120,12,0,9,3,52,5,13,34,26,7,17,2,30,17,13,0
"E00033066",155,69,34,29,6,45,22,17,6,22,19,1,2,19,13,5,1
"E00033067",184,91,61,27,3,54,30,12,12,17,12,4,1,22,17,5,0
"E00033068",203,96,40,51,5,80,54,18,8,18,14,3,1,9,7,2,0
"E00033069",164,73,34,34,5,61,44,8,9,15,12,3,0,15,12,3,0
"E00033070",190,67,35,28,4,92,69,9,14,12,10,2,0,19,15,4,0
"E00033071",141,48,17,26,5,67,34,20,13,14,4,8,2,12,6,6,0
"E00033072",167,85,27,54,4,60,40,12,8,16,11,4,1,6,4,2,0
"E00033073",192,84,47,36,1,51,41,7,3,23,20,2,1,34,32,2,0
"E00033074",179,59,36,14,9,87,58,7,22,20,15,5,0,13,13,0,0
"E00033075",210,53,42,9,2,64,57,2,5,39,37,2,0,54,52,2,0
"E00033076",152,26,16,8,2,53,18,12,23,25,11,13,1,48,23,24,1
"E00033077",185,72,39,27,6,53,28,16,9,25,17,7,1,35,29,6,0
"E00033078",176,54,38,8,8,64,43,8,13,27,19,8,0,31,17,14,0
"E00033079",116,35,18,14,3,37,16,5,16,22,12,10,0,22,15,7,0
"E00033080",150,39,28,5,6,60,46,8,6,10,8,2,0,41,32,8,1
"E00033081",127,30,10,17,3,62,30,15,17,11,7,4,0,24,15,9,0
"E00033082",122,2,0,1,1,46,2,14,30,34,7,22,5,40,13,27,0
"E00033083",122,5,4,0,1,58,9,13,36,32,4,26,2,27,6,21,0
