"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E02001347",7628,980,370,610,5957,322,3140,522,707,1199,712,0,0,0,0,0,940,228,297,329,86,1555,474,542,539,691,191,171,3,42,284
"E02001348",7222,1041,360,681,5555,344,2872,530,525,1001,816,2,2,0,0,0,954,312,253,324,65,1383,470,529,384,626,144,161,7,29,285
"E02001349",7943,1155,350,805,5993,342,3370,600,743,1119,908,6,6,0,0,0,1033,366,227,372,68,1242,391,475,376,795,181,204,6,30,374
"E02001350",7714,1227,505,722,5718,287,2729,500,618,994,617,0,0,0,0,0,1051,302,269,407,73,1651,574,573,504,769,201,214,6,36,312
"E02001351",8141,1175,444,731,6041,312,2696,438,559,888,811,5,2,0,0,3,904,212,246,353,93,2124,735,793,596,925,274,269,7,24,351
"E02001352",6620,1217,340,877,4481,242,2022,402,393,686,541,0,0,0,0,0,716,164,184,323,45,1501,536,577,388,922,191,200,16,33,482
"E02001353",7526,704,227,477,6184,298,3897,706,905,1509,777,11,4,3,4,0,857,318,209,286,44,1121,385,461,275,638,187,215,0,9,227
"E02001354",7611,1124,408,716,5802,374,2637,460,485,794,898,7,4,0,0,3,885,220,250,342,73,1899,537,850,512,685,188,193,13,21,270
"E02001355",6660,1252,441,811,4763,290,2251,456,456,616,723,0,0,0,0,0,716,228,195,230,63,1506,546,566,394,645,161,180,17,25,262
"E02001356",5584,761,296,465,4355,226,1670,278,268,633,491,11,8,3,0,0,844,140,226,403,75,1604,498,754,352,468,144,163,0,12,149
"E02001357",6955,839,390,449,5322,326,2123,346,386,686,705,0,0,0,0,0,847,134,201,443,69,2026,553,757,716,794,268,226,9,32,259
"E02001358",7041,1491,352,1139,5067,279,2033,412,429,583,609,0,0,0,0,0,889,282,210,333,64,1866,704,713,449,483,108,110,2,19,244
"E02001359",5740,647,262,385,4492,362,2817,518,527,929,843,5,2,0,0,3,531,152,120,213,46,777,282,237,258,601,186,159,2,21,233
"E02001360",8289,1818,488,1330,5566,308,1960,478,282,547,653,7,4,3,0,0,937,296,239,303,99,2354,796,845,713,905,216,224,18,40,407
"E02001361",7618,1207,465,742,5706,406,2699,522,557,780,840,0,0,0,0,0,871,200,231,360,80,1730,495,665,570,705,243,177,0,30,255
"E02001362",7401,1034,548,486,5525,480,3021,500,610,916,995,2,2,0,0,0,682,156,148,292,86,1340,322,472,546,842,279,185,0,46,332
"E02001363",7788,1271,449,822,5662,308,2369,406,495,820,648,3,0,3,0,0,905,234,252,349,70,2077,758,818,501,855,225,295,4,24,307
"E02001364",5203,1148,298,850,3418,182,1269,254,242,400,373,2,2,0,0,0,576,152,140,249,35,1389,499,532,358,637,233,177,0,11,216
"E02001365",8950,1622,397,1225,6083,330,2289,422,468,784,615,7,4,3,0,0,1167,250,332,522,63,2290,853,998,439,1245,245,335,109,18,538
"E02001366",8912,1608,421,1187,6248,410,3077,592,588,1068,829,0,0,0,0,0,926,316,211,342,57,1835,662,660,513,1056,196,277,14,24,545
"E02001367",9296,1205,558,647,7294,778,4646,842,856,1709,1239,6,2,0,4,0,825,294,179,300,52,1039,336,313,390,797,198,198,15,29,357
"E02001368",5771,1327,511,816,3694,190,1338,314,261,306,457,5,2,0,0,3,463,202,108,120,33,1698,470,675,553,750,195,152,16,48,339
"E02001369",7637,1767,517,1250,4592,278,1914,460,316,492,646,5,2,0,0,3,742,374,132,188,48,1653,544,543,566,1278,237,235,143,46,617
"E02001370",6155,1597,582,1015,3759,286,1269,254,231,413,371,4,4,0,0,0,589,118,171,239,61,1611,562,660,389,799,169,207,7,42,374
"E02001371",7347,935,340,595,5751,248,2593,460,476,1164,493,0,0,0,0,0,1069,242,275,460,92,1841,630,723,488,661,224,198,2,33,204
"E02001372",6014,1060,417,643,4463,344,2434,388,507,885,654,6,6,0,0,0,575,194,125,213,43,1104,345,396,363,491,110,105,0,49,227
"E02001373",9210,1529,474,1055,6660,395,3218,510,680,1170,858,6,6,0,0,0,1121,324,337,380,80,1920,656,711,553,1021,260,276,22,37,426
"E02001374",8051,2151,320,1831,4409,194,2013,358,417,768,470,11,8,0,0,3,843,332,187,256,68,1348,500,519,329,1491,205,249,182,17,838
"E02001375",7100,1191,523,668,5179,368,2483,488,433,908,654,3,0,0,0,3,914,256,219,378,61,1411,467,459,485,730,195,190,0,50,295
"E02001376",8445,1447,358,1089,5355,302,2383,402,404,1042,535,4,4,0,0,0,770,244,147,334,45,1896,684,709,503,1643,202,250,493,23,675
"E02001377",8525,1938,430,1508,3496,132,1629,330,358,590,351,2,2,0,0,0,491,294,66,102,29,1242,401,444,397,3091,221,204,1808,19,839
"E02001378",7733,1410,448,962,5490,308,2904,530,626,1092,656,11,8,3,0,0,899,354,221,234,90,1368,453,448,467,833,156,193,39,28,417
"E02001380",7519,877,442,435,6068,508,4046,734,808,1524,980,10,6,0,4,0,702,238,165,259,40,802,224,266,312,574,129,148,5,52,240
"E02001381",9280,1764,427,1337,5459,224,2424,478,468,937,541,4,4,0,0,0,1023,492,174,312,45,1784,743,603,438,2057,228,238,730,11,850
"E02001382",7093,628,303,325,5961,518,4040,664,932,1496,948,6,6,0,0,0,657,200,182,220,55,740,188,250,302,504,152,83,43,11,215
"E02001383",7125,2689,353,2336,2862,88,1029,230,249,448,102,21,14,3,0,4,686,442,61,141,42,1038,408,349,281,1574,97,205,593,23,656
"E02001384",10739,1241,359,882,3563,162,1594,284,305,665,340,0,0,0,0,0,640,356,103,160,21,1167,455,369,343,5935,172,190,3912,34,1627
"E02001385",8106,1676,344,1332,4940,102,2277,216,447,1427,187,2,2,0,0,0,465,176,102,162,25,2094,684,967,443,1490,217,543,140,31,559
"E02001386",7518,1483,698,785,5275,384,2165,456,417,637,655,6,6,0,0,0,821,196,206,308,111,1899,488,690,721,760,207,225,2,43,283
"E02001387",7955,836,411,425,6143,530,4242,704,903,1759,876,22,14,3,5,0,631,290,117,198,26,718,199,208,311,976,121,180,167,23,485
"E02001388",8802,1979,251,1728,4012,230,2072,480,401,731,460,10,6,0,4,0,871,496,147,171,57,829,234,311,284,2811,94,115,1295,22,1285
"E02001389",5919,2417,317,2100,2400,66,848,268,163,298,119,20,16,0,4,0,812,620,105,81,6,654,288,216,150,1102,103,136,210,10,643
"E02001390",8689,1702,465,1237,5645,286,2163,416,436,820,491,4,4,0,0,0,760,236,208,260,56,2432,798,943,691,1342,281,361,89,35,576
"E02001391",5887,734,329,405,4520,312,2006,430,305,649,622,0,0,0,0,0,676,134,171,301,70,1526,442,607,477,633,186,187,7,15,238
"E02001392",5699,790,428,362,4503,768,2823,630,463,913,817,2,2,0,0,0,431,192,102,111,26,479,140,117,222,406,72,121,4,32,177
"E02001393",7203,687,404,283,5987,708,4534,900,802,1788,1044,11,6,0,5,0,373,116,79,134,44,361,95,91,175,529,110,182,10,20,207
"E02001394",8158,2206,512,1694,4208,336,2043,556,447,618,422,20,14,6,0,0,1133,676,190,234,33,676,289,152,235,1744,112,216,553,35,828
"E02001395",6056,779,365,414,4691,424,2980,614,571,1042,753,24,12,3,9,0,623,288,139,159,37,640,153,192,295,586,89,85,53,21,338
"E02001396",7973,1584,408,1176,4984,272,2087,518,429,587,553,11,8,3,0,0,1093,596,225,233,39,1521,574,498,449,1405,143,207,152,29,874
"E02001397",7606,1751,749,1002,5314,590,2993,686,532,1012,763,4,4,0,0,0,782,368,174,193,47,945,292,317,336,541,111,125,0,58,247
"E02001398",7286,1550,452,1098,4350,338,2222,588,394,700,540,27,12,0,8,7,958,546,177,213,22,805,315,207,283,1386,145,134,228,31,848
"E02001399",7188,739,416,323,5813,590,3972,698,686,1475,1113,9,0,0,9,0,547,184,126,187,50,695,191,222,282,636,163,129,61,16,267
"E02001400",6525,977,404,573,4847,382,2757,522,591,885,759,0,0,0,0,0,560,164,173,188,35,1148,378,351,419,701,177,210,2,24,288
"E02001401",7813,1047,525,522,6058,774,3593,688,659,1197,1049,4,4,0,0,0,708,262,164,202,80,979,268,344,367,708,157,152,19,33,347
"E02001402",8241,1343,493,850,6184,526,3936,842,727,1470,897,13,10,3,0,0,949,446,238,203,62,760,257,224,279,714,134,112,69,38,361
"E02001403",6010,1196,304,892,4162,246,1753,368,340,617,428,4,4,0,0,0,833,272,208,273,80,1326,485,526,315,652,144,114,8,16,370
"E02001404",7229,1081,392,689,5403,256,2171,414,435,731,591,2,2,0,0,0,1137,222,261,540,114,1837,643,661,533,745,244,179,9,33,280
"E02001405",9574,1412,471,941,7104,296,2588,524,449,822,793,4,4,0,0,0,1279,244,359,602,74,2937,952,1350,635,1058,332,299,0,32,395
"E02006932",5312,1806,91,1715,1366,16,383,202,84,65,32,10,10,0,0,0,762,714,18,24,6,195,90,46,59,2140,40,15,1191,4,890
"E02006933",5383,1596,145,1451,2446,108,941,408,175,203,155,6,6,0,0,0,826,664,62,86,14,565,182,233,150,1341,70,68,361,8,834
"E02006934",4367,1525,63,1462,1626,14,553,274,140,87,52,11,8,3,0,0,882,794,48,31,9,166,57,67,42,1216,50,5,356,0,805
