"GeographyCode","QS112EW0001","QS112EW0002","QS112EW0003","QS112EW0004","QS112EW0005","QS112EW0006","QS112EW0007","QS112EW0008","QS112EW0009","QS112EW0010","QS112EW0011","QS112EW0012","QS112EW0013","QS112EW0014","QS112EW0015","QS112EW0016","QS112EW0017","QS112EW0018","QS112EW0019","QS112EW0020","QS112EW0021","QS112EW0022","QS112EW0023","QS112EW0024","QS112EW0025","QS112EW0026","QS112EW0027","QS112EW0028","QS112EW0029","QS112EW0030","QS112EW0031"
"E00032987",198,26,6,20,128,2,41,10,9,15,7,0,0,0,0,0,25,8,6,11,0,60,31,14,15,44,6,0,4,0,34
"E00032988",298,142,13,129,98,0,36,12,15,5,4,0,0,0,0,0,35,24,0,8,3,27,18,5,4,58,2,5,18,0,33
"E00032989",333,174,9,165,97,4,26,2,12,12,0,0,0,0,0,0,27,16,3,4,4,40,10,19,11,62,0,9,25,0,28
"E00032990",326,148,31,117,120,2,36,14,15,4,3,2,2,0,0,0,57,38,12,7,0,23,16,0,7,58,0,4,18,0,36
"E00032991",320,154,3,151,108,0,36,6,26,4,0,0,0,0,0,0,35,28,3,4,0,37,13,9,15,58,4,0,11,0,43
"E00032992",240,123,7,116,65,2,13,4,4,5,0,0,0,0,0,0,18,6,12,0,0,32,19,3,10,52,4,6,19,0,23
"E00032993",282,87,11,76,111,4,48,16,0,25,7,4,4,0,0,0,33,22,3,0,8,22,10,4,8,84,10,10,28,0,36
"E00032994",111,36,12,24,59,4,12,2,3,4,3,2,2,0,0,0,8,0,0,8,0,33,12,19,2,16,0,8,2,0,6
"E00032995",268,82,40,42,158,16,58,10,10,20,18,0,0,0,0,0,23,8,10,5,0,61,22,15,24,28,8,6,0,0,14
"E00032996",417,63,29,34,286,22,102,20,10,32,40,0,0,0,0,0,27,4,19,4,0,135,28,78,29,68,8,24,2,2,32
"E00032997",211,44,12,32,124,4,44,12,3,17,12,0,0,0,0,0,13,4,9,0,0,63,23,22,18,43,9,4,0,2,28
"E00032998",337,63,16,47,225,10,89,24,18,26,21,2,2,0,0,0,51,22,9,14,6,73,33,23,17,49,9,5,9,0,26
"E00032999",359,153,8,145,127,0,30,12,0,14,4,0,0,0,0,0,56,42,0,8,6,41,14,12,15,79,0,5,20,0,54
"E00033000",177,41,33,8,127,22,47,2,7,22,16,0,0,0,0,0,14,0,4,4,6,44,9,20,15,9,0,0,4,2,3
"E00033002",227,74,11,63,117,6,46,14,4,22,6,0,0,0,0,0,30,10,6,11,3,35,15,12,8,36,9,7,4,0,16
"E00033004",252,102,9,93,135,2,81,50,22,0,9,0,0,0,0,0,39,28,6,5,0,13,6,0,7,15,0,0,4,0,11
"E00033005",336,85,29,56,206,20,76,16,13,38,9,0,0,0,0,0,20,14,0,0,6,90,29,32,29,45,7,14,0,0,24
"E00033006",271,32,15,17,196,14,74,20,15,10,29,0,0,0,0,0,38,14,3,15,6,70,30,18,22,43,6,13,2,0,22
"E00033007",317,72,32,40,194,10,71,12,4,43,12,0,0,0,0,0,16,6,6,4,0,97,29,34,34,51,8,18,0,0,25
"E00033008",345,54,14,40,243,2,57,10,11,16,20,0,0,0,0,0,30,2,0,23,5,154,42,77,35,48,17,17,0,0,14
"E00033012",149,66,6,60,77,12,56,42,6,8,0,2,2,0,0,0,7,4,3,0,0,0,0,0,0,6,0,0,4,0,2
