"GeographyCode","QS119EW0001","QS119EW0002","QS119EW0003","QS119EW0004","QS119EW0005","QS119EW0006"
"E01006512",799,272,320,151,37,19
"E01006513",909,319,433,109,39,9
"E01006514",1115,411,423,189,80,12
"E01006515",641,177,188,195,72,9
"E01006518",835,190,220,265,147,13
"E01006519",514,308,120,71,15,0
"E01006520",1182,489,365,208,105,15
"E01006521",928,386,288,191,58,5
"E01006522",1094,464,325,194,92,19
"E01006523",830,357,234,166,64,9
"E01006524",583,321,171,81,6,4
"E01006525",486,249,149,79,9,0
"E01006526",654,331,186,111,23,3
"E01006527",638,265,192,151,27,3
"E01006528",613,307,178,88,34,6
"E01006529",559,327,123,80,29,0
"E01006530",616,271,200,137,7,1
"E01006531",674,247,227,180,18,2
"E01006532",617,350,179,79,9,0
"E01006533",614,225,212,153,24,0
"E01006534",649,232,194,162,56,5
"E01006535",656,242,183,173,54,4
"E01006536",815,241,247,244,81,2
"E01006537",964,404,298,199,62,1
"E01006538",527,205,191,111,18,2
"E01006539",601,339,182,74,6,0
"E01006540",771,129,253,242,128,19
"E01006541",803,219,238,218,120,8
"E01006542",583,167,167,154,84,11
"E01006543",509,194,175,109,30,1
"E01006544",738,138,243,229,120,8
"E01006545",646,220,218,162,40,6
"E01006546",583,151,210,156,56,10
"E01006547",718,150,251,217,87,13
"E01006548",759,185,260,206,94,14
"E01006549",949,312,314,193,106,24
"E01006550",483,252,158,59,13,1
"E01006551",751,193,202,239,106,11
"E01006552",869,244,306,228,87,4
"E01006553",642,355,187,68,29,3
"E01006554",649,305,193,102,42,7
"E01006556",1016,175,308,327,189,17
"E01006557",635,324,204,82,21,4
"E01006558",739,128,245,232,117,17
"E01006560",996,134,258,378,211,15
"E01006562",714,113,223,233,134,11
"E01006563",908,113,246,362,174,13
"E01006564",800,169,258,257,111,5
"E01006565",638,174,193,198,69,4
"E01006566",577,235,179,128,32,3
"E01006567",892,210,249,279,142,12
"E01006568",629,251,197,135,41,5
"E01006569",613,132,201,184,91,5
"E01006570",595,247,210,101,33,4
"E01006571",612,148,183,195,79,7
"E01006572",501,119,163,153,62,4
"E01006573",778,210,216,264,79,9
"E01006574",612,155,178,212,60,7
"E01006575",578,206,169,156,44,3
"E01006576",713,362,182,125,38,6
"E01006577",597,322,172,88,14,1
"E01006578",554,274,153,102,25,0
"E01006579",618,290,188,119,20,1
"E01006580",515,292,146,70,7,0
"E01006581",607,333,185,73,16,0
"E01006582",585,348,156,67,13,1
"E01006583",467,277,150,36,4,0
"E01006584",611,247,197,128,36,3
"E01006585",641,125,199,212,102,3
"E01006586",921,346,261,228,78,8
"E01006587",717,301,201,149,61,5
"E01006588",702,330,204,127,36,5
"E01006589",599,291,205,92,11,0
"E01006590",701,366,193,109,32,1
"E01006591",671,384,180,84,22,1
"E01006592",624,324,211,81,7,1
"E01006593",662,381,163,94,18,6
"E01006594",579,314,195,63,6,1
"E01006595",812,403,221,155,31,2
"E01006596",597,294,183,95,22,3
"E01006597",683,372,227,76,8,0
"E01006598",604,90,176,239,91,8
"E01006599",482,108,158,155,57,4
"E01006600",592,130,184,201,75,2
"E01006603",594,126,198,202,65,3
"E01006604",571,152,158,180,74,7
"E01006605",696,148,227,224,88,9
"E01006606",723,221,226,196,67,13
"E01006607",641,146,195,211,79,10
"E01006608",563,177,182,130,68,6
"E01006609",576,178,174,153,68,3
"E01006610",669,171,172,219,100,7
"E01006611",742,180,198,218,132,14
"E01006612",740,139,240,234,122,5
"E01006613",611,127,173,212,92,7
"E01006614",667,184,200,188,86,9
"E01006615",663,174,221,184,78,6
"E01006616",613,167,184,171,85,6
"E01006617",650,291,206,123,27,3
"E01006618",692,167,207,238,76,4
"E01006619",734,306,243,137,43,5
"E01006620",625,236,185,157,43,4
"E01006621",584,256,204,105,19,0
"E01006622",586,287,198,87,13,1
"E01006623",527,250,163,93,21,0
"E01006624",702,206,221,179,92,4
"E01006625",609,229,189,162,27,2
"E01006626",593,232,177,148,35,1
"E01006627",600,230,182,146,39,3
"E01006628",651,329,168,119,31,4
"E01006629",573,210,185,137,38,3
"E01006630",555,89,175,161,120,10
"E01006632",884,216,243,255,139,31
"E01006633",699,99,192,250,148,10
"E01006637",670,185,204,196,82,3
"E01006638",518,108,150,182,74,4
"E01006639",640,259,186,142,51,2
"E01006640",760,322,211,170,54,3
"E01006641",633,343,189,79,20,2
"E01006642",590,120,172,203,86,9
"E01006643",740,203,213,206,111,7
"E01006644",963,303,257,264,128,11
"E01006645",690,117,197,273,97,6
"E01006646",1006,237,331,266,153,19
"E01006647",636,80,180,226,139,11
"E01006648",1075,264,343,291,168,9
"E01006651",592,329,175,75,13,0
"E01006652",633,230,205,154,43,1
"E01006653",656,184,172,202,93,5
"E01006654",627,225,198,137,55,12
"E01006655",706,245,190,182,79,10
"E01006656",669,239,212,170,45,3
"E01006657",582,181,192,139,63,7
"E01006658",634,147,199,191,90,7
"E01006659",548,132,165,166,75,10
"E01006660",616,172,162,195,80,7
"E01006661",749,149,201,272,115,12
"E01006662",785,211,199,266,103,6
"E01006663",510,184,139,120,64,3
"E01006664",822,194,227,262,128,11
"E01006665",630,301,174,127,26,2
"E01006666",514,277,152,69,16,0
"E01006667",618,215,188,160,53,2
"E01006668",590,315,166,90,19,0
"E01006669",551,282,143,91,34,1
"E01006670",607,277,180,117,30,3
"E01006671",499,178,165,111,39,6
"E01006672",798,193,261,227,109,8
"E01006673",954,226,312,274,125,17
"E01006674",826,134,236,277,157,22
"E01006675",1132,349,413,240,107,23
"E01006676",761,141,244,234,128,14
"E01006677",477,93,152,147,76,9
"E01006678",1059,222,319,331,164,23
"E01006679",920,153,275,306,161,25
"E01006680",605,294,200,91,20,0
"E01006681",719,253,226,167,68,5
"E01006682",498,279,144,67,8,0
"E01006683",594,296,183,98,14,3
"E01006684",999,589,289,104,17,0
"E01006685",604,305,190,92,16,1
"E01006686",531,260,169,87,15,0
"E01006687",933,464,259,168,38,4
"E01006688",712,309,220,144,35,4
"E01006689",717,347,223,120,23,4
"E01006690",801,196,287,211,89,18
"E01006691",647,140,221,188,87,11
"E01006692",989,239,317,282,130,21
"E01006693",838,130,216,309,160,23
"E01006694",891,210,296,247,115,23
"E01006695",1029,203,325,294,173,34
"E01006696",768,181,239,220,116,12
"E01006697",828,182,275,263,91,17
"E01006698",725,219,254,180,64,8
"E01006699",777,152,235,233,144,13
"E01006700",653,160,201,184,96,12
"E01006701",671,136,219,201,103,12
"E01006702",740,162,210,239,122,7
"E01006703",818,160,221,267,158,12
"E01006705",689,206,220,175,75,13
"E01006706",582,94,166,206,108,8
"E01006707",553,94,158,210,86,5
"E01006708",754,249,228,189,82,6
"E01006709",685,183,186,203,106,7
"E01006710",592,165,203,162,60,2
"E01006711",685,192,217,188,76,12
"E01006712",569,205,177,126,57,4
"E01006713",604,208,190,154,48,4
"E01006716",701,233,210,174,76,8
"E01006717",576,225,184,135,28,4
"E01006718",678,206,219,181,70,2
"E01006719",638,227,220,141,47,3
"E01006720",905,273,288,230,103,11
"E01006721",912,262,292,238,111,9
"E01006722",608,273,185,112,34,4
"E01006723",749,279,213,178,69,10
"E01006724",554,265,173,91,23,2
"E01006725",739,250,233,176,75,5
"E01006726",659,263,206,135,50,5
"E01006727",665,267,180,161,54,3
"E01006728",855,237,271,214,116,17
"E01006729",539,118,183,165,70,3
"E01006730",542,120,151,190,75,6
"E01006731",486,105,154,154,70,3
"E01006732",644,114,227,213,87,3
"E01006734",625,132,192,211,84,6
"E01006735",571,137,164,169,96,5
"E01006736",582,144,172,196,67,3
"E01006737",562,121,179,180,78,4
"E01006738",662,141,218,208,88,7
"E01006739",707,138,217,235,99,18
"E01006740",604,104,154,223,109,14
"E01006741",778,181,218,264,104,11
"E01006742",591,209,176,143,58,5
"E01006743",1008,332,329,258,82,7
"E01006744",739,301,188,181,64,5
"E01006745",907,310,293,205,87,12
"E01006746",655,148,173,225,105,4
"E01006747",857,251,331,179,84,12
"E01006748",756,286,248,159,60,3
"E01006751",831,161,273,261,127,9
"E01006752",489,112,153,158,56,10
"E01006753",666,129,229,215,86,7
"E01006754",781,142,252,255,114,18
"E01006755",690,123,208,226,121,12
"E01006756",757,174,242,238,93,10
"E01006757",621,145,199,211,64,2
"E01006758",639,130,200,213,91,5
"E01006759",460,152,138,130,31,9
"E01006760",826,177,277,191,148,33
"E01006761",793,184,270,225,94,20
"E01006762",725,160,224,227,104,10
"E01006763",652,224,199,167,58,4
"E01006764",667,173,225,180,74,15
"E01006765",659,203,199,177,78,2
"E01006766",574,137,188,174,71,4
"E01006767",779,261,257,180,75,6
"E01006768",587,184,194,144,58,7
"E01006769",712,138,216,276,76,6
"E01006770",445,98,137,152,56,2
"E01006771",694,151,185,251,100,7
"E01006772",480,150,138,140,49,3
"E01006773",554,258,173,106,17,0
"E01006774",552,275,165,96,15,1
"E01006775",556,110,160,198,84,4
"E01006776",844,225,237,259,113,10
"E01006778",1124,212,338,349,195,30
"E01006779",902,156,228,317,181,20
"E01006780",619,218,209,145,42,5
"E01006781",600,257,183,123,34,3
"E01006782",691,250,203,174,55,9
"E01006783",645,236,223,133,46,7
"E01006784",586,259,166,118,41,2
"E01006785",781,255,249,198,67,12
"E01006786",764,289,250,170,52,3
"E01006787",691,204,221,172,77,17
"E01006788",681,250,242,136,46,7
"E01006790",801,204,222,226,138,11
"E01006791",873,197,243,286,141,6
