"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E01006512",1880,577,19,0,128,24,29,14,25,79,33,9,467,73,83,20,17,247,36
"E01006513",2941,1884,85,0,171,16,8,31,22,51,19,3,400,73,56,5,3,92,22
"E01006514",2108,1429,68,1,141,37,34,23,30,19,20,0,105,52,62,19,17,30,21
"E01006515",1208,707,24,0,76,37,35,10,24,4,0,0,159,14,24,9,15,44,26
"E01006518",1696,1286,29,0,52,29,27,17,21,5,3,7,42,12,56,16,37,45,12
"E01006519",1286,1174,25,0,34,2,3,7,3,4,2,3,11,4,4,2,0,6,2
"E01006520",1706,1328,68,6,102,20,15,17,17,10,7,1,12,15,22,11,15,27,13
"E01006521",1660,1372,35,1,61,15,13,16,8,16,3,0,19,14,38,3,6,30,10
"E01006522",1731,1344,60,0,67,30,35,25,32,16,6,1,15,18,17,19,11,25,10
"E01006523",1508,1240,32,1,61,21,13,8,21,11,14,0,8,3,18,8,21,20,8
"E01006524",2431,2043,42,1,77,12,9,16,11,76,17,3,49,23,26,4,3,14,5
"E01006525",1209,1088,19,0,22,6,3,15,3,5,5,0,24,1,5,2,1,9,1
"E01006526",1404,1270,20,0,18,8,13,8,10,4,2,4,5,7,8,3,7,1,16
"E01006527",1454,1299,24,0,35,17,28,3,4,3,5,0,7,4,4,3,2,16,0
"E01006528",1461,1191,32,0,65,3,18,18,5,12,22,1,18,5,38,8,7,9,9
"E01006529",1304,1168,35,0,23,7,2,8,7,5,1,0,2,16,3,4,1,17,5
"E01006530",1431,1356,19,0,9,0,4,5,9,1,0,5,11,5,3,0,0,0,4
"E01006531",1458,1402,9,0,1,3,5,2,3,11,0,0,0,0,21,1,0,0,0
"E01006532",1557,1353,27,0,30,1,2,7,11,38,38,0,20,6,6,1,0,9,8
"E01006533",1408,1290,14,0,16,5,1,8,4,34,7,0,18,6,0,1,0,2,2
"E01006534",1542,1290,17,0,44,15,11,7,9,26,15,0,59,5,9,5,10,17,3
"E01006535",1639,1500,21,0,31,14,5,11,17,5,4,2,10,2,5,6,2,0,4
"E01006536",1848,1696,18,0,18,19,13,9,9,0,0,6,16,12,12,3,2,12,3
"E01006537",2257,1916,23,5,157,10,15,17,9,33,23,0,23,6,13,0,0,1,6
"E01006538",1318,1264,6,0,13,10,0,7,1,5,0,0,6,2,1,0,2,0,1
"E01006539",1437,1257,15,0,51,5,3,4,13,23,8,1,22,7,12,1,2,6,7
"E01006540",1509,1199,12,1,70,13,7,18,14,6,6,0,19,12,60,7,1,48,16
"E01006541",1593,1549,4,0,6,4,1,4,6,1,2,0,3,5,0,2,0,0,6
"E01006542",1397,1306,14,0,38,2,6,1,7,1,0,1,2,2,8,1,1,7,0
"E01006543",1247,1219,10,0,1,0,0,3,8,1,0,0,1,0,4,0,0,0,0
"E01006544",1658,1586,7,0,12,16,4,2,2,1,0,0,18,2,6,0,1,0,1
"E01006545",1512,1441,9,0,5,11,1,1,9,7,1,0,10,8,5,0,0,3,1
"E01006546",1319,1231,10,0,14,5,0,2,3,0,1,0,8,9,22,0,6,7,1
"E01006547",1490,1298,19,1,31,13,0,4,7,3,1,0,16,27,22,10,7,28,3
"E01006548",1675,1454,25,0,37,4,11,3,5,7,5,1,19,17,47,5,13,19,3
"E01006549",1662,1071,52,2,112,25,16,23,39,22,14,8,27,15,86,16,37,44,53
"E01006550",1595,1239,77,5,44,30,20,15,11,35,21,14,12,10,29,5,9,16,3
"E01006551",1581,1263,26,0,57,22,18,18,15,13,14,2,41,13,38,17,10,3,11
"E01006552",2029,686,29,0,113,33,86,17,65,32,40,10,34,58,211,12,83,403,117
"E01006553",1880,1502,71,2,41,27,26,18,29,41,16,7,16,16,18,20,6,11,13
"E01006554",1692,1303,63,1,98,15,23,17,19,16,3,49,4,18,16,6,6,30,5
"E01006556",2011,743,43,7,133,46,66,19,52,35,30,43,51,76,230,55,75,199,108
"E01006557",2054,1523,90,0,63,20,16,31,19,41,54,37,24,16,47,11,25,26,11
"E01006558",1357,1251,7,0,24,12,3,1,8,2,0,3,26,4,11,1,0,0,4
"E01006560",1860,1691,10,0,30,14,5,2,9,4,6,2,6,14,45,0,7,7,8
"E01006562",1514,1347,16,1,27,10,5,9,10,1,0,0,28,9,34,2,4,10,1
"E01006563",1744,1519,16,0,44,8,31,3,9,9,2,0,11,19,35,8,8,1,21
"E01006564",1721,1578,20,0,25,9,10,2,3,35,0,0,10,7,14,1,1,2,4
"E01006565",1549,1434,22,0,8,8,6,2,9,50,0,0,0,5,0,0,0,4,1
"E01006566",1506,1360,26,0,19,10,8,4,8,7,5,0,14,9,19,4,9,0,4
"E01006567",1655,1539,13,1,18,0,13,2,3,24,8,1,5,4,11,0,2,11,0
"E01006568",1617,1499,26,0,22,9,4,8,4,0,5,0,12,2,22,0,0,1,3
"E01006569",1429,1359,19,0,6,3,10,3,8,0,1,0,3,0,8,2,2,1,4
"E01006570",1479,1394,13,0,15,8,2,2,7,15,0,0,11,3,3,2,2,2,0
"E01006571",1470,1404,12,0,11,1,1,3,1,5,0,0,4,1,12,1,13,1,0
"E01006572",1207,1118,9,1,26,3,6,6,5,6,0,0,0,11,8,1,6,1,0
"E01006573",1501,1380,15,1,15,11,2,5,2,30,0,0,18,4,10,1,3,3,1
"E01006574",1388,1276,14,0,19,21,6,6,4,4,0,0,5,13,5,1,8,6,0
"E01006575",1294,1169,19,0,20,11,7,9,6,2,7,6,9,8,6,1,4,8,2
"E01006576",1693,1611,13,0,9,7,3,4,4,8,4,1,13,1,1,2,2,7,3
"E01006577",1503,1372,36,0,12,8,7,3,13,12,6,0,8,6,13,0,4,1,2
"E01006578",1380,1298,2,0,15,8,1,3,0,13,4,0,17,10,4,3,1,0,1
"E01006579",1643,1492,16,0,14,9,8,22,14,2,20,7,9,6,2,0,0,12,10
"E01006580",1335,1211,9,0,27,1,1,6,3,24,3,0,38,4,1,2,2,1,2
"E01006581",1559,1440,20,0,27,9,5,1,3,9,8,0,16,5,12,3,0,0,1
"E01006582",1642,1491,36,0,24,3,5,8,5,8,20,0,16,6,3,6,5,4,2
"E01006583",1758,1590,76,1,9,7,4,1,3,14,0,0,19,2,9,3,5,6,9
"E01006584",1393,1339,18,0,2,3,6,0,0,11,0,0,2,0,9,0,1,1,1
"E01006585",1354,1241,4,0,6,9,2,9,3,9,1,0,22,13,25,0,0,10,0
"E01006586",1899,1633,22,1,26,19,28,14,28,13,7,0,41,17,19,5,7,4,15
"E01006587",1624,1376,16,0,41,29,17,15,12,6,2,0,56,3,4,1,5,29,12
"E01006588",1569,1312,58,6,61,15,13,4,12,7,7,0,14,14,17,4,1,14,10
"E01006589",1518,1348,14,0,16,11,12,20,19,26,6,2,17,6,6,3,6,6,0
"E01006590",1642,1409,56,0,58,7,15,14,6,19,11,4,6,8,9,5,5,5,5
"E01006591",1633,1356,81,0,33,14,18,8,15,17,26,0,8,2,9,12,13,17,4
"E01006592",1565,1389,51,0,35,9,3,14,13,2,13,2,8,5,10,1,6,0,4
"E01006593",1541,1289,48,0,59,11,18,13,26,4,6,0,29,1,15,3,8,7,4
"E01006594",1410,1213,22,0,18,6,1,17,4,43,4,2,30,15,1,4,0,21,9
"E01006595",1745,1579,25,0,21,15,13,10,1,11,16,1,21,1,21,1,3,0,6
"E01006596",1451,1231,29,1,29,19,4,11,9,12,26,7,25,15,6,1,2,12,12
"E01006597",1667,1497,33,0,27,12,6,17,7,9,14,12,4,4,7,2,2,8,6
"E01006598",1361,1290,3,0,33,1,1,3,0,6,1,0,5,2,8,2,2,1,3
"E01006599",1121,1036,6,0,37,0,6,1,1,6,0,0,5,4,14,0,4,0,1
"E01006600",1407,1362,7,0,15,6,3,2,4,2,0,0,0,1,0,0,0,2,3
"E01006603",1410,1360,2,0,4,3,5,5,5,2,0,0,9,3,9,1,1,0,1
"E01006604",1367,1333,3,1,5,3,1,0,2,0,0,0,6,3,7,1,1,0,1
"E01006605",1531,1464,14,0,13,6,4,1,3,0,0,0,10,8,7,0,0,0,1
"E01006606",1521,1441,14,0,26,7,0,2,3,0,1,0,2,10,9,3,1,1,1
"E01006607",1531,1496,7,0,9,5,3,2,2,0,1,0,0,0,0,2,0,0,4
"E01006608",1215,1186,3,0,14,0,0,0,1,1,0,0,5,0,4,1,0,0,0
"E01006609",1283,1211,7,0,18,3,5,3,0,0,0,0,19,0,5,0,0,10,2
"E01006610",1397,1320,12,0,11,12,4,0,4,5,0,0,3,8,9,2,1,0,6
"E01006611",1291,1209,8,0,34,3,1,1,4,1,0,0,7,4,15,1,3,0,0
"E01006612",1495,1443,7,0,8,7,3,1,4,0,0,0,0,4,10,1,2,5,0
"E01006613",1360,1325,10,0,3,2,5,3,3,0,1,0,0,5,0,0,1,2,0
"E01006614",1322,1255,6,0,19,6,1,2,1,0,6,2,11,2,1,3,2,4,1
"E01006615",1302,1241,12,0,7,9,1,0,5,0,0,0,18,5,3,0,0,0,1
"E01006616",1428,1358,19,1,15,3,2,3,4,0,0,0,4,1,6,0,0,12,0
"E01006617",1421,1352,9,0,14,4,3,1,3,4,10,0,5,3,3,0,0,9,1
"E01006618",1639,1602,5,0,2,5,1,3,11,0,1,0,0,0,0,1,1,6,1
"E01006619",1599,1518,20,0,18,2,2,3,0,2,0,0,1,7,8,0,1,1,16
"E01006620",1417,1370,9,0,1,6,1,0,0,1,0,0,8,4,5,2,3,7,0
"E01006621",1468,1350,17,0,16,4,2,0,0,27,3,0,15,5,6,1,2,14,6
"E01006622",1519,1469,15,1,16,6,0,1,3,2,0,4,0,2,0,0,0,0,0
"E01006623",1462,1335,8,1,11,3,0,5,4,19,3,0,58,2,5,0,1,6,1
"E01006624",1556,1407,17,0,29,4,4,2,4,4,12,0,38,2,27,4,1,1,0
"E01006625",1416,1375,10,0,3,2,5,0,0,0,0,0,13,6,1,0,1,0,0
"E01006626",1448,1375,9,1,16,1,2,3,6,4,1,0,7,11,1,3,2,3,3
"E01006627",1378,1307,6,0,16,4,2,3,6,1,1,0,11,3,11,2,1,3,1
"E01006628",1874,1462,96,0,53,23,30,22,15,18,14,1,58,10,44,7,9,6,6
"E01006629",1255,1112,18,0,14,15,6,3,13,7,8,0,16,7,8,9,12,5,2
"E01006630",1338,1086,18,0,13,16,22,5,16,7,1,0,26,7,60,8,5,44,4
"E01006632",1842,1580,12,0,33,19,6,9,11,21,4,2,14,4,38,2,13,47,27
"E01006633",1432,1329,5,0,42,7,15,1,3,0,0,0,4,7,0,3,5,10,1
"E01006637",1596,1353,4,3,64,8,5,2,5,40,0,0,15,16,69,0,0,8,4
"E01006638",1219,1087,3,0,23,6,13,1,4,13,0,6,16,10,27,0,3,0,7
"E01006639",1509,1417,4,0,15,6,4,1,6,15,0,0,23,6,9,0,2,0,1
"E01006640",1880,1726,16,0,24,15,4,1,3,8,15,0,33,3,5,0,5,10,12
"E01006641",1740,1386,9,0,33,2,3,8,7,151,1,0,43,62,16,0,7,2,10
"E01006642",1290,1205,13,0,10,5,0,6,5,15,0,0,11,5,10,3,1,1,0
"E01006643",1822,1661,18,0,15,16,10,9,7,25,1,0,7,15,29,1,1,5,2
"E01006644",2040,1885,16,0,27,18,8,10,3,2,0,7,19,12,22,0,7,2,2
"E01006645",1424,1345,9,0,21,2,5,2,8,1,0,0,10,1,19,0,1,0,0
"E01006646",1899,1519,35,1,128,12,13,11,11,25,2,2,40,15,26,8,8,43,0
"E01006647",1422,1291,8,0,36,16,9,0,10,0,1,4,7,1,25,2,3,5,4
"E01006648",2175,1776,43,0,121,21,13,9,16,40,8,4,26,16,30,3,0,40,9
"E01006651",1642,1534,10,0,20,4,1,6,11,13,5,0,18,3,8,1,3,3,2
"E01006652",1505,1411,13,0,14,1,1,0,4,41,4,0,6,0,0,0,0,7,3
"E01006653",1520,1437,9,0,8,3,4,3,2,30,0,0,4,19,0,1,0,0,0
"E01006654",1513,1426,10,0,11,1,3,1,6,29,0,0,17,7,1,0,1,0,0
"E01006655",1758,1542,18,0,13,5,6,4,4,69,5,1,17,23,17,3,3,18,10
"E01006656",1493,1452,14,1,12,2,0,0,2,0,0,3,0,2,2,0,0,1,2
"E01006657",1211,1156,6,0,7,3,2,4,5,12,0,1,8,0,2,1,0,0,4
"E01006658",1300,1227,2,0,19,6,2,1,4,13,0,0,1,9,2,1,3,6,4
"E01006659",1765,1575,8,8,39,4,8,4,11,17,21,9,10,5,25,16,0,4,1
"E01006660",1433,1259,9,0,10,2,2,6,1,74,1,0,11,35,9,2,2,5,5
"E01006661",1663,1548,7,0,22,0,3,5,7,7,0,0,8,8,37,7,3,1,0
"E01006662",1775,1613,10,0,37,2,7,1,6,38,1,0,9,20,27,0,2,1,1
"E01006663",1153,1097,4,0,7,1,0,1,4,21,0,0,3,3,9,0,0,3,0
"E01006664",1795,1582,7,0,79,12,6,5,3,19,7,5,25,4,25,1,11,1,3
"E01006665",1555,1464,6,1,18,2,1,7,12,15,0,0,13,8,6,1,0,1,0
"E01006666",1504,1326,14,0,27,6,7,5,3,18,1,6,49,6,13,5,3,15,0
"E01006667",1453,1341,17,0,22,12,4,7,5,10,0,0,18,2,6,0,1,1,7
"E01006668",1534,1438,5,0,7,8,0,9,8,11,3,0,25,1,2,0,4,11,2
"E01006669",1470,1301,9,0,19,6,2,5,6,23,0,0,40,11,19,0,7,22,0
"E01006670",1526,1389,4,1,37,3,1,8,5,12,0,0,53,5,3,2,1,2,0
"E01006671",1355,1197,3,1,11,16,2,1,5,18,5,2,66,4,14,2,8,0,0
"E01006672",1955,1793,0,1,61,7,4,15,5,11,1,7,8,9,15,7,0,5,6
"E01006673",1937,692,24,0,81,83,92,35,61,16,28,26,110,58,224,49,109,166,83
"E01006674",1885,535,17,0,65,49,100,24,26,23,28,32,22,38,268,27,181,308,142
"E01006675",1824,1102,52,3,128,32,39,13,38,25,21,24,25,37,83,27,61,72,42
"E01006676",1753,762,24,1,45,76,68,10,32,42,53,38,23,54,195,27,98,120,85
"E01006677",1040,479,6,0,21,54,51,14,25,0,8,21,37,19,104,23,46,97,35
"E01006678",2127,1570,25,0,30,46,65,19,30,1,11,3,31,16,84,25,35,104,32
"E01006679",2232,411,14,1,97,68,114,24,59,15,34,29,59,60,491,28,241,360,127
"E01006680",1569,1444,11,0,22,6,0,9,5,12,10,18,26,1,1,1,1,2,0
"E01006681",1585,1415,14,0,17,6,14,11,6,16,13,14,26,16,8,2,0,2,5
"E01006682",1310,1217,35,0,12,2,2,12,0,1,0,8,12,2,3,2,2,0,0
"E01006683",1510,1384,19,0,18,7,4,14,12,2,4,1,19,1,1,6,2,7,9
"E01006684",2138,1924,51,0,38,5,11,22,8,23,1,15,22,9,1,2,3,3,0
"E01006685",1484,1354,25,0,38,1,11,9,8,10,0,0,13,3,5,2,4,0,1
"E01006686",1433,1329,19,0,14,4,4,11,12,4,0,6,12,4,9,0,1,0,4
"E01006687",1952,1631,45,0,56,13,16,12,11,27,8,6,31,21,56,7,5,1,6
"E01006688",1524,1376,17,0,60,11,5,7,8,8,6,0,5,2,10,2,3,2,2
"E01006689",1651,1507,24,0,26,11,10,4,11,7,8,4,4,2,5,6,14,2,6
"E01006690",1492,1012,44,1,134,15,24,13,11,3,8,0,42,24,100,18,8,10,25
"E01006691",1503,845,38,0,120,10,27,12,17,27,14,7,43,42,184,10,25,53,29
"E01006692",2180,1627,27,1,161,28,15,8,19,22,8,0,36,28,108,13,19,36,24
"E01006693",1511,1290,13,0,33,9,6,7,5,44,11,0,21,9,17,16,1,16,13
"E01006694",1864,1125,24,0,139,14,24,5,23,32,2,2,39,21,357,17,14,8,18
"E01006695",1821,1145,41,2,179,20,30,10,11,9,7,3,38,16,184,24,32,32,38
"E01006696",1744,1189,14,0,83,14,21,7,12,86,19,9,39,46,167,8,5,21,4
"E01006697",1845,1190,15,1,115,25,18,15,22,24,23,6,57,35,171,18,23,57,30
"E01006698",1716,1647,14,0,11,7,1,1,7,3,6,0,5,3,4,2,1,3,1
"E01006699",1594,1491,9,0,54,3,1,2,1,1,0,0,4,0,19,1,3,5,0
"E01006700",1438,1333,11,2,15,4,0,1,6,1,8,0,19,9,9,2,6,5,7
"E01006701",1380,1285,8,0,18,12,3,1,2,1,0,0,15,8,4,5,1,4,13
"E01006702",1618,1475,6,0,25,11,1,5,5,7,1,0,16,21,26,0,1,4,14
"E01006703",1561,1424,19,2,35,4,6,1,7,0,4,0,6,12,32,0,2,7,0
"E01006705",1409,1298,20,0,30,0,3,2,5,4,4,1,9,0,24,0,0,7,2
"E01006706",1346,1277,7,0,7,5,7,5,3,1,5,0,7,5,11,3,2,0,1
"E01006707",1323,1237,17,0,8,10,1,10,10,6,0,0,4,2,11,3,2,0,2
"E01006708",1805,1711,10,0,24,9,8,2,14,0,0,0,0,6,9,5,5,1,1
"E01006709",1438,1362,17,0,11,16,3,5,8,5,0,0,7,1,1,1,1,0,0
"E01006710",1496,1441,10,0,2,15,4,0,1,5,0,0,2,1,8,6,1,0,0
"E01006711",1538,1334,11,0,24,15,15,2,7,13,1,8,18,14,27,5,7,37,0
"E01006712",1339,1214,10,0,16,7,12,12,1,41,0,0,11,6,1,0,0,4,4
"E01006713",1377,1276,8,0,15,6,1,7,5,35,0,2,9,3,7,0,0,0,3
"E01006716",1589,1334,21,2,30,23,17,10,8,11,0,0,63,9,16,3,6,28,8
"E01006717",1436,1297,12,0,31,11,10,6,4,2,0,0,15,6,14,1,2,24,1
"E01006718",1587,1434,17,0,37,12,10,3,8,7,2,0,11,6,13,2,2,20,3
