"GeographyCode","QS201EW0001","QS201EW0002","QS201EW0003","QS201EW0004","QS201EW0005","QS201EW0006","QS201EW0007","QS201EW0008","QS201EW0009","QS201EW0010","QS201EW0011","QS201EW0012","QS201EW0013","QS201EW0014","QS201EW0015","QS201EW0016","QS201EW0017","QS201EW0018","QS201EW0019"
"E02001347",7653,6999,48,0,70,20,15,20,22,199,11,1,51,89,36,8,11,32,21
"E02001348",7222,6904,61,1,53,12,6,17,19,74,4,4,27,5,9,3,2,12,9
"E02001349",7966,7596,69,3,70,29,21,15,6,26,0,0,28,23,41,1,0,2,36
"E02001350",7856,7141,37,0,164,21,18,17,26,108,8,5,85,46,117,8,23,28,4
"E02001351",8894,8227,46,8,165,25,43,13,28,95,21,10,39,18,102,20,10,15,9
"E02001352",7416,6749,60,7,145,36,15,17,23,78,12,9,27,11,87,26,29,51,34
"E02001353",7572,6958,46,2,111,31,13,36,33,66,4,6,158,22,30,8,9,30,9
"E02001354",7613,7247,40,0,88,27,19,14,20,34,3,0,16,8,62,5,4,11,15
"E02001355",6664,6340,52,0,76,17,17,8,13,10,5,1,36,13,42,3,2,19,10
"E02001356",5584,5160,13,1,152,11,13,24,11,27,2,7,23,22,77,10,6,12,13
"E02001357",6982,6641,24,0,82,25,20,13,21,22,0,7,32,13,45,2,10,5,20
"E02001358",7069,6685,51,2,86,29,4,5,23,5,20,2,60,23,32,8,12,12,10
"E02001359",5751,5246,34,2,67,27,8,11,19,42,21,2,173,11,57,8,11,10,2
"E02001360",8358,7611,58,2,208,53,15,20,23,16,12,0,61,57,146,13,7,25,31
"E02001361",7618,7304,52,1,55,26,9,16,26,7,6,0,39,17,19,2,2,20,17
"E02001362",7401,7149,41,2,39,17,13,7,22,4,2,0,36,28,16,5,5,9,6
"E02001363",7788,7087,36,3,150,40,35,16,26,71,0,13,83,45,146,0,13,10,14
"E02001364",5311,4781,49,1,107,35,18,16,27,4,0,9,65,29,82,8,9,47,24
"E02001365",9049,8020,98,4,190,50,34,14,45,46,14,1,86,75,203,22,51,81,15
"E02001366",8985,8116,117,2,181,47,38,27,41,53,13,14,65,76,83,18,13,53,28
"E02001367",9304,8785,86,1,89,37,12,6,9,44,28,4,62,24,27,3,11,41,35
"E02001368",5847,5363,68,9,126,28,10,19,13,13,2,5,34,15,62,15,8,29,28
"E02001369",7655,6564,108,1,304,56,41,24,39,104,16,8,82,52,115,12,16,92,21
"E02001370",6186,5299,49,1,183,46,53,28,38,59,20,4,58,41,137,33,13,70,54
"E02001371",7447,6646,63,1,103,47,25,35,28,201,2,0,66,106,68,6,23,15,12
"E02001372",6221,5836,64,1,66,18,20,15,15,44,13,1,32,10,48,3,17,15,3
"E02001373",9253,8306,74,0,177,72,70,20,54,71,3,16,84,61,98,10,19,91,27
"E02001374",8199,5934,160,6,639,75,93,45,62,41,38,7,148,75,476,60,77,146,117
"E02001375",7195,6663,74,1,60,35,31,29,25,156,1,2,41,18,26,3,5,12,13
"E02001376",8469,5509,120,2,499,82,98,46,83,233,59,33,223,183,930,58,77,151,83
"E02001377",11467,6348,299,9,520,142,120,87,93,489,212,44,1478,361,502,71,74,448,170
"E02001378",7972,6944,89,3,122,90,72,52,59,46,15,0,196,51,83,13,27,71,39
"E02001380",7526,6983,102,0,57,38,31,38,37,35,37,14,41,21,31,3,11,29,18
"E02001381",9286,6318,270,7,546,158,145,81,127,105,103,133,212,162,403,81,102,268,65
"E02001382",7098,6489,52,0,87,34,15,21,20,74,37,0,172,25,28,18,11,6,9
"E02001383",7501,4111,161,5,406,228,228,105,165,73,55,27,574,164,421,105,199,284,190
"E02001384",10762,7844,436,18,346,138,140,125,104,248,168,198,139,109,291,76,115,179,88
"E02001385",8157,2375,103,8,408,196,366,84,202,105,132,114,166,232,1200,122,580,1270,494
"E02001386",7545,7065,72,1,63,50,48,32,33,25,1,2,56,17,24,16,13,20,7
"E02001387",8025,7081,215,0,135,49,44,67,59,62,79,16,53,23,35,24,32,35,16
"E02001388",8860,7314,296,9,296,75,81,75,103,102,50,13,98,57,101,42,25,65,58
"E02001389",6232,3980,178,11,363,131,121,67,119,57,50,54,101,86,295,77,159,240,143
