"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E01006512",1880,910,766,699,26,21,20,0,0,0,0,0,0,18,126,116,61,8,12,4,1,17,19,55,4,16,2,33,10,4,6,106,26,47,1,41,5,33,9,10,10,1,3,0,840,244,10,234,446,419,14,13,86,12,56,12,2,4,63,3,60,1,24,12,8,4,3,4,5,0,5,0,0,0,0,0,0,0
"E01006513",2941,2225,2033,1806,98,28,101,0,0,0,4,0,3,39,146,120,84,19,20,15,3,6,21,36,4,8,1,23,26,2,24,61,8,38,5,29,4,15,4,1,3,3,4,0,595,97,2,95,406,362,19,25,48,3,25,6,12,2,39,3,36,5,53,30,22,8,3,15,5,1,4,7,0,7,6,1,0,0
"E01006514",2108,1786,1632,1503,44,18,67,0,0,0,1,0,0,39,114,101,64,9,10,9,6,19,11,37,2,10,5,20,13,1,12,63,19,19,1,8,10,24,1,6,4,3,10,1,193,44,20,24,83,74,5,4,30,0,8,16,1,5,34,0,34,2,61,21,20,1,7,14,19,2,17,5,0,4,2,2,1,0
"E01006515",1208,974,910,877,16,5,12,0,0,0,0,0,0,7,57,46,19,2,4,1,3,5,4,27,0,19,3,5,11,6,5,29,4,11,1,8,2,14,1,9,1,3,0,0,185,34,8,26,119,87,31,1,4,0,3,0,0,1,28,1,27,0,18,5,5,0,0,9,4,2,2,2,0,2,2,0,0,0
"E01006518",1696,1531,1468,1446,7,6,9,0,0,0,0,0,0,19,44,44,11,4,4,0,1,1,1,33,0,21,0,12,0,0,0,69,11,17,0,8,9,41,7,10,2,14,8,0,73,30,3,27,21,21,0,0,15,5,4,1,3,2,7,1,6,0,19,11,3,8,0,5,3,0,3,4,0,4,4,0,0,0
"E01006519",1286,1238,1205,1157,5,15,28,0,0,0,0,0,1,10,22,19,9,2,4,0,0,0,3,10,0,2,0,8,3,0,3,7,0,3,1,2,0,4,1,0,1,0,2,0,24,6,0,6,6,5,0,1,8,3,4,1,0,0,4,0,4,0,14,11,9,2,0,2,1,1,0,3,0,3,0,3,0,0
"E01006520",1706,1607,1470,1341,35,38,56,0,0,1,0,0,4,40,92,84,50,12,16,4,0,7,11,34,3,16,0,15,8,1,7,31,4,7,2,3,2,20,1,5,10,4,0,0,36,20,0,20,5,1,1,3,8,0,2,1,5,0,3,0,3,0,26,20,9,11,0,2,4,1,3,6,0,6,4,2,0,0
"E01006521",1660,1540,1474,1391,24,27,32,0,0,0,0,0,1,19,46,35,23,2,7,3,0,0,11,12,3,6,2,1,11,4,7,35,10,7,2,3,2,18,0,6,1,0,11,0,62,30,7,23,12,4,4,4,14,1,8,3,0,2,6,0,6,0,18,13,9,4,1,2,2,0,2,5,0,5,4,1,0,0
"E01006522",1731,1632,1546,1456,35,20,35,0,0,0,0,0,0,23,63,57,38,4,10,0,4,9,11,19,2,12,2,3,6,2,4,19,3,6,1,4,1,10,0,0,5,1,4,0,58,35,6,29,6,5,1,0,14,1,5,0,8,0,3,0,3,0,13,4,2,2,0,5,4,3,1,9,0,8,8,0,1,0
"E01006523",1508,1436,1362,1281,30,24,27,0,0,0,0,0,1,12,61,55,39,9,10,0,1,8,11,16,1,10,0,5,6,5,1,25,4,6,0,3,3,15,3,10,1,0,1,0,31,12,1,11,5,3,2,0,11,0,5,4,1,1,3,0,3,0,11,8,3,5,0,2,1,1,0,5,0,5,4,1,0,0
"E01006524",2431,2235,2152,1986,65,30,71,0,0,1,0,0,2,16,64,60,39,8,11,3,1,5,11,21,0,10,7,4,4,0,4,36,4,12,2,10,0,20,6,1,6,1,6,0,125,14,2,12,46,28,10,8,48,2,35,8,3,0,17,1,16,0,24,19,10,9,1,4,0,0,0,11,0,11,6,5,0,0
"E01006525",1209,1173,1141,1092,9,17,23,0,0,0,0,0,0,15,17,16,13,0,5,2,0,5,1,3,0,0,0,3,1,0,1,3,0,2,2,0,0,1,0,0,0,0,1,0,28,6,0,6,12,5,7,0,9,0,6,2,1,0,1,0,1,0,3,1,0,1,0,2,0,0,0,2,0,2,1,1,0,0
"E01006526",1404,1359,1334,1297,13,7,17,0,0,0,0,0,1,9,15,13,8,1,3,2,0,0,2,5,0,4,0,1,2,1,1,6,3,3,2,1,0,0,0,0,0,0,0,0,31,16,11,5,5,1,2,2,5,1,4,0,0,0,5,1,4,0,5,3,1,2,1,0,1,1,0,3,0,3,0,3,0,0
"E01006527",1454,1415,1371,1319,14,11,25,2,0,0,1,0,0,11,32,30,22,1,5,3,1,6,6,8,0,3,1,4,2,0,2,5,4,0,0,0,0,1,0,0,1,0,0,0,20,7,0,7,4,3,1,0,6,0,3,2,0,1,3,0,3,0,10,5,4,1,0,2,3,1,2,4,0,4,3,1,0,0
"E01006528",1461,1378,1305,1231,35,15,24,0,0,0,0,0,1,6,66,59,35,7,12,4,3,2,7,24,6,10,1,7,7,0,7,35,3,19,5,13,1,12,0,0,1,7,4,1,38,9,1,8,8,5,3,0,18,0,12,6,0,0,3,0,3,0,9,6,5,1,0,3,0,0,0,1,0,1,0,1,0,0
