"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E02001347",7653,7299,7187,7105,11,34,37,0,0,0,0,0,0,35,77,59,19,0,15,1,0,1,2,40,1,34,0,5,18,9,9,40,15,18,3,13,2,7,1,0,1,4,1,0,293,37,5,32,20,16,4,0,154,1,146,5,2,0,82,69,13,0,17,8,6,2,0,2,7,3,4,4,0,4,4,0,0,0
"E02001348",7222,7083,6975,6879,30,38,28,0,0,0,0,0,1,47,60,56,20,0,11,3,0,3,3,36,3,21,0,12,4,1,3,24,6,5,1,4,0,13,4,0,6,0,3,0,101,14,3,11,9,8,1,0,64,3,58,2,1,0,14,1,13,0,9,6,6,0,0,1,2,0,2,5,0,5,5,0,0,0
"E02001349",7966,7827,7674,7560,29,44,41,0,0,1,1,0,2,59,90,82,47,2,26,4,0,7,8,35,1,27,0,7,8,7,1,48,5,12,2,9,1,30,15,0,4,7,4,1,75,20,1,19,22,16,5,1,22,0,19,0,3,0,11,8,3,0,9,7,2,5,0,2,0,0,0,7,0,7,4,3,0,0
"E02001350",7856,7542,7350,7239,21,46,44,0,0,0,0,0,3,31,158,154,29,7,7,4,1,4,6,125,3,93,1,28,4,2,2,115,6,64,5,55,4,45,2,1,12,20,10,0,182,29,2,27,43,35,7,1,82,1,74,4,3,0,28,19,9,0,11,6,6,0,0,1,4,0,4,6,0,6,4,2,0,0
"E02001351",8894,8620,8435,8172,24,25,214,0,0,0,0,0,0,21,164,157,36,0,17,2,2,6,9,121,0,89,12,20,7,0,7,93,4,23,5,15,3,66,20,0,6,40,0,0,154,24,0,24,29,10,18,1,87,6,68,6,7,0,14,3,11,0,19,8,7,1,0,3,8,8,0,8,0,7,3,4,1,0
"E02001352",7416,7151,6954,6817,26,49,58,0,4,0,1,0,1,30,165,159,46,3,19,2,4,3,15,113,10,84,2,17,6,3,3,98,36,17,4,7,6,45,6,4,16,15,4,0,131,31,5,26,20,16,3,1,63,6,50,7,0,0,17,5,12,0,31,17,8,9,0,1,13,10,3,5,0,4,4,0,1,0
"E02001353",7572,7329,7205,7097,18,45,45,0,0,2,0,0,2,26,94,88,47,5,26,4,1,6,5,41,6,26,0,9,6,2,4,40,7,14,9,5,0,19,3,0,5,1,10,0,182,30,2,28,86,46,40,0,41,1,38,1,1,0,25,8,17,0,11,8,6,2,0,0,3,0,3,10,0,10,8,2,0,0
"E02001354",7613,7487,7366,7284,14,36,32,0,0,0,1,0,2,31,87,78,23,0,11,0,3,0,9,55,0,37,6,12,9,2,7,53,5,9,2,6,1,39,0,2,3,25,9,0,56,18,7,11,10,8,2,0,24,0,21,2,0,1,4,0,4,0,12,3,1,2,5,0,4,1,3,5,0,5,3,2,0,0
"E02001355",6664,6550,6432,6329,23,28,52,0,0,1,1,1,1,34,80,65,27,1,16,2,3,1,4,38,2,17,3,16,15,3,12,38,9,14,1,13,0,15,1,0,4,6,4,0,61,15,0,15,22,14,8,0,20,0,7,3,10,0,4,2,2,0,8,5,4,1,0,0,3,1,2,7,0,7,4,3,0,0
"E02001356",5584,5427,5269,5194,14,28,33,0,0,0,0,0,0,10,148,142,15,1,9,1,0,2,2,127,7,102,1,17,6,3,3,67,4,24,7,8,9,39,2,0,6,28,3,0,78,22,10,12,5,4,1,0,37,7,23,1,6,0,14,10,4,0,7,4,4,0,0,1,2,1,1,5,0,5,4,1,0,0
