"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E00032987",198,160,137,130,4,1,2,0,0,0,0,0,0,0,23,20,5,0,0,0,3,2,0,15,0,15,0,0,3,3,0,2,1,1,0,1,0,0,0,0,0,0,0,0,30,2,0,2,23,21,1,1,0,0,0,0,0,0,5,0,5,0,4,0,0,0,0,3,1,1,0,2,0,2,2,0,0,0
"E00032988",348,328,308,295,3,3,7,0,0,0,0,0,0,7,13,11,11,3,3,2,0,2,1,0,0,0,0,0,2,1,1,11,0,6,0,4,2,5,1,3,1,0,0,0,7,0,0,0,1,0,1,0,5,0,0,5,0,0,1,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00032989",333,292,283,271,1,5,6,0,0,0,0,0,0,3,6,4,4,3,0,0,1,0,0,0,0,0,0,0,2,0,2,14,1,8,2,3,3,5,0,0,0,2,3,0,24,9,0,9,8,8,0,0,2,0,0,1,1,0,5,0,5,0,3,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"E00032990",330,259,251,235,4,5,7,0,0,0,0,0,0,1,7,6,5,0,1,1,0,2,1,1,0,0,1,0,1,0,1,15,3,8,1,6,1,4,0,1,0,1,2,0,40,18,5,13,18,13,5,0,4,0,2,1,1,0,0,0,0,0,10,2,2,0,0,2,6,1,5,6,0,6,2,4,0,0
"E00032991",320,274,260,245,6,3,6,0,0,0,0,0,0,1,13,13,12,1,0,3,0,2,6,1,0,1,0,0,0,0,0,16,1,6,0,3,3,9,0,0,3,5,1,0,24,21,4,17,1,1,0,0,1,1,0,0,0,0,1,0,1,0,6,2,2,0,0,3,1,0,1,0,0,0,0,0,0,0
"E00032992",240,191,185,175,4,4,2,0,0,0,0,0,0,1,5,5,5,0,1,0,0,3,1,0,0,0,0,0,0,0,0,24,0,9,0,7,2,15,0,8,0,0,7,0,23,13,0,13,6,6,0,0,3,0,2,0,0,1,1,0,1,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"E00032993",282,223,204,191,6,2,5,0,0,0,0,0,0,5,14,10,4,1,1,0,0,0,2,6,0,1,3,2,4,1,3,13,2,5,0,4,1,6,1,3,0,2,0,0,39,25,6,19,5,4,1,0,2,0,1,0,0,1,7,1,6,0,7,3,3,0,0,4,0,0,0,0,0,0,0,0,0,0
"E00032994",111,107,104,99,1,1,3,0,0,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00032995",268,247,242,238,2,0,2,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,7,2,1,2,1,1,0,10,9,0,9,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"E00032996",417,408,395,388,6,1,0,0,0,1,0,0,0,9,3,2,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,4,0,2,0,2,2,0,0,0
