"GeographyCode","QS204EW0001","QS204EW0002","QS204EW0003","QS204EW0004","QS204EW0005","QS204EW0006","QS204EW0007","QS204EW0008","QS204EW0009","QS204EW0010","QS204EW0011","QS204EW0012","QS204EW0013","QS204EW0014","QS204EW0015","QS204EW0016","QS204EW0017","QS204EW0018","QS204EW0019","QS204EW0020","QS204EW0021","QS204EW0022","QS204EW0023","QS204EW0024","QS204EW0025","QS204EW0026","QS204EW0027","QS204EW0028","QS204EW0029","QS204EW0030","QS204EW0031","QS204EW0032","QS204EW0033","QS204EW0034","QS204EW0035","QS204EW0036","QS204EW0037","QS204EW0038","QS204EW0039","QS204EW0040","QS204EW0041","QS204EW0042","QS204EW0043","QS204EW0044","QS204EW0045","QS204EW0046","QS204EW0047","QS204EW0048","QS204EW0049","QS204EW0050","QS204EW0051","QS204EW0052","QS204EW0053","QS204EW0054","QS204EW0055","QS204EW0056","QS204EW0057","QS204EW0058","QS204EW0059","QS204EW0060","QS204EW0061","QS204EW0062","QS204EW0063","QS204EW0064","QS204EW0065","QS204EW0066","QS204EW0067","QS204EW0068","QS204EW0069","QS204EW0070","QS204EW0071","QS204EW0072","QS204EW0073","QS204EW0074","QS204EW0075","QS204EW0076","QS204EW0077","QS204EW0078","QS204EW0079","QS204EW0080","QS204EW0081","QS204EW0082","QS204EW0083","QS204EW0084","QS204EW0085","QS204EW0086","QS204EW0087","QS204EW0088","QS204EW0089","QS204EW0090","QS204EW0091","QS204EW0092","QS204EW0093","QS204EW0094","QS204EW0095","QS204EW0096","QS204EW0097","QS204EW0098","QS204EW0099","QS204EW0100","QS204EW0101","QS204EW0102","QS204EW0103","QS204EW0104"
"E01006512",1821,921,1,1,1,0,0,0,0,0,0,10,5,16,80,6,8,14,4,1,1,4,7,3,1,24,2,1,0,0,2,0,0,2,4,0,0,1,0,3,0,0,0,1,4,198,32,1,20,8,0,3,62,9,15,3,0,10,4,0,2,8,3,2,0,6,464,29,14,380,1,5,7,4,22,1,1,0,0,0,0,0,21,0,0,14,0,0,0,5,0,0,0,0,0,2,0,0,1,1,0,0,0,0
"E01006513",2923,2241,12,0,0,0,0,0,0,0,0,16,11,14,68,14,12,9,0,1,1,4,0,2,5,14,0,1,2,1,2,0,0,0,17,2,2,3,0,10,0,0,0,10,2,96,9,2,1,5,0,1,17,3,3,0,0,1,1,1,0,1,1,6,0,0,405,17,6,352,3,7,7,6,4,1,2,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"E01006514",2079,1748,4,2,2,0,0,0,0,0,0,20,11,30,57,10,8,6,2,0,5,1,0,8,5,6,1,1,3,0,0,1,0,0,5,0,0,0,0,5,0,0,0,5,1,31,38,0,7,26,5,0,16,8,1,0,0,3,0,0,2,0,1,1,0,0,100,4,14,68,1,1,2,3,7,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,2,0,0,0,0,1,0,3,1,1,0,0,0,0
"E01006515",1169,937,0,0,0,0,0,0,0,0,0,1,5,9,29,0,3,18,0,1,2,0,0,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,14,24,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,7,66,57,0,0,3,0,5,1,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"E01006518",1646,1509,0,0,0,0,0,0,0,0,0,11,5,1,29,1,0,19,0,5,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,10,6,1,0,8,0,0,0,0,1,0,0,1,6,0,0,0,0,28,5,3,17,0,1,0,0,1,1,0,0,0,0,0,0,19,0,0,14,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
"E01006519",1241,1203,3,0,0,0,0,0,0,0,0,3,0,1,12,0,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,1,0,7,1,0,0,0,3,0,0,0,0,0,0,0,3,6,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006520",1674,1561,4,0,0,0,0,0,0,0,0,10,0,8,47,4,7,15,1,2,0,2,2,4,0,6,1,0,1,0,1,1,0,0,4,0,1,0,0,3,0,0,0,0,0,20,11,0,10,0,1,0,5,1,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"E01006521",1630,1534,1,1,0,0,0,0,0,1,0,1,0,3,19,2,3,6,0,0,2,3,0,1,0,1,0,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,2,20,11,1,2,7,0,1,7,3,0,1,0,1,1,1,0,0,0,0,0,0,12,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,0,0,1,0,2,0,0,0,0,0,4,0,0,0,0,0,0
"E01006522",1687,1584,5,0,0,0,0,0,0,0,0,3,2,12,32,1,7,11,0,0,2,2,0,1,1,0,5,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,16,14,0,12,2,0,0,7,0,2,1,0,1,0,0,0,0,0,3,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006523",1476,1389,4,0,0,0,0,0,0,0,0,13,1,10,20,0,2,9,0,0,0,1,1,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,3,0,1,2,0,0,10,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
