"GeographyCode","QS204EW0001","QS204EW0002","QS204EW0003","QS204EW0004","QS204EW0005","QS204EW0006","QS204EW0007","QS204EW0008","QS204EW0009","QS204EW0010","QS204EW0011","QS204EW0012","QS204EW0013","QS204EW0014","QS204EW0015","QS204EW0016","QS204EW0017","QS204EW0018","QS204EW0019","QS204EW0020","QS204EW0021","QS204EW0022","QS204EW0023","QS204EW0024","QS204EW0025","QS204EW0026","QS204EW0027","QS204EW0028","QS204EW0029","QS204EW0030","QS204EW0031","QS204EW0032","QS204EW0033","QS204EW0034","QS204EW0035","QS204EW0036","QS204EW0037","QS204EW0038","QS204EW0039","QS204EW0040","QS204EW0041","QS204EW0042","QS204EW0043","QS204EW0044","QS204EW0045","QS204EW0046","QS204EW0047","QS204EW0048","QS204EW0049","QS204EW0050","QS204EW0051","QS204EW0052","QS204EW0053","QS204EW0054","QS204EW0055","QS204EW0056","QS204EW0057","QS204EW0058","QS204EW0059","QS204EW0060","QS204EW0061","QS204EW0062","QS204EW0063","QS204EW0064","QS204EW0065","QS204EW0066","QS204EW0067","QS204EW0068","QS204EW0069","QS204EW0070","QS204EW0071","QS204EW0072","QS204EW0073","QS204EW0074","QS204EW0075","QS204EW0076","QS204EW0077","QS204EW0078","QS204EW0079","QS204EW0080","QS204EW0081","QS204EW0082","QS204EW0083","QS204EW0084","QS204EW0085","QS204EW0086","QS204EW0087","QS204EW0088","QS204EW0089","QS204EW0090","QS204EW0091","QS204EW0092","QS204EW0093","QS204EW0094","QS204EW0095","QS204EW0096","QS204EW0097","QS204EW0098","QS204EW0099","QS204EW0100","QS204EW0101","QS204EW0102","QS204EW0103","QS204EW0104"
"E02001347",7350,7088,1,0,0,0,0,0,0,0,0,2,0,4,39,0,4,31,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,23,15,0,5,4,2,4,94,0,7,2,0,1,2,0,2,7,73,0,0,0,73,1,4,14,0,0,2,1,1,47,3,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,3,0,0
"E02001348",6939,6833,1,0,0,0,0,0,0,0,0,0,1,2,30,3,2,19,0,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,6,3,0,0,3,0,0,37,2,2,0,0,2,0,0,0,1,29,1,0,0,16,0,2,12,0,0,0,2,0,0,0,0,0,1,1,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0
"E02001349",7687,7563,2,1,1,0,0,0,0,0,0,4,0,4,37,3,2,24,4,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13,0,12,1,0,0,11,0,0,2,0,1,0,0,1,5,2,0,0,0,28,0,6,13,0,0,2,0,0,7,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,8,7,0,1
"E02001350",7493,7216,1,0,0,0,0,0,0,0,0,8,0,1,123,3,1,92,14,2,1,3,0,3,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,2,16,3,0,1,2,0,0,49,4,3,0,0,0,1,0,2,5,34,0,0,0,54,3,21,19,0,0,0,0,0,9,2,0,0,0,0,0,9,0,0,1,0,3,0,1,0,0,0,2,0,0,0,2,0,0,3,3,0,0
"E02001351",8564,8229,29,0,0,0,0,0,0,0,0,0,3,4,124,0,6,91,8,2,10,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,5,0,5,0,0,0,75,8,0,0,0,3,1,0,0,17,44,0,0,2,31,2,8,14,1,0,3,1,1,0,1,0,0,0,0,0,37,0,0,0,0,1,0,0,14,0,0,20,0,0,2,0,4,4,11,10,0,1
"E02001352",7146,6867,7,2,2,0,0,0,0,0,0,19,5,1,104,0,6,81,0,1,2,6,3,2,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,4,29,21,0,16,4,0,1,41,11,0,0,0,7,0,0,0,4,19,0,0,0,25,0,11,7,0,1,0,0,5,1,0,0,0,0,0,0,7,0,0,2,1,0,1,0,0,0,0,3,0,0,0,0,3,3,5,4,0,1
"E02001353",7289,7080,0,0,0,0,0,0,0,0,0,5,0,4,52,4,13,23,1,2,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,25,6,0,2,2,0,2,18,3,1,2,0,0,0,0,0,4,6,0,0,2,83,6,19,45,0,0,0,6,1,6,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,5,4,1,0
"E02001354",7305,7181,1,0,0,0,0,0,0,0,0,3,3,5,54,0,2,37,0,8,6,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,7,7,0,0,6,1,0,19,0,0,1,0,0,0,0,0,0,18,0,0,0,12,1,4,5,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,4,0,0,0,1,0,0,2,1,0,1
"E02001355",6404,6282,2,1,0,0,0,0,0,1,0,0,1,1,40,2,1,18,3,5,2,1,0,5,0,0,2,0,0,0,1,0,0,0,5,4,0,0,0,1,0,0,0,3,3,17,4,0,4,0,0,0,17,3,0,2,0,0,0,0,0,7,4,1,0,0,21,5,4,9,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0
"E02001356",5282,5069,0,0,0,0,0,0,0,0,0,6,0,0,118,0,0,101,2,2,0,7,0,4,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,3,7,7,0,2,5,0,0,27,0,0,2,0,6,0,0,0,5,14,0,0,0,13,2,0,3,0,0,1,0,1,6,0,0,0,0,0,0,20,0,0,0,0,0,2,0,1,0,1,13,1,0,0,2,1,1,6,5,1,0
"E02001357",6738,6601,1,1,1,0,0,0,0,0,0,2,10,0,57,0,1,40,0,1,3,3,0,0,0,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,2,0,1,0,16,0,0,1,0,7,0,0,0,2,6,0,0,0,24,3,10,6,0,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,1,0,3,0,0,0,9,0,0,0,2,0,0,1,1,0,0
"E02001358",6732,6587,1,1,1,0,0,0,0,0,0,0,0,0,59,0,2,42,2,7,1,3,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,5,10,0,1,9,0,0,21,10,2,2,0,0,0,0,0,7,0,0,0,0,34,11,5,16,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,5,3,2,0
"E02001359",5588,5396,1,4,4,0,0,0,0,0,0,4,0,0,30,2,1,22,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,11,2,1,0,1,0,0,27,9,4,0,0,7,0,0,0,0,7,0,0,0,100,3,47,48,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0
"E02001360",8051,7681,1,0,0,0,0,0,0,0,0,26,2,2,168,3,4,130,9,4,2,0,5,0,0,4,1,0,0,0,6,0,0,0,2,1,0,0,1,0,0,0,0,4,14,17,24,0,9,7,8,0,28,4,0,0,0,0,0,0,0,23,1,0,0,0,47,3,6,28,0,0,0,1,0,9,0,0,0,0,0,0,28,0,1,0,0,1,5,2,0,0,0,15,0,0,0,4,4,4,3,2,0,1
"E02001361",7374,7255,3,0,0,0,0,0,0,0,0,0,0,1,33,3,2,15,4,4,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,25,2,0,1,0,0,1,11,3,0,0,0,0,0,0,0,8,0,0,0,0,32,15,5,5,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,0,0
"E02001362",7228,7139,1,0,0,0,0,0,0,0,0,0,5,3,19,1,0,10,2,1,0,0,0,1,0,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,7,4,0,1,3,0,0,19,0,0,0,0,0,0,0,0,5,3,0,11,0,20,4,4,8,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,3,3,0,0
"E02001363",7402,7137,0,0,0,0,0,0,0,0,0,7,0,2,100,1,1,73,7,3,1,4,0,7,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,2,7,8,0,6,2,0,0,34,0,3,0,0,5,0,0,0,5,21,0,0,0,63,4,11,30,0,0,0,0,1,12,5,0,0,0,0,0,30,0,0,0,0,3,2,0,2,0,0,11,1,1,0,10,0,0,6,5,0,1
"E02001364",5084,4869,1,2,2,0,0,0,0,0,0,1,3,9,83,0,2,62,6,3,2,0,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,25,7,0,6,0,0,1,11,0,1,1,0,2,0,0,0,7,0,0,0,0,50,4,13,23,1,0,0,1,0,6,2,0,0,0,0,0,12,0,0,0,0,0,0,1,1,2,0,2,0,0,0,6,1,1,0,0,0,0
"E02001365",8589,8186,5,4,2,0,0,0,0,0,2,25,9,3,137,3,3,91,10,6,1,9,2,1,2,6,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,27,19,0,5,7,0,7,59,9,2,3,0,0,0,0,0,22,14,4,1,4,80,25,5,27,0,0,1,1,0,21,0,0,0,0,0,0,26,4,0,0,0,0,13,0,1,0,0,2,2,0,1,3,2,2,1,1,0,0
"E02001366",8682,8327,8,5,0,0,0,0,0,5,0,10,4,3,129,0,3,69,10,0,4,14,6,4,3,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,33,32,0,23,8,1,0,29,4,1,1,0,3,2,0,1,5,7,1,0,4,75,14,8,31,1,1,1,1,4,13,1,0,0,0,0,0,15,2,0,8,0,0,1,0,0,0,0,2,0,1,0,1,1,1,1,0,1,0
"E02001367",9045,8865,4,0,0,0,0,0,0,0,0,10,2,4,33,5,1,21,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,2,36,9,0,3,0,6,0,23,10,2,2,0,2,1,0,5,0,1,0,0,0,38,0,13,16,1,0,0,4,0,2,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,2,1,0,1
"E02001368",5668,5473,1,1,1,0,0,0,0,0,0,10,5,2,78,1,0,42,6,0,7,1,3,7,7,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,18,30,4,0,1,1,0,2,7,0,1,0,0,1,0,0,3,2,0,0,0,0,20,5,3,10,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,6,6,3,2,0,1
"E02001369",7440,6972,4,0,0,0,0,0,0,0,0,12,14,25,181,5,7,110,9,11,2,5,3,5,6,13,1,2,0,0,0,0,1,1,3,0,0,1,0,2,0,0,0,8,1,62,9,0,4,5,0,0,46,10,17,3,0,5,0,0,1,4,6,0,0,0,72,14,12,27,0,0,0,3,3,11,2,0,0,0,0,0,25,0,1,3,0,0,1,1,3,0,3,8,0,1,0,4,3,3,3,3,0,0
"E02001370",5961,5587,0,0,0,0,0,0,0,0,0,21,1,1,147,2,2,64,23,19,7,13,7,2,5,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,6,54,23,0,11,11,1,0,41,1,2,2,0,5,2,0,0,11,18,0,0,0,45,1,14,21,1,0,4,1,1,1,1,0,0,0,0,0,26,0,0,5,4,0,0,0,0,0,1,3,0,0,4,9,2,2,3,2,1,0
"E02001371",7090,6836,0,0,0,0,0,0,0,0,0,5,1,1,65,1,8,35,0,6,2,4,7,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,8,3,9,8,0,3,5,0,0,62,1,3,0,0,0,0,0,0,7,51,0,0,0,79,7,8,30,0,0,1,4,0,27,2,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,1,4,0,0,0,1,2,2,1,1,0,0
"E02001372",6056,5936,2,0,0,0,0,0,0,0,0,5,4,4,39,2,4,8,0,2,0,1,0,11,0,3,1,1,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,12,1,0,0,1,0,0,24,3,3,6,0,0,0,0,0,0,10,0,1,1,22,1,8,10,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0
"E02001373",8884,8557,0,0,0,0,0,0,0,0,0,2,10,3,114,8,0,88,5,2,0,6,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,4,13,22,16,1,1,11,2,1,49,0,4,2,0,8,1,0,4,10,16,1,0,3,70,5,9,33,2,1,0,7,0,13,0,0,0,0,0,0,19,1,0,5,0,0,2,0,1,0,0,0,0,1,0,9,0,0,4,3,1,0
"E02001374",7907,6852,2,1,1,0,0,0,0,0,0,69,12,20,466,3,16,265,46,29,10,50,14,7,3,10,4,0,2,5,1,0,0,1,17,9,0,1,2,5,0,0,0,16,16,110,72,0,36,25,10,1,42,6,7,9,0,6,0,0,1,9,0,0,4,0,106,18,6,59,0,1,1,2,0,18,1,0,0,0,0,0,97,2,4,17,0,1,14,0,6,4,10,17,0,6,1,15,5,5,4,3,0,1
"E02001375",6938,6782,0,1,0,0,0,0,0,1,0,0,1,2,30,0,2,18,0,5,1,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,7,1,0,0,1,0,0,59,0,5,0,0,1,0,0,0,14,26,4,4,5,25,3,9,9,0,0,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,1,10,8,2,0
"E02001376",8095,6761,2,2,2,0,0,0,0,0,0,43,11,20,381,8,8,152,103,45,8,36,8,1,4,4,0,0,1,1,0,1,0,1,13,9,2,2,0,0,0,0,0,12,19,113,77,0,28,34,11,4,229,27,16,5,0,19,7,2,0,44,82,18,8,1,200,21,20,116,0,0,3,0,13,24,3,0,0,0,0,0,204,0,26,8,0,26,7,15,23,0,8,36,0,26,3,26,5,5,3,3,0,0
"E02001377",11258,8385,21,3,2,0,0,0,0,0,1,38,11,72,330,12,37,101,8,20,12,32,12,13,16,42,6,7,0,0,5,1,1,5,17,9,1,1,0,6,0,0,0,13,6,330,112,1,68,29,7,7,285,45,64,5,0,19,19,4,25,13,47,24,0,20,1504,86,60,1190,7,6,11,17,95,27,5,0,0,0,0,0,124,3,2,47,0,7,1,11,15,2,0,12,2,13,4,5,4,4,3,2,0,1
"E02001378",7663,7331,0,0,0,0,0,0,0,0,0,3,4,5,59,4,3,27,7,5,0,0,0,0,0,3,8,1,1,0,0,0,0,0,11,0,11,0,0,0,0,0,0,3,5,30,32,2,20,9,0,1,23,5,1,0,0,0,0,0,1,5,4,0,7,0,128,7,31,81,0,0,0,3,0,3,3,0,0,0,0,0,25,0,5,0,0,2,1,0,2,0,0,7,0,6,0,2,2,2,2,2,0,0
"E02001380",7273,7167,5,1,1,0,0,0,0,0,0,0,0,5,9,1,1,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,10,2,2,3,3,0,38,9,0,11,0,10,0,0,0,0,2,3,3,0,18,0,4,9,1,0,0,3,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,1,0,1,0
"E02001381",8876,7662,9,0,0,0,0,0,0,0,0,39,7,22,341,11,7,142,44,86,6,7,13,12,3,4,0,2,1,0,1,0,1,1,11,4,1,5,0,1,0,0,0,22,16,184,83,0,46,26,11,0,195,31,11,14,0,81,1,0,10,15,6,5,14,7,161,23,37,74,0,0,7,8,3,4,5,0,0,0,0,0,116,5,17,20,3,4,3,4,20,0,8,5,0,3,9,15,5,5,3,3,0,0
"E02001382",6880,6718,4,0,0,0,0,0,0,0,0,8,1,2,24,7,4,2,0,0,2,0,0,2,0,5,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,4,4,4,1,0,0,0,3,27,2,5,1,0,1,0,4,0,6,7,0,1,0,77,3,21,41,0,4,3,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,2,0,0
"E02001383",7293,5803,6,4,4,0,0,0,0,0,0,49,30,65,136,17,15,38,4,6,10,4,2,10,6,13,1,2,6,1,0,1,0,0,23,1,0,2,0,20,0,0,0,10,5,201,174,0,108,57,5,4,66,25,2,1,0,17,4,0,2,6,4,4,0,1,527,33,116,335,2,1,9,4,19,6,2,0,0,0,0,0,190,2,5,136,0,0,0,4,4,0,2,6,0,3,6,22,2,2,2,0,2,0
"E02001384",10520,9536,23,8,6,0,0,1,0,0,1,35,13,36,174,3,19,68,11,16,5,21,3,3,2,7,1,6,6,2,1,0,0,0,7,3,0,0,0,4,0,0,0,12,7,129,75,1,37,14,22,1,311,82,20,24,0,105,2,0,28,26,7,5,8,4,79,2,32,30,0,0,1,2,4,7,1,0,0,0,0,0,68,1,1,25,1,7,1,8,10,0,1,6,0,3,0,4,5,5,2,2,0,0
"E02001385",7650,5161,0,0,0,0,0,0,0,0,0,52,19,23,246,6,9,123,28,25,8,14,7,5,0,2,11,1,1,2,4,0,0,0,22,20,0,1,0,1,1,1,0,22,20,709,334,0,238,56,34,6,176,40,11,22,0,60,0,0,0,31,4,3,0,5,143,10,34,56,0,0,7,5,11,17,3,0,1,2,2,0,697,6,30,560,1,6,9,4,19,7,4,21,0,4,8,18,11,11,11,7,4,0
"E02001386",7313,7195,1,0,0,0,0,0,0,0,0,1,0,5,16,1,0,9,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,9,20,0,10,10,0,0,10,0,3,0,0,2,3,0,0,0,2,0,0,0,36,0,7,24,0,0,1,1,0,1,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,5,2,0
"E02001387",7769,7572,16,3,1,0,0,2,0,0,0,9,2,4,45,6,6,14,0,2,5,3,0,0,2,5,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,6,2,11,12,1,6,1,4,0,52,22,5,2,0,6,1,0,6,3,5,0,2,0,22,3,7,5,0,1,2,0,1,1,2,0,0,0,0,0,9,0,0,1,0,0,1,1,0,0,0,4,0,2,0,0,2,2,0,0,0,0
"E02001388",8647,8239,24,5,2,0,0,0,0,2,1,20,25,13,117,15,22,33,6,6,1,4,0,4,7,5,3,4,3,1,1,0,2,0,5,3,0,0,0,2,0,0,0,9,0,27,21,7,7,6,0,1,51,5,10,9,0,2,2,0,6,10,2,0,4,1,65,6,16,32,0,2,1,1,0,7,0,0,0,2,2,0,19,0,0,13,0,0,0,0,1,0,0,1,0,2,0,2,3,3,2,2,0,0
"E02001389",6061,5218,9,1,1,0,0,0,0,0,0,37,23,21,172,14,28,64,3,8,1,8,6,8,2,12,6,4,2,2,1,1,2,0,9,3,1,0,0,5,0,0,0,11,9,165,130,0,107,20,1,2,64,7,3,4,0,18,4,0,0,18,8,2,0,0,68,15,8,22,3,2,4,2,7,2,3,0,0,0,0,0,115,5,3,79,0,0,2,1,4,0,6,7,0,1,1,6,7,7,2,0,0,2
"E02001390",8413,7572,1,1,0,0,0,0,0,1,0,48,12,10,103,10,4,50,2,12,2,11,3,1,0,4,1,0,0,0,1,1,1,0,8,6,0,0,0,2,0,0,0,8,6,183,97,0,59,23,12,3,107,36,12,4,0,20,0,0,2,17,4,4,8,0,95,16,24,40,0,2,2,2,3,4,2,0,0,0,0,0,162,12,14,94,0,0,6,0,2,0,1,5,0,4,1,23,0,0,0,0,0,0
"E02001391",5746,5693,0,1,0,0,0,0,0,1,0,2,0,4,22,0,0,11,2,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,5,3,2,0
"E02001392",5570,5442,3,2,0,0,0,1,0,0,1,4,4,10,20,1,10,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,4,1,0,0,3,0,23,0,3,6,0,8,1,0,0,3,0,0,0,2,33,2,8,16,2,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,5,4,1,0
"E02001393",7572,7323,12,0,0,0,0,0,0,0,0,4,7,10,48,3,9,15,2,0,1,0,0,1,0,10,1,0,3,1,2,0,0,0,5,2,3,0,0,0,0,0,0,1,1,44,18,0,4,13,1,0,54,11,9,17,0,9,5,0,0,0,3,0,0,0,44,2,6,32,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
