"GeographyCode","QS205EW0001","QS205EW0002","QS205EW0003","QS205EW0004","QS205EW0005","QS205EW0006"
"E00032987",192,138,13,19,12,10
"E00032988",342,322,11,7,2,0
"E00032989",325,294,12,12,7,0
"E00032990",320,270,16,20,7,7
"E00032991",312,290,9,8,5,0
"E00032992",238,210,14,13,1,0
"E00032993",275,223,20,21,10,1
"E00032994",106,103,2,1,0,0
"E00032995",263,252,3,7,0,1
"E00032996",403,397,2,1,2,1
"E00032997",203,184,8,5,5,1
"E00032998",320,291,11,8,10,0
"E00032999",355,295,23,28,8,1
"E00033000",177,124,0,9,16,28
"E00033002",218,186,10,14,8,0
"E00033004",248,235,8,5,0,0
"E00033005",394,364,5,16,6,3
"E00033006",261,247,3,6,5,0
"E00033007",307,276,6,8,6,11
"E00033008",329,314,2,5,8,0
"E00033012",147,132,11,4,0,0
"E00033013",192,150,13,22,5,2
"E00033015",202,93,46,51,9,3
"E00033016",572,211,73,202,76,10
"E00033018",268,252,9,5,2,0
"E00033019",342,265,34,34,7,2
"E00033020",229,200,15,12,0,2
"E00033021",245,183,13,14,24,11
"E00033023",426,395,13,9,6,3
"E00033024",174,166,3,3,0,2
"E00033025",254,253,0,1,0,0
"E00033026",208,206,0,1,1,0
"E00033027",384,364,11,5,3,1
"E00033029",232,220,7,3,1,1
"E00033030",316,309,5,1,1,0
"E00033031",302,297,4,1,0,0
"E00033032",340,315,18,6,0,1
"E00033033",280,261,13,3,2,1
"E00033034",308,289,8,8,3,0
"E00033035",349,338,6,5,0,0
"E00033036",188,175,11,2,0,0
"E00033037",304,293,7,2,0,2
"E00033038",162,142,8,6,5,1
"E00033040",263,241,13,7,2,0
"E00033041",253,251,2,0,0,0
"E00033042",233,227,4,1,1,0
"E00033043",240,229,8,3,0,0
"E00033044",232,230,2,0,0,0
"E00033045",211,208,3,0,0,0
"E00033046",178,173,0,3,2,0
"E00033047",317,312,4,1,0,0
"E00033048",246,238,5,0,1,2
"E00033049",350,332,9,7,2,0
"E00033050",221,217,1,0,1,2
"E00033051",306,281,12,7,5,1
"E00033052",371,350,10,11,0,0
"E00033053",272,265,0,7,0,0
"E00033054",153,148,3,0,2,0
"E00033055",229,225,3,1,0,0
"E00033056",269,263,3,1,2,0
"E00033057",280,262,14,3,1,0
"E00033059",299,289,4,2,4,0
"E00033060",201,199,2,0,0,0
"E00033061",226,216,1,6,2,1
"E00033062",252,249,2,1,0,0
"E00033063",255,253,2,0,0,0
"E00033064",223,217,4,1,1,0
"E00033065",285,268,12,4,1,0
"E00033066",235,225,6,4,0,0
"E00033067",272,230,31,8,3,0
"E00033068",321,309,7,5,0,0
"E00033069",236,219,12,5,0,0
"E00033070",277,260,9,7,0,1
"E00033071",269,253,6,6,4,0
"E00033072",297,281,6,7,2,1
"E00033073",255,243,8,4,0,0
"E00033074",289,274,10,4,1,0
"E00033075",251,239,6,3,1,2
"E00033076",390,378,4,4,3,1
"E00033077",288,275,9,2,2,0
"E00033078",317,299,14,3,0,1
"E00033079",226,218,5,1,2,0
"E00033080",194,174,18,1,0,1
"E00033081",213,205,5,3,0,0
"E00033082",308,294,8,3,3,0
"E00033083",330,319,5,4,2,0
"E00033084",315,313,2,0,0,0
"E00033085",309,301,4,3,1,0
"E00033086",245,244,0,0,1,0
"E00033087",383,342,24,6,8,3
"E00033088",231,226,4,0,1,0
"E00033089",289,276,11,2,0,0
"E00033090",364,358,1,1,3,1
"E00033091",302,301,0,1,0,0
"E00033092",299,299,0,0,0,0
"E00033093",357,349,4,1,1,2
"E00033094",322,318,0,2,2,0
"E00033095",438,430,7,1,0,0
"E00033096",253,247,3,2,0,1
"E00033097",257,256,1,0,0,0
"E00033098",274,267,6,1,0,0
"E00033099",161,161,0,0,0,0
"E00033100",290,286,3,1,0,0
"E00033101",206,205,1,0,0,0
"E00033102",409,400,4,2,2,1
"E00033103",295,289,4,1,1,0
"E00033104",271,255,8,5,2,1
"E00033105",288,288,0,0,0,0
"E00033106",278,275,3,0,0,0
"E00033107",343,326,3,9,3,2
"E00033108",311,311,0,0,0,0
"E00033109",312,307,3,1,0,1
"E00033110",335,324,2,3,4,2
"E00033112",297,286,6,4,1,0
"E00033113",240,227,9,3,1,0
"E00033114",299,289,3,5,1,1
"E00033115",132,125,3,2,2,0
"E00033116",190,187,1,1,1,0
"E00033117",374,360,12,2,0,0
"E00033118",322,319,1,2,0,0
"E00033119",253,249,3,1,0,0
"E00033120",303,300,0,3,0,0
"E00033121",216,214,2,0,0,0
"E00033122",267,267,0,0,0,0
"E00033123",251,250,1,0,0,0
"E00033124",306,295,2,7,2,0
"E00033125",183,173,2,8,0,0
"E00033126",250,249,1,0,0,0
"E00033127",514,503,7,3,1,0
"E00033128",259,254,4,1,0,0
"E00033129",254,245,8,1,0,0
"E00033130",349,338,2,4,5,0
"E00033131",266,253,4,3,5,1
"E00033132",446,426,4,11,5,0
"E00033133",356,356,0,0,0,0
"E00033134",179,171,0,0,6,2
"E00033135",415,398,4,4,8,1
"E00033136",213,205,2,1,3,2
"E00033137",268,236,2,17,12,1
"E00033138",162,156,2,4,0,0
"E00033139",247,247,0,0,0,0
"E00033140",194,194,0,0,0,0
"E00033141",202,201,0,1,0,0
"E00033142",262,259,0,0,2,1
"E00033143",244,236,2,2,4,0
"E00033144",192,183,3,0,4,2
"E00033145",280,273,4,3,0,0
"E00033146",290,266,6,7,9,2
"E00033147",304,299,2,3,0,0
"E00033148",247,227,6,8,2,4
"E00033149",218,215,1,0,1,1
"E00033150",293,277,3,6,6,1
"E00033151",249,245,1,3,0,0
"E00033152",293,253,16,15,6,3
"E00033153",413,406,2,3,1,1
"E00033154",148,136,4,6,1,1
"E00033155",251,236,6,9,0,0
"E00033156",230,228,0,2,0,0
"E00033157",302,284,5,6,6,1
"E00033158",281,270,2,6,2,1
"E00033159",178,153,4,19,0,2
"E00033160",341,302,18,4,17,0
