"GeographyCode","QS208EW0001","QS208EW0002","QS208EW0003","QS208EW0004","QS208EW0005","QS208EW0006","QS208EW0007","QS208EW0008","QS208EW0009","QS208EW0010"
"E01006512",1880,542,37,50,4,377,6,13,722,129
"E01006513",2941,1165,50,31,8,157,3,8,1332,187
"E01006514",2108,875,28,10,5,121,1,10,872,186
"E01006515",1208,676,38,1,2,94,0,7,294,96
"E01006518",1696,1194,6,8,3,112,0,6,260,107
"E01006519",1286,942,5,0,3,12,1,1,251,71
"E01006520",1706,839,12,10,12,49,0,17,622,145
"E01006521",1660,910,10,4,52,58,3,6,455,162
"E01006522",1731,838,19,6,6,56,3,10,655,138
"E01006523",1508,790,4,3,12,64,0,7,487,141
"E01006524",2431,1273,13,30,97,68,8,13,713,216
"E01006525",1209,875,5,1,3,15,1,1,230,78
"E01006526",1404,987,4,2,12,23,0,2,260,114
"E01006527",1454,1066,1,0,6,25,1,4,276,75
"E01006528",1461,888,6,6,5,37,1,4,382,132
"E01006529",1304,856,1,4,4,21,2,3,317,96
"E01006530",1431,1209,0,0,2,14,0,0,124,82
"E01006531",1458,1228,2,5,7,8,0,2,143,63
"E01006532",1557,1077,3,28,77,67,5,2,202,96
"E01006533",1408,1100,3,32,4,15,4,1,165,84
"E01006534",1542,1114,7,16,19,46,1,4,247,88
"E01006535",1639,1277,4,6,9,13,1,5,231,93
"E01006536",1848,1432,13,0,1,20,0,3,262,117
"E01006537",2257,1693,9,24,6,38,6,3,358,120
"E01006538",1318,1036,2,0,0,1,4,1,187,87
"E01006539",1437,996,2,13,55,25,4,3,235,104
"E01006540",1509,1020,3,4,0,79,0,1,296,106
"E01006541",1593,1281,4,7,0,3,0,4,212,82
"E01006542",1397,1119,4,0,0,8,1,3,185,77
"E01006543",1247,1068,1,0,0,1,0,2,119,56
"E01006544",1658,1285,5,1,1,1,1,9,253,102
"E01006545",1512,1137,6,5,0,4,6,2,239,113
"E01006546",1319,1022,2,6,1,8,0,4,223,53
"E01006547",1490,1044,15,0,1,40,5,6,298,81
"E01006548",1675,1220,4,2,4,27,5,3,284,126
"E01006549",1662,692,12,23,9,191,1,7,552,175
"E01006550",1595,758,8,16,8,69,13,4,614,105
"E01006551",1581,890,9,6,58,43,1,7,420,147
"E01006552",2029,722,21,11,0,745,3,18,364,145
"E01006553",1880,985,7,23,11,64,8,4,667,111
"E01006554",1692,782,13,6,17,99,2,6,637,130
"E01006556",2011,939,25,20,2,540,11,9,341,124
"E01006557",2054,1017,8,23,10,162,13,4,692,125
"E01006558",1357,1020,0,4,4,10,0,1,236,82
"E01006560",1860,1479,1,3,0,32,5,1,204,135
"E01006562",1514,1082,3,0,0,32,0,5,306,86
"E01006563",1744,1310,1,14,1,28,0,9,256,125
"E01006564",1721,1472,7,1,0,9,0,4,121,107
"E01006565",1549,1258,6,0,0,7,0,3,174,101
"E01006566",1506,1176,6,5,0,19,0,1,217,82
"E01006567",1655,1286,4,9,1,26,0,1,234,94
"E01006568",1617,1333,5,0,2,7,0,0,171,99
"E01006569",1429,1131,0,0,3,5,0,2,203,85
"E01006570",1479,1240,0,6,0,5,1,0,162,65
"E01006571",1470,1168,2,0,1,3,0,3,201,92
"E01006572",1207,919,2,6,0,1,1,2,189,87
"E01006573",1501,1147,2,8,2,12,0,1,221,108
"E01006574",1388,1089,3,0,0,10,0,1,195,90
"E01006575",1294,932,9,4,13,30,0,2,221,83
"E01006576",1693,1394,1,0,7,18,1,0,160,112
"E01006577",1503,1160,3,3,7,12,9,3,227,79
"E01006578",1380,1035,3,17,3,4,0,0,243,75
"E01006579",1643,1247,8,0,35,62,0,2,171,118
