"GeographyCode","QS208EW0001","QS208EW0002","QS208EW0003","QS208EW0004","QS208EW0005","QS208EW0006","QS208EW0007","QS208EW0008","QS208EW0009","QS208EW0010"
"E02001347",7653,6308,18,30,1,53,1,12,841,389
"E02001348",7222,5721,7,3,7,31,0,19,1009,425
"E02001349",7966,6371,9,11,5,27,3,17,1136,387
"E02001350",7856,6463,24,20,4,76,0,8,853,408
"E02001351",8894,6974,8,17,6,48,4,21,1326,490
"E02001352",7416,5479,13,21,4,134,4,33,1270,458
"E02001353",7572,6292,35,35,3,60,3,11,781,352
"E02001354",7613,6125,6,0,2,42,1,10,998,429
"E02001355",6664,5302,13,7,2,43,11,13,853,420
"E02001356",5584,4371,3,9,6,32,4,7,832,320
"E02001357",6982,5552,16,3,1,30,3,11,881,485
"E02001358",7069,5614,9,15,2,60,1,13,966,389
"E02001359",5751,4738,17,9,5,77,3,2,603,297
"E02001360",8358,6551,19,33,2,79,8,12,1103,551
"E02001361",7618,6117,17,12,3,41,1,25,965,437
"E02001362",7401,6114,19,9,7,29,0,14,792,417
"E02001363",7788,6036,18,14,7,60,1,10,1163,479
"E02001364",5311,4003,10,5,5,95,1,12,869,311
"E02001365",9049,6640,35,30,6,143,16,24,1641,514
"E02001366",8985,6683,40,17,5,150,2,15,1557,516
"E02001367",9304,7780,19,30,6,102,1,7,860,499
"E02001368",5847,4738,15,12,0,83,0,7,550,442
"E02001369",7655,5880,28,44,4,178,8,15,962,536
"E02001370",6186,4592,13,20,1,181,4,10,933,432
"E02001371",7447,5777,9,20,3,34,2,10,1107,485
"E02001372",6221,5027,11,15,4,41,1,4,768,350
"E02001373",9253,6862,23,18,17,171,3,19,1476,664
"E02001374",8199,5564,55,35,7,336,4,31,1560,607
"E02001375",7195,5638,22,19,6,34,2,13,979,482
"E02001376",8469,5803,69,95,5,459,8,17,1465,548
"E02001377",11467,5625,177,265,17,1167,48,40,3413,715
"E02001378",7972,5878,47,32,32,161,4,17,1320,481
"E02001380",7526,5921,23,17,68,125,10,9,901,452
"E02001381",9286,5649,75,64,25,748,38,36,2015,636
"E02001382",7098,5542,25,51,79,62,3,7,960,369
"E02001383",7501,3214,146,44,15,928,6,47,2507,594
"E02001384",10762,5551,40,165,36,777,55,42,3422,674
"E02001385",8157,3029,84,48,5,3228,28,43,1136,556
"E02001386",7545,5837,10,12,7,44,0,11,1102,522
"E02001387",8025,5732,17,52,378,159,4,22,1239,422
"E02001388",8860,4906,42,64,155,238,21,25,2821,588
"E02001389",6232,2816,58,46,30,702,9,46,1964,561
"E02001390",8756,5977,36,62,8,905,7,32,1139,590
"E02001391",5970,4648,7,10,6,22,1,15,880,381
"E02001392",5717,4331,31,68,135,50,12,12,718,360
"E02001393",7753,5503,12,128,380,207,13,14,1051,445
"E02001394",10143,5626,59,54,194,310,16,41,3002,841
"E02001395",6056,4178,22,7,48,143,17,10,1246,385
"E02001396",8035,5581,40,54,13,175,2,22,1642,506
"E02001397",7631,5768,11,48,108,34,2,10,1146,504
"E02001398",7758,4654,52,32,81,223,4,23,2075,614
"E02001399",7276,5707,20,0,27,96,13,12,1004,397
"E02001400",6614,4978,39,27,32,117,12,18,991,400
"E02001401",7872,6266,16,61,19,76,14,7,977,436
"E02001402",8384,5991,29,44,47,81,7,21,1643,521
"E02001403",6035,4455,29,11,10,67,6,9,1113,335
"E02001404",7260,5577,9,12,14,37,4,10,1171,426
"E02001405",9609,7228,15,1,9,62,0,24,1688,582
"E02006932",9949,4241,168,147,25,656,25,41,4071,575
"E02006933",5436,3081,41,108,8,287,21,11,1519,360
"E02006934",5202,2612,37,95,10,393,29,23,1726,277
