"GeographyCode","QS210EW0001","QS210EW0002","QS210EW0003","QS210EW0004","QS210EW0005","QS210EW0006","QS210EW0007","QS210EW0008","QS210EW0009","QS210EW0010","QS210EW0011","QS210EW0012","QS210EW0013","QS210EW0014","QS210EW0015","QS210EW0016","QS210EW0017","QS210EW0018","QS210EW0019","QS210EW0020","QS210EW0021","QS210EW0022","QS210EW0023","QS210EW0024","QS210EW0025","QS210EW0026","QS210EW0027","QS210EW0028","QS210EW0029","QS210EW0030","QS210EW0031","QS210EW0032","QS210EW0033","QS210EW0034","QS210EW0035","QS210EW0036","QS210EW0037","QS210EW0038","QS210EW0039","QS210EW0040","QS210EW0041","QS210EW0042","QS210EW0043","QS210EW0044","QS210EW0045","QS210EW0046","QS210EW0047","QS210EW0048","QS210EW0049","QS210EW0050","QS210EW0051","QS210EW0052","QS210EW0053","QS210EW0054","QS210EW0055","QS210EW0056","QS210EW0057","QS210EW0058","QS210EW0059"
"E01006512",1880,542,37,50,4,377,6,13,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,1,722,707,4,2,0,0,0,9,0,129
"E01006513",2941,1165,50,31,8,157,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1332,1292,6,3,0,1,0,30,0,187
"E01006514",2108,875,28,10,5,121,1,10,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,872,834,4,3,0,3,1,27,0,186
"E01006515",1208,676,38,1,2,94,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,294,292,0,0,0,0,0,2,0,96
"E01006518",1696,1194,6,8,3,112,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,260,254,1,1,0,0,0,4,0,107
"E01006519",1286,942,5,0,3,12,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,249,0,2,0,0,0,0,0,71
"E01006520",1706,839,12,10,12,49,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,2,0,0,0,622,597,1,2,0,1,3,18,0,145
"E01006521",1660,910,10,4,52,58,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,455,447,0,4,0,0,0,4,0,162
"E01006522",1731,838,19,6,6,56,3,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,655,639,1,4,0,0,2,9,0,138
"E01006523",1508,790,4,3,12,64,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,487,480,3,1,0,0,0,3,0,141
"E01006524",2431,1273,13,30,97,68,8,13,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,1,0,713,691,2,3,0,2,1,13,1,216
"E01006525",1209,875,5,1,3,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,225,2,1,0,0,0,2,0,78
"E01006526",1404,987,4,2,12,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,260,255,0,2,0,0,0,3,0,114
"E01006527",1454,1066,1,0,6,25,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,276,266,0,0,0,0,1,9,0,75
"E01006528",1461,888,6,6,5,37,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,382,372,0,7,0,0,0,3,0,132
"E01006529",1304,856,1,4,4,21,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,314,0,0,0,0,0,3,0,96
"E01006530",1431,1209,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,119,0,0,0,2,0,3,0,82
"E01006531",1458,1228,2,5,7,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,143,139,0,1,0,0,0,3,0,63
"E01006532",1557,1077,3,28,77,67,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,202,199,0,3,0,0,0,0,0,96
"E01006533",1408,1100,3,32,4,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,162,1,0,0,0,0,2,0,84
"E01006534",1542,1114,7,16,19,46,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,247,246,0,1,0,0,0,0,0,88
"E01006535",1639,1277,4,6,9,13,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,231,228,1,0,0,0,0,2,0,93
"E01006536",1848,1432,13,0,1,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,262,258,0,2,0,0,0,2,0,117
"E01006537",2257,1693,9,24,6,38,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,353,2,0,0,0,0,3,0,120
"E01006538",1318,1036,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,180,0,0,0,0,0,7,0,87
"E01006539",1437,996,2,13,55,25,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,235,234,0,0,0,0,0,1,0,104
"E01006540",1509,1020,3,4,0,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,290,0,0,0,0,1,5,0,106
"E01006541",1593,1281,4,7,0,3,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,212,205,0,0,0,0,0,7,0,82
"E01006542",1397,1119,4,0,0,8,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,185,185,0,0,0,0,0,0,0,77
"E01006543",1247,1068,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,119,119,0,0,0,0,0,0,0,56
"E01006544",1658,1285,5,1,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,253,250,1,1,0,0,0,1,0,102
"E01006545",1512,1137,6,5,0,4,6,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,239,235,0,0,0,0,0,4,0,113
"E01006546",1319,1022,2,6,1,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,223,222,0,0,0,0,0,1,0,53
"E01006547",1490,1044,15,0,1,40,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,298,291,0,0,0,0,0,7,0,81
