"GeographyCode","QS210EW0001","QS210EW0002","QS210EW0003","QS210EW0004","QS210EW0005","QS210EW0006","QS210EW0007","QS210EW0008","QS210EW0009","QS210EW0010","QS210EW0011","QS210EW0012","QS210EW0013","QS210EW0014","QS210EW0015","QS210EW0016","QS210EW0017","QS210EW0018","QS210EW0019","QS210EW0020","QS210EW0021","QS210EW0022","QS210EW0023","QS210EW0024","QS210EW0025","QS210EW0026","QS210EW0027","QS210EW0028","QS210EW0029","QS210EW0030","QS210EW0031","QS210EW0032","QS210EW0033","QS210EW0034","QS210EW0035","QS210EW0036","QS210EW0037","QS210EW0038","QS210EW0039","QS210EW0040","QS210EW0041","QS210EW0042","QS210EW0043","QS210EW0044","QS210EW0045","QS210EW0046","QS210EW0047","QS210EW0048","QS210EW0049","QS210EW0050","QS210EW0051","QS210EW0052","QS210EW0053","QS210EW0054","QS210EW0055","QS210EW0056","QS210EW0057","QS210EW0058","QS210EW0059"
"E02001347",7653,6308,18,30,1,53,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,841,828,2,1,0,0,0,10,0,389
"E02001348",7222,5721,7,3,7,31,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,2,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,2,1009,978,3,3,0,2,0,23,0,425
"E02001349",7966,6371,9,11,5,27,3,17,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1136,1111,2,3,0,0,1,19,0,387
"E02001350",7856,6463,24,20,4,76,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,853,843,1,1,0,1,1,6,0,408
"E02001351",8894,6974,8,17,6,48,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,9,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1326,1302,2,2,0,0,0,20,0,490
"E02001352",7416,5479,13,21,4,134,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,2,3,0,0,0,0,0,0,0,4,0,1,2,1270,1249,1,6,0,0,0,14,0,458
"E02001353",7572,6292,35,35,3,60,3,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,781,759,2,3,0,0,0,17,0,352
"E02001354",7613,6125,6,0,2,42,1,10,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,998,988,1,4,1,0,1,3,0,429
"E02001355",6664,5302,13,7,2,43,11,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,853,840,1,0,0,0,3,9,0,420
"E02001356",5584,4371,3,9,6,32,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,832,819,1,6,0,0,0,6,0,320
"E02001357",6982,5552,16,3,1,30,3,11,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,881,863,2,0,0,1,1,14,0,485
"E02001358",7069,5614,9,15,2,60,1,13,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,966,940,3,4,0,1,1,17,0,389
"E02001359",5751,4738,17,9,5,77,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,594,1,0,0,0,0,8,0,297
"E02001360",8358,6551,19,33,2,79,8,12,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,1103,1076,2,2,0,0,0,23,0,551
"E02001361",7618,6117,17,12,3,41,1,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,965,941,1,1,0,0,1,21,0,437
"E02001362",7401,6114,19,9,7,29,0,14,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,0,0,2,792,776,3,1,0,0,0,12,0,417
"E02001363",7788,6036,18,14,7,60,1,10,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1163,1149,0,1,0,1,0,12,0,479
"E02001364",5311,4003,10,5,5,95,1,12,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,869,853,4,4,0,0,4,4,0,311
"E02001365",9049,6640,35,30,6,143,16,24,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,1641,1619,0,1,0,1,2,18,0,514
"E02001366",8985,6683,40,17,5,150,2,15,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1557,1513,8,2,0,0,0,34,0,516
"E02001367",9304,7780,19,30,6,102,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,860,835,4,6,0,0,0,15,0,499
