"GeographyCode","QS211EW0001","QS211EW0002","QS211EW0003","QS211EW0004","QS211EW0005","QS211EW0006","QS211EW0007","QS211EW0008","QS211EW0009","QS211EW0010","QS211EW0011","QS211EW0012","QS211EW0013","QS211EW0014","QS211EW0015","QS211EW0016","QS211EW0017","QS211EW0018","QS211EW0019","QS211EW0020","QS211EW0021","QS211EW0022","QS211EW0023","QS211EW0024","QS211EW0025","QS211EW0026","QS211EW0027","QS211EW0028","QS211EW0029","QS211EW0030","QS211EW0031","QS211EW0032","QS211EW0033","QS211EW0034","QS211EW0035","QS211EW0036","QS211EW0037","QS211EW0038","QS211EW0039","QS211EW0040","QS211EW0041","QS211EW0042","QS211EW0043","QS211EW0044","QS211EW0045","QS211EW0046","QS211EW0047","QS211EW0048","QS211EW0049","QS211EW0050","QS211EW0051","QS211EW0052","QS211EW0053","QS211EW0054","QS211EW0055","QS211EW0056","QS211EW0057","QS211EW0058","QS211EW0059","QS211EW0060","QS211EW0061","QS211EW0062","QS211EW0063","QS211EW0064","QS211EW0065","QS211EW0066","QS211EW0067","QS211EW0068","QS211EW0069","QS211EW0070","QS211EW0071","QS211EW0072","QS211EW0073","QS211EW0074","QS211EW0075","QS211EW0076","QS211EW0077","QS211EW0078","QS211EW0079","QS211EW0080","QS211EW0081","QS211EW0082","QS211EW0083","QS211EW0084","QS211EW0085","QS211EW0086","QS211EW0087","QS211EW0088","QS211EW0089","QS211EW0090","QS211EW0091","QS211EW0092","QS211EW0093","QS211EW0094","QS211EW0095","QS211EW0096","QS211EW0097","QS211EW0098","QS211EW0099","QS211EW0100","QS211EW0101","QS211EW0102","QS211EW0103","QS211EW0104","QS211EW0105","QS211EW0106","QS211EW0107","QS211EW0108","QS211EW0109","QS211EW0110","QS211EW0111","QS211EW0112","QS211EW0113","QS211EW0114","QS211EW0115","QS211EW0116","QS211EW0117","QS211EW0118","QS211EW0119","QS211EW0120","QS211EW0121","QS211EW0122","QS211EW0123","QS211EW0124","QS211EW0125","QS211EW0126","QS211EW0127","QS211EW0128","QS211EW0129","QS211EW0130","QS211EW0131","QS211EW0132","QS211EW0133","QS211EW0134","QS211EW0135","QS211EW0136","QS211EW0137","QS211EW0138","QS211EW0139","QS211EW0140","QS211EW0141","QS211EW0142","QS211EW0143","QS211EW0144","QS211EW0145","QS211EW0146","QS211EW0147","QS211EW0148","QS211EW0149","QS211EW0150","QS211EW0151","QS211EW0152","QS211EW0153","QS211EW0154","QS211EW0155","QS211EW0156","QS211EW0157","QS211EW0158","QS211EW0159","QS211EW0160","QS211EW0161","QS211EW0162","QS211EW0163","QS211EW0164","QS211EW0165","QS211EW0166","QS211EW0167","QS211EW0168","QS211EW0169","QS211EW0170","QS211EW0171","QS211EW0172","QS211EW0173","QS211EW0174","QS211EW0175","QS211EW0176","QS211EW0177","QS211EW0178","QS211EW0179","QS211EW0180","QS211EW0181","QS211EW0182","QS211EW0183","QS211EW0184","QS211EW0185","QS211EW0186","QS211EW0187","QS211EW0188","QS211EW0189","QS211EW0190","QS211EW0191","QS211EW0192","QS211EW0193","QS211EW0194","QS211EW0195","QS211EW0196","QS211EW0197","QS211EW0198","QS211EW0199","QS211EW0200","QS211EW0201","QS211EW0202","QS211EW0203","QS211EW0204","QS211EW0205","QS211EW0206","QS211EW0207","QS211EW0208","QS211EW0209","QS211EW0210","QS211EW0211","QS211EW0212","QS211EW0213","QS211EW0214","QS211EW0215","QS211EW0216","QS211EW0217","QS211EW0218","QS211EW0219","QS211EW0220","QS211EW0221","QS211EW0222","QS211EW0223","QS211EW0224","QS211EW0225","QS211EW0226","QS211EW0227","QS211EW0228","QS211EW0229","QS211EW0230","QS211EW0231","QS211EW0232","QS211EW0233","QS211EW0234","QS211EW0235","QS211EW0236","QS211EW0237","QS211EW0238","QS211EW0239","QS211EW0240","QS211EW0241","QS211EW0242","QS211EW0243","QS211EW0244","QS211EW0245","QS211EW0246","QS211EW0247","QS211EW0248","QS211EW0249","QS211EW0250","QS211EW0251"
"E01006512",1880,577,19,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,23,0,13,0,1,1,3,0,0,0,2,2,0,0,0,0,0,0,3,5,13,1,23,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,13,24,29,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,13,79,33,9,467,2,0,0,1,0,0,1,0,0,4,6,1,0,1,0,3,1,0,21,4,1,0,0,1,0,0,0,0,0,2,3,1,5,2,0,10,3,83,20,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,3,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,22,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1
"E01006513",2941,1884,85,0,0,2,0,0,4,5,0,4,0,0,0,1,8,0,0,2,0,18,0,6,6,0,1,12,0,0,0,0,3,0,0,0,0,0,0,0,10,7,0,46,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,29,16,8,31,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,51,19,3,400,0,0,1,0,0,0,1,0,0,2,1,4,0,6,0,13,0,0,5,0,1,0,0,2,0,0,0,1,0,11,1,2,8,0,0,7,7,56,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,7
"E01006514",2108,1429,68,1,0,0,0,0,1,4,0,4,0,0,0,0,2,0,0,2,0,13,0,3,1,0,0,13,0,0,0,2,4,0,0,0,0,0,0,0,9,18,1,43,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,13,37,34,23,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,19,20,0,105,4,0,0,0,0,0,0,0,0,0,2,9,0,1,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,2,12,62,19,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3
"E01006515",1208,707,24,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,12,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,14,37,35,10,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,4,0,0,159,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,24,9,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"E01006518",1696,1286,29,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,27,17,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,5,3,7,42,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,56,16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,7,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,5
"E01006519",1286,1174,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,8,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E01006520",1706,1328,68,6,0,0,0,0,3,6,0,0,0,0,3,0,0,0,0,0,0,11,0,8,1,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,6,3,0,32,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,7,20,15,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,10,7,1,12,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,22,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"E01006521",1660,1372,35,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,10,2,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,13,16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,3,0,19,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,38,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
"E01006522",1731,1344,60,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,23,0,6,0,2,0,0,0,0,0,1,0,0,0,0,0,10,30,35,25,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,16,6,1,15,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,4,17,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"E01006523",1508,1240,32,1,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,13,8,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,11,14,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
