"GeographyCode","QS301EW0001","QS301EW0002","QS301EW0003","QS301EW0004","QS301EW0005"
"E02001347",7653,6723,457,150,323
"E02001348",7222,6362,453,155,252
"E02001349",7966,7000,554,162,250
"E02001350",7856,7003,396,171,286
"E02001351",8894,7857,462,214,361
"E02001352",7416,6634,387,139,256
"E02001353",7572,6665,551,125,231
"E02001354",7613,6673,416,196,328
"E02001355",6664,5871,421,137,235
"E02001356",5584,4942,278,122,242
"E02001357",6982,6018,381,209,374
"E02001358",7069,6336,367,145,221
"E02001359",5751,4981,436,118,216
"E02001360",8358,7432,373,194,359
"E02001361",7618,6685,443,158,332
"E02001362",7401,6309,529,198,365
"E02001363",7788,6916,376,192,304
"E02001364",5311,4788,223,124,176
"E02001365",9049,8123,473,178,275
"E02001366",8985,7877,572,200,336
"E02001367",9304,8057,766,179,302
"E02001368",5847,5156,256,158,277
"E02001369",7655,6793,334,190,338
"E02001370",6186,5501,270,156,259
"E02001371",7447,6683,347,147,270
"E02001372",6221,5452,420,124,225
"E02001373",9253,8150,577,186,340
"E02001374",8199,7450,413,142,194
"E02001375",7195,6349,372,164,310
"E02001376",8469,7702,329,152,286
"E02001377",11467,10753,395,133,186
"E02001378",7972,7027,497,177,271
"E02001380",7526,6540,606,135,245
"E02001381",9286,8491,407,166,222
"E02001382",7098,6208,583,126,181
"E02001383",7501,6931,356,100,114
"E02001384",10762,10090,384,121,167
"E02001385",8157,7490,343,125,199
"E02001386",7545,6624,358,193,370
"E02001387",8025,7002,675,139,209
"E02001388",8860,8211,407,90,152
"E02001389",6232,5793,298,63,78
"E02001390",8756,7790,454,179,333
"E02001391",5970,5253,293,140,284
"E02001392",5717,4937,510,114,156
"E02001393",7753,6740,718,119,176
"E02001394",10143,9285,571,102,185
"E02001395",6056,5283,479,117,177
"E02001396",8035,7228,445,145,217
"E02001397",7631,6636,616,137,242
"E02001398",7758,6964,480,133,181
"E02001399",7276,6229,657,155,235
"E02001400",6614,5711,454,173,276
"E02001401",7872,6774,622,136,340
"E02001402",8384,7370,665,149,200
"E02001403",6035,5347,311,156,221
"E02001404",7260,6422,362,177,299
"E02001405",9609,8581,393,234,401
"E02006932",9949,9624,263,39,23
"E02006933",5436,5039,233,68,96
"E02006934",5202,4992,160,24,26
