"GeographyCode","QS302EW0001","QS302EW0002","QS302EW0003","QS302EW0004","QS302EW0005","QS302EW0006"
"E02001347",7653,3637,2258,1003,567,188
"E02001348",7222,3376,2316,982,402,146
"E02001349",7966,3856,2478,1108,410,114
"E02001350",7856,3502,2285,1191,649,229
"E02001351",8894,3715,2744,1451,765,219
"E02001352",7416,3124,2348,1222,570,152
"E02001353",7572,4027,2279,801,350,115
"E02001354",7613,3367,2279,1176,598,193
"E02001355",6664,2793,2041,1144,532,154
"E02001356",5584,2542,1576,884,443,139
"E02001357",6982,2981,2017,1176,616,192
"E02001358",7069,2963,2260,1142,562,142
"E02001359",5751,2745,1785,750,355,116
"E02001360",8358,3269,2432,1520,864,273
"E02001361",7618,3175,2478,1207,590,168
"E02001362",7401,3198,2224,1220,582,177
"E02001363",7788,3445,2305,1186,646,206
"E02001364",5311,1970,1686,1039,480,136
"E02001365",9049,4033,2978,1295,558,185
"E02001366",8985,3959,2828,1373,621,204
"E02001367",9304,4670,2898,1159,452,125
"E02001368",5847,2170,1609,1121,710,237
"E02001369",7655,3073,2139,1307,857,279
"E02001370",6186,2265,1766,1165,749,241
"E02001371",7447,3410,2201,1087,571,178
"E02001372",6221,2748,1887,925,447,214
"E02001373",9253,4137,2966,1362,608,180
"E02001374",8199,3494,2683,1221,614,187
"E02001375",7195,2998,2279,1139,565,214
"E02001376",8469,3622,2723,1317,612,195
"E02001377",11467,5854,3544,1258,606,205
"E02001378",7972,3636,2355,1261,550,170
"E02001380",7526,3719,2331,1005,359,112
"E02001381",9286,4441,2927,1154,589,175
"E02001382",7098,3829,2149,791,254,75
"E02001383",7501,3434,2404,1030,494,139
"E02001384",10762,6037,3189,1026,393,117
"E02001385",8157,3755,2468,1155,584,195
"E02001386",7545,2856,2307,1378,742,262
"E02001387",8025,4482,2379,835,269,60
"E02001388",8860,4995,2667,845,274,79
"E02001389",6232,2873,1887,893,456,123
"E02001390",8756,3576,2474,1448,929,329
"E02001391",5970,2469,1810,1017,520,154
"E02001392",5717,2644,1912,843,259,59
"E02001393",7753,4264,2393,820,206,70
"E02001394",10143,5219,2941,1220,597,166
"E02001395",6056,3092,1886,757,245,76
"E02001396",8035,3736,2511,1066,567,155
"E02001397",7631,3493,2278,1182,540,138
"E02001398",7758,3835,2355,1026,415,127
"E02001399",7276,3789,2254,830,327,76
"E02001400",6614,3049,1861,1055,495,154
"E02001401",7872,3731,2448,1108,463,122
"E02001402",8384,4384,2511,1021,385,83
"E02001403",6035,2820,1766,873,422,154
"E02001404",7260,3253,2196,1069,566,176
"E02001405",9609,4152,2854,1462,841,300
"E02006932",9949,6036,3148,566,156,43
"E02006933",5436,3068,1611,452,212,93
"E02006934",5202,3192,1568,303,102,37
