"GeographyCode","QS402EW0001","QS402EW0002","QS402EW0003","QS402EW0004","QS402EW0005","QS402EW0006","QS402EW0007","QS402EW0008","QS402EW0009","QS402EW0010","QS402EW0011","QS402EW0012"
"E01006512",799,730,163,23,100,40,564,532,27,5,3,69
"E01006513",909,868,143,8,30,105,725,550,102,73,0,41
"E01006514",1115,1018,172,13,28,131,846,443,397,6,0,97
"E01006515",641,641,226,24,79,123,415,379,32,4,0,0
"E01006518",835,835,585,46,192,347,250,224,4,22,0,0
"E01006519",514,514,494,53,302,139,20,5,10,5,0,0
"E01006520",1182,1144,66,21,33,12,1078,521,555,2,0,38
"E01006521",928,921,210,78,67,65,711,503,175,33,0,7
"E01006522",1094,1049,76,15,19,42,973,413,548,12,0,45
"E01006523",830,801,330,12,29,289,470,261,201,8,1,29
"E01006524",583,564,190,78,50,62,374,321,51,2,0,19
"E01006525",486,486,458,24,361,73,28,23,5,0,0,0
"E01006526",654,654,524,24,196,304,130,123,6,1,0,0
"E01006527",638,638,498,92,100,306,140,136,3,1,0,0
"E01006528",613,602,478,78,24,376,124,77,40,7,0,11
"E01006529",559,559,516,19,52,445,43,5,17,21,0,0
"E01006530",616,616,584,14,547,23,32,23,0,9,0,0
"E01006531",674,674,583,47,530,6,91,88,1,2,0,0
"E01006532",617,617,575,235,324,16,42,38,4,0,0,0
"E01006533",614,614,478,130,242,106,136,128,8,0,0,0
"E01006534",649,649,519,124,300,95,130,123,7,0,0,0
"E01006535",656,656,601,19,377,205,55,41,11,3,0,0
"E01006536",815,815,688,18,408,262,127,121,6,0,0,0
"E01006537",964,964,724,90,516,118,239,233,3,3,1,0
"E01006538",527,527,512,83,314,115,15,2,6,7,0,0
"E01006539",601,601,464,177,251,36,137,120,16,1,0,0
"E01006540",771,771,583,35,60,488,188,104,62,22,0,0
"E01006541",803,803,571,14,127,430,232,221,6,5,0,0
"E01006542",583,568,429,14,25,390,138,70,67,1,1,15
"E01006543",509,509,503,10,467,26,6,3,0,3,0,0
"E01006544",738,738,725,23,224,478,13,10,1,2,0,0
"E01006545",646,646,625,15,14,596,21,2,11,8,0,0
"E01006546",583,583,517,21,21,475,66,32,30,4,0,0
"E01006547",718,714,606,26,98,482,108,38,34,36,0,4
"E01006548",759,746,698,15,24,659,48,25,23,0,0,13
"E01006549",949,835,159,13,113,33,675,294,378,3,1,114
"E01006550",483,483,384,6,16,362,99,38,28,33,0,0
"E01006551",751,749,56,16,22,18,692,542,149,1,1,2
"E01006552",869,855,524,47,136,341,330,195,124,11,1,14
"E01006553",642,642,551,10,24,517,91,9,49,33,0,0
"E01006554",649,620,317,12,92,213,303,87,206,10,0,29
"E01006556",1016,1014,725,66,220,439,286,172,88,26,3,2
"E01006557",635,635,487,15,34,438,148,83,29,36,0,0
"E01006558",739,736,692,22,67,603,44,29,13,2,0,3
"E01006560",996,993,613,61,271,281,380,372,5,3,0,3
"E01006562",714,714,655,23,62,570,56,26,18,12,3,0
"E01006563",908,908,552,28,150,374,356,325,19,12,0,0
"E01006564",800,800,653,16,509,128,147,139,6,2,0,0
"E01006565",638,638,631,10,270,351,7,3,0,4,0,0
"E01006566",577,577,488,45,192,251,89,81,5,3,0,0
"E01006567",892,888,440,33,239,168,448,437,6,5,0,4
"E01006568",629,629,577,101,246,230,52,50,2,0,0,0
"E01006569",613,613,549,16,250,283,64,56,3,5,0,0
"E01006570",595,595,521,91,380,50,74,40,14,20,0,0
"E01006571",612,612,565,19,133,413,47,41,1,5,0,0
"E01006572",501,501,494,17,104,373,7,7,0,0,0,0
"E01006573",778,778,616,6,43,567,162,137,12,13,0,0
"E01006574",612,612,512,22,220,270,100,94,4,2,0,0
"E01006575",578,578,510,20,340,150,68,50,14,4,0,0
"E01006576",713,713,675,69,597,9,38,25,10,3,0,0
"E01006577",597,597,576,13,344,219,21,15,6,0,0,0
"E01006578",554,554,542,8,526,8,12,7,1,4,0,0
"E01006579",618,618,614,18,588,8,4,2,2,0,0,0
